date,open,high,low,close,volume
20130422  09:30:00,144.56,144.67,143.97,144.17,-1
20130422  10:00:00,144.17,144.18,143.43,143.78,-1
20130422  11:00:00,143.78,144.01,143.59,143.94,-1
20130422  12:00:00,143.94,144.39,143.93,144.23,-1
20130422  13:00:00,144.23,144.3,144.1,144.14,-1
20130422  14:00:00,144.14,144.75,144.14,144.56,-1
20130422  15:00:00,144.56,144.66,144.41,144.5,-1
20130423  09:30:00,145.36,145.78,145.28,145.7,-1
20130423  10:00:00,145.7,145.95,145.6,145.82,-1
20130423  11:00:00,145.82,146.05,145.8,146.05,-1
20130423  12:00:00,146.05,146.06,145.79,145.88,-1
20130423  13:00:00,145.88,145.88,144.34,145.84,-1
20130423  14:00:00,145.84,145.87,145.53,145.8,-1
20130423  15:00:00,145.8,146.07,145.77,146.02,-1
20130424  09:30:00,146.19,146.39,145.92,146.01,-1
20130424  10:00:00,146.01,146.16,145.71,145.98,-1
20130424  11:00:00,145.98,146.03,145.73,145.82,-1
20130424  12:00:00,145.82,145.91,145.6,145.72,-1
20130424  13:00:00,145.72,145.93,145.71,145.86,-1
20130424  14:00:00,145.86,146.04,145.84,146.04,-1
20130424  15:00:00,146.04,146.04,145.57,145.67,-1
20130425  09:30:00,145.9,145.99,145.54,145.82,-1
20130425  10:00:00,145.82,146.47,145.78,146.42,-1
20130425  11:00:00,146.42,146.48,146.3,146.34,-1
20130425  12:00:00,146.34,146.41,146.22,146.39,-1
20130425  13:00:00,146.39,146.57,146.28,146.51,-1
20130425  14:00:00,146.51,146.59,146.07,146.15,-1
20130425  15:00:00,146.15,146.16,145.71,145.95,-1
20130426  09:30:00,145.73,146.17,145.72,146.17,-1
20130426  10:00:00,146.17,146.27,145.82,145.98,-1
20130426  11:00:00,145.98,146.18,145.76,145.87,-1
20130426  12:00:00,145.87,145.96,145.74,145.94,-1
20130426  13:00:00,145.94,146.16,145.88,146.06,-1
20130426  14:00:00,146.06,146.16,145.96,146.05,-1
20130426  15:00:00,146.05,146.32,146.03,146.06,-1
20130429  09:30:00,146.41,146.46,146.08,146.34,-1
20130429  10:00:00,146.34,146.77,146.26,146.76,-1
20130429  11:00:00,146.76,146.78,146.61,146.71,-1
20130429  12:00:00,146.71,147.08,146.69,146.99,-1
20130429  13:00:00,146.99,147.25,146.96,147.24,-1
20130429  14:00:00,147.24,147.32,147.17,147.2,-1
20130429  15:00:00,147.2,147.22,146.88,147.03,-1
20130430  09:30:00,147.02,147.04,146.38,146.45,-1
20130430  10:00:00,146.45,146.91,146.22,146.73,-1
20130430  11:00:00,146.73,147.07,146.7,147.0,-1
20130430  12:00:00,147.0,147.19,146.83,147.16,-1
20130430  13:00:00,147.16,147.26,147.03,147.25,-1
20130430  14:00:00,147.25,147.26,146.94,147.2,-1
20130430  15:00:00,147.2,147.28,146.99,147.24,-1
20130501  09:30:00,146.78,146.93,146.63,146.81,-1
20130501  10:00:00,146.81,146.99,146.49,146.8,-1
20130501  11:00:00,146.8,146.85,146.59,146.73,-1
20130501  12:00:00,146.73,146.75,146.43,146.44,-1
20130501  13:00:00,146.44,146.46,146.02,146.2,-1
20130501  14:00:00,146.2,146.57,146.16,146.44,-1
20130501  15:00:00,146.44,146.45,145.76,145.93,-1
20130502  09:30:00,146.32,146.51,146.11,146.29,-1
20130502  10:00:00,146.29,146.69,146.24,146.6,-1
20130502  11:00:00,146.6,147.16,146.58,147.11,-1
20130502  12:00:00,147.11,147.16,146.9,147.04,-1
20130502  13:00:00,147.04,147.17,146.98,147.16,-1
20130502  14:00:00,147.16,147.23,147.01,147.18,-1
20130502  15:00:00,147.18,147.21,147.03,147.14,-1
20130503  09:30:00,148.48,148.79,148.38,148.67,-1
20130503  10:00:00,148.67,148.99,148.53,148.92,-1
20130503  11:00:00,148.92,148.98,148.7,148.73,-1
20130503  12:00:00,148.73,148.9,148.68,148.87,-1
20130503  13:00:00,148.87,148.92,148.67,148.67,-1
20130503  14:00:00,148.67,148.76,148.54,148.59,-1
20130503  15:00:00,148.59,148.85,148.48,148.57,-1
20130506  09:30:00,148.54,148.62,148.3,148.36,-1
20130506  10:00:00,148.36,148.66,148.33,148.38,-1
20130506  11:00:00,148.38,148.64,148.32,148.61,-1
20130506  12:00:00,148.61,148.72,148.58,148.64,-1
20130506  13:00:00,148.64,148.76,148.58,148.75,-1
20130506  14:00:00,148.75,148.77,148.64,148.65,-1
20130506  15:00:00,148.65,148.73,148.51,148.58,-1
