date,open,high,low,close,volume
20130422  09:30:00,144.55,144.66,143.95,144.08,-1
20130422  10:00:00,144.08,144.1,143.42,143.77,-1
20130422  11:00:00,143.77,144.0,143.58,143.93,-1
20130422  12:00:00,143.93,144.38,143.92,144.22,-1
20130422  13:00:00,144.22,144.29,144.09,144.13,-1
20130422  14:00:00,144.13,144.74,144.13,144.54,-1
20130422  15:00:00,144.54,144.65,144.4,144.49,-1
20130423  09:30:00,145.31,145.77,145.25,145.63,-1
20130423  10:00:00,145.63,145.94,145.59,145.8,-1
20130423  11:00:00,145.8,146.04,145.79,146.04,-1
20130423  12:00:00,146.04,146.05,145.78,145.86,-1
20130423  13:00:00,145.86,145.87,144.32,145.82,-1
20130423  14:00:00,145.82,145.86,145.52,145.78,-1
20130423  15:00:00,145.78,146.05,145.76,145.99,-1
20130424  09:30:00,146.16,146.38,145.91,146.0,-1
20130424  10:00:00,146.0,146.15,145.7,145.97,-1
20130424  11:00:00,145.97,146.02,145.72,145.81,-1
20130424  12:00:00,145.81,145.9,145.59,145.71,-1
20130424  13:00:00,145.71,145.92,145.7,145.85,-1
20130424  14:00:00,145.85,146.03,145.83,146.02,-1
20130424  15:00:00,146.02,146.03,145.56,145.65,-1
20130425  09:30:00,145.86,145.98,145.53,145.81,-1
20130425  10:00:00,145.81,146.46,145.77,146.41,-1
20130425  11:00:00,146.41,146.47,146.29,146.33,-1
20130425  12:00:00,146.33,146.4,146.21,146.38,-1
20130425  13:00:00,146.38,146.56,146.27,146.5,-1
20130425  14:00:00,146.5,146.58,146.05,146.14,-1
20130425  15:00:00,146.14,146.15,145.7,145.93,-1
20130426  09:30:00,145.69,146.15,145.69,146.15,-1
20130426  10:00:00,146.15,146.26,145.8,145.97,-1
20130426  11:00:00,145.97,146.17,145.75,145.86,-1
20130426  12:00:00,145.86,145.95,145.73,145.93,-1
20130426  13:00:00,145.93,146.15,145.87,146.05,-1
20130426  14:00:00,146.05,146.15,145.95,146.04,-1
20130426  15:00:00,146.04,146.31,146.02,146.05,-1
20130429  09:30:00,146.37,146.44,146.07,146.31,-1
20130429  10:00:00,146.31,146.76,146.25,146.75,-1
20130429  11:00:00,146.75,146.77,146.6,146.7,-1
20130429  12:00:00,146.7,147.07,146.68,146.98,-1
20130429  13:00:00,146.98,147.24,146.95,147.23,-1
20130429  14:00:00,147.23,147.31,147.16,147.19,-1
20130429  15:00:00,147.19,147.21,146.86,147.02,-1
20130430  09:30:00,147.0,147.01,146.37,146.41,-1
20130430  10:00:00,146.41,146.85,146.21,146.72,-1
20130430  11:00:00,146.72,147.06,146.69,146.99,-1
20130430  12:00:00,146.99,147.18,146.82,147.15,-1
20130430  13:00:00,147.15,147.25,147.02,147.24,-1
20130430  14:00:00,147.24,147.25,146.93,147.19,-1
20130430  15:00:00,147.19,147.27,146.98,147.23,-1
20130501  09:30:00,146.73,146.92,146.62,146.77,-1
20130501  10:00:00,146.77,146.98,146.48,146.79,-1
20130501  11:00:00,146.79,146.84,146.58,146.72,-1
20130501  12:00:00,146.72,146.74,146.42,146.43,-1
20130501  13:00:00,146.43,146.45,146.01,146.18,-1
20130501  14:00:00,146.18,146.56,146.15,146.43,-1
20130501  15:00:00,146.43,146.44,145.75,145.91,-1
20130502  09:30:00,146.28,146.5,146.07,146.27,-1
20130502  10:00:00,146.27,146.68,146.22,146.59,-1
20130502  11:00:00,146.59,147.15,146.57,147.1,-1
20130502  12:00:00,147.1,147.15,146.89,147.03,-1
20130502  13:00:00,147.03,147.16,146.97,147.15,-1
20130502  14:00:00,147.15,147.22,147.0,147.17,-1
20130502  15:00:00,147.17,147.2,147.02,147.13,-1
20130503  09:30:00,148.4,148.78,148.36,148.62,-1
20130503  10:00:00,148.62,148.98,148.52,148.91,-1
20130503  11:00:00,148.91,148.97,148.69,148.72,-1
20130503  12:00:00,148.72,148.89,148.67,148.86,-1
20130503  13:00:00,148.86,148.91,148.66,148.66,-1
20130503  14:00:00,148.66,148.75,148.53,148.58,-1
20130503  15:00:00,148.58,148.84,148.47,148.56,-1
20130506  09:30:00,148.52,148.6,148.29,148.35,-1
20130506  10:00:00,148.35,148.65,148.32,148.37,-1
20130506  11:00:00,148.37,148.63,148.31,148.6,-1
20130506  12:00:00,148.6,148.71,148.57,148.63,-1
20130506  13:00:00,148.63,148.75,148.57,148.74,-1
20130506  14:00:00,148.74,148.76,148.63,148.64,-1
20130506  15:00:00,148.64,148.72,148.5,148.57,-1
20130507  09:30:00,148.91,149.05,148.77,149.05,-1
20130507  10:00:00,149.05,149.13,148.59,148.94,-1
20130507  11:00:00,148.94,149.09,148.84,148.93,-1
20130507  12:00:00,148.93,149.25,148.92,149.23,-1
20130507  13:00:00,149.23,149.38,149.18,149.31,-1
20130507  14:00:00,149.31,149.38,149.22,149.38,-1
20130507  15:00:00,149.38,149.42,149.31,149.37,-1
20130508  09:30:00,149.31,149.48,149.25,149.47,-1
20130508  10:00:00,149.47,149.65,149.42,149.56,-1
20130508  11:00:00,149.56,149.75,149.55,149.72,-1
20130508  12:00:00,149.72,149.77,149.64,149.68,-1
20130508  13:00:00,149.68,149.83,149.68,149.73,-1
20130508  14:00:00,149.73,149.87,149.6,149.73,-1
20130508  15:00:00,149.73,150.09,149.7,150.06,-1
20130509  09:30:00,150.05,150.33,149.95,150.2,-1
20130509  10:00:00,150.2,150.22,149.81,149.89,-1
20130509  11:00:00,149.89,150.16,149.86,150.07,-1
20130509  12:00:00,150.07,150.31,149.98,150.31,-1
20130509  13:00:00,150.31,150.52,150.28,150.42,-1
20130509  14:00:00,150.42,150.44,149.75,149.75,-1
20130509  15:00:00,149.75,150.1,149.54,149.94,-1
20130510  09:30:00,150.05,150.19,149.7,150.09,-1
20130510  10:00:00,150.09,150.25,149.57,149.82,-1
20130510  11:00:00,149.82,150.04,149.53,149.54,-1
20130510  12:00:00,149.54,149.76,149.43,149.66,-1
20130510  13:00:00,149.66,149.89,149.65,149.74,-1
20130510  14:00:00,149.74,149.91,149.74,149.8,-1
20130510  15:00:00,149.8,150.22,149.78,150.18,-1
20130513  09:30:00,149.9,150.03,149.63,149.71,-1
20130513  10:00:00,149.71,150.06,149.65,149.94,-1
20130513  11:00:00,149.94,150.08,149.74,150.05,-1
20130513  12:00:00,150.05,150.15,149.96,149.99,-1
20130513  13:00:00,149.99,150.03,149.75,149.81,-1
20130513  14:00:00,149.81,150.05,149.75,150.04,-1
20130513  15:00:00,150.04,150.09,149.78,150.0,-1
20130514  09:30:00,150.02,150.45,150.0,150.42,-1
20130514  10:00:00,150.42,150.94,150.38,150.92,-1
20130514  11:00:00,150.92,150.95,150.74,150.87,-1
20130514  12:00:00,150.87,151.04,150.81,150.89,-1
20130514  13:00:00,150.89,151.04,150.79,150.83,-1
20130514  14:00:00,150.83,151.04,150.78,150.82,-1
20130514  15:00:00,150.82,151.31,150.79,151.25,-1
20130515  09:30:00,151.01,151.29,151.01,151.22,-1
20130515  10:00:00,151.22,151.41,151.16,151.38,-1
20130515  11:00:00,151.38,151.84,151.37,151.84,-1
20130515  12:00:00,151.84,152.24,151.79,152.09,-1
20130515  13:00:00,152.09,152.1,151.64,151.64,-1
20130515  14:00:00,151.64,151.72,151.39,151.54,-1
20130515  15:00:00,151.54,152.01,151.41,151.94,-1
20130516  09:30:00,151.74,152.15,151.73,152.04,-1
20130516  10:00:00,152.04,152.05,151.55,151.9,-1
20130516  11:00:00,151.9,152.25,151.9,152.07,-1
20130516  12:00:00,152.07,152.12,151.95,152.1,-1
20130516  13:00:00,152.1,152.12,152.0,152.02,-1
20130516  14:00:00,152.02,152.2,151.79,151.79,-1
20130516  15:00:00,151.79,151.9,151.38,151.55,-1
20130517  09:30:00,152.42,152.56,152.2,152.54,-1
20130517  10:00:00,152.54,152.72,152.45,152.51,-1
20130517  11:00:00,152.51,152.68,152.36,152.59,-1
20130517  12:00:00,152.59,152.64,152.48,152.51,-1
20130517  13:00:00,152.51,152.58,152.47,152.52,-1
20130517  14:00:00,152.52,153.0,152.5,153.0,-1
20130517  15:00:00,153.0,153.24,152.92,153.15,-1
20130520  09:30:00,153.02,153.15,152.81,152.99,-1
20130520  10:00:00,152.99,153.19,152.96,153.15,-1
20130520  11:00:00,153.15,153.52,153.14,153.46,-1
20130520  12:00:00,153.46,153.56,153.26,153.33,-1
20130520  13:00:00,153.33,153.37,152.89,153.07,-1
20130520  14:00:00,153.07,153.16,152.82,153.04,-1
20130520  15:00:00,153.04,153.16,152.87,153.02,-1
20130521  09:30:00,153.28,153.66,153.26,153.52,-1
20130521  10:00:00,153.52,153.6,152.88,153.02,-1
20130521  11:00:00,153.02,153.42,153.01,153.38,-1
20130521  12:00:00,153.38,153.56,153.38,153.5,-1
20130521  13:00:00,153.5,153.85,153.5,153.71,-1
20130521  14:00:00,153.71,154.0,153.61,153.75,-1
20130521  15:00:00,153.75,153.81,153.47,153.51,-1
20130522  09:30:00,153.66,154.04,153.62,153.99,-1
20130522  10:00:00,153.99,155.14,153.97,154.09,-1
20130522  11:00:00,154.09,154.87,153.99,154.65,-1
20130522  12:00:00,154.65,154.78,154.25,154.59,-1
20130522  13:00:00,154.59,154.6,153.55,153.79,-1
20130522  14:00:00,153.79,154.05,152.85,153.29,-1
20130522  15:00:00,153.29,153.3,152.34,152.79,-1
20130523  09:30:00,151.68,152.1,151.61,151.77,-1
20130523  10:00:00,151.77,152.39,151.54,152.06,-1
20130523  11:00:00,152.06,152.85,152.05,152.77,-1
20130523  12:00:00,152.77,153.08,152.66,152.72,-1
20130523  13:00:00,152.72,152.84,152.33,152.81,-1
20130523  14:00:00,152.81,153.23,152.66,153.02,-1
20130523  15:00:00,153.02,153.15,152.55,152.73,-1
20130524  09:30:00,152.16,152.38,151.93,152.01,-1
20130524  10:00:00,152.01,152.26,151.73,152.25,-1
20130524  11:00:00,152.25,152.47,152.01,152.39,-1
20130524  12:00:00,152.39,152.48,152.18,152.34,-1
20130524  13:00:00,152.34,152.72,152.32,152.64,-1
20130524  14:00:00,152.64,152.81,152.53,152.69,-1
20130524  15:00:00,152.69,152.81,152.44,152.79,-1
20130528  09:30:00,154.08,154.6,154.08,154.6,-1
20130528  10:00:00,154.6,154.97,154.55,154.73,-1
20130528  11:00:00,154.73,154.75,154.22,154.23,-1
20130528  12:00:00,154.23,154.4,154.17,154.31,-1
20130528  13:00:00,154.31,154.47,153.65,153.71,-1
20130528  14:00:00,153.71,153.96,153.47,153.85,-1
20130528  15:00:00,153.85,154.12,153.68,153.82,-1
20130529  09:30:00,153.0,153.16,152.67,152.91,-1
20130529  10:00:00,152.91,153.25,152.12,152.16,-1
