date,open,high,low,close,volume
20130422  09:30:00,92.83,92.85,92.72,92.8,-1
20130422  10:00:00,92.8,92.82,92.64,92.8,-1
20130422  11:00:00,92.8,92.84,92.79,92.83,-1
20130422  12:00:00,92.83,92.9,92.83,92.88,-1
20130422  13:00:00,92.88,92.9,92.88,92.88,-1
20130422  14:00:00,92.88,92.95,92.87,92.92,-1
20130422  15:00:00,92.92,92.99,92.79,92.79,-1
20130423  09:30:00,93.01,93.01,92.93,92.96,-1
20130423  10:00:00,92.96,93.07,92.95,93.04,-1
20130423  11:00:00,93.04,93.11,93.03,93.11,-1
20130423  12:00:00,93.11,93.12,93.08,93.11,-1
20130423  13:00:00,93.11,93.13,92.89,93.12,-1
20130423  14:00:00,93.12,93.12,93.07,93.12,-1
20130423  15:00:00,93.12,93.15,93.1,93.11,-1
20130424  09:30:00,93.16,93.24,93.14,93.18,-1
20130424  10:00:00,93.18,93.22,93.12,93.12,-1
20130424  11:00:00,93.12,93.17,93.12,93.16,-1
20130424  12:00:00,93.16,93.23,93.16,93.21,-1
20130424  13:00:00,93.21,93.28,93.19,93.26,-1
20130424  14:00:00,93.26,93.34,93.25,93.34,-1
20130424  15:00:00,93.34,93.35,93.29,93.31,-1
20130425  09:30:00,93.32,93.47,93.32,93.47,-1
20130425  10:00:00,93.47,93.56,93.47,93.53,-1
20130425  11:00:00,93.53,93.55,93.51,93.52,-1
20130425  12:00:00,93.52,93.57,93.49,93.54,-1
20130425  13:00:00,93.54,93.57,93.53,93.57,-1
20130425  14:00:00,93.57,93.6,93.52,93.53,-1
20130425  15:00:00,93.53,93.54,93.44,93.47,-1
20130426  09:30:00,93.66,93.66,93.5,93.53,-1
20130426  10:00:00,93.53,93.55,93.48,93.53,-1
20130426  11:00:00,93.53,93.56,93.47,93.5,-1
20130426  12:00:00,93.5,93.52,93.45,93.47,-1
20130426  13:00:00,93.47,93.53,93.45,93.45,-1
20130426  14:00:00,93.45,93.5,93.43,93.49,-1
20130426  15:00:00,93.49,93.57,93.45,93.51,-1
20130429  09:30:00,93.59,93.59,93.49,93.57,-1
20130429  10:00:00,93.57,93.67,93.57,93.67,-1
20130429  11:00:00,93.67,93.67,93.61,93.63,-1
20130429  12:00:00,93.63,93.66,93.62,93.62,-1
20130429  13:00:00,93.62,93.66,93.61,93.65,-1
20130429  14:00:00,93.65,93.67,93.63,93.66,-1
20130429  15:00:00,93.66,93.68,93.63,93.64,-1
20130430  09:30:00,93.9,93.9,93.69,93.7,-1
20130430  10:00:00,93.7,93.71,93.65,93.7,-1
20130430  11:00:00,93.7,93.73,93.69,93.73,-1
20130430  12:00:00,93.73,93.77,93.7,93.74,-1
20130430  13:00:00,93.74,93.85,93.74,93.83,-1
20130430  14:00:00,93.83,93.91,93.83,93.9,-1
20130430  15:00:00,93.9,93.93,93.84,93.93,-1
20130501  09:30:00,94.45,94.45,94.3,94.34,-1
20130501  10:00:00,94.34,94.48,94.28,94.46,-1
20130501  11:00:00,94.46,94.57,94.33,94.36,-1
20130501  12:00:00,94.36,94.38,94.34,94.34,-1
20130501  13:00:00,94.34,94.37,94.27,94.37,-1
20130501  14:00:00,94.37,94.43,94.35,94.42,-1
20130501  15:00:00,94.42,94.43,94.22,94.24,-1
20130502  09:30:00,94.52,94.52,94.39,94.45,-1
20130502  10:00:00,94.45,94.57,94.45,94.49,-1
20130502  11:00:00,94.49,94.66,94.49,94.59,-1
20130502  12:00:00,94.59,94.71,94.55,94.71,-1
20130502  13:00:00,94.71,94.75,94.67,94.72,-1
20130502  14:00:00,94.72,94.74,94.65,94.69,-1
20130502  15:00:00,94.69,94.83,94.68,94.83,-1
20130503  09:30:00,95.01,95.16,94.99,95.11,-1
20130503  10:00:00,95.11,95.12,95.0,95.01,-1
20130503  11:00:00,95.01,95.05,95.01,95.02,-1
20130503  12:00:00,95.02,95.06,95.02,95.05,-1
20130503  13:00:00,95.05,95.07,94.96,94.96,-1
20130503  14:00:00,94.96,94.99,94.89,94.94,-1
20130503  15:00:00,94.94,95.01,94.88,94.94,-1
20130506  09:30:00,95.03,95.03,94.96,95.0,-1
20130506  10:00:00,95.0,95.0,94.95,94.97,-1
20130506  11:00:00,94.97,94.99,94.93,94.94,-1
20130506  12:00:00,94.94,94.94,94.92,94.94,-1
20130506  13:00:00,94.94,94.94,94.9,94.94,-1
20130506  14:00:00,94.94,94.97,94.92,94.96,-1
20130506  15:00:00,94.96,95.07,94.96,95.06,-1
20130507  09:30:00,95.15,95.17,95.03,95.13,-1
20130507  10:00:00,95.13,95.16,95.0,95.02,-1
20130507  11:00:00,95.02,95.05,94.97,95.01,-1
20130507  12:00:00,95.01,95.01,94.98,94.99,-1
20130507  13:00:00,94.99,95.06,94.98,95.03,-1
20130507  14:00:00,95.03,95.05,95.02,95.03,-1
20130507  15:00:00,95.03,95.06,94.94,94.96,-1
20130508  09:30:00,95.1,95.11,95.05,95.07,-1
20130508  10:00:00,95.07,95.14,95.06,95.08,-1
20130508  11:00:00,95.08,95.14,95.07,95.14,-1
20130508  12:00:00,95.14,95.25,95.14,95.22,-1
20130508  13:00:00,95.22,95.26,95.21,95.23,-1
20130508  14:00:00,95.23,95.25,95.14,95.23,-1
20130508  15:00:00,95.23,95.31,95.2,95.3,-1
20130509  09:30:00,95.26,95.3,95.19,95.19,-1
20130509  10:00:00,95.19,95.23,95.12,95.18,-1
20130509  11:00:00,95.18,95.21,95.18,95.21,-1
20130509  12:00:00,95.21,95.21,95.17,95.21,-1
20130509  13:00:00,95.21,95.3,95.21,95.25,-1
20130509  14:00:00,95.25,95.29,95.15,95.16,-1
20130509  15:00:00,95.16,95.21,95.02,95.06,-1
20130510  09:30:00,95.14,95.14,94.9,94.91,-1
20130510  10:00:00,94.91,94.93,94.68,94.69,-1
20130510  11:00:00,94.69,94.69,94.54,94.55,-1
20130510  12:00:00,94.55,94.57,94.53,94.53,-1
20130510  13:00:00,94.53,94.58,94.51,94.51,-1
20130510  14:00:00,94.51,94.55,94.51,94.51,-1
20130510  15:00:00,94.51,94.56,94.49,94.54,-1
20130513  09:30:00,94.55,94.55,94.32,94.32,-1
20130513  10:00:00,94.32,94.32,94.2,94.21,-1
20130513  11:00:00,94.21,94.26,94.19,94.22,-1
20130513  12:00:00,94.22,94.31,94.22,94.28,-1
20130513  13:00:00,94.28,94.29,94.24,94.24,-1
20130513  14:00:00,94.24,94.24,94.2,94.21,-1
20130513  15:00:00,94.21,94.22,94.14,94.15,-1
20130514  09:30:00,94.39,94.41,94.21,94.41,-1
20130514  10:00:00,94.41,94.48,94.4,94.41,-1
20130514  11:00:00,94.41,94.41,94.39,94.39,-1
20130514  12:00:00,94.39,94.4,94.26,94.26,-1
20130514  13:00:00,94.26,94.31,94.23,94.23,-1
20130514  14:00:00,94.23,94.23,94.15,94.15,-1
20130514  15:00:00,94.15,94.3,94.14,94.21,-1
20130515  09:30:00,94.23,94.23,94.12,94.17,-1
20130515  10:00:00,94.17,94.22,94.16,94.21,-1
20130515  11:00:00,94.21,94.33,94.2,94.27,-1
20130515  12:00:00,94.27,94.36,94.26,94.34,-1
20130515  13:00:00,94.34,94.34,94.25,94.25,-1
20130515  14:00:00,94.25,94.25,94.17,94.17,-1
20130515  15:00:00,94.17,94.3,94.17,94.27,-1
20130516  09:30:00,94.31,94.32,94.23,94.3,-1
20130516  10:00:00,94.3,94.3,94.21,94.24,-1
20130516  11:00:00,94.24,94.47,94.2,94.47,-1
20130516  12:00:00,94.47,94.55,94.43,94.55,-1
20130516  13:00:00,94.55,94.62,94.54,94.6,-1
20130516  14:00:00,94.6,94.65,94.56,94.56,-1
20130516  15:00:00,94.56,94.58,94.42,94.47,-1
20130517  09:30:00,94.61,94.65,94.55,94.57,-1
20130517  10:00:00,94.57,94.57,94.51,94.52,-1
20130517  11:00:00,94.52,94.53,94.38,94.48,-1
20130517  12:00:00,94.48,94.53,94.37,94.41,-1
20130517  13:00:00,94.41,94.44,94.37,94.41,-1
20130517  14:00:00,94.41,94.54,94.41,94.52,-1
20130517  15:00:00,94.52,94.57,94.47,94.48,-1
20130520  09:30:00,94.57,94.6,94.52,94.59,-1
20130520  10:00:00,94.59,94.65,94.59,94.64,-1
20130520  11:00:00,94.64,94.65,94.61,94.61,-1
20130520  12:00:00,94.61,94.61,94.55,94.59,-1
20130520  13:00:00,94.59,94.59,94.48,94.49,-1
20130520  14:00:00,94.49,94.49,94.39,94.42,-1
20130520  15:00:00,94.42,94.58,94.42,94.58,-1
20130521  09:30:00,94.6,94.71,94.57,94.61,-1
20130521  10:00:00,94.61,94.69,94.56,94.6,-1
20130521  11:00:00,94.6,94.77,94.6,94.75,-1
20130521  12:00:00,94.75,94.79,94.66,94.68,-1
20130521  13:00:00,94.68,94.73,94.64,94.65,-1
20130521  14:00:00,94.65,94.75,94.65,94.73,-1
20130521  15:00:00,94.73,94.78,94.73,94.74,-1
20130522  09:30:00,94.74,94.78,94.7,94.74,-1
20130522  10:00:00,94.74,94.89,94.65,94.66,-1
20130522  11:00:00,94.66,94.76,94.61,94.62,-1
20130522  12:00:00,94.62,94.63,94.47,94.55,-1
20130522  13:00:00,94.55,94.56,94.4,94.43,-1
20130522  14:00:00,94.43,94.48,94.26,94.36,-1
20130522  15:00:00,94.36,94.38,94.12,94.19,-1
20130523  09:30:00,93.97,94.05,93.72,93.81,-1
20130523  10:00:00,93.81,94.05,93.77,93.98,-1
20130523  11:00:00,93.98,94.01,93.85,93.86,-1
20130523  12:00:00,93.86,94.02,93.86,93.93,-1
20130523  13:00:00,93.93,93.93,93.83,93.87,-1
20130523  14:00:00,93.87,93.94,93.85,93.89,-1
20130523  15:00:00,93.89,93.96,93.84,93.91,-1
20130524  09:30:00,93.81,93.81,93.7,93.74,-1
20130524  10:00:00,93.74,93.78,93.72,93.77,-1
20130524  11:00:00,93.77,93.8,93.74,93.78,-1
20130524  12:00:00,93.78,93.78,93.74,93.76,-1
20130524  13:00:00,93.76,93.78,93.71,93.74,-1
20130524  14:00:00,93.74,93.76,93.71,93.74,-1
20130524  15:00:00,93.74,93.79,93.7,93.73,-1
20130528  09:30:00,94.08,94.08,93.93,94.01,-1
20130528  10:00:00,94.01,94.04,93.77,93.77,-1
20130528  11:00:00,93.77,93.78,93.69,93.7,-1
20130528  12:00:00,93.7,93.71,93.68,93.68,-1
20130528  13:00:00,93.68,93.68,93.57,93.57,-1
20130528  14:00:00,93.57,93.57,93.39,93.39,-1
20130528  15:00:00,93.39,93.45,93.35,93.4,-1
20130529  09:30:00,93.13,93.32,92.96,93.11,-1
20130529  10:00:00,93.11,93.11,92.71,92.77,-1
20130529  11:00:00,92.77,92.84,92.74,92.81,-1
20130529  12:00:00,92.81,92.82,92.69,92.69,-1
20130529  13:00:00,92.69,93.0,92.61,93.0,-1
20130529  14:00:00,93.0,93.0,92.85,92.9,-1
20130529  15:00:00,92.9,93.02,92.85,93.01,-1
20130530  09:30:00,92.95,93.12,92.74,93.08,-1
20130530  10:00:00,93.08,93.22,93.04,93.22,-1
20130530  11:00:00,93.22,93.24,93.17,93.24,-1
20130530  12:00:00,93.24,93.26,93.21,93.26,-1
20130530  13:00:00,93.26,93.39,93.26,93.32,-1
20130530  14:00:00,93.32,93.34,93.23,93.23,-1
20130530  15:00:00,93.23,93.24,93.12,93.22,-1
20130531  09:30:00,93.16,93.18,92.93,92.93,-1
20130531  10:00:00,92.93,92.93,92.77,92.83,-1
20130531  11:00:00,92.83,92.98,92.79,92.85,-1
20130531  12:00:00,92.85,92.85,92.78,92.78,-1
20130531  13:00:00,92.78,92.8,92.67,92.68,-1
20130531  14:00:00,92.68,92.68,92.22,92.23,-1
20130531  15:00:00,92.23,92.43,91.95,91.98,-1
20130603  09:30:00,92.49,92.66,91.96,92.04,-1
20130603  10:00:00,92.04,92.46,91.81,92.05,-1
20130603  11:00:00,92.05,92.42,91.94,92.38,-1
20130603  12:00:00,92.38,92.4,92.17,92.2,-1
20130603  13:00:00,92.2,92.25,92.19,92.21,-1
20130603  14:00:00,92.21,92.43,92.18,92.36,-1
20130603  15:00:00,92.36,92.52,92.3,92.42,-1
20130604  09:30:00,91.59,92.07,91.52,91.92,-1
20130604  10:00:00,91.92,91.95,91.82,91.91,-1
20130604  11:00:00,91.91,91.91,91.76,91.85,-1
20130604  12:00:00,91.85,91.85,91.7,91.71,-1
20130604  13:00:00,91.71,91.71,91.26,91.31,-1
20130604  14:00:00,91.31,91.45,91.23,91.41,-1
20130604  15:00:00,91.41,91.5,91.37,91.4,-1
20130605  09:30:00,91.43,91.43,90.86,91.08,-1
20130605  10:00:00,91.08,91.14,90.85,90.94,-1
20130605  11:00:00,90.94,90.95,90.7,90.8,-1
20130605  12:00:00,90.8,90.92,90.67,90.74,-1
20130605  13:00:00,90.74,90.78,90.58,90.67,-1
20130605  14:00:00,90.67,90.71,90.58,90.62,-1
20130605  15:00:00,90.62,90.69,90.48,90.61,-1
20130606  09:30:00,90.44,90.69,90.36,90.66,-1
20130606  10:00:00,90.66,91.02,90.65,90.78,-1
20130606  11:00:00,90.78,90.83,90.67,90.69,-1
