date,open,high,low,close,volume
20130422  09:30:00,92.64,92.82,92.64,92.78,-1
20130422  10:00:00,92.78,92.81,92.63,92.79,-1
20130422  11:00:00,92.79,92.83,92.78,92.82,-1
20130422  12:00:00,92.82,92.89,92.82,92.87,-1
20130422  13:00:00,92.87,92.89,92.87,92.87,-1
20130422  14:00:00,92.87,92.94,92.86,92.91,-1
20130422  15:00:00,92.91,92.98,92.78,92.78,-1
20130423  09:30:00,92.88,93.0,92.88,92.94,-1
20130423  10:00:00,92.94,93.06,92.94,93.03,-1
20130423  11:00:00,93.03,93.11,93.02,93.1,-1
20130423  12:00:00,93.1,93.11,93.07,93.1,-1
20130423  13:00:00,93.1,93.12,92.88,93.11,-1
20130423  14:00:00,93.11,93.11,93.06,93.11,-1
20130423  15:00:00,93.11,93.14,93.09,93.09,-1
20130424  09:30:00,93.05,93.23,93.05,93.17,-1
20130424  10:00:00,93.17,93.21,93.11,93.11,-1
20130424  11:00:00,93.11,93.16,93.11,93.15,-1
20130424  12:00:00,93.15,93.22,93.15,93.2,-1
20130424  13:00:00,93.2,93.27,93.19,93.25,-1
20130424  14:00:00,93.25,93.33,93.24,93.33,-1
20130424  15:00:00,93.33,93.34,93.28,93.3,-1
20130425  09:30:00,93.24,93.46,93.24,93.46,-1
20130425  10:00:00,93.46,93.55,93.46,93.52,-1
20130425  11:00:00,93.52,93.54,93.5,93.51,-1
20130425  12:00:00,93.51,93.56,93.48,93.53,-1
20130425  13:00:00,93.53,93.57,93.52,93.56,-1
20130425  14:00:00,93.56,93.59,93.51,93.51,-1
20130425  15:00:00,93.51,93.52,93.43,93.46,-1
20130426  09:30:00,93.55,93.56,93.49,93.52,-1
20130426  10:00:00,93.52,93.54,93.46,93.52,-1
20130426  11:00:00,93.52,93.55,93.46,93.49,-1
20130426  12:00:00,93.49,93.51,93.44,93.46,-1
20130426  13:00:00,93.46,93.52,93.44,93.44,-1
20130426  14:00:00,93.44,93.49,93.42,93.48,-1
20130426  15:00:00,93.48,93.56,93.44,93.49,-1
20130429  09:30:00,93.49,93.56,93.47,93.54,-1
20130429  10:00:00,93.54,93.66,93.54,93.66,-1
20130429  11:00:00,93.66,93.66,93.61,93.62,-1
20130429  12:00:00,93.62,93.65,93.61,93.61,-1
20130429  13:00:00,93.61,93.65,93.6,93.63,-1
20130429  14:00:00,93.63,93.66,93.62,93.65,-1
20130429  15:00:00,93.65,93.67,93.62,93.63,-1
20130430  09:30:00,93.78,93.78,93.68,93.69,-1
20130430  10:00:00,93.69,93.7,93.64,93.69,-1
20130430  11:00:00,93.69,93.72,93.68,93.72,-1
20130430  12:00:00,93.72,93.76,93.69,93.73,-1
20130430  13:00:00,93.73,93.84,93.73,93.82,-1
20130430  14:00:00,93.82,93.9,93.82,93.89,-1
20130430  15:00:00,93.89,93.92,93.83,93.92,-1
20130501  09:30:00,94.35,94.4,94.29,94.32,-1
20130501  10:00:00,94.32,94.47,94.27,94.45,-1
20130501  11:00:00,94.45,94.56,94.32,94.34,-1
20130501  12:00:00,94.34,94.37,94.33,94.33,-1
20130501  13:00:00,94.33,94.36,94.26,94.36,-1
20130501  14:00:00,94.36,94.42,94.34,94.41,-1
20130501  15:00:00,94.41,94.42,94.2,94.22,-1
20130502  09:30:00,94.51,94.51,94.38,94.44,-1
20130502  10:00:00,94.44,94.55,94.44,94.48,-1
20130502  11:00:00,94.48,94.65,94.48,94.58,-1
20130502  12:00:00,94.58,94.7,94.54,94.7,-1
20130502  13:00:00,94.7,94.74,94.66,94.71,-1
20130502  14:00:00,94.71,94.73,94.64,94.68,-1
20130502  15:00:00,94.68,94.82,94.67,94.82,-1
20130503  09:30:00,94.97,95.14,94.97,95.09,-1
20130503  10:00:00,95.09,95.1,94.99,95.0,-1
20130503  11:00:00,95.0,95.04,95.0,95.01,-1
20130503  12:00:00,95.01,95.05,95.01,95.04,-1
20130503  13:00:00,95.04,95.06,94.95,94.95,-1
20130503  14:00:00,94.95,94.98,94.88,94.93,-1
20130503  15:00:00,94.93,95.0,94.87,94.93,-1
20130506  09:30:00,94.83,95.0,94.83,94.99,-1
20130506  10:00:00,94.99,94.99,94.94,94.96,-1
20130506  11:00:00,94.96,94.97,94.92,94.93,-1
20130506  12:00:00,94.93,94.93,94.92,94.93,-1
20130506  13:00:00,94.93,94.93,94.89,94.93,-1
20130506  14:00:00,94.93,94.95,94.91,94.94,-1
20130506  15:00:00,94.94,95.06,94.94,95.05,-1
20130507  09:30:00,95.03,95.15,94.97,95.12,-1
20130507  10:00:00,95.12,95.15,94.99,95.01,-1
20130507  11:00:00,95.01,95.04,94.96,95.0,-1
20130507  12:00:00,95.0,95.0,94.97,94.98,-1
20130507  13:00:00,94.98,95.05,94.97,95.02,-1
20130507  14:00:00,95.02,95.04,95.01,95.02,-1
20130507  15:00:00,95.02,95.05,94.93,94.95,-1
20130508  09:30:00,95.02,95.09,95.02,95.06,-1
20130508  10:00:00,95.06,95.13,95.05,95.07,-1
20130508  11:00:00,95.07,95.13,95.06,95.13,-1
20130508  12:00:00,95.13,95.24,95.13,95.21,-1
20130508  13:00:00,95.21,95.25,95.2,95.22,-1
20130508  14:00:00,95.22,95.24,95.13,95.22,-1
20130508  15:00:00,95.22,95.3,95.19,95.28,-1
20130509  09:30:00,95.12,95.29,95.12,95.18,-1
20130509  10:00:00,95.18,95.21,95.11,95.17,-1
20130509  11:00:00,95.17,95.2,95.17,95.2,-1
20130509  12:00:00,95.2,95.21,95.16,95.2,-1
20130509  13:00:00,95.2,95.29,95.2,95.24,-1
20130509  14:00:00,95.24,95.28,95.14,95.15,-1
20130509  15:00:00,95.15,95.2,95.01,95.05,-1
20130510  09:30:00,95.04,95.06,94.89,94.89,-1
20130510  10:00:00,94.89,94.92,94.67,94.68,-1
20130510  11:00:00,94.68,94.68,94.53,94.54,-1
20130510  12:00:00,94.54,94.56,94.52,94.52,-1
20130510  13:00:00,94.52,94.57,94.5,94.5,-1
20130510  14:00:00,94.5,94.54,94.5,94.5,-1
20130510  15:00:00,94.5,94.55,94.48,94.53,-1
20130513  09:30:00,94.42,94.5,94.31,94.31,-1
20130513  10:00:00,94.31,94.31,94.19,94.2,-1
20130513  11:00:00,94.2,94.25,94.18,94.21,-1
20130513  12:00:00,94.21,94.3,94.21,94.27,-1
20130513  13:00:00,94.27,94.28,94.23,94.23,-1
20130513  14:00:00,94.23,94.23,94.19,94.2,-1
20130513  15:00:00,94.2,94.21,94.13,94.14,-1
20130514  09:30:00,94.25,94.4,94.2,94.39,-1
20130514  10:00:00,94.39,94.47,94.39,94.4,-1
20130514  11:00:00,94.4,94.4,94.37,94.38,-1
20130514  12:00:00,94.38,94.39,94.25,94.25,-1
20130514  13:00:00,94.25,94.3,94.22,94.22,-1
20130514  14:00:00,94.22,94.22,94.14,94.14,-1
20130514  15:00:00,94.14,94.29,94.13,94.19,-1
20130515  09:30:00,94.12,94.19,94.11,94.16,-1
20130515  10:00:00,94.16,94.2,94.15,94.2,-1
20130515  11:00:00,94.2,94.32,94.19,94.26,-1
20130515  12:00:00,94.26,94.35,94.25,94.32,-1
20130515  13:00:00,94.32,94.33,94.24,94.24,-1
20130515  14:00:00,94.24,94.24,94.16,94.16,-1
20130515  15:00:00,94.16,94.29,94.16,94.26,-1
20130516  09:30:00,94.25,94.31,94.22,94.29,-1
20130516  10:00:00,94.29,94.29,94.2,94.23,-1
20130516  11:00:00,94.23,94.46,94.19,94.46,-1
20130516  12:00:00,94.46,94.54,94.41,94.54,-1
20130516  13:00:00,94.54,94.61,94.53,94.59,-1
20130516  14:00:00,94.59,94.64,94.56,94.56,-1
20130516  15:00:00,94.56,94.57,94.41,94.46,-1
20130517  09:30:00,94.52,94.63,94.52,94.56,-1
20130517  10:00:00,94.56,94.56,94.5,94.51,-1
20130517  11:00:00,94.51,94.52,94.37,94.47,-1
20130517  12:00:00,94.47,94.52,94.36,94.4,-1
20130517  13:00:00,94.4,94.43,94.36,94.4,-1
20130517  14:00:00,94.4,94.53,94.4,94.51,-1
20130517  15:00:00,94.51,94.56,94.46,94.47,-1
20130520  09:30:00,94.38,94.59,94.38,94.58,-1
20130520  10:00:00,94.58,94.64,94.58,94.63,-1
20130520  11:00:00,94.63,94.64,94.6,94.6,-1
20130520  12:00:00,94.6,94.6,94.54,94.58,-1
20130520  13:00:00,94.58,94.58,94.47,94.48,-1
20130520  14:00:00,94.48,94.48,94.38,94.41,-1
20130520  15:00:00,94.41,94.57,94.41,94.57,-1
20130521  09:30:00,94.53,94.7,94.53,94.6,-1
20130521  10:00:00,94.6,94.68,94.55,94.59,-1
20130521  11:00:00,94.59,94.76,94.59,94.74,-1
20130521  12:00:00,94.74,94.78,94.65,94.66,-1
20130521  13:00:00,94.66,94.71,94.63,94.64,-1
20130521  14:00:00,94.64,94.73,94.64,94.72,-1
20130521  15:00:00,94.72,94.77,94.72,94.73,-1
20130522  09:30:00,94.69,94.76,94.69,94.73,-1
20130522  10:00:00,94.73,94.88,94.64,94.65,-1
20130522  11:00:00,94.65,94.75,94.6,94.61,-1
20130522  12:00:00,94.61,94.62,94.46,94.54,-1
20130522  13:00:00,94.54,94.55,94.39,94.41,-1
20130522  14:00:00,94.41,94.47,94.25,94.35,-1
20130522  15:00:00,94.35,94.37,94.12,94.17,-1
20130523  09:30:00,93.77,94.02,93.71,93.8,-1
20130523  10:00:00,93.8,94.04,93.75,93.97,-1
20130523  11:00:00,93.97,94.0,93.84,93.85,-1
20130523  12:00:00,93.85,94.01,93.84,93.92,-1
20130523  13:00:00,93.92,93.92,93.82,93.86,-1
20130523  14:00:00,93.86,93.93,93.84,93.88,-1
20130523  15:00:00,93.88,93.96,93.83,93.9,-1
20130524  09:30:00,93.73,93.74,93.69,93.73,-1
20130524  10:00:00,93.73,93.77,93.71,93.76,-1
20130524  11:00:00,93.76,93.79,93.73,93.76,-1
20130524  12:00:00,93.76,93.77,93.73,93.75,-1
20130524  13:00:00,93.75,93.77,93.7,93.73,-1
20130524  14:00:00,93.73,93.75,93.7,93.73,-1
20130524  15:00:00,93.73,93.78,93.69,93.72,-1
20130528  09:30:00,93.86,94.0,93.86,94.0,-1
20130528  10:00:00,94.0,94.03,93.76,93.76,-1
20130528  11:00:00,93.76,93.77,93.68,93.69,-1
20130528  12:00:00,93.69,93.7,93.67,93.67,-1
20130528  13:00:00,93.67,93.67,93.56,93.56,-1
20130528  14:00:00,93.56,93.56,93.38,93.38,-1
20130528  15:00:00,93.38,93.44,93.34,93.37,-1
20130529  09:30:00,93.06,93.29,92.94,93.1,-1
20130529  10:00:00,93.1,93.1,92.7,92.76,-1
20130529  11:00:00,92.76,92.83,92.73,92.8,-1
20130529  12:00:00,92.8,92.81,92.68,92.68,-1
20130529  13:00:00,92.68,92.99,92.6,92.99,-1
20130529  14:00:00,92.99,92.99,92.84,92.89,-1
20130529  15:00:00,92.89,93.01,92.84,93.0,-1
20130530  09:30:00,92.74,93.11,92.72,93.07,-1
20130530  10:00:00,93.07,93.21,93.03,93.21,-1
20130530  11:00:00,93.21,93.23,93.16,93.23,-1
20130530  12:00:00,93.23,93.25,93.2,93.25,-1
20130530  13:00:00,93.25,93.38,93.25,93.31,-1
20130530  14:00:00,93.31,93.33,93.22,93.22,-1
20130530  15:00:00,93.22,93.23,93.11,93.21,-1
20130531  09:30:00,92.96,93.12,92.92,92.92,-1
20130531  10:00:00,92.92,92.92,92.76,92.82,-1
20130531  11:00:00,92.82,92.97,92.78,92.84,-1
20130531  12:00:00,92.84,92.84,92.77,92.77,-1
20130531  13:00:00,92.77,92.79,92.66,92.67,-1
20130531  14:00:00,92.67,92.67,92.22,92.22,-1
20130531  15:00:00,92.22,92.42,91.94,91.97,-1
20130603  09:30:00,92.38,92.46,91.95,92.02,-1
20130603  10:00:00,92.02,92.45,91.8,92.04,-1
20130603  11:00:00,92.04,92.41,91.94,92.37,-1
20130603  12:00:00,92.37,92.39,92.16,92.19,-1
20130603  13:00:00,92.19,92.24,92.18,92.2,-1
20130603  14:00:00,92.2,92.42,92.17,92.35,-1
20130603  15:00:00,92.35,92.51,92.3,92.4,-1
20130604  09:30:00,91.5,92.06,91.5,91.91,-1
20130604  10:00:00,91.91,91.94,91.81,91.9,-1
20130604  11:00:00,91.9,91.9,91.75,91.84,-1
20130604  12:00:00,91.84,91.84,91.69,91.7,-1
20130604  13:00:00,91.7,91.7,91.25,91.3,-1
20130604  14:00:00,91.3,91.44,91.22,91.4,-1
20130604  15:00:00,91.4,91.49,91.36,91.38,-1
20130605  09:30:00,91.23,91.25,90.85,91.07,-1
20130605  10:00:00,91.07,91.13,90.84,90.93,-1
20130605  11:00:00,90.93,90.94,90.69,90.79,-1
20130605  12:00:00,90.79,90.91,90.66,90.73,-1
20130605  13:00:00,90.73,90.77,90.57,90.65,-1
20130605  14:00:00,90.65,90.7,90.57,90.61,-1
20130605  15:00:00,90.61,90.68,90.48,90.6,-1
20130606  09:30:00,90.44,90.68,90.35,90.65,-1
20130606  10:00:00,90.65,91.01,90.64,90.77,-1
20130606  11:00:00,90.77,90.82,90.66,90.68,-1
20130606  12:00:00,90.68,90.68,90.47,90.47,-1
20130606  13:00:00,90.47,90.93,90.47,90.81,-1
20130606  14:00:00,90.81,91.01,90.68,91.01,-1
20130606  15:00:00,91.01,91.6,91.0,91.32,-1
20130607  09:30:00,91.46,91.65,91.46,91.65,-1
20130607  10:00:00,91.65,91.98,91.64,91.77,-1
20130607  11:00:00,91.77,91.9,91.74,91.74,-1
20130607  12:00:00,91.74,91.74,91.56,91.65,-1
20130607  13:00:00,91.65,91.77,91.48,91.5,-1
20130607  14:00:00,91.5,91.54,91.4,91.44,-1
20130607  15:00:00,91.44,91.45,91.23,91.35,-1
20130610  09:30:00,91.38,91.46,91.33,91.35,-1
20130610  10:00:00,91.35,91.6,91.29,91.49,-1
20130610  11:00:00,91.49,91.5,91.32,91.41,-1
20130610  12:00:00,91.41,91.54,91.39,91.39,-1
20130610  13:00:00,91.39,91.39,91.31,91.37,-1
20130610  14:00:00,91.37,91.4,91.22,91.25,-1
20130610  15:00:00,91.25,91.25,91.11,91.18,-1
20130611  09:30:00,90.56,90.65,90.32,90.57,-1
20130611  10:00:00,90.57,90.83,90.45,90.82,-1
20130611  11:00:00,90.82,91.26,90.78,91.17,-1
20130611  12:00:00,91.17,91.23,90.96,90.98,-1
20130611  13:00:00,90.98,90.98,90.63,90.63,-1
20130611  14:00:00,90.63,90.82,90.56,90.74,-1
20130611  15:00:00,90.74,90.76,90.53,90.66,-1
20130612  09:30:00,90.95,91.14,90.87,90.93,-1
20130612  10:00:00,90.93,90.96,90.73,90.83,-1
20130612  11:00:00,90.83,90.91,90.78,90.8,-1
20130612  12:00:00,90.8,90.92,90.79,90.91,-1
20130612  13:00:00,90.91,90.99,90.83,90.94,-1
20130612  14:00:00,90.94,90.94,90.74,90.75,-1
20130612  15:00:00,90.75,90.82,90.66,90.71,-1
20130613  09:30:00,90.7,91.01,90.68,90.87,-1
20130613  10:00:00,90.87,91.26,90.86,91.19,-1
20130613  11:00:00,91.19,91.2,91.04,91.16,-1
20130613  12:00:00,91.16,91.36,91.13,91.3,-1
20130613  13:00:00,91.3,91.34,91.22,91.24,-1
20130613  14:00:00,91.24,91.49,91.24,91.45,-1
20130613  15:00:00,91.45,91.83,91.45,91.76,-1
20130614  09:30:00,91.8,91.93,91.75,91.8,-1
20130614  10:00:00,91.8,91.93,91.69,91.74,-1
20130614  11:00:00,91.74,91.83,91.72,91.81,-1
20130614  12:00:00,91.81,91.82,91.74,91.75,-1
20130614  13:00:00,91.75,91.76,91.57,91.61,-1
20130614  14:00:00,91.61,91.88,91.61,91.71,-1
20130614  15:00:00,91.71,91.95,91.69,91.8,-1
20130617  09:30:00,91.93,92.22,91.93,92.21,-1
20130617  10:00:00,92.21,92.22,92.03,92.22,-1
20130617  11:00:00,92.22,92.36,92.21,92.36,-1
20130617  12:00:00,92.36,92.36,92.3,92.34,-1
20130617  13:00:00,92.34,92.34,92.29,92.32,-1
20130617  14:00:00,92.32,92.32,91.91,92.0,-1
20130617  15:00:00,92.0,92.15,91.86,91.86,-1
20130618  09:30:00,91.78,92.01,91.78,91.95,-1
20130618  10:00:00,91.95,91.97,91.84,91.96,-1
20130618  11:00:00,91.96,92.0,91.87,91.96,-1
20130618  12:00:00,91.96,91.98,91.91,91.94,-1
20130618  13:00:00,91.94,91.97,91.88,91.88,-1
20130618  14:00:00,91.88,91.94,91.84,91.92,-1
20130618  15:00:00,91.92,92.12,91.89,92.03,-1
20130619  09:30:00,91.96,92.27,91.96,92.11,-1
20130619  10:00:00,92.11,92.16,92.06,92.14,-1
20130619  11:00:00,92.14,92.19,92.12,92.19,-1
20130619  12:00:00,92.19,92.2,92.17,92.17,-1
20130619  13:00:00,92.17,92.25,92.09,92.25,-1
20130619  14:00:00,92.25,92.25,91.29,91.29,-1
20130619  15:00:00,91.29,91.29,90.65,90.68,-1
20130620  09:30:00,90.03,90.06,89.33,89.85,-1
20130620  10:00:00,89.85,90.39,89.67,90.05,-1
20130620  11:00:00,90.05,90.59,89.93,90.57,-1
20130620  12:00:00,90.57,90.59,90.18,90.19,-1
20130620  13:00:00,90.19,90.26,90.09,90.24,-1
20130620  14:00:00,90.24,90.33,90.04,90.04,-1
20130620  15:00:00,90.04,90.08,89.62,89.76,-1
20130621  09:30:00,90.04,90.13,89.7,89.95,-1
20130621  10:00:00,89.95,90.08,89.78,89.82,-1
20130621  11:00:00,89.82,89.89,89.3,89.55,-1
20130621  12:00:00,89.55,89.78,89.42,89.78,-1
20130621  13:00:00,89.78,89.91,89.42,89.42,-1
20130621  14:00:00,89.42,89.47,89.22,89.26,-1
20130621  15:00:00,89.26,89.48,89.18,89.24,-1
20130624  09:30:00,88.5,88.5,87.33,87.7,-1
20130624  10:00:00,87.7,88.29,87.58,88.24,-1
