date,open,high,low,close,volume
20130422  09:30:00,0.05908492,0.06432351,0.05889442,0.06186296,0
20130422  10:00:00,0.06186296,0.06602208,0.05576715,0.06478387,0
20130422  11:00:00,0.06478387,0.06581571,0.06395839,0.06554584,0
20130422  12:00:00,0.06554584,0.06610145,0.05964053,0.06297417,0
20130422  13:00:00,0.06297417,0.06429176,0.06297417,0.06387902,0
20130422  14:00:00,0.06387902,0.0654506,0.06316467,0.06330754,0
20130422  15:00:00,0.06330754,0.06659356,0.05546553,0.05683074,0
20130423  09:30:00,0.05606876,0.06164071,0.05341772,0.05933891,0
20130423  10:00:00,0.05933891,0.06098986,0.05456068,0.05611639,0
20130423  11:00:00,0.05611639,0.06172009,0.05475118,0.0572276,0
20130423  12:00:00,0.0572276,0.05905317,0.05673549,0.05875155,0
20130423  13:00:00,0.05875155,0.06329166,0.0548623,0.05695773,0
20130423  14:00:00,0.05695773,0.05910079,0.05057618,0.05102067,0
20130423  15:00:00,0.05102067,0.05692599,0.04873474,0.05248112,0
20130424  09:30:00,0.05541791,0.0581642,0.05129053,0.05692599,0
20130424  10:00:00,0.05692599,0.06065649,0.04867124,0.05676724,0
20130424  11:00:00,0.05676724,0.0595929,0.05489405,0.05644975,0
20130424  12:00:00,0.05644975,0.05694186,0.05163977,0.05538616,0
20130424  13:00:00,0.05538616,0.05737047,0.04740128,0.05148103,0
20130424  14:00:00,0.05148103,0.05724348,0.04738541,0.05489405,0
20130424  15:00:00,0.05489405,0.05713235,0.05052856,0.05594177,0
20130425  09:30:00,0.05387808,0.05789433,0.04800451,0.05184614,0
20130425  10:00:00,0.05184614,0.05622751,0.05073493,0.05244937,0
20130425  11:00:00,0.05244937,0.05744984,0.04971896,0.05524329,0
20130425  12:00:00,0.05524329,0.05806895,0.05127466,0.05127466,0
20130425  13:00:00,0.05127466,0.05802133,0.05021107,0.05683074,0
20130425  14:00:00,0.05683074,0.05919604,0.05583064,0.05608464,0
20130425  15:00:00,0.05608464,0.05862456,0.05235413,0.05584652,0
20130426  09:30:00,0.05705298,0.05773559,0.0507508,0.05406857,0
20130426  10:00:00,0.05406857,0.0604025,0.05024282,0.05933891,0
20130426  11:00:00,0.05933891,0.06024376,0.04990945,0.05086192,0
20130426  12:00:00,0.05086192,0.05679899,0.05016344,0.05262399,0
20130426  13:00:00,0.05262399,0.05824357,0.04990945,0.05503692,0
20130426  14:00:00,0.05503692,0.05962465,0.04809976,0.05235413,0
20130426  15:00:00,0.05235413,0.06078349,0.05214776,0.05468768,0
20130429  09:30:00,0.05737047,0.06006914,0.05286211,0.05713235,0
20130429  10:00:00,0.05713235,0.06029138,0.05538616,0.06016438,0
20130429  11:00:00,0.06016438,0.06016438,0.05383046,0.05490992,0
20130429  12:00:00,0.05490992,0.06035488,0.05362409,0.05362409,0
20130429  13:00:00,0.05362409,0.0595294,0.05362409,0.05848169,0
20130429  14:00:00,0.05848169,0.05949766,0.05737047,0.05848169,0
20130429  15:00:00,0.05848169,0.05970402,0.05700536,0.05700536,0
20130430  09:30:00,0.0587833,0.06081524,0.05522741,0.0572276,0
20130430  10:00:00,0.0572276,0.0605295,0.05489405,0.0605295,0
20130430  11:00:00,0.0605295,0.06225982,0.05719585,0.05979927,0
20130430  12:00:00,0.05979927,0.06165659,0.05616401,0.05956115,0
20130430  13:00:00,0.05956115,0.06410126,0.05865631,0.06338691,0
20130430  14:00:00,0.06338691,0.06559347,0.05868806,0.05868806,0
20130430  15:00:00,0.05868806,0.06413301,0.05581477,0.06011676,0
20130501  09:30:00,0.05425907,0.06037075,0.05286211,0.05671962,0
20130501  10:00:00,0.05671962,0.05940241,0.05030632,0.05614813,0
20130501  11:00:00,0.05614813,0.06379965,0.05189377,0.06119623,0
20130501  12:00:00,0.06119623,0.06381552,0.06027551,0.06306942,0
20130501  13:00:00,0.06306942,0.06729204,0.05779908,0.05948178,0
20130501  14:00:00,0.05948178,0.064514,0.05783083,0.06122798,0
20130501  15:00:00,0.06122798,0.06673643,0.06105336,0.06399014,0
20130502  09:30:00,0.05860868,0.06513311,0.05584652,0.05627513,0
20130502  10:00:00,0.05627513,0.0637679,0.05464006,0.06075174,0
20130502  11:00:00,0.06075174,0.06419651,0.05348122,0.06186296,0
20130502  12:00:00,0.06186296,0.06251381,0.05289386,0.06145022,0
20130502  13:00:00,0.06145022,0.06268843,0.05568777,0.06113273,0
20130502  14:00:00,0.06113273,0.06187883,0.05240175,0.05837057,0
20130502  15:00:00,0.05837057,0.0611486,0.05240175,0.05738635,0
20130503  09:30:00,0.05527504,0.05683074,0.04702029,0.04870299,0
20130503  10:00:00,0.04870299,0.0573546,0.04652818,0.05541791,0
20130503  11:00:00,0.05541791,0.05586239,0.05108417,0.0548623,0
20130503  12:00:00,0.0548623,0.05487817,0.04997295,0.05348122,0
20130503  13:00:00,0.05348122,0.05930716,0.05041744,0.05529091,0
20130503  14:00:00,0.05529091,0.05898967,0.05178264,0.05576715,0
20130503  15:00:00,0.05576715,0.05830707,0.04863949,0.05584652,0
20130506  09:30:00,0.056291,0.05986277,0.05259224,0.05352884,0
20130506  10:00:00,0.05352884,0.06368853,0.05308435,0.06368853,0
20130506  11:00:00,0.06368853,0.06368853,0.05808482,0.0604025,0
20130506  12:00:00,0.0604025,0.06273606,0.0604025,0.06106923,0
20130506  13:00:00,0.06106923,0.06281543,0.06071999,0.06259318,0
20130506  14:00:00,0.06259318,0.0627678,0.05983102,0.06032313,0
20130506  15:00:00,0.06032313,0.06233919,0.05284624,0.05708473,0
20130507  09:30:00,0.05770384,0.06160897,0.05083017,0.05083017,0
20130507  10:00:00,0.05083017,0.06119623,0.05043331,0.05625926,0
20130507  11:00:00,0.05625926,0.06211695,0.05537028,0.06210107,0
20130507  12:00:00,0.06210107,0.06216457,0.05908492,0.05949766,0
20130507  13:00:00,0.05949766,0.06232332,0.05340184,0.05865631,0
20130507  14:00:00,0.05865631,0.06286305,0.05865631,0.05973577,0
20130507  15:00:00,0.05973577,0.06257731,0.05514804,0.05862456,0
20130508  09:30:00,0.05514804,0.0587198,0.05284624,0.05284624,0
20130508  10:00:00,0.05284624,0.06049775,0.05284624,0.05779908,0
20130508  11:00:00,0.05779908,0.05905317,0.05106829,0.05673549,0
20130508  12:00:00,0.05673549,0.06076762,0.05386221,0.05792608,0
20130508  13:00:00,0.05792608,0.06211695,0.05533853,0.05875155,0
20130508  14:00:00,0.05875155,0.06191058,0.0548623,0.05998977,0
20130508  15:00:00,0.05998977,0.05998977,0.05475118,0.05541791,0
20130509  09:30:00,0.056418,0.06097398,0.05367171,0.06018026,0
20130509  10:00:00,0.06018026,0.06086286,0.05025869,0.05222713,0
20130509  11:00:00,0.05222713,0.05222713,0.05017932,0.05017932,0
20130509  12:00:00,0.05017932,0.05214776,0.04963959,0.05008407,0
20130509  13:00:00,0.05008407,0.05643388,0.0460837,0.05570365,0
20130509  14:00:00,0.05570365,0.05652912,0.04976658,0.05406857,0
20130509  15:00:00,0.05406857,0.05798958,0.05248112,0.05446544,0
20130510  09:30:00,0.05749747,0.0596564,0.04843312,0.05152865,0
20130510  10:00:00,0.05152865,0.06146609,0.04695679,0.05556078,0
20130510  11:00:00,0.05556078,0.06060887,0.04722666,0.05698948,0
20130510  12:00:00,0.05698948,0.05930716,0.05325897,0.05802133,0
20130510  13:00:00,0.05802133,0.05910079,0.0514969,0.05832294,0
20130510  14:00:00,0.05832294,0.05832294,0.05232238,0.05732285,0
20130510  15:00:00,0.05732285,0.05733872,0.04646468,0.05427494,0
20130513  09:30:00,0.05754509,0.07603889,0.05733872,0.06543472,0
20130513  10:00:00,0.06543472,0.07207027,0.0571006,0.06692693,0
20130513  11:00:00,0.06692693,0.07408633,0.05906904,0.07264175,0
20130513  12:00:00,0.07264175,0.07340372,0.05744984,0.05886268,0
20130513  13:00:00,0.05886268,0.060593,0.05864043,0.06054537,0
20130513  14:00:00,0.06054537,0.06891124,0.06054537,0.06459337,0
20130513  15:00:00,0.06459337,0.06713329,0.05908492,0.06584746,0
20130514  09:30:00,0.06870487,0.07562616,0.05929129,0.06541885,0
20130514  10:00:00,0.06541885,0.07345135,0.06129147,0.06846675,0
20130514  11:00:00,0.06846675,0.06938747,0.06808576,0.06867312,0
20130514  12:00:00,0.06867312,0.0694986,0.0604025,0.06391077,0
20130514  13:00:00,0.06391077,0.07259412,0.06391077,0.07054631,0
20130514  14:00:00,0.07054631,0.07321323,0.06000564,0.07321323,0
20130514  15:00:00,0.07321323,0.07321323,0.0566085,0.0652601,0
20130515  09:30:00,0.06624432,0.07097492,0.05906904,0.05906904,0
20130515  10:00:00,0.05906904,0.06594271,0.05794195,0.06152959,0
20130515  11:00:00,0.06152959,0.072483,0.06029138,0.06956209,0
20130515  12:00:00,0.06956209,0.07146703,0.06721267,0.06967322,0
20130515  13:00:00,0.06967322,0.07091143,0.06729204,0.06799052,0
20130515  14:00:00,0.06799052,0.07307036,0.06198995,0.06665706,0
20130515  15:00:00,0.06665706,0.07326085,0.06110098,0.07197502,0
20130516  09:30:00,0.07414983,0.07414983,0.06300592,0.06484736,0
20130516  10:00:00,0.06484736,0.07072093,0.06170421,0.06765715,0
20130516  11:00:00,0.06765715,0.06910173,0.05633863,0.05818007,0
20130516  12:00:00,0.05818007,0.06325991,0.05286211,0.0541162,0
20130516  13:00:00,0.0541162,0.06656181,0.05349709,0.06651419,0
20130516  14:00:00,0.06651419,0.06651419,0.05895792,0.0595929,0
20130516  15:00:00,0.0595929,0.06884774,0.0595929,0.06578396,0
20130517  09:30:00,0.05916429,0.06508548,0.05786258,0.06200583,0
20130517  10:00:00,0.06200583,0.06799052,0.05605289,0.06172009,0
20130517  11:00:00,0.06172009,0.06822863,0.05713235,0.0605295,0
20130517  12:00:00,0.0605295,0.07103842,0.0605295,0.07037169,0
20130517  13:00:00,0.07037169,0.07153053,0.06960972,0.07097492,0
20130517  14:00:00,0.07097492,0.07261,0.06568871,0.06724442,0
20130517  15:00:00,0.06724442,0.07408633,0.06537122,0.0726735,0
20130520  09:30:00,0.06653006,0.07170515,0.05814832,0.07114954,0
20130520  10:00:00,0.07114954,0.07154641,0.05568777,0.06049775,0
20130520  11:00:00,0.06049775,0.06514898,0.05811657,0.06078349,0
20130520  12:00:00,0.06078349,0.06892711,0.05602114,0.05602114,0
20130520  13:00:00,0.05602114,0.06740316,0.05602114,0.06235507,0
20130520  14:00:00,0.06235507,0.06995896,0.05881505,0.06543472,0
20130520  15:00:00,0.06543472,0.07038757,0.05483055,0.06006914,0
20130521  09:30:00,0.06562522,0.06806989,0.05822769,0.06468862,0
20130521  10:00:00,0.06468862,0.0686255,0.0566085,0.05770384,0
20130521  11:00:00,0.05770384,0.06708567,0.04841725,0.04981421,0
20130521  12:00:00,0.04981421,0.06467275,0.04797276,0.06079937,0
20130521  13:00:00,0.06079937,0.06446638,0.05327485,0.06227569,0
20130521  14:00:00,0.06227569,0.06578396,0.05195726,0.06429176,0
20130521  15:00:00,0.06429176,0.06651419,0.05600526,0.05702123,0
20130522  09:30:00,0.05367171,0.06306942,0.05286211,0.06084699,0
20130522  10:00:00,0.06084699,0.06387902,0.05160803,0.05754509,0
20130522  11:00:00,0.05754509,0.06413301,0.05341772,0.06098986,0
20130522  12:00:00,0.06098986,0.06430763,0.05111592,0.05213188,0
20130522  13:00:00,0.05213188,0.06178358,0.05138578,0.06178358,0
20130522  14:00:00,0.06178358,0.06360915,0.05362409,0.05844994,0
20130522  15:00:00,0.05844994,0.06889536,0.05424319,0.06170421,0
20130523  09:30:00,0.07062569,0.076658,0.06470449,0.06721267,0
20130523  10:00:00,0.06721267,0.07786446,0.06229157,0.06556172,0
20130523  11:00:00,0.06556172,0.07394346,0.06259318,0.07214964,0
20130523  12:00:00,0.07214964,0.07778509,0.06465687,0.07122892,0
20130523  13:00:00,0.07122892,0.07353072,0.06638719,0.06638719,0
20130523  14:00:00,0.06638719,0.06673643,0.06270431,0.0660062,0
20130523  15:00:00,0.0660062,0.06873662,0.06462512,0.06586333,0
20130524  09:30:00,0.07438794,0.07530867,0.06703805,0.06703805,0
20130524  10:00:00,0.06703805,0.07770572,0.06478387,0.07470543,0
20130524  11:00:00,0.07470543,0.07954716,0.07448319,0.07475306,0
20130524  12:00:00,0.07475306,0.07781684,0.07421332,0.07715011,0
20130524  13:00:00,0.07715011,0.07741997,0.06983196,0.07146703,0
