date,open,high,low,close,volume
20130422  09:30:00,120.29,120.33,120.23,120.33,-1
20130422  10:00:00,120.33,120.33,120.31,120.33,-1
20130422  11:00:00,120.33,120.34,120.29,120.3,-1
20130422  12:00:00,120.3,120.32,120.28,120.28,-1
20130422  13:00:00,120.28,120.32,120.28,120.31,-1
20130422  14:00:00,120.31,120.32,120.24,120.29,-1
20130422  15:00:00,120.29,120.33,120.26,120.32,-1
20130423  09:30:00,120.52,120.52,120.42,120.43,-1
20130423  10:00:00,120.43,120.43,120.37,120.4,-1
20130423  11:00:00,120.4,120.4,120.35,120.36,-1
20130423  12:00:00,120.36,120.43,120.35,120.43,-1
20130423  13:00:00,120.43,120.63,120.37,120.47,-1
20130423  14:00:00,120.47,120.54,120.45,120.53,-1
20130423  15:00:00,120.53,120.53,120.4,120.44,-1
20130424  09:30:00,120.39,120.4,120.34,120.39,-1
20130424  10:00:00,120.39,120.47,120.39,120.46,-1
20130424  11:00:00,120.46,120.47,120.38,120.4,-1
20130424  12:00:00,120.4,120.47,120.4,120.45,-1
20130424  13:00:00,120.45,120.57,120.45,120.56,-1
20130424  14:00:00,120.56,120.57,120.49,120.54,-1
20130424  15:00:00,120.54,120.55,120.45,120.5,-1
20130425  09:30:00,120.47,120.49,120.41,120.42,-1
20130425  10:00:00,120.42,120.43,120.4,120.41,-1
20130425  11:00:00,120.41,120.44,120.4,120.41,-1
20130425  12:00:00,120.41,120.49,120.38,120.49,-1
20130425  13:00:00,120.49,120.52,120.47,120.52,-1
20130425  14:00:00,120.52,120.55,120.5,120.55,-1
20130425  15:00:00,120.55,120.55,120.41,120.47,-1
20130426  09:30:00,120.78,120.78,120.68,120.75,-1
20130426  10:00:00,120.75,120.85,120.72,120.73,-1
20130426  11:00:00,120.73,120.84,120.73,120.79,-1
20130426  12:00:00,120.79,120.87,120.78,120.85,-1
20130426  13:00:00,120.85,120.89,120.82,120.85,-1
20130426  14:00:00,120.85,120.87,120.85,120.87,-1
20130426  15:00:00,120.87,120.89,120.84,120.85,-1
20130429  09:30:00,121.08,121.08,120.92,120.98,-1
20130429  10:00:00,120.98,121.02,120.92,121.0,-1
20130429  11:00:00,121.0,121.02,120.94,120.98,-1
20130429  12:00:00,120.98,120.98,120.89,120.94,-1
20130429  13:00:00,120.94,120.96,120.88,120.9,-1
20130429  14:00:00,120.9,120.93,120.88,120.9,-1
20130429  15:00:00,120.9,120.9,120.84,120.85,-1
20130430  09:30:00,120.99,121.04,120.92,121.04,-1
20130430  10:00:00,121.04,121.11,120.87,120.9,-1
20130430  11:00:00,120.9,120.9,120.69,120.7,-1
20130430  12:00:00,120.7,120.77,120.69,120.7,-1
20130430  13:00:00,120.7,120.72,120.66,120.68,-1
20130430  14:00:00,120.68,120.72,120.65,120.65,-1
20130430  15:00:00,120.65,120.73,120.64,120.68,-1
20130501  09:30:00,121.32,121.45,121.24,121.39,-1
20130501  10:00:00,121.39,121.47,121.3,121.39,-1
20130501  11:00:00,121.39,121.52,121.37,121.41,-1
20130501  12:00:00,121.41,121.5,121.41,121.48,-1
20130501  13:00:00,121.48,121.5,121.39,121.44,-1
20130501  14:00:00,121.44,121.44,121.22,121.25,-1
20130501  15:00:00,121.25,121.65,121.25,121.55,-1
20130502  09:30:00,121.5,121.57,121.5,121.53,-1
20130502  10:00:00,121.53,121.53,121.49,121.5,-1
20130502  11:00:00,121.5,121.66,121.5,121.61,-1
20130502  12:00:00,121.61,121.64,121.57,121.59,-1
20130502  13:00:00,121.59,121.64,121.59,121.59,-1
20130502  14:00:00,121.59,121.61,121.58,121.6,-1
20130502  15:00:00,121.6,121.63,121.56,121.58,-1
20130503  09:30:00,121.14,121.14,120.94,120.95,-1
20130503  10:00:00,120.95,120.99,120.87,120.88,-1
20130503  11:00:00,120.88,120.91,120.81,120.89,-1
20130503  12:00:00,120.89,120.91,120.84,120.84,-1
20130503  13:00:00,120.84,120.84,120.6,120.61,-1
20130503  14:00:00,120.61,120.61,120.5,120.54,-1
20130503  15:00:00,120.54,120.54,120.42,120.48,-1
20130506  09:30:00,120.6,120.66,120.56,120.57,-1
20130506  10:00:00,120.57,120.58,120.49,120.53,-1
20130506  11:00:00,120.53,120.57,120.51,120.53,-1
20130506  12:00:00,120.53,120.54,120.43,120.46,-1
20130506  13:00:00,120.46,120.49,120.37,120.38,-1
20130506  14:00:00,120.38,120.38,120.35,120.38,-1
20130506  15:00:00,120.38,120.49,120.38,120.42,-1
20130507  09:30:00,120.34,120.5,120.34,120.47,-1
20130507  10:00:00,120.47,120.53,120.43,120.43,-1
20130507  11:00:00,120.43,120.44,120.27,120.3,-1
20130507  12:00:00,120.3,120.34,120.27,120.31,-1
20130507  13:00:00,120.31,120.36,120.29,120.32,-1
20130507  14:00:00,120.32,120.32,120.29,120.32,-1
20130507  15:00:00,120.32,120.35,120.28,120.31,-1
20130508  09:30:00,120.32,120.38,120.29,120.3,-1
20130508  10:00:00,120.3,120.36,120.23,120.34,-1
20130508  11:00:00,120.34,120.46,120.34,120.45,-1
20130508  12:00:00,120.45,120.53,120.43,120.53,-1
20130508  13:00:00,120.53,120.53,120.37,120.37,-1
20130508  14:00:00,120.37,120.5,120.37,120.49,-1
20130508  15:00:00,120.49,120.51,120.39,120.41,-1
20130509  09:30:00,120.42,120.47,120.35,120.35,-1
20130509  10:00:00,120.35,120.49,120.34,120.48,-1
20130509  11:00:00,120.48,120.49,120.4,120.43,-1
20130509  12:00:00,120.43,120.54,120.39,120.52,-1
20130509  13:00:00,120.52,120.67,120.52,120.53,-1
20130509  14:00:00,120.53,120.55,120.27,120.28,-1
20130509  15:00:00,120.28,120.42,120.17,120.2,-1
20130510  09:30:00,120.13,120.13,119.95,119.96,-1
20130510  10:00:00,119.96,120.0,119.57,119.57,-1
20130510  11:00:00,119.57,119.63,119.31,119.37,-1
20130510  12:00:00,119.37,119.55,119.37,119.52,-1
20130510  13:00:00,119.52,119.55,119.47,119.54,-1
20130510  14:00:00,119.54,119.59,119.47,119.53,-1
20130510  15:00:00,119.53,119.58,119.5,119.54,-1
20130513  09:30:00,119.42,119.42,119.28,119.32,-1
20130513  10:00:00,119.32,119.32,119.22,119.29,-1
20130513  11:00:00,119.29,119.31,119.22,119.24,-1
20130513  12:00:00,119.24,119.29,119.22,119.28,-1
20130513  13:00:00,119.28,119.31,119.2,119.2,-1
20130513  14:00:00,119.2,119.28,119.18,119.26,-1
20130513  15:00:00,119.26,119.3,119.22,119.25,-1
20130514  09:30:00,119.6,119.6,119.46,119.53,-1
20130514  10:00:00,119.53,119.56,119.49,119.54,-1
20130514  11:00:00,119.54,119.54,119.33,119.37,-1
20130514  12:00:00,119.37,119.41,119.11,119.12,-1
20130514  13:00:00,119.12,119.14,119.01,119.09,-1
20130514  14:00:00,119.09,119.18,119.03,119.06,-1
20130514  15:00:00,119.06,119.06,118.89,118.93,-1
20130515  09:30:00,119.4,119.41,119.34,119.34,-1
20130515  10:00:00,119.34,119.37,119.24,119.27,-1
