date,open,high,low,close,volume
20130422  09:30:00,120.23,120.33,120.21,120.32,-1
20130422  10:00:00,120.32,120.32,120.3,120.32,-1
20130422  11:00:00,120.32,120.33,120.28,120.29,-1
20130422  12:00:00,120.29,120.31,120.26,120.27,-1
20130422  13:00:00,120.27,120.31,120.27,120.3,-1
20130422  14:00:00,120.3,120.31,120.23,120.28,-1
20130422  15:00:00,120.28,120.32,120.25,120.3,-1
20130423  09:30:00,120.41,120.47,120.41,120.42,-1
20130423  10:00:00,120.42,120.42,120.36,120.39,-1
20130423  11:00:00,120.39,120.39,120.34,120.35,-1
20130423  12:00:00,120.35,120.42,120.34,120.42,-1
20130423  13:00:00,120.42,120.6,120.35,120.46,-1
20130423  14:00:00,120.46,120.53,120.43,120.52,-1
20130423  15:00:00,120.52,120.52,120.37,120.42,-1
20130424  09:30:00,120.33,120.38,120.33,120.38,-1
20130424  10:00:00,120.38,120.46,120.38,120.45,-1
20130424  11:00:00,120.45,120.45,120.36,120.38,-1
20130424  12:00:00,120.38,120.45,120.37,120.44,-1
20130424  13:00:00,120.44,120.56,120.44,120.53,-1
20130424  14:00:00,120.53,120.55,120.47,120.53,-1
20130424  15:00:00,120.53,120.53,120.44,120.47,-1
20130425  09:30:00,120.44,120.46,120.39,120.39,-1
20130425  10:00:00,120.39,120.42,120.38,120.39,-1
20130425  11:00:00,120.39,120.42,120.39,120.4,-1
20130425  12:00:00,120.4,120.48,120.35,120.47,-1
20130425  13:00:00,120.47,120.51,120.46,120.51,-1
20130425  14:00:00,120.51,120.54,120.49,120.54,-1
20130425  15:00:00,120.54,120.54,120.4,120.45,-1
20130426  09:30:00,120.69,120.75,120.67,120.74,-1
20130426  10:00:00,120.74,120.84,120.7,120.7,-1
20130426  11:00:00,120.7,120.82,120.7,120.78,-1
20130426  12:00:00,120.78,120.85,120.77,120.82,-1
20130426  13:00:00,120.82,120.86,120.8,120.84,-1
20130426  14:00:00,120.84,120.86,120.84,120.86,-1
20130426  15:00:00,120.86,120.88,120.83,120.84,-1
20130429  09:30:00,120.95,120.98,120.91,120.96,-1
20130429  10:00:00,120.96,121.01,120.9,120.99,-1
20130429  11:00:00,120.99,121.01,120.93,120.97,-1
20130429  12:00:00,120.97,120.97,120.88,120.92,-1
20130429  13:00:00,120.92,120.94,120.87,120.89,-1
20130429  14:00:00,120.89,120.92,120.86,120.89,-1
20130429  15:00:00,120.89,120.89,120.83,120.83,-1
20130430  09:30:00,120.83,121.03,120.83,121.03,-1
20130430  10:00:00,121.03,121.09,120.86,120.89,-1
20130430  11:00:00,120.89,120.89,120.68,120.69,-1
20130430  12:00:00,120.69,120.75,120.68,120.69,-1
20130430  13:00:00,120.69,120.71,120.65,120.67,-1
20130430  14:00:00,120.67,120.71,120.63,120.63,-1
20130430  15:00:00,120.63,120.72,120.63,120.67,-1
20130501  09:30:00,121.21,121.41,121.2,121.38,-1
20130501  10:00:00,121.38,121.45,121.27,121.37,-1
20130501  11:00:00,121.37,121.5,121.36,121.4,-1
20130501  12:00:00,121.4,121.49,121.4,121.47,-1
20130501  13:00:00,121.47,121.49,121.37,121.43,-1
20130501  14:00:00,121.43,121.43,121.21,121.24,-1
20130501  15:00:00,121.24,121.64,121.24,121.52,-1
20130502  09:30:00,121.33,121.54,121.33,121.48,-1
