date,open,high,low,close,volume
20130422  09:30:00,0.04776639,0.04854425,0.04771877,0.04821088,0
20130422  10:00:00,0.04821088,0.04827438,0.04797276,0.04824263,0
20130422  11:00:00,0.04824263,0.04878236,0.04619482,0.04641706,0
20130422  12:00:00,0.04641706,0.04673455,0.04641706,0.04657581,0
20130422  13:00:00,0.04657581,0.04667105,0.04641706,0.04665518,0
20130422  14:00:00,0.04665518,0.04686155,0.04592495,0.0467028,0
20130422  15:00:00,0.0467028,0.04690917,0.04622657,0.04651231,0
20130423  09:30:00,0.04517885,0.04697267,0.04516297,0.04694092,0
20130423  10:00:00,0.04694092,0.04927447,0.04654406,0.04779814,0
20130423  11:00:00,0.04779814,0.04779814,0.04714729,0.04721079,0
20130423  12:00:00,0.04721079,0.04771877,0.04721079,0.04768702,0
20130423  13:00:00,0.04768702,0.04868712,0.04336916,0.04708379,0
20130423  14:00:00,0.04708379,0.04717904,0.04597257,0.04597257,0
20130423  15:00:00,0.04597257,0.04768702,0.04597257,0.04762352,0
20130424  09:30:00,0.04679805,0.04679805,0.04540109,0.04657581,0
20130424  10:00:00,0.04657581,0.04709966,0.04513123,0.04543284,0
20130424  11:00:00,0.04543284,0.04544872,0.04425813,0.04435337,0
20130424  12:00:00,0.04435337,0.04557571,0.04435337,0.04536934,0
20130424  13:00:00,0.04536934,0.04659168,0.04451212,0.04532172,0
20130424  14:00:00,0.04532172,0.04590908,0.04459149,0.04530585,0
20130424  15:00:00,0.04530585,0.04530585,0.04417876,0.04454387,0
20130425  09:30:00,0.0459567,0.04619482,0.0459567,0.04617894,0
20130425  10:00:00,0.04617894,0.04619482,0.0434009,0.04341678,0
20130425  11:00:00,0.04341678,0.04367077,0.04341678,0.04348028,0
20130425  12:00:00,0.04348028,0.04425813,0.04344853,0.04425813,0
20130425  13:00:00,0.04425813,0.04486136,0.04327391,0.04333741,0
20130425  14:00:00,0.04333741,0.04451212,0.04332153,0.04449625,0
20130425  15:00:00,0.04449625,0.04465499,0.04422638,0.04449625,0
20130426  09:30:00,0.04270243,0.04865537,0.04209919,0.04806801,0
20130426  10:00:00,0.04806801,0.04871886,0.04519472,0.04519472,0
20130426  11:00:00,0.04519472,0.04705204,0.04519472,0.04624244,0
20130426  12:00:00,0.04624244,0.04713141,0.04594083,0.04614719,0
20130426  13:00:00,0.04614719,0.04721079,0.04611545,0.04679805,0
20130426  14:00:00,0.04679805,0.04733778,0.04679805,0.04733778,0
20130426  15:00:00,0.04733778,0.04736953,0.04668693,0.04668693,0
20130429  09:30:00,0.04649643,0.04922685,0.04649643,0.04824263,0
20130429  10:00:00,0.04824263,0.04829025,0.04673455,0.0474489,0
20130429  11:00:00,0.0474489,0.04754415,0.04673455,0.04673455,0
20130429  12:00:00,0.04673455,0.04879824,0.04673455,0.04768702,0
20130429  13:00:00,0.04768702,0.04811563,0.04765527,0.04787752,0
20130429  14:00:00,0.04787752,0.04787752,0.04714729,0.04730603,0
20130429  15:00:00,0.04730603,0.04805214,0.04730603,0.04805214,0
20130430  09:30:00,0.04794101,0.04879824,0.04678217,0.0468298,0
20130430  10:00:00,0.0468298,0.04944909,0.04506773,0.0451471,0
20130430  11:00:00,0.0451471,0.04571858,0.04373427,0.04524235,0
20130430  12:00:00,0.04524235,0.04600432,0.04524235,0.04600432,0
20130430  13:00:00,0.04600432,0.04606782,0.04476611,0.04486136,0
20130430  14:00:00,0.04486136,0.04614719,0.04473436,0.04538522,0
20130430  15:00:00,0.04538522,0.04538522,0.04424225,0.04478199,0
20130501  09:30:00,0.04627419,0.04681392,0.0442105,0.04532172,0
20130501  10:00:00,0.04532172,0.04630594,0.04228969,0.04268655,0
20130501  11:00:00,0.04268655,0.044401,0.03914654,0.04403588,0
20130501  12:00:00,0.04403588,0.04405176,0.04249606,0.0426548,0
20130501  13:00:00,0.0426548,0.04379777,0.04214682,0.0435914,0
20130501  14:00:00,0.0435914,0.04551221,0.0435914,0.04470261,0
20130501  15:00:00,0.04470261,0.04470261,0.04241669,0.04241669,0
20130502  09:30:00,0.0435914,0.04486136,0.0435914,0.04479786,0
20130502  10:00:00,0.04479786,0.04489311,0.044274,0.04452799,0
20130502  11:00:00,0.04452799,0.04452799,0.04211507,0.04351203,0
20130502  12:00:00,0.04351203,0.04416288,0.04317866,0.04373427,0
20130502  13:00:00,0.04373427,0.04376602,0.04322628,0.04376602,0
20130502  14:00:00,0.04376602,0.04387714,0.04355965,0.04373427,0
20130502  15:00:00,0.04373427,0.04392476,0.0434009,0.04390889,0
20130503  09:30:00,0.04997295,0.05046506,0.04714729,0.04756003,0
20130503  10:00:00,0.04756003,0.04762352,0.044274,0.044274,0
20130503  11:00:00,0.044274,0.04459149,0.04209919,0.044401,0
20130503  12:00:00,0.044401,0.04441687,0.04227381,0.04227381,0
20130503  13:00:00,0.04227381,0.04729016,0.0404165,0.04721079,0
20130503  14:00:00,0.04721079,0.04732191,0.04243256,0.04255956,0
20130503  15:00:00,0.04255956,0.04355965,0.04217857,0.04227381,0
20130506  09:30:00,0.04657581,0.04738541,0.04654406,0.04738541,0
20130506  10:00:00,0.04738541,0.04743303,0.04702029,0.04705204,0
20130506  11:00:00,0.04705204,0.04719491,0.04686155,0.04708379,0
20130506  12:00:00,0.04708379,0.04716316,0.04563921,0.04563921,0
20130506  13:00:00,0.04563921,0.04638531,0.04503598,0.04617894,0
20130506  14:00:00,0.04617894,0.04627419,0.04441687,0.04441687,0
20130506  15:00:00,0.04441687,0.04441687,0.04330566,0.04370252,0
20130507  09:30:00,0.04800451,0.04800451,0.0467663,0.04686155,0
20130507  10:00:00,0.04686155,0.04717904,0.04665518,0.04698854,0
20130507  11:00:00,0.04698854,0.04708379,0.04559159,0.04570271,0
20130507  12:00:00,0.04570271,0.04570271,0.04290879,0.04436925,0
20130507  13:00:00,0.04436925,0.04443275,0.04297229,0.044401,0
20130507  14:00:00,0.044401,0.04448037,0.04290879,0.04290879,0
20130507  15:00:00,0.04290879,0.04327391,0.04286117,0.04306754,0
20130508  09:30:00,0.04598845,0.04816326,0.04568683,0.04575033,0
20130508  10:00:00,0.04575033,0.04657581,0.04538522,0.04644881,0
20130508  11:00:00,0.04644881,0.04719491,0.04336916,0.04403588,0
20130508  12:00:00,0.04403588,0.04403588,0.03984501,0.03984501,0
20130508  13:00:00,0.03984501,0.04325803,0.03984501,0.04021013,0
20130508  14:00:00,0.04021013,0.04086098,0.03679711,0.04086098,0
20130508  15:00:00,0.04086098,0.04286117,0.040353,0.0428453,0
20130509  09:30:00,0.04771877,0.04773465,0.04395651,0.04549634,0
20130509  10:00:00,0.04549634,0.04555984,0.04151184,0.04528997,0
20130509  11:00:00,0.04528997,0.04528997,0.0443375,0.04473436,0
20130509  12:00:00,0.04473436,0.04698854,0.04425813,0.04629006,0
20130509  13:00:00,0.04629006,0.0506873,0.04563921,0.04619482,0
20130509  14:00:00,0.04619482,0.04673455,0.04449625,0.04538522,0
20130509  15:00:00,0.04538522,0.04573446,0.04336916,0.04336916,0
20130510  09:30:00,0.04905223,0.04905223,0.04644881,0.04644881,0
20130510  10:00:00,0.04644881,0.0516239,0.04206745,0.04630594,0
20130510  11:00:00,0.04630594,0.04997295,0.04563921,0.04946497,0
20130510  12:00:00,0.04946497,0.04998883,0.04752828,0.04854425,0
20130510  13:00:00,0.04854425,0.04871886,0.04829025,0.04857599,0
20130510  14:00:00,0.04857599,0.04916335,0.04775052,0.0485125,0
20130510  15:00:00,0.0485125,0.04873474,0.04754415,0.0476394,0
20130513  09:30:00,0.05122704,0.05184614,0.04594083,0.04611545,0
20130513  10:00:00,0.04611545,0.05413207,0.04611545,0.05413207,0
20130513  11:00:00,0.05413207,0.05443369,0.05384633,0.05400508,0
20130513  12:00:00,0.05400508,0.05416382,0.0539257,0.05414795,0
20130513  13:00:00,0.05414795,0.05457656,0.05386221,0.05452893,0
20130513  14:00:00,0.05452893,0.05452893,0.04241669,0.05321135,0
20130513  15:00:00,0.05321135,0.0547988,0.05287799,0.0547988,0
20130514  09:30:00,0.05376696,0.05408445,0.05343359,0.05379871,0
20130514  10:00:00,0.05379871,0.05379871,0.05186202,0.05227475,0
20130514  11:00:00,0.05227475,0.05227475,0.04655993,0.05029044,0
20130514  12:00:00,0.05029044,0.05375108,0.04944909,0.05222713,0
20130514  13:00:00,0.05222713,0.05335422,0.05222713,0.05284624,0
20130514  14:00:00,0.05284624,0.05306848,0.05017932,0.05070318,0
20130514  15:00:00,0.05070318,0.05397333,0.04730603,0.04881411,0
20130515  09:30:00,0.0499412,0.05079843,0.04986183,0.05079843,0
20130515  10:00:00,0.05079843,0.0508143,0.04871886,0.0493221,0
20130515  11:00:00,0.0493221,0.05159215,0.0491951,0.05021107,0
20130515  12:00:00,0.05021107,0.05229063,0.04968721,0.05227475,0
20130515  13:00:00,0.05227475,0.0547353,0.0507508,0.05341772,0
20130515  14:00:00,0.05341772,0.05470355,0.05135403,0.05443369,0
20130515  15:00:00,0.05443369,0.05443369,0.0514969,0.05211601,0
20130516  09:30:00,0.05022694,0.05108417,0.04967134,0.04970308,0
20130516  10:00:00,0.04970308,0.05183027,0.04782989,0.04835375,0
20130516  11:00:00,0.04835375,0.05229063,0.04746478,0.05221126,0
20130516  12:00:00,0.05221126,0.05232238,0.05171915,0.05187789,0
20130516  13:00:00,0.05187789,0.05206839,0.04981421,0.04981421,0
20130516  14:00:00,0.04981421,0.05154453,0.04809976,0.05143341,0
20130516  15:00:00,0.05143341,0.05297323,0.05065555,0.05211601,0
