date,open,high,low,close,volume
20130422  09:30:00,68.34,68.57,68.22,68.5,-1
20130422  10:00:00,68.5,68.5,68.09,68.36,-1
20130422  11:00:00,68.36,68.55,68.28,68.51,-1
20130422  12:00:00,68.51,68.75,68.5,68.64,-1
20130422  13:00:00,68.64,68.75,68.58,68.62,-1
20130422  14:00:00,68.62,68.98,68.62,68.93,-1
20130422  15:00:00,68.93,69.04,68.8,68.8,-1
20130423  09:30:00,69.19,69.47,69.16,69.39,-1
20130423  10:00:00,69.39,69.55,69.34,69.47,-1
20130423  11:00:00,69.47,69.65,69.46,69.64,-1
20130423  12:00:00,69.64,69.7,69.54,69.58,-1
20130423  13:00:00,69.58,69.62,68.82,69.5,-1
20130423  14:00:00,69.5,69.51,69.15,69.39,-1
20130423  15:00:00,69.39,69.52,69.36,69.43,-1
20130424  09:30:00,69.27,69.67,69.19,69.47,-1
20130424  10:00:00,69.47,69.54,69.12,69.33,-1
20130424  11:00:00,69.33,69.39,69.18,69.32,-1
20130424  12:00:00,69.32,69.38,69.2,69.25,-1
20130424  13:00:00,69.25,69.52,69.24,69.43,-1
20130424  14:00:00,69.43,69.66,69.43,69.66,-1
20130424  15:00:00,69.66,69.66,69.38,69.43,-1
20130425  09:30:00,69.63,69.89,69.59,69.79,-1
20130425  10:00:00,69.79,70.06,69.74,69.97,-1
20130425  11:00:00,69.97,70.03,69.83,69.87,-1
20130425  12:00:00,69.87,69.97,69.84,69.94,-1
20130425  13:00:00,69.94,70.01,69.9,69.93,-1
20130425  14:00:00,69.93,70.01,69.76,69.83,-1
20130425  15:00:00,69.83,69.88,69.62,69.79,-1
20130426  09:30:00,69.62,69.72,69.55,69.7,-1
20130426  10:00:00,69.7,69.72,69.32,69.49,-1
20130426  11:00:00,69.49,69.55,69.33,69.36,-1
20130426  12:00:00,69.36,69.46,69.28,69.45,-1
20130426  13:00:00,69.45,69.61,69.43,69.59,-1
20130426  14:00:00,69.59,69.67,69.54,69.64,-1
20130426  15:00:00,69.64,69.77,69.57,69.57,-1
20130429  09:30:00,69.78,70.06,69.76,69.99,-1
20130429  10:00:00,69.99,70.34,69.96,70.25,-1
20130429  11:00:00,70.25,70.29,70.19,70.29,-1
20130429  12:00:00,70.29,70.48,70.26,70.37,-1
20130429  13:00:00,70.37,70.45,70.34,70.4,-1
20130429  14:00:00,70.4,70.45,70.38,70.4,-1
20130429  15:00:00,70.4,70.4,70.2,70.21,-1
20130430  09:30:00,70.3,70.33,70.08,70.11,-1
20130430  10:00:00,70.11,70.42,70.04,70.35,-1
20130430  11:00:00,70.35,70.54,70.32,70.49,-1
20130430  12:00:00,70.49,70.69,70.43,70.67,-1
20130430  13:00:00,70.67,70.74,70.63,70.69,-1
20130430  14:00:00,70.69,70.72,70.55,70.72,-1
20130430  15:00:00,70.72,70.72,70.56,70.72,-1
20130501  09:30:00,70.72,70.86,70.61,70.67,-1
20130501  10:00:00,70.67,70.75,70.4,70.64,-1
20130501  11:00:00,70.64,70.71,70.54,70.67,-1
20130501  12:00:00,70.67,70.69,70.49,70.5,-1
20130501  13:00:00,70.5,70.51,70.34,70.44,-1
20130501  14:00:00,70.44,70.65,70.42,70.6,-1
20130501  15:00:00,70.6,70.63,70.26,70.42,-1
20130502  09:30:00,70.51,70.84,70.45,70.75,-1
20130502  10:00:00,70.75,71.04,70.73,71.01,-1
20130502  11:00:00,71.01,71.3,70.98,71.25,-1
20130502  12:00:00,71.25,71.31,71.16,71.28,-1
20130502  13:00:00,71.28,71.43,71.28,71.4,-1
20130502  14:00:00,71.4,71.42,71.32,71.36,-1
20130502  15:00:00,71.36,71.39,71.28,71.28,-1
20130503  09:30:00,71.95,72.26,71.92,72.19,-1
20130503  10:00:00,72.19,72.32,72.1,72.24,-1
20130503  11:00:00,72.24,72.29,72.21,72.23,-1
20130503  12:00:00,72.23,72.27,72.21,72.27,-1
20130503  13:00:00,72.27,72.34,72.17,72.19,-1
20130503  14:00:00,72.19,72.23,72.11,72.14,-1
20130503  15:00:00,72.14,72.21,72.08,72.13,-1
20130506  09:30:00,72.25,72.4,72.2,72.3,-1
20130506  10:00:00,72.3,72.43,72.22,72.23,-1
20130506  11:00:00,72.23,72.43,72.21,72.42,-1
20130506  12:00:00,72.42,72.46,72.36,72.41,-1
20130506  13:00:00,72.41,72.51,72.37,72.5,-1
20130506  14:00:00,72.5,72.51,72.42,72.43,-1
20130506  15:00:00,72.43,72.47,72.37,72.4,-1
20130507  09:30:00,72.51,72.57,72.44,72.55,-1
20130507  10:00:00,72.55,72.57,72.1,72.23,-1
20130507  11:00:00,72.23,72.39,72.23,72.28,-1
20130507  12:00:00,72.28,72.43,72.28,72.42,-1
20130507  13:00:00,72.42,72.46,72.33,72.43,-1
20130507  14:00:00,72.43,72.47,72.33,72.42,-1
20130507  15:00:00,72.42,72.44,72.25,72.34,-1
20130508  09:30:00,72.32,72.51,72.21,72.51,-1
20130508  10:00:00,72.51,72.71,72.46,72.65,-1
20130508  11:00:00,72.65,72.72,72.64,72.7,-1
20130508  12:00:00,72.7,72.74,72.63,72.69,-1
20130508  13:00:00,72.69,72.74,72.65,72.67,-1
20130508  14:00:00,72.67,72.71,72.47,72.57,-1
20130508  15:00:00,72.57,72.77,72.56,72.71,-1
20130509  09:30:00,72.54,72.78,72.54,72.71,-1
20130509  10:00:00,72.71,72.71,72.52,72.59,-1
20130509  11:00:00,72.59,72.78,72.58,72.75,-1
20130509  12:00:00,72.75,72.83,72.66,72.82,-1
20130509  13:00:00,72.82,73.1,72.8,73.06,-1
20130509  14:00:00,73.06,73.06,72.62,72.62,-1
20130509  15:00:00,72.62,72.77,72.48,72.62,-1
20130510  09:30:00,72.72,72.99,72.64,72.97,-1
20130510  10:00:00,72.97,73.06,72.65,72.8,-1
20130510  11:00:00,72.8,72.94,72.7,72.7,-1
20130510  12:00:00,72.7,72.82,72.65,72.77,-1
