date,open,high,low,close,volume
20130422  09:30:00,68.33,68.56,68.21,68.49,-1
20130422  10:00:00,68.49,68.49,68.08,68.35,-1
20130422  11:00:00,68.35,68.54,68.27,68.5,-1
20130422  12:00:00,68.5,68.74,68.49,68.63,-1
20130422  13:00:00,68.63,68.74,68.57,68.61,-1
20130422  14:00:00,68.61,68.97,68.61,68.92,-1
20130422  15:00:00,68.92,69.03,68.79,68.79,-1
20130423  09:30:00,69.18,69.46,69.15,69.38,-1
20130423  10:00:00,69.38,69.54,69.33,69.46,-1
20130423  11:00:00,69.46,69.64,69.45,69.63,-1
20130423  12:00:00,69.63,69.69,69.53,69.57,-1
20130423  13:00:00,69.57,69.61,68.81,69.49,-1
20130423  14:00:00,69.49,69.5,69.14,69.38,-1
20130423  15:00:00,69.38,69.51,69.35,69.42,-1
20130424  09:30:00,69.26,69.66,69.18,69.46,-1
20130424  10:00:00,69.46,69.53,69.11,69.32,-1
20130424  11:00:00,69.32,69.38,69.17,69.31,-1
20130424  12:00:00,69.31,69.37,69.19,69.24,-1
20130424  13:00:00,69.24,69.51,69.23,69.42,-1
20130424  14:00:00,69.42,69.65,69.42,69.65,-1
20130424  15:00:00,69.65,69.65,69.37,69.42,-1
20130425  09:30:00,69.62,69.88,69.58,69.78,-1
20130425  10:00:00,69.78,70.05,69.73,69.96,-1
20130425  11:00:00,69.96,70.02,69.82,69.86,-1
20130425  12:00:00,69.86,69.96,69.83,69.93,-1
20130425  13:00:00,69.93,70.0,69.89,69.92,-1
20130425  14:00:00,69.92,70.0,69.75,69.82,-1
20130425  15:00:00,69.82,69.87,69.61,69.78,-1
20130426  09:30:00,69.61,69.71,69.54,69.69,-1
20130426  10:00:00,69.69,69.71,69.31,69.48,-1
20130426  11:00:00,69.48,69.54,69.32,69.35,-1
20130426  12:00:00,69.35,69.45,69.27,69.44,-1
20130426  13:00:00,69.44,69.6,69.42,69.58,-1
20130426  14:00:00,69.58,69.66,69.53,69.63,-1
20130426  15:00:00,69.63,69.76,69.56,69.56,-1
20130429  09:30:00,69.77,70.05,69.75,69.98,-1
20130429  10:00:00,69.98,70.33,69.95,70.24,-1
20130429  11:00:00,70.24,70.28,70.18,70.28,-1
20130429  12:00:00,70.28,70.47,70.25,70.36,-1
20130429  13:00:00,70.36,70.44,70.33,70.39,-1
20130429  14:00:00,70.39,70.44,70.37,70.39,-1
20130429  15:00:00,70.39,70.39,70.19,70.2,-1
20130430  09:30:00,70.29,70.32,70.07,70.1,-1
20130430  10:00:00,70.1,70.41,70.03,70.34,-1
20130430  11:00:00,70.34,70.54,70.31,70.48,-1
20130430  12:00:00,70.48,70.68,70.42,70.66,-1
20130430  13:00:00,70.66,70.73,70.62,70.68,-1
20130430  14:00:00,70.68,70.71,70.54,70.71,-1
20130430  15:00:00,70.71,70.71,70.56,70.71,-1
20130501  09:30:00,70.71,70.85,70.6,70.66,-1
20130501  10:00:00,70.66,70.74,70.39,70.63,-1
20130501  11:00:00,70.63,70.7,70.53,70.66,-1
20130501  12:00:00,70.66,70.68,70.48,70.49,-1
20130501  13:00:00,70.49,70.5,70.33,70.42,-1
20130501  14:00:00,70.42,70.64,70.41,70.59,-1
20130501  15:00:00,70.59,70.62,70.25,70.41,-1
20130502  09:30:00,70.5,70.83,70.44,70.74,-1
20130502  10:00:00,70.74,71.03,70.72,71.0,-1
20130502  11:00:00,71.0,71.29,70.97,71.24,-1
20130502  12:00:00,71.24,71.3,71.15,71.27,-1
20130502  13:00:00,71.27,71.42,71.27,71.39,-1
20130502  14:00:00,71.39,71.41,71.31,71.35,-1
20130502  15:00:00,71.35,71.38,71.27,71.27,-1
20130503  09:30:00,71.94,72.25,71.91,72.18,-1
20130503  10:00:00,72.18,72.31,72.09,72.23,-1
20130503  11:00:00,72.23,72.28,72.2,72.22,-1
20130503  12:00:00,72.22,72.26,72.2,72.26,-1
20130503  13:00:00,72.26,72.33,72.16,72.18,-1
20130503  14:00:00,72.18,72.22,72.1,72.13,-1
20130503  15:00:00,72.13,72.2,72.07,72.12,-1
20130506  09:30:00,72.24,72.39,72.19,72.29,-1
20130506  10:00:00,72.29,72.42,72.21,72.22,-1
20130506  11:00:00,72.22,72.42,72.2,72.41,-1
20130506  12:00:00,72.41,72.45,72.35,72.4,-1
20130506  13:00:00,72.4,72.5,72.36,72.49,-1
20130506  14:00:00,72.49,72.5,72.41,72.42,-1
20130506  15:00:00,72.42,72.46,72.36,72.39,-1
20130507  09:30:00,72.5,72.56,72.43,72.54,-1
20130507  10:00:00,72.54,72.56,72.09,72.22,-1
20130507  11:00:00,72.22,72.38,72.22,72.27,-1
20130507  12:00:00,72.27,72.42,72.27,72.41,-1
20130507  13:00:00,72.41,72.45,72.32,72.42,-1
20130507  14:00:00,72.42,72.46,72.32,72.41,-1
20130507  15:00:00,72.41,72.43,72.24,72.33,-1
20130508  09:30:00,72.31,72.5,72.2,72.5,-1
20130508  10:00:00,72.5,72.7,72.45,72.64,-1
20130508  11:00:00,72.64,72.71,72.63,72.69,-1
20130508  12:00:00,72.69,72.73,72.62,72.68,-1
20130508  13:00:00,72.68,72.73,72.64,72.66,-1
20130508  14:00:00,72.66,72.7,72.46,72.56,-1
20130508  15:00:00,72.56,72.76,72.55,72.7,-1
20130509  09:30:00,72.53,72.77,72.53,72.7,-1
20130509  10:00:00,72.7,72.7,72.51,72.58,-1
20130509  11:00:00,72.58,72.77,72.57,72.74,-1
20130509  12:00:00,72.74,72.82,72.65,72.81,-1
20130509  13:00:00,72.81,73.09,72.79,73.05,-1
20130509  14:00:00,73.05,73.05,72.61,72.61,-1
20130509  15:00:00,72.61,72.76,72.47,72.61,-1
20130510  09:30:00,72.71,72.98,72.63,72.96,-1
20130510  10:00:00,72.96,73.05,72.64,72.79,-1
20130510  11:00:00,72.79,72.93,72.69,72.69,-1
20130510  12:00:00,72.69,72.81,72.64,72.76,-1
20130510  13:00:00,72.76,72.91,72.76,72.84,-1
20130510  14:00:00,72.84,72.96,72.84,72.91,-1
20130510  15:00:00,72.91,73.07,72.89,73.06,-1
20130513  09:30:00,72.92,73.07,72.87,72.93,-1
20130513  10:00:00,72.93,73.17,72.85,73.04,-1
20130513  11:00:00,73.04,73.21,72.92,73.21,-1
20130513  12:00:00,73.21,73.31,73.19,73.21,-1
20130513  13:00:00,73.21,73.25,73.0,73.06,-1
20130513  14:00:00,73.06,73.17,73.03,73.17,-1
20130513  15:00:00,73.17,73.19,72.97,73.14,-1
20130514  09:30:00,73.12,73.42,73.12,73.36,-1
20130514  10:00:00,73.36,73.67,73.35,73.66,-1
20130514  11:00:00,73.66,73.71,73.59,73.63,-1
20130514  12:00:00,73.63,73.74,73.5,73.5,-1
20130514  13:00:00,73.5,73.64,73.35,73.4,-1
20130514  14:00:00,73.4,73.48,73.29,73.3,-1
20130514  15:00:00,73.3,73.56,73.26,73.51,-1
