date,open,high,low,close,volume
20130422  09:30:00,155.79,155.99,155.2,155.53,-1
20130422  10:00:00,155.53,155.56,154.75,155.26,-1
20130422  11:00:00,155.26,155.65,155.06,155.57,-1
20130422  12:00:00,155.57,156.0,155.57,155.81,-1
20130422  13:00:00,155.81,155.99,155.71,155.82,-1
20130422  14:00:00,155.82,156.53,155.82,156.29,-1
20130422  15:00:00,156.29,156.43,156.12,156.19,-1
20130423  09:30:00,156.95,157.48,156.9,157.24,-1
20130423  10:00:00,157.24,157.72,157.18,157.52,-1
20130423  11:00:00,157.52,157.88,157.52,157.85,-1
20130423  12:00:00,157.85,157.93,157.67,157.78,-1
20130423  13:00:00,157.78,157.86,156.17,157.72,-1
20130423  14:00:00,157.72,157.74,157.25,157.57,-1
20130423  15:00:00,157.57,157.89,157.53,157.83,-1
20130424  09:30:00,157.83,158.15,157.76,157.98,-1
20130424  10:00:00,157.98,158.13,157.55,158.0,-1
20130424  11:00:00,158.0,158.08,157.7,157.94,-1
20130424  12:00:00,157.94,158.02,157.67,157.8,-1
20130424  13:00:00,157.8,158.07,157.79,157.98,-1
20130424  14:00:00,157.98,158.3,157.96,158.3,-1
20130424  15:00:00,158.3,158.3,157.76,157.88,-1
20130425  09:30:00,158.33,158.49,158.11,158.39,-1
20130425  10:00:00,158.39,159.03,158.34,158.96,-1
20130425  11:00:00,158.96,159.04,158.78,158.81,-1
20130425  12:00:00,158.81,159.0,158.78,158.99,-1
20130425  13:00:00,158.99,159.24,158.91,159.19,-1
20130425  14:00:00,159.19,159.27,158.65,158.75,-1
20130425  15:00:00,158.75,158.75,158.28,158.55,-1
20130426  09:30:00,158.34,158.56,158.1,158.54,-1
20130426  10:00:00,158.54,158.6,157.94,158.06,-1
20130426  11:00:00,158.06,158.25,157.81,157.88,-1
20130426  12:00:00,157.88,158.02,157.74,158.0,-1
20130426  13:00:00,158.0,158.35,157.93,158.25,-1
20130426  14:00:00,158.25,158.37,158.13,158.25,-1
20130426  15:00:00,158.25,158.57,158.21,158.26,-1
20130429  09:30:00,158.67,158.83,158.43,158.7,-1
20130429  10:00:00,158.7,159.21,158.64,159.15,-1
20130429  11:00:00,159.15,159.18,159.02,159.17,-1
20130429  12:00:00,159.17,159.54,159.14,159.37,-1
20130429  13:00:00,159.37,159.63,159.34,159.58,-1
20130429  14:00:00,159.58,159.65,159.51,159.57,-1
20130429  15:00:00,159.57,159.58,159.19,159.33,-1
20130430  09:30:00,159.27,159.37,158.78,158.8,-1
20130430  10:00:00,158.8,159.21,158.62,159.15,-1
20130430  11:00:00,159.15,159.55,159.12,159.46,-1
20130430  12:00:00,159.46,159.64,159.31,159.63,-1
20130430  13:00:00,159.63,159.67,159.51,159.67,-1
20130430  14:00:00,159.67,159.67,159.33,159.61,-1
20130430  15:00:00,159.61,159.72,159.36,159.71,-1
20130501  09:30:00,159.33,159.41,159.09,159.17,-1
20130501  10:00:00,159.17,159.4,158.78,159.25,-1
20130501  11:00:00,159.25,159.31,158.98,159.23,-1
20130501  12:00:00,159.23,159.25,158.84,158.86,-1
20130501  13:00:00,158.86,158.89,158.46,158.65,-1
20130501  14:00:00,158.65,159.11,158.61,158.88,-1
20130501  15:00:00,158.88,158.9,158.11,158.31,-1
20130502  09:30:00,158.68,159.03,158.54,158.78,-1
20130502  10:00:00,158.78,159.3,158.77,159.19,-1
20130502  11:00:00,159.19,159.78,159.17,159.72,-1
20130502  12:00:00,159.72,159.81,159.53,159.67,-1
20130502  13:00:00,159.67,159.89,159.65,159.83,-1
20130502  14:00:00,159.83,159.88,159.68,159.8,-1
20130502  15:00:00,159.8,159.84,159.66,159.72,-1
20130503  09:30:00,161.15,161.66,161.05,161.45,-1
20130503  10:00:00,161.45,161.88,161.31,161.78,-1
20130503  11:00:00,161.78,161.88,161.58,161.61,-1
20130503  12:00:00,161.61,161.77,161.59,161.75,-1
20130503  13:00:00,161.75,161.8,161.52,161.52,-1
20130503  14:00:00,161.52,161.62,161.34,161.42,-1
20130503  15:00:00,161.42,161.67,161.31,161.38,-1
20130506  09:30:00,161.5,161.72,161.43,161.49,-1
20130506  10:00:00,161.49,161.84,161.47,161.52,-1
20130506  11:00:00,161.52,161.79,161.47,161.76,-1
20130506  12:00:00,161.76,161.87,161.74,161.8,-1
20130506  13:00:00,161.8,162.0,161.75,161.98,-1
20130506  14:00:00,161.98,162.01,161.88,161.89,-1
20130506  15:00:00,161.89,161.92,161.7,161.79,-1
20130507  09:30:00,162.12,162.39,162.01,162.38,-1
20130507  10:00:00,162.38,162.44,161.68,162.04,-1
20130507  11:00:00,162.04,162.25,162.01,162.11,-1
20130507  12:00:00,162.11,162.47,162.1,162.45,-1
20130507  13:00:00,162.45,162.63,162.38,162.57,-1
20130507  14:00:00,162.57,162.63,162.43,162.62,-1
20130507  15:00:00,162.62,162.65,162.51,162.59,-1
20130508  09:30:00,162.42,162.78,162.34,162.78,-1
20130508  10:00:00,162.78,163.08,162.72,162.95,-1
20130508  11:00:00,162.95,163.2,162.95,163.18,-1
20130508  12:00:00,163.18,163.24,162.99,163.11,-1
20130508  13:00:00,163.11,163.23,163.03,163.06,-1
20130508  14:00:00,163.06,163.15,162.74,162.94,-1
20130508  15:00:00,162.94,163.39,162.92,163.35,-1
20130509  09:30:00,163.27,163.47,163.18,163.38,-1
20130509  10:00:00,163.38,163.38,162.85,162.98,-1
20130509  11:00:00,162.98,163.23,162.94,163.13,-1
20130509  12:00:00,163.13,163.34,162.97,163.34,-1
20130509  13:00:00,163.34,163.7,163.29,163.61,-1
20130509  14:00:00,163.61,163.64,162.72,162.72,-1
20130509  15:00:00,162.72,163.12,162.48,162.89,-1
20130510  09:30:00,162.99,163.3,162.79,163.25,-1
20130510  10:00:00,163.25,163.4,162.62,162.92,-1
20130510  11:00:00,162.92,163.22,162.65,162.65,-1
20130510  12:00:00,162.65,162.96,162.52,162.83,-1
20130510  13:00:00,162.83,163.11,162.83,162.94,-1
20130510  14:00:00,162.94,163.17,162.94,163.06,-1
20130510  15:00:00,163.06,163.49,163.06,163.46,-1
20130513  09:30:00,163.21,163.33,162.83,162.93,-1
20130513  10:00:00,162.93,163.46,162.86,163.32,-1
20130513  11:00:00,163.32,163.67,163.17,163.64,-1
20130513  12:00:00,163.64,163.81,163.58,163.63,-1
20130513  13:00:00,163.63,163.73,163.36,163.42,-1
20130513  14:00:00,163.42,163.65,163.35,163.64,-1
20130513  15:00:00,163.64,163.67,163.3,163.55,-1
20130514  09:30:00,163.67,164.3,163.67,164.25,-1
20130514  10:00:00,164.25,164.99,164.25,164.97,-1
20130514  11:00:00,164.97,165.11,164.82,165.03,-1
20130514  12:00:00,165.03,165.21,164.94,164.95,-1
20130514  13:00:00,164.95,165.14,164.82,164.86,-1
20130514  14:00:00,164.86,165.07,164.76,164.77,-1
20130514  15:00:00,164.77,165.35,164.74,165.27,-1
20130515  09:30:00,164.97,165.23,164.91,165.13,-1
20130515  10:00:00,165.13,165.39,165.07,165.38,-1
20130515  11:00:00,165.38,165.99,165.38,165.98,-1
20130515  12:00:00,165.98,166.45,165.91,166.28,-1
20130515  13:00:00,166.28,166.29,165.74,165.74,-1
20130515  14:00:00,165.74,165.86,165.36,165.54,-1
20130515  15:00:00,165.54,166.19,165.4,166.1,-1
20130516  09:30:00,165.77,166.27,165.77,166.15,-1
20130516  10:00:00,166.15,166.17,165.58,165.96,-1
20130516  11:00:00,165.96,166.36,165.96,166.17,-1
20130516  12:00:00,166.17,166.19,165.96,166.09,-1
20130516  13:00:00,166.09,166.09,165.95,165.97,-1
20130516  14:00:00,165.97,166.27,165.75,165.75,-1
20130516  15:00:00,165.75,165.86,165.11,165.32,-1
20130517  09:30:00,165.95,166.21,165.74,166.19,-1
20130517  10:00:00,166.19,166.36,166.02,166.03,-1
20130517  11:00:00,166.03,166.24,165.84,166.12,-1
20130517  12:00:00,166.12,166.18,165.98,166.06,-1
20130517  13:00:00,166.06,166.2,166.05,166.14,-1
20130517  14:00:00,166.14,166.76,166.13,166.75,-1
20130517  15:00:00,166.75,167.04,166.67,166.98,-1
20130520  09:30:00,166.78,167.09,166.73,166.98,-1
20130520  10:00:00,166.98,167.18,166.95,167.09,-1
20130520  11:00:00,167.09,167.52,167.08,167.47,-1
20130520  12:00:00,167.47,167.58,167.19,167.24,-1
20130520  13:00:00,167.24,167.31,166.71,166.94,-1
20130520  14:00:00,166.94,167.1,166.62,166.92,-1
20130520  15:00:00,166.92,167.08,166.77,166.94,-1
20130521  09:30:00,167.08,167.52,167.02,167.35,-1
20130521  10:00:00,167.35,167.42,166.51,166.71,-1
20130521  11:00:00,166.71,167.21,166.7,167.09,-1
20130521  12:00:00,167.09,167.4,167.09,167.33,-1
20130521  13:00:00,167.33,167.76,167.32,167.51,-1
20130521  14:00:00,167.51,167.8,167.32,167.49,-1
20130521  15:00:00,167.49,167.59,167.15,167.19,-1
20130522  09:30:00,167.34,167.75,167.3,167.74,-1
20130522  10:00:00,167.74,169.07,167.56,167.71,-1
20130522  11:00:00,167.71,168.67,167.57,168.34,-1
20130522  12:00:00,168.34,168.46,167.86,168.27,-1
20130522  13:00:00,168.27,168.28,166.82,167.1,-1
20130522  14:00:00,167.1,167.37,165.82,166.39,-1
20130522  15:00:00,166.39,166.39,165.18,165.87,-1
20130523  09:30:00,164.16,164.61,164.04,164.18,-1
20130523  10:00:00,164.18,165.05,163.95,164.53,-1
20130523  11:00:00,164.53,165.44,164.53,165.29,-1
20130523  12:00:00,165.29,165.77,165.15,165.3,-1
20130523  13:00:00,165.3,165.41,164.82,165.39,-1
20130523  14:00:00,165.39,165.91,165.22,165.66,-1
20130523  15:00:00,165.66,165.81,165.19,165.43,-1
20130524  09:30:00,164.47,164.76,164.21,164.32,-1
20130524  10:00:00,164.32,164.59,163.99,164.58,-1
20130524  11:00:00,164.58,164.88,164.36,164.8,-1
20130524  12:00:00,164.8,164.92,164.55,164.74,-1
20130524  13:00:00,164.74,165.15,164.73,165.07,-1
20130524  14:00:00,165.07,165.33,164.94,165.15,-1
