date,open,high,low,close,volume
20130422  09:30:00,155.78,155.98,155.19,155.52,-1
20130422  10:00:00,155.52,155.55,154.74,155.25,-1
20130422  11:00:00,155.25,155.64,155.05,155.56,-1
20130422  12:00:00,155.56,155.99,155.56,155.8,-1
20130422  13:00:00,155.8,155.98,155.7,155.81,-1
20130422  14:00:00,155.81,156.53,155.81,156.28,-1
20130422  15:00:00,156.28,156.42,156.12,156.18,-1
20130423  09:30:00,156.94,157.47,156.89,157.23,-1
20130423  10:00:00,157.23,157.71,157.17,157.51,-1
20130423  11:00:00,157.51,157.87,157.51,157.84,-1
20130423  12:00:00,157.84,157.92,157.66,157.77,-1
20130423  13:00:00,157.77,157.85,156.16,157.71,-1
20130423  14:00:00,157.71,157.73,157.24,157.56,-1
20130423  15:00:00,157.56,157.88,157.52,157.82,-1
20130424  09:30:00,157.82,158.14,157.75,157.97,-1
20130424  10:00:00,157.97,158.12,157.54,157.99,-1
20130424  11:00:00,157.99,158.07,157.69,157.93,-1
20130424  12:00:00,157.93,158.01,157.66,157.79,-1
20130424  13:00:00,157.79,158.06,157.78,157.97,-1
20130424  14:00:00,157.97,158.29,157.95,158.29,-1
20130424  15:00:00,158.29,158.29,157.75,157.87,-1
20130425  09:30:00,158.33,158.48,158.1,158.38,-1
20130425  10:00:00,158.38,159.02,158.33,158.95,-1
20130425  11:00:00,158.95,159.03,158.77,158.8,-1
20130425  12:00:00,158.8,158.99,158.77,158.98,-1
20130425  13:00:00,158.98,159.23,158.9,159.18,-1
20130425  14:00:00,159.18,159.26,158.64,158.74,-1
20130425  15:00:00,158.74,158.74,158.28,158.54,-1
20130426  09:30:00,158.33,158.55,158.09,158.53,-1
20130426  10:00:00,158.53,158.59,157.93,158.05,-1
20130426  11:00:00,158.05,158.24,157.8,157.87,-1
20130426  12:00:00,157.87,158.01,157.73,157.99,-1
20130426  13:00:00,157.99,158.34,157.92,158.24,-1
20130426  14:00:00,158.24,158.36,158.12,158.24,-1
20130426  15:00:00,158.24,158.56,158.2,158.25,-1
20130429  09:30:00,158.66,158.82,158.42,158.68,-1
20130429  10:00:00,158.68,159.2,158.63,159.14,-1
20130429  11:00:00,159.14,159.17,159.01,159.16,-1
20130429  12:00:00,159.16,159.53,159.13,159.36,-1
20130429  13:00:00,159.36,159.62,159.33,159.57,-1
20130429  14:00:00,159.57,159.64,159.5,159.56,-1
20130429  15:00:00,159.56,159.57,159.18,159.32,-1
20130430  09:30:00,159.26,159.36,158.77,158.79,-1
20130430  10:00:00,158.79,159.2,158.61,159.14,-1
20130430  11:00:00,159.14,159.54,159.11,159.45,-1
20130430  12:00:00,159.45,159.63,159.3,159.62,-1
20130430  13:00:00,159.62,159.67,159.5,159.66,-1
20130430  14:00:00,159.66,159.66,159.32,159.6,-1
20130430  15:00:00,159.6,159.71,159.35,159.7,-1
20130501  09:30:00,159.32,159.4,159.08,159.16,-1
20130501  10:00:00,159.16,159.39,158.77,159.24,-1
20130501  11:00:00,159.24,159.3,158.97,159.22,-1
20130501  12:00:00,159.22,159.24,158.83,158.85,-1
20130501  13:00:00,158.85,158.88,158.45,158.64,-1
20130501  14:00:00,158.64,159.1,158.6,158.87,-1
20130501  15:00:00,158.87,158.89,158.1,158.3,-1
20130502  09:30:00,158.67,159.02,158.53,158.77,-1
20130502  10:00:00,158.77,159.29,158.76,159.18,-1
20130502  11:00:00,159.18,159.77,159.16,159.71,-1
20130502  12:00:00,159.71,159.81,159.52,159.66,-1
20130502  13:00:00,159.66,159.88,159.64,159.82,-1
20130502  14:00:00,159.82,159.87,159.67,159.79,-1
20130502  15:00:00,159.79,159.83,159.65,159.71,-1
20130503  09:30:00,161.14,161.65,161.04,161.44,-1
20130503  10:00:00,161.44,161.87,161.3,161.77,-1
20130503  11:00:00,161.77,161.87,161.57,161.6,-1
20130503  12:00:00,161.6,161.76,161.58,161.74,-1
20130503  13:00:00,161.74,161.8,161.51,161.51,-1
20130503  14:00:00,161.51,161.61,161.33,161.41,-1
20130503  15:00:00,161.41,161.66,161.3,161.37,-1
20130506  09:30:00,161.49,161.71,161.42,161.48,-1
20130506  10:00:00,161.48,161.83,161.46,161.51,-1
20130506  11:00:00,161.51,161.78,161.46,161.75,-1
20130506  12:00:00,161.75,161.86,161.73,161.79,-1
20130506  13:00:00,161.79,161.99,161.74,161.97,-1
20130506  14:00:00,161.97,162.0,161.87,161.88,-1
20130506  15:00:00,161.88,161.91,161.69,161.78,-1
20130507  09:30:00,162.11,162.38,162.0,162.37,-1
20130507  10:00:00,162.37,162.43,161.67,162.03,-1
20130507  11:00:00,162.03,162.24,162.0,162.1,-1
20130507  12:00:00,162.1,162.46,162.09,162.44,-1
20130507  13:00:00,162.44,162.62,162.37,162.56,-1
20130507  14:00:00,162.56,162.62,162.42,162.61,-1
20130507  15:00:00,162.61,162.64,162.5,162.58,-1
20130508  09:30:00,162.41,162.77,162.33,162.77,-1
20130508  10:00:00,162.77,163.07,162.71,162.94,-1
20130508  11:00:00,162.94,163.19,162.94,163.17,-1
20130508  12:00:00,163.17,163.23,162.98,163.1,-1
20130508  13:00:00,163.1,163.22,163.02,163.05,-1
20130508  14:00:00,163.05,163.14,162.73,162.93,-1
20130508  15:00:00,162.93,163.38,162.91,163.34,-1
20130509  09:30:00,163.26,163.46,163.17,163.37,-1
20130509  10:00:00,163.37,163.38,162.84,162.97,-1
20130509  11:00:00,162.97,163.22,162.93,163.12,-1
20130509  12:00:00,163.12,163.33,162.96,163.33,-1
20130509  13:00:00,163.33,163.69,163.28,163.61,-1
20130509  14:00:00,163.61,163.63,162.71,162.71,-1
20130509  15:00:00,162.71,163.11,162.47,162.88,-1
20130510  09:30:00,162.98,163.29,162.78,163.24,-1
20130510  10:00:00,163.24,163.39,162.61,162.91,-1
20130510  11:00:00,162.91,163.21,162.64,162.64,-1
20130510  12:00:00,162.64,162.95,162.51,162.82,-1
20130510  13:00:00,162.82,163.1,162.82,162.93,-1
20130510  14:00:00,162.93,163.16,162.93,163.05,-1
20130510  15:00:00,163.05,163.48,163.05,163.45,-1
20130513  09:30:00,163.2,163.32,162.82,162.92,-1
20130513  10:00:00,162.92,163.45,162.85,163.31,-1
20130513  11:00:00,163.31,163.66,163.16,163.63,-1
20130513  12:00:00,163.63,163.8,163.57,163.62,-1
20130513  13:00:00,163.62,163.72,163.35,163.41,-1
20130513  14:00:00,163.41,163.64,163.34,163.63,-1
20130513  15:00:00,163.63,163.66,163.29,163.54,-1
