date,open,high,low,close,volume
20130422  09:30:00,0.12966298,0.13517143,0.12782154,0.13153617,0
20130422  10:00:00,0.13153617,0.13993379,0.13153617,0.13374273,0
20130422  11:00:00,0.13374273,0.13504444,0.12780566,0.129028,0
20130422  12:00:00,0.129028,0.13020271,0.12683732,0.12826602,0
20130422  13:00:00,0.12826602,0.12961536,0.12650395,0.12725006,0
20130422  14:00:00,0.12725006,0.12771042,0.12058276,0.12369417,0
20130422  15:00:00,0.12369417,0.12424977,0.12120187,0.12375766,0
20130423  09:30:00,0.11928105,0.12028115,0.11434408,0.1153283,0
20130423  10:00:00,0.1153283,0.11723324,0.11170891,0.1162649,0
20130423  11:00:00,0.1162649,0.11667763,0.11315349,0.11342336,0
20130423  12:00:00,0.11342336,0.11510606,0.11223277,0.11372497,0
20130423  13:00:00,0.11372497,0.13371098,0.11356623,0.11561404,0
20130423  14:00:00,0.11561404,0.11977316,0.11415359,0.11759835,0
20130423  15:00:00,0.11759835,0.11759835,0.11361385,0.11421708,0
20130424  09:30:00,0.11472507,0.11686813,0.11142317,0.11515368,0
20130424  10:00:00,0.11515368,0.11867782,0.11362973,0.11623315,0
20130424  11:00:00,0.11623315,0.11637602,0.11312174,0.11424883,0
20130424  12:00:00,0.11424883,0.11567754,0.11362973,0.11547117,0
20130424  13:00:00,0.11547117,0.11577279,0.11359798,0.11559817,0
20130424  14:00:00,0.11559817,0.11597915,0.11110568,0.11175654,0
20130424  15:00:00,0.11175654,0.1162649,0.11116918,0.11562992,0
20130425  09:30:00,0.11285188,0.11686813,0.11075644,0.11437583,0
20130425  10:00:00,0.11437583,0.11459807,0.10996272,0.11275663,0
20130425  11:00:00,0.11275663,0.11424883,0.11061357,0.11366148,0
20130425  12:00:00,0.11366148,0.11423296,0.11020083,0.11107393,0
20130425  13:00:00,0.11107393,0.11226452,0.10859751,0.11070882,0
20130425  14:00:00,0.11070882,0.11647126,0.10996272,0.11589978,0
20130425  15:00:00,0.11589978,0.12123362,0.11564579,0.11728086,0
20130426  09:30:00,0.1216146,0.12437677,0.11972554,0.11996366,0
20130426  10:00:00,0.11996366,0.12609122,0.11878894,0.12385291,0
20130426  11:00:00,0.12385291,0.12617059,0.12075738,0.12529749,0
20130426  12:00:00,0.12529749,0.12620234,0.12263057,0.12263057,0
20130426  13:00:00,0.12263057,0.12340842,0.1185032,0.11955092,0
20130426  14:00:00,0.11955092,0.12070976,0.1185032,0.11902706,0
20130426  15:00:00,0.11902706,0.11963029,0.11661413,0.11872544,0
20130429  09:30:00,0.11958267,0.12204322,0.11748723,0.11847145,0
20130429  10:00:00,0.11847145,0.11913818,0.11405834,0.11501081,0
20130429  11:00:00,0.11501081,0.11675701,0.11407421,0.11472507,0
20130429  12:00:00,0.11472507,0.11696337,0.11258201,0.11658239,0
20130429  13:00:00,0.11658239,0.11693162,0.11321699,0.11389959,0
20130429  14:00:00,0.11389959,0.11553467,0.1130265,0.11509018,0
20130429  15:00:00,0.11509018,0.11810634,0.11447108,0.11802697,0
20130430  09:30:00,0.11909056,0.12232896,0.1152648,0.12126537,0
20130430  10:00:00,0.12126537,0.1234243,0.11683638,0.1185667,0
20130430  11:00:00,0.1185667,0.11970966,0.1152648,0.1170745,0
20130430  12:00:00,0.1170745,0.11793172,0.1143917,0.11604265,0
20130430  13:00:00,0.11604265,0.11650301,0.11361385,0.11455045,0
20130430  14:00:00,0.11455045,0.11824921,0.11434408,0.11712212,0
20130430  15:00:00,0.11712212,0.11858257,0.11569341,0.11580453,0
20130501  09:30:00,0.11823333,0.12139236,0.11661413,0.1201224,0
20130501  10:00:00,0.1201224,0.12326555,0.11693162,0.11875719,0
20130501  11:00:00,0.11875719,0.12150348,0.11732849,0.11939217,0
20130501  12:00:00,0.11939217,0.12299569,0.11910643,0.12263057,0
20130501  13:00:00,0.12263057,0.12575785,0.12158286,0.12293219,0
20130501  14:00:00,0.12293219,0.12351955,0.11821746,0.12194797,0
20130501  15:00:00,0.12194797,0.12758342,0.12088438,0.12531337,0
20130502  09:30:00,0.12421802,0.125107,0.11928105,0.12097962,0
20130502  10:00:00,0.12097962,0.12115424,0.11637602,0.11761423,0
20130502  11:00:00,0.11761423,0.11839208,0.11485206,0.11639189,0
20130502  12:00:00,0.11639189,0.11778885,0.11491556,0.1161379,0
20130502  13:00:00,0.1161379,0.11732849,0.11355035,0.11572516,0
20130502  14:00:00,0.11572516,0.11743961,0.11396309,0.11456632,0
20130502  15:00:00,0.11456632,0.11582041,0.11297887,0.11496319,0
20130503  09:30:00,0.11001034,0.11424883,0.10669257,0.11424883,0
20130503  10:00:00,0.11424883,0.11636014,0.11021671,0.11045483,0
20130503  11:00:00,0.11045483,0.11129617,0.10874038,0.11032783,0
20130503  12:00:00,0.11032783,0.11075644,0.10708943,0.1080419,0
20130503  13:00:00,0.1080419,0.10962935,0.10708943,0.10769266,0
20130503  14:00:00,0.10769266,0.10899437,0.10699418,0.10732755,0
20130503  15:00:00,0.10732755,0.11028021,0.10705768,0.10769266,0
20130506  09:30:00,0.11045483,0.11193115,0.10870863,0.11107393,0
20130506  10:00:00,0.11107393,0.11185178,0.1081689,0.10988334,0
20130506  11:00:00,0.10988334,0.11048657,0.10610521,0.10643858,0
20130506  12:00:00,0.10643858,0.10745454,0.10532736,0.10597821,0
20130506  13:00:00,0.10597821,0.10683544,0.10415265,0.10496225,0
20130506  14:00:00,0.10496225,0.10624808,0.10407327,0.10580359,0
20130506  15:00:00,0.10580359,0.10626396,0.10454951,0.10537498,0
20130507  09:30:00,0.104867,0.10640683,0.10227945,0.10342242,0
20130507  10:00:00,0.10342242,0.10877213,0.10304143,0.10569247,0
20130507  11:00:00,0.10569247,0.10597821,0.10242232,0.10485112,0
20130507  12:00:00,0.10485112,0.10521624,0.09989828,0.10153335,0
20130507  13:00:00,0.10153335,0.10539086,0.0999459,0.10367641,0
20130507  14:00:00,0.10367641,0.10485112,0.10191434,0.10246995,0
20130507  15:00:00,0.10246995,0.10488287,0.10186672,0.10394628,0
20130508  09:30:00,0.10332717,0.10639095,0.10151748,0.1031843,0
20130508  10:00:00,0.1031843,0.10510512,0.10193022,0.10447014,0
20130508  11:00:00,0.10447014,0.10586709,0.10216833,0.10426377,0
20130508  12:00:00,0.10426377,0.10602584,0.10289856,0.10450189,0
20130508  13:00:00,0.10450189,0.10640683,0.10245407,0.10534323,0
20130508  14:00:00,0.10534323,0.10732755,0.10315255,0.10462888,0
20130508  15:00:00,0.10462888,0.1064862,0.1008825,0.10273981,0
20130509  09:30:00,0.10367641,0.10813715,0.10326367,0.1041209,0
20130509  10:00:00,0.1041209,0.108915,0.10294618,0.10704181,0
20130509  11:00:00,0.10704181,0.10862926,0.10454951,0.10658145,0
20130509  12:00:00,0.10658145,0.10745454,0.10347004,0.10421614,0
20130509  13:00:00,0.10421614,0.10505749,0.10102537,0.10191434,0
20130509  14:00:00,0.10191434,0.10931186,0.10118411,0.10862926,0
20130509  15:00:00,0.10862926,0.11150254,0.10464476,0.10843876,0
20130510  09:30:00,0.1055496,0.11262963,0.09810446,0.10537498,0
20130510  10:00:00,0.10537498,0.11242326,0.09802509,0.10643858,0
20130510  11:00:00,0.10643858,0.11158192,0.10166035,0.1071688,0
20130510  12:00:00,0.1071688,0.10993097,0.10440664,0.10678781,0
20130510  13:00:00,0.10678781,0.10854988,0.09962841,0.10315255,0
20130510  14:00:00,0.10315255,0.10537498,0.09713611,0.10221596,0
20130510  15:00:00,0.10221596,0.10427964,0.09737423,0.09804096,0
20130513  09:30:00,0.10478763,0.11223277,0.1024382,0.10774028,0
20130513  10:00:00,0.10774028,0.11294712,0.10521624,0.11132792,0
20130513  11:00:00,0.11132792,0.1128995,0.10413677,0.10750217,0
20130513  12:00:00,0.10750217,0.10937536,0.10623221,0.10853401,0
20130513  13:00:00,0.10853401,0.11077232,0.10707356,0.10947061,0
20130513  14:00:00,0.10947061,0.11097868,0.10602584,0.10759741,0
20130513  15:00:00,0.10759741,0.10961348,0.10616871,0.10813715,0
20130514  09:30:00,0.10789903,0.11351861,0.10488287,0.11020083,0
20130514  10:00:00,0.11020083,0.11434408,0.10685131,0.11188353,0
20130514  11:00:00,0.11188353,0.1130265,0.10939123,0.11031196,0
20130514  12:00:00,0.11031196,0.11159779,0.1080419,0.10926424,0
20130514  13:00:00,0.10926424,0.10993097,0.10743867,0.10864513,0
20130514  14:00:00,0.10864513,0.10958173,0.10754979,0.10823239,0
20130514  15:00:00,0.10823239,0.10904199,0.10581947,0.10697831,0
20130515  09:30:00,0.10893087,0.11174066,0.1073593,0.11072469,0
20130515  10:00:00,0.11072469,0.11175654,0.1071053,0.10740692,0
20130515  11:00:00,0.10740692,0.10967697,0.10451776,0.10967697,0
20130515  12:00:00,0.10967697,0.11670938,0.10867688,0.1160744,0
20130515  13:00:00,0.1160744,0.11705862,0.10740692,0.10859751,0
20130515  14:00:00,0.10859751,0.11048657,0.10674019,0.10942298,0
20130515  15:00:00,0.10942298,0.11072469,0.10750217,0.10904199,0
20130516  09:30:00,0.10991509,0.11389959,0.10862926,0.11234389,0
20130516  10:00:00,0.11234389,0.11543942,0.10867688,0.11012146,0
20130516  11:00:00,0.11012146,0.11012146,0.10326367,0.10543848,0
20130516  12:00:00,0.10543848,0.10764504,0.10512099,0.10691481,0
20130516  13:00:00,0.10691481,0.10862926,0.10593059,0.10731167,0
20130516  14:00:00,0.10731167,0.10786728,0.10508924,0.10720055,0
20130516  15:00:00,0.10720055,0.11099456,0.10608934,0.10977222,0
20130517  09:30:00,0.11216927,0.11394722,0.10858163,0.11018496,0
20130517  10:00:00,0.11018496,0.11089931,0.1065497,0.10847051,0
20130517  11:00:00,0.10847051,0.1114073,0.10670844,0.1081689,0
20130517  12:00:00,0.1081689,0.10934361,0.10613696,0.10734342,0
20130517  13:00:00,0.10734342,0.10850226,0.10518449,0.10761329,0
20130517  14:00:00,0.10761329,0.10937536,0.10585122,0.10702593,0
20130517  15:00:00,0.10702593,0.11199465,0.10656557,0.10894675,0
20130520  09:30:00,0.11515368,0.11845558,0.11369323,0.11805872,0
20130520  10:00:00,0.11805872,0.11939217,0.11331224,0.1138361,0
20130520  11:00:00,0.1138361,0.11828096,0.1080419,0.11431233,0
20130520  12:00:00,0.11431233,0.11713799,0.10674019,0.11318524,0
20130520  13:00:00,0.11318524,0.11826508,0.11232802,0.11467744,0
20130520  14:00:00,0.11467744,0.11858257,0.11269313,0.11672526,0
20130520  15:00:00,0.11672526,0.11740786,0.11191528,0.11486794,0
20130521  09:30:00,0.11455045,0.11820159,0.11123268,0.11523305,0
20130521  10:00:00,0.11523305,0.11997953,0.11247089,0.11577279,0
20130521  11:00:00,0.11577279,0.11828096,0.11316937,0.1177571,0
20130521  12:00:00,0.1177571,0.1177571,0.11393134,0.11586803,0
20130521  13:00:00,0.11586803,0.11645539,0.11264551,0.11597915,0
20130521  14:00:00,0.11597915,0.11983666,0.11345511,0.11872544,0
20130521  15:00:00,0.11872544,0.12067801,0.11691575,0.12067801,0
20130522  09:30:00,0.11990016,0.12177335,0.11678875,0.11794759,0
20130522  10:00:00,0.11794759,0.12605947,0.11678875,0.12234483,0
20130522  11:00:00,0.12234483,0.12490063,0.11702687,0.12209084,0
20130522  12:00:00,0.12209084,0.12394816,0.11780472,0.12001128,0
20130522  13:00:00,0.12001128,0.12723418,0.11942392,0.12561498,0
20130522  14:00:00,0.12561498,0.13358398,0.12182097,0.12861526,0
20130522  15:00:00,0.12861526,0.13180604,0.12544036,0.1282819,0
20130523  09:30:00,0.13683826,0.13837809,0.13193303,0.137251,0
20130523  10:00:00,0.137251,0.13923531,0.12823427,0.13348874,0
20130523  11:00:00,0.13348874,0.13371098,0.12778979,0.13148855,0
20130523  12:00:00,0.13148855,0.13359986,0.12837715,0.13156792,0
