date,open,high,low,close,volume
20130424  09:30:00,99.88,100.2,99.48,100.0,-1
20130424  10:00:00,100.0,100.44,99.24,99.36,-1
20130424  11:00:00,99.36,99.84,99.24,99.36,-1
20130424  12:00:00,99.36,99.8,99.24,99.56,-1
20130424  13:00:00,99.56,99.56,99.16,99.24,-1
20130424  14:00:00,99.24,99.24,98.88,99.0,-1
20130424  15:00:00,99.0,99.96,98.96,99.8,-1
20130425  09:30:00,98.76,99.48,98.6,98.96,-1
20130425  10:00:00,98.96,98.96,98.44,98.6,-1
20130425  11:00:00,98.6,99.24,98.52,98.96,-1
20130425  12:00:00,98.96,98.96,98.6,98.68,-1
20130425  13:00:00,98.68,98.76,98.48,98.52,-1
20130425  14:00:00,98.52,99.96,98.48,99.72,-1
20130425  15:00:00,99.72,100.44,99.44,99.8,-1
20130426  09:30:00,100.64,100.64,99.64,99.8,-1
20130426  10:00:00,99.8,100.6,99.68,100.24,-1
20130426  11:00:00,100.24,100.4,100.0,100.32,-1
20130426  12:00:00,100.32,100.36,99.72,99.72,-1
20130426  13:00:00,99.72,99.76,99.24,99.32,-1
20130426  14:00:00,99.32,100.32,99.32,99.64,-1
20130426  15:00:00,99.64,99.72,99.4,99.44,-1
20130429  09:30:00,98.6,99.2,98.56,98.56,-1
20130429  10:00:00,98.56,99.12,98.12,98.4,-1
20130429  11:00:00,98.4,98.52,97.72,97.72,-1
20130429  12:00:00,97.72,97.8,97.36,97.64,-1
20130429  13:00:00,97.64,98.08,97.6,97.6,-1
20130429  14:00:00,97.6,98.32,97.6,97.88,-1
20130429  15:00:00,97.88,99.2,97.88,98.88,-1
20130430  09:30:00,99.24,99.72,99.08,99.48,-1
20130430  10:00:00,99.48,99.88,98.96,99.12,-1
20130430  11:00:00,99.12,99.12,98.28,98.4,-1
20130430  12:00:00,98.4,98.76,98.16,98.2,-1
20130430  13:00:00,98.2,99.0,98.16,98.72,-1
20130430  14:00:00,98.72,99.04,98.6,98.6,-1
20130430  15:00:00,98.6,98.64,98.16,98.44,-1
20130501  09:30:00,99.16,99.52,98.96,99.32,-1
20130501  10:00:00,99.32,99.64,99.0,99.44,-1
20130501  11:00:00,99.44,99.6,99.12,99.32,-1
20130501  12:00:00,99.32,99.56,99.12,99.56,-1
20130501  13:00:00,99.56,99.88,99.36,99.56,-1
20130501  14:00:00,99.56,99.72,99.08,99.56,-1
20130501  15:00:00,99.56,100.8,99.56,100.64,-1
20130502  09:30:00,100.2,100.72,99.88,100.72,-1
20130502  10:00:00,100.72,100.72,99.72,99.8,-1
20130502  11:00:00,99.8,99.8,99.32,99.36,-1
20130502  12:00:00,99.36,99.64,99.32,99.32,-1
20130502  13:00:00,99.32,99.32,99.04,99.08,-1
20130502  14:00:00,99.08,99.2,98.64,99.04,-1
20130502  15:00:00,99.04,99.32,99.0,99.32,-1
20130503  09:30:00,98.4,99.0,98.28,98.96,-1
20130503  10:00:00,98.96,99.2,98.56,98.84,-1
20130503  11:00:00,98.84,99.0,98.6,98.76,-1
20130503  12:00:00,98.76,98.76,98.64,98.76,-1
20130503  13:00:00,98.76,99.08,98.76,99.04,-1
20130503  14:00:00,99.04,99.32,99.0,99.12,-1
20130503  15:00:00,99.12,99.44,98.92,99.04,-1
20130506  09:30:00,99.12,99.16,98.72,98.88,-1
20130506  10:00:00,98.88,98.88,98.08,98.12,-1
20130506  11:00:00,98.12,98.16,97.76,97.76,-1
20130506  12:00:00,97.76,97.84,97.6,97.6,-1
20130506  13:00:00,97.6,97.84,97.6,97.84,-1
20130506  14:00:00,97.84,97.84,97.24,97.24,-1
20130506  15:00:00,97.24,97.8,97.24,97.52,-1
20130507  09:30:00,96.2,96.52,96.04,96.36,-1
20130507  10:00:00,96.36,96.8,96.2,96.56,-1
20130507  11:00:00,96.56,96.76,96.44,96.56,-1
20130507  12:00:00,96.56,96.56,96.12,96.2,-1
20130507  13:00:00,96.2,96.4,96.0,96.36,-1
20130507  14:00:00,96.36,96.56,96.36,96.48,-1
20130507  15:00:00,96.48,96.48,96.2,96.28,-1
20130508  09:30:00,96.76,96.96,96.48,96.48,-1
20130508  10:00:00,96.48,96.48,96.12,96.4,-1
20130508  11:00:00,96.4,96.56,96.16,96.56,-1
20130508  12:00:00,96.56,96.88,96.48,96.84,-1
20130508  13:00:00,96.84,96.92,96.6,96.88,-1
20130508  14:00:00,96.88,97.52,96.68,97.4,-1
20130508  15:00:00,97.4,97.52,96.56,96.6,-1
20130509  09:30:00,97.32,97.56,97.16,97.44,-1
20130509  10:00:00,97.44,98.32,97.44,97.96,-1
20130509  11:00:00,97.96,98.0,97.6,97.68,-1
20130509  12:00:00,97.68,97.88,97.52,97.52,-1
