date,open,high,low,close,volume
20130424  09:30:00,99.56,99.92,99.28,99.72,-1
20130424  10:00:00,99.72,100.16,98.96,99.08,-1
20130424  11:00:00,99.08,99.56,98.96,99.24,-1
20130424  12:00:00,99.24,99.52,99.12,99.4,-1
20130424  13:00:00,99.4,99.44,98.88,99.12,-1
20130424  14:00:00,99.12,99.12,98.8,98.8,-1
20130424  15:00:00,98.8,99.68,98.8,99.56,-1
20130425  09:30:00,98.32,99.0,98.24,98.56,-1
20130425  10:00:00,98.56,98.64,97.96,98.2,-1
20130425  11:00:00,98.2,98.88,98.2,98.52,-1
20130425  12:00:00,98.52,98.64,98.28,98.44,-1
20130425  13:00:00,98.44,98.56,98.2,98.36,-1
20130425  14:00:00,98.36,99.72,98.2,99.56,-1
20130425  15:00:00,99.56,99.96,99.08,99.56,-1
20130426  09:30:00,100.28,100.52,99.44,99.48,-1
20130426  10:00:00,99.48,100.32,99.36,99.96,-1
20130426  11:00:00,99.96,100.04,99.68,99.96,-1
20130426  12:00:00,99.96,100.0,99.36,99.36,-1
20130426  13:00:00,99.36,99.44,98.96,99.08,-1
20130426  14:00:00,99.08,99.96,99.08,99.4,-1
20130426  15:00:00,99.4,99.44,99.16,99.16,-1
20130429  09:30:00,98.28,98.8,97.96,98.08,-1
20130429  10:00:00,98.08,98.84,97.96,98.16,-1
20130429  11:00:00,98.16,98.28,97.6,97.6,-1
20130429  12:00:00,97.6,97.6,97.08,97.6,-1
20130429  13:00:00,97.6,97.96,97.4,97.52,-1
20130429  14:00:00,97.52,98.2,97.52,97.68,-1
20130429  15:00:00,97.68,99.0,97.68,98.56,-1
20130430  09:30:00,98.88,99.56,98.8,99.24,-1
20130430  10:00:00,99.24,99.56,98.68,98.92,-1
20130430  11:00:00,98.92,98.92,98.04,98.16,-1
20130430  12:00:00,98.16,98.52,97.96,97.96,-1
20130430  13:00:00,97.96,98.76,97.88,98.4,-1
20130430  14:00:00,98.4,98.76,98.28,98.28,-1
20130430  15:00:00,98.28,98.32,97.84,98.16,-1
20130501  09:30:00,98.8,99.08,98.72,98.84,-1
20130501  10:00:00,98.84,99.32,98.72,99.28,-1
20130501  11:00:00,99.28,99.44,98.92,99.24,-1
20130501  12:00:00,99.24,99.36,98.96,99.36,-1
20130501  13:00:00,99.36,99.68,99.04,99.08,-1
20130501  14:00:00,99.08,99.48,98.88,99.28,-1
20130501  15:00:00,99.28,100.56,99.28,100.36,-1
20130502  09:30:00,99.88,100.44,99.52,100.44,-1
20130502  10:00:00,100.44,100.56,99.48,99.48,-1
20130502  11:00:00,99.48,99.56,99.0,99.12,-1
20130502  12:00:00,99.12,99.32,99.08,99.08,-1
20130502  13:00:00,99.08,99.08,98.76,98.84,-1
20130502  14:00:00,98.84,98.96,98.48,98.76,-1
20130502  15:00:00,98.76,99.16,98.68,99.08,-1
20130503  09:30:00,98.04,98.76,98.0,98.4,-1
20130503  10:00:00,98.4,98.96,98.32,98.6,-1
20130503  11:00:00,98.6,98.84,98.32,98.44,-1
20130503  12:00:00,98.44,98.48,98.4,98.48,-1
20130503  13:00:00,98.48,98.92,98.44,98.92,-1
20130503  14:00:00,98.92,99.12,98.72,98.84,-1
20130503  15:00:00,98.84,99.2,98.64,98.8,-1
