date,open,high,low,close,volume
20130426  09:30:00,0.33982559,0.33982559,0.32761809,0.33260269,0
20130426  10:00:00,0.33260269,0.33841276,0.33118986,0.33480925,0
20130426  11:00:00,0.33480925,0.33644432,0.32941191,0.33453938,0
20130426  12:00:00,0.33453938,0.334714,0.32869756,0.32965003,0
20130426  13:00:00,0.32965003,0.33484099,0.32687199,0.32931667,0
20130426  14:00:00,0.32931667,0.33419014,0.32806258,0.33045963,0
20130426  15:00:00,0.33045963,0.33855563,0.33018976,0.33587284,0
20130429  09:30:00,0.38860795,0.38860795,0.38860795,0.38860795,0
20130429  10:00:00,0.38860795,0.40184729,0.31979196,0.32117304,0
20130429  11:00:00,0.32117304,0.34327036,0.28574114,0.34254013,0
20130429  12:00:00,0.34254013,0.34336561,0.33593634,0.33928586,0
20130429  13:00:00,0.33928586,0.3396351,0.33298368,0.33811114,0
20130429  14:00:00,0.33811114,0.33811114,0.32760222,0.33628557,0
20130429  15:00:00,0.33628557,0.33812702,0.32112542,0.32777684,0
20130430  09:30:00,0.31828388,0.32444319,0.31139435,0.31742666,0
20130430  10:00:00,0.31742666,0.32890393,0.31115623,0.32657038,0
20130430  11:00:00,0.32657038,0.3315391,0.32298274,0.32658625,0
20130430  12:00:00,0.32658625,0.32941191,0.322697,0.32850707,0
20130430  13:00:00,0.32850707,0.32857056,0.31880774,0.32603064,0
20130430  14:00:00,0.32603064,0.32922142,0.31901411,0.32922142,0
20130430  15:00:00,0.32922142,0.33269794,0.32603064,0.3322852,0
20130501  09:30:00,0.34315924,0.34534992,0.34127017,0.34395296,0
20130501  10:00:00,0.34395296,0.34454032,0.33901599,0.34173053,0
20130501  11:00:00,0.34173053,0.34357197,0.3394446,0.34300049,0
20130501  12:00:00,0.34300049,0.34352435,0.34039707,0.34047644,0
20130501  13:00:00,0.34047644,0.34369897,0.33619033,0.34369897,0
20130501  14:00:00,0.34369897,0.34508005,0.31583921,0.31671231,0
20130501  15:00:00,0.31671231,0.31671231,0.29224969,0.31561697,0
20130502  09:30:00,0.3281737,0.33292018,0.32110955,0.32780859,0
20130502  10:00:00,0.32780859,0.33087237,0.32585602,0.32788796,0
20130502  11:00:00,0.32788796,0.33045963,0.32496705,0.33026914,0
20130502  12:00:00,0.33026914,0.33252332,0.32939604,0.32944366,0
20130502  13:00:00,0.32944366,0.32980878,0.32312561,0.32949129,0
20130502  14:00:00,0.32949129,0.33038026,0.32291924,0.32545916,0
20130502  15:00:00,0.32545916,0.32996752,0.32510992,0.32920554,0
20130503  15:00:00,0.37913087,0.39016365,0.32630051,0.35536673,0
20130506  09:30:00,0.31990308,0.3250623,0.31710917,0.32183977,0
20130506  10:00:00,0.32183977,0.32833245,0.31548997,0.32609414,0
20130506  11:00:00,0.32609414,0.32609414,0.31899824,0.32172865,0
20130506  12:00:00,0.32172865,0.32285574,0.32172865,0.32285574,0
20130506  13:00:00,0.32285574,0.32285574,0.3208873,0.32122067,0
20130506  14:00:00,0.32122067,0.32212551,0.32028407,0.32036344,0
20130506  15:00:00,0.32036344,0.32180802,0.31853787,0.31980784,0
20130507  09:30:00,0.28710635,0.30334597,0.28402669,0.29386889,0
20130507  10:00:00,0.29386889,0.31887124,0.28145502,0.30477468,0
20130507  11:00:00,0.30477468,0.30613988,0.29417051,0.30277449,0
20130507  12:00:00,0.30277449,0.30988627,0.29164646,0.30079018,0
20130507  13:00:00,0.30079018,0.30883855,0.27854999,0.27924847,0
20130507  14:00:00,0.27924847,0.27924847,0.26577101,0.26905703,0
20130507  15:00:00,0.26905703,0.26905703,0.2677077,0.2677712,0
20130508  09:30:00,0.34520705,0.36774885,0.34317511,0.34820733,0
20130508  10:00:00,0.34820733,0.34820733,0.32539566,0.32539566,0
20130508  11:00:00,0.32539566,0.33361866,0.31760128,0.31760128,0
20130508  12:00:00,0.31760128,0.34808033,0.3111721,0.34746123,0
20130508  13:00:00,0.34746123,0.34844545,0.34631826,0.34690562,0
20130508  14:00:00,0.34690562,0.36090694,0.33450763,0.34500068,0
20130508  15:00:00,0.34500068,0.35006465,0.34312749,0.35006465,0
20130509  09:30:00,0.33061838,0.33353928,0.3193316,0.32187152,0
20130509  10:00:00,0.32187152,0.32618939,0.32156991,0.32398283,0
20130509  11:00:00,0.32398283,0.3258084,0.32342722,0.32457019,0
20130509  12:00:00,0.32457019,0.32684024,0.32409395,0.32684024,0
20130509  13:00:00,0.32684024,0.32882456,0.32401458,0.32495118,0
20130509  14:00:00,0.32495118,0.35177909,0.322697,0.35177909,0
20130509  15:00:00,0.35177909,0.35230295,0.3178394,0.32869756,0
20130513  11:00:00,0.31234682,0.31234682,0.30315548,0.30361584,0
20130513  12:00:00,0.30361584,0.30814007,0.30218713,0.30814007,0
20130513  13:00:00,0.30814007,0.31193408,0.30747334,0.31014026,0
20130513  14:00:00,0.31014026,0.31337866,0.30810832,0.3129818,0
20130513  15:00:00,0.3129818,0.31344216,0.31225157,0.31288655,0
20130514  09:30:00,0.35039801,0.35042976,0.34885818,0.34893756,0
20130514  10:00:00,0.34893756,0.34914393,0.34325448,0.34484193,0
20130514  11:00:00,0.34484193,0.34490543,0.3377619,0.34220677,0
20130514  12:00:00,0.34220677,0.34273062,0.33838101,0.33892074,0
20130514  13:00:00,0.33892074,0.33909536,0.3282372,0.33152322,0
20130514  14:00:00,0.33152322,0.33347579,0.33063425,0.33168197,0
20130514  15:00:00,0.33168197,0.33577759,0.32880868,0.33553947,0
20130515  09:30:00,0.32769747,0.3314756,0.32257,0.33126923,0
20130515  10:00:00,0.33126923,0.33711105,0.33074537,0.33512674,0
20130515  11:00:00,0.33512674,0.33687293,0.33204708,0.33398377,0
20130515  12:00:00,0.33398377,0.33398377,0.32623701,0.32860231,0
20130515  13:00:00,0.32860231,0.32887218,0.32074443,0.32226838,0
20130515  14:00:00,0.32226838,0.33482512,0.32226838,0.32977703,0
20130515  15:00:00,0.32977703,0.33328529,0.32612589,0.32903092,0
20130516  09:30:00,0.32620526,0.34281,0.32525279,0.34281,0
20130516  10:00:00,0.34281,0.34639764,0.2532619,0.33041201,0
20130516  11:00:00,0.33041201,0.3331583,0.32393521,0.33068187,0
20130516  12:00:00,0.33068187,0.33330117,0.32990402,0.33096761,0
20130516  13:00:00,0.33096761,0.33422189,0.32957066,0.33323767,0
20130516  14:00:00,0.33323767,0.33368216,0.32842769,0.33028501,0
20130516  15:00:00,0.33028501,0.33285668,0.3170298,0.32653863,0
20130517  09:30:00,0.33107874,0.34057169,0.32533216,0.3362697,0
20130517  10:00:00,0.3362697,0.34176228,0.32198264,0.32303036,0
20130517  11:00:00,0.32303036,0.32731648,0.3225065,0.3225065,0
20130517  12:00:00,0.3225065,0.32304624,0.31752191,0.31952209,0
20130517  13:00:00,0.31952209,0.3281102,0.31952209,0.32747522,0
20130517  14:00:00,0.32747522,0.32784034,0.31958559,0.31958559,0
20130517  15:00:00,0.31958559,0.32428445,0.31406126,0.31477562,0
20130520  09:30:00,0.33553947,0.34055582,0.33349166,0.33361866,0
20130520  10:00:00,0.33361866,0.33538073,0.33076125,0.33199946,0
20130520  11:00:00,0.33199946,0.33523786,0.3314121,0.334587,0
20130520  12:00:00,0.334587,0.334587,0.27778801,0.32596714,0
20130520  13:00:00,0.32596714,0.33942873,0.31960147,0.33411077,0
20130520  14:00:00,0.33411077,0.33803177,0.33114223,0.33177721,0
20130520  15:00:00,0.33177721,0.33923823,0.32684024,0.33873025,0
20130521  09:30:00,0.33380915,0.33758728,0.33118986,0.33501561,0
20130521  10:00:00,0.33501561,0.33612683,0.30486992,0.33538073,0
20130521  11:00:00,0.33538073,0.33544423,0.32969765,0.33439651,0
20130521  12:00:00,0.33439651,0.33884137,0.33033263,0.33490449,0
20130521  13:00:00,0.33490449,0.33766666,0.3288563,0.33765078,0
20130521  14:00:00,0.33765078,0.33828576,0.3314756,0.33449176,0
20130521  15:00:00,0.33449176,0.33831751,0.3306025,0.33338054,0
20130522  09:30:00,0.33199946,0.34250838,0.33158672,0.34190515,0
20130522  10:00:00,0.34190515,0.34292112,0.32860231,0.33750791,0
20130522  11:00:00,0.33750791,0.3385715,0.33101524,0.33531723,0
20130522  12:00:00,0.33531723,0.33855563,0.33184071,0.33519023,0
20130522  13:00:00,0.33519023,0.3427465,0.32939604,0.33314242,0
20130522  14:00:00,0.33314242,0.34138129,0.33057075,0.33455525,0
20130522  15:00:00,0.33455525,0.34165116,0.32745935,0.33399965,0
20130523  09:30:00,0.34128604,0.34152416,0.31188646,0.33579346,0
20130523  10:00:00,0.33579346,0.34020658,0.33117398,0.33855563,0
20130523  11:00:00,0.33855563,0.33922236,0.33068187,0.33671419,0
20130523  12:00:00,0.33671419,0.33901599,0.33090412,0.33628557,0
20130523  13:00:00,0.33628557,0.33974622,0.3291738,0.33687293,0
20130523  14:00:00,0.33687293,0.33988909,0.33109461,0.33555535,0
20130523  15:00:00,0.33555535,0.33846038,0.33093587,0.33807939,0
20130524  09:30:00,0.33355516,0.33987321,0.33099936,0.33517436,0
20130524  10:00:00,0.33517436,0.34052407,0.33204708,0.33299955,0
20130524  11:00:00,0.33299955,0.34298462,0.33236457,0.34298462,0
20130524  12:00:00,0.34298462,0.34311161,0.33276143,0.33331704,0
20130524  13:00:00,0.33331704,0.33984146,0.33298368,0.3388255,0
20130524  14:00:00,0.3388255,0.34139717,0.33131685,0.33592046,0
20130524  15:00:00,0.33592046,0.33953985,0.33177721,0.3320947,0
20130528  09:30:00,0.33599983,0.34066694,0.33357103,0.33847626,0
20130528  10:00:00,0.33847626,0.34087331,0.33441238,0.34004783,0
20130528  11:00:00,0.34004783,0.3436831,0.33474575,0.3355871,0
20130528  12:00:00,0.3355871,0.33873025,0.33049138,0.33317417,0
20130528  13:00:00,0.33317417,0.3395081,0.33304718,0.33436476,0
20130528  14:00:00,0.33436476,0.34220677,0.33084062,0.33611096,0
20130528  15:00:00,0.33611096,0.33961922,0.33365041,0.33607921,0
20130529  09:30:00,0.33131685,0.33980972,0.33079299,0.33739679,0
20130529  10:00:00,0.33739679,0.34034945,0.33111049,0.33449176,0
20130529  11:00:00,0.33449176,0.33888899,0.33122161,0.3379524,0
20130529  12:00:00,0.3379524,0.3380159,0.33293605,0.33638082,0
20130529  13:00:00,0.33638082,0.34071456,0.3320947,0.34053994,0
20130529  14:00:00,0.34053994,0.34053994,0.33190421,0.33873025,0
20130529  15:00:00,0.33873025,0.34233376,0.33158672,0.33272968,0
20130530  09:30:00,0.34023833,0.34023833,0.33436476,0.3362697,0
20130530  10:00:00,0.3362697,0.33990496,0.33488862,0.33596808,0
20130530  11:00:00,0.33596808,0.33893662,0.33172959,0.33738092,0
20130530  12:00:00,0.33738092,0.33915886,0.33122161,0.33155497,0
20130530  13:00:00,0.33155497,0.33903186,0.3307295,0.33771428,0
20130530  14:00:00,0.33771428,0.33928586,0.33585696,0.33912711,0
20130530  15:00:00,0.33912711,0.3393811,0.33106286,0.33369803,0
20130531  09:30:00,0.33663481,0.34133367,0.33372978,0.33993671,0
20130531  10:00:00,0.33993671,0.34177815,0.33407902,0.33485687,0
20130531  11:00:00,0.33485687,0.34061932,0.33298368,0.33438063,0
20130531  12:00:00,0.33438063,0.33942873,0.33436476,0.33592046,0
20130531  13:00:00,0.33592046,0.33998433,0.33414252,0.33550772,0
20130531  14:00:00,0.33550772,0.33955572,0.33087237,0.33699993,0
20130531  15:00:00,0.33699993,0.34107968,0.33252332,0.33879375,0
20130603  09:30:00,0.33466637,0.34155591,0.33107874,0.33917474,0
20130603  10:00:00,0.33917474,0.34179403,0.33374565,0.33771428,0
20130603  11:00:00,0.33771428,0.34004783,0.31871249,0.33811114,0
20130603  12:00:00,0.33811114,0.34179403,0.33653957,0.33755554,0
20130603  13:00:00,0.33755554,0.34092093,0.33501561,0.3393811,0
20130603  14:00:00,0.3393811,0.34028595,0.3355236,0.33641257,0
20130603  15:00:00,0.33641257,0.34122255,0.33461875,0.33461875,0
20130604  09:30:00,0.33873025,0.34177815,0.33469812,0.33839688,0
20130604  10:00:00,0.33839688,0.34165116,0.33204708,0.33588871,0
20130604  11:00:00,0.33588871,0.34215914,0.33534898,0.33911124,0
20130604  12:00:00,0.33911124,0.33980972,0.33553947,0.33555535,0
20130604  13:00:00,0.33555535,0.34312749,0.33206296,0.33641257,0
20130604  14:00:00,0.33641257,0.34312749,0.33523786,0.33909536,0
20130604  15:00:00,0.33909536,0.34230201,0.33525373,0.34065106,0
20130605  09:30:00,0.34036532,0.34190515,0.33561885,0.34009546,0
20130605  10:00:00,0.34009546,0.34152416,0.33606333,0.3403812,0
