date,open,high,low,close,volume
20130419  09:30:00,4684.0,4716.0,4620.0,4648.0,-1
20130419  10:00:00,4648.0,4688.0,4536.0,4540.0,-1
20130419  11:00:00,4540.0,4540.0,4444.0,4488.0,-1
20130419  12:00:00,4488.0,4528.0,4472.0,4516.0,-1
20130419  13:00:00,4516.0,4568.0,4504.0,4516.0,-1
20130419  14:00:00,4516.0,4516.0,4476.0,4508.0,-1
20130419  15:00:00,4508.0,4512.0,4380.0,4416.0,-1
20130422  09:30:00,4440.0,4488.0,4396.0,4440.0,-1
20130422  10:00:00,4440.0,4540.0,4432.0,4432.0,-1
20130422  11:00:00,4432.0,4452.0,4352.0,4376.0,-1
20130422  12:00:00,4376.0,4376.0,4312.0,4336.0,-1
20130422  13:00:00,4336.0,4372.0,4324.0,4356.0,-1
20130422  14:00:00,4356.0,4356.0,4268.0,4296.0,-1
20130422  15:00:00,4296.0,4340.0,4268.0,4320.0,-1
20130423  09:30:00,4180.0,4196.0,4132.0,4148.0,-1
20130423  10:00:00,4148.0,4160.0,4120.0,4132.0,-1
20130423  11:00:00,4132.0,4132.0,4080.0,4104.0,-1
20130423  12:00:00,4104.0,4136.0,4100.0,4116.0,-1
20130423  13:00:00,4116.0,4508.0,4116.0,4136.0,-1
20130423  14:00:00,4136.0,4168.0,4104.0,4124.0,-1
20130423  15:00:00,4124.0,4124.0,4088.0,4096.0,-1
20130424  09:30:00,4108.0,4128.0,4084.0,4108.0,-1
20130424  10:00:00,4108.0,4148.0,4076.0,4092.0,-1
20130424  11:00:00,4092.0,4128.0,4088.0,4096.0,-1
20130424  12:00:00,4096.0,4112.0,4080.0,4108.0,-1
20130424  13:00:00,4108.0,4108.0,4056.0,4072.0,-1
20130424  14:00:00,4072.0,4076.0,4056.0,4060.0,-1
20130424  15:00:00,4060.0,4132.0,4056.0,4124.0,-1
20130425  09:30:00,4068.0,4112.0,4060.0,4084.0,-1
20130425  10:00:00,4084.0,4088.0,4052.0,4068.0,-1
20130425  11:00:00,4068.0,4108.0,4064.0,4092.0,-1
20130425  12:00:00,4092.0,4096.0,4064.0,4072.0,-1
20130425  13:00:00,4072.0,4080.0,4060.0,4072.0,-1
20130425  14:00:00,4072.0,4140.0,4072.0,4124.0,-1
20130425  15:00:00,4124.0,4184.0,4116.0,4156.0,-1
20130426  09:30:00,4204.0,4240.0,4180.0,4184.0,-1
20130426  10:00:00,4184.0,4256.0,4168.0,4224.0,-1
20130426  11:00:00,4224.0,4248.0,4208.0,4240.0,-1
20130426  12:00:00,4240.0,4252.0,4196.0,4200.0,-1
20130426  13:00:00,4200.0,4200.0,4152.0,4168.0,-1
20130426  14:00:00,4168.0,4224.0,4164.0,4172.0,-1
20130426  15:00:00,4172.0,4172.0,4144.0,4160.0,-1
20130429  09:30:00,4092.0,4120.0,4084.0,4108.0,-1
20130429  10:00:00,4108.0,4132.0,4084.0,4096.0,-1
20130429  11:00:00,4096.0,4116.0,4084.0,4084.0,-1
20130429  12:00:00,4084.0,4092.0,4060.0,4092.0,-1
20130429  13:00:00,4092.0,4096.0,4076.0,4084.0,-1
20130429  14:00:00,4084.0,4116.0,4080.0,4096.0,-1
20130429  15:00:00,4096.0,4164.0,4092.0,4136.0,-1
20130430  09:30:00,4132.0,4180.0,4128.0,4176.0,-1
20130430  10:00:00,4176.0,4200.0,4136.0,4152.0,-1
20130430  11:00:00,4152.0,4160.0,4108.0,4124.0,-1
20130430  12:00:00,4124.0,4148.0,4104.0,4108.0,-1
20130430  13:00:00,4108.0,4128.0,4100.0,4108.0,-1
20130430  14:00:00,4108.0,4140.0,4104.0,4104.0,-1
20130430  15:00:00,4104.0,4124.0,4084.0,4092.0,-1
20130501  09:30:00,4128.0,4156.0,4120.0,4152.0,-1
20130501  10:00:00,4152.0,4192.0,4128.0,4144.0,-1
20130501  11:00:00,4144.0,4164.0,4140.0,4148.0,-1
20130501  12:00:00,4148.0,4176.0,4144.0,4176.0,-1
20130501  13:00:00,4176.0,4200.0,4164.0,4192.0,-1
20130501  14:00:00,4192.0,4192.0,4132.0,4164.0,-1
20130501  15:00:00,4164.0,4272.0,4156.0,4272.0,-1
20130502  09:30:00,4200.0,4212.0,4164.0,4196.0,-1
20130502  10:00:00,4196.0,4200.0,4152.0,4168.0,-1
20130502  11:00:00,4168.0,4168.0,4124.0,4140.0,-1
20130502  12:00:00,4140.0,4164.0,4132.0,4140.0,-1
20130502  13:00:00,4140.0,4144.0,4128.0,4132.0,-1
20130502  14:00:00,4132.0,4144.0,4108.0,4116.0,-1
20130502  15:00:00,4116.0,4128.0,4108.0,4124.0,-1
20130503  09:30:00,4032.0,4056.0,4012.0,4056.0,-1
20130503  10:00:00,4056.0,4068.0,4024.0,4044.0,-1
20130503  11:00:00,4044.0,4056.0,4036.0,4040.0,-1
