date,open,high,low,close,volume
20130419  09:30:00,4680.0,4712.0,4616.0,4644.0,-1
20130419  10:00:00,4644.0,4684.0,4532.0,4536.0,-1
20130419  11:00:00,4536.0,4536.0,4440.0,4484.0,-1
20130419  12:00:00,4484.0,4524.0,4468.0,4512.0,-1
20130419  13:00:00,4512.0,4564.0,4500.0,4512.0,-1
20130419  14:00:00,4512.0,4512.0,4472.0,4504.0,-1
20130419  15:00:00,4504.0,4504.0,4376.0,4408.0,-1
20130422  09:30:00,4436.0,4484.0,4392.0,4424.0,-1
20130422  10:00:00,4424.0,4536.0,4420.0,4424.0,-1
20130422  11:00:00,4424.0,4444.0,4348.0,4372.0,-1
20130422  12:00:00,4372.0,4372.0,4308.0,4332.0,-1
20130422  13:00:00,4332.0,4368.0,4320.0,4352.0,-1
20130422  14:00:00,4352.0,4352.0,4264.0,4288.0,-1
20130422  15:00:00,4288.0,4336.0,4260.0,4316.0,-1
20130423  09:30:00,4176.0,4192.0,4128.0,4140.0,-1
20130423  10:00:00,4140.0,4152.0,4116.0,4128.0,-1
20130423  11:00:00,4128.0,4128.0,4076.0,4100.0,-1
20130423  12:00:00,4100.0,4132.0,4096.0,4112.0,-1
20130423  13:00:00,4112.0,4452.0,4112.0,4132.0,-1
20130423  14:00:00,4132.0,4164.0,4100.0,4120.0,-1
20130423  15:00:00,4120.0,4120.0,4084.0,4092.0,-1
20130424  09:30:00,4104.0,4124.0,4080.0,4104.0,-1
20130424  10:00:00,4104.0,4144.0,4072.0,4088.0,-1
20130424  11:00:00,4088.0,4124.0,4084.0,4092.0,-1
20130424  12:00:00,4092.0,4108.0,4076.0,4104.0,-1
20130424  13:00:00,4104.0,4104.0,4052.0,4068.0,-1
20130424  14:00:00,4068.0,4072.0,4052.0,4052.0,-1
20130424  15:00:00,4052.0,4128.0,4052.0,4120.0,-1
20130425  09:30:00,4064.0,4108.0,4056.0,4080.0,-1
20130425  10:00:00,4080.0,4084.0,4048.0,4064.0,-1
20130425  11:00:00,4064.0,4104.0,4060.0,4084.0,-1
20130425  12:00:00,4084.0,4092.0,4060.0,4068.0,-1
20130425  13:00:00,4068.0,4076.0,4056.0,4068.0,-1
