date,open,high,low,close,volume
20130422  09:30:00,15.08,15.53,14.92,15.32,0
20130422  10:00:00,15.3,16.0,15.3,15.56,0
20130422  11:00:00,15.55,15.55,15.03,15.03,0
20130422  12:00:00,15.04,15.05,14.72,14.76,0
20130422  13:00:00,14.77,14.86,14.69,14.72,0
20130422  14:00:00,14.73,14.73,14.04,14.31,0
20130422  15:00:00,14.32,14.35,14.24,14.24,0
20130422  16:00:00,14.25,14.39,14.24,14.39,0
20130423  09:30:00,13.81,13.81,13.46,13.71,0
20130423  10:00:00,13.67,13.71,13.52,13.71,0
20130423  11:00:00,13.7,13.72,13.54,13.54,0
20130423  12:00:00,13.53,13.64,13.5,13.63,0
20130423  13:00:00,13.64,14.87,13.56,13.7,0
20130423  14:00:00,13.69,13.9,13.54,13.77,0
20130423  15:00:00,13.76,13.77,13.48,13.48,0
20130423  16:00:00,13.5,13.52,13.48,13.48,0
20130424  09:30:00,13.57,13.57,13.38,13.48,0
20130424  10:00:00,13.47,13.75,13.41,13.51,0
20130424  11:00:00,13.5,13.65,13.48,13.54,0
20130424  12:00:00,13.55,13.63,13.55,13.6,0
20130424  13:00:00,13.61,13.61,13.46,13.47,0
20130424  14:00:00,13.48,13.49,13.38,13.39,0
20130424  15:00:00,13.38,13.73,13.36,13.68,0
20130424  16:00:00,13.67,13.67,13.53,13.61,0
20130425  09:30:00,13.61,13.61,13.61,13.61,0
20130425  10:00:00,13.65,13.65,13.25,13.33,0
20130425  11:00:00,13.32,13.36,13.31,13.36,0
20130425  12:00:00,13.28,13.28,13.27,13.28,0
20130425  13:00:00,13.27,13.28,13.14,13.14,0
20130425  14:00:00,13.13,13.57,13.13,13.57,0
20130425  15:00:00,13.58,13.87,13.58,13.74,0
20130425  16:00:00,13.7,13.7,13.62,13.62,0
20130426  09:30:00,13.94,14.04,13.75,13.79,0
20130426  10:00:00,13.78,14.14,13.76,14.11,0
20130426  11:00:00,14.1,14.14,13.94,14.12,0
20130426  12:00:00,14.13,14.18,13.99,13.99,0
20130426  13:00:00,14.0,14.0,13.79,13.79,0
20130426  14:00:00,13.78,13.8,13.7,13.7,0
20130426  15:00:00,13.71,13.71,13.49,13.56,0
20130426  16:00:00,13.58,13.62,13.58,13.61,0
20130429  09:30:00,13.72,13.94,13.68,13.68,0
20130429  10:00:00,13.69,13.7,13.46,13.47,0
20130429  11:00:00,13.46,13.49,13.45,13.46,0
20130429  12:00:00,13.45,13.46,13.36,13.46,0
20130429  13:00:00,13.47,13.5,13.4,13.41,0
20130429  14:00:00,13.42,13.51,13.4,13.51,0
20130429  15:00:00,13.5,13.82,13.5,13.68,0
20130429  16:00:00,13.77,13.77,13.71,13.71,0
20130430  09:30:00,13.71,14.13,13.7,14.07,0
20130430  10:00:00,14.12,14.28,13.85,13.89,0
20130430  11:00:00,13.88,13.94,13.74,13.76,0
20130430  12:00:00,13.75,13.8,13.69,13.69,0
20130430  13:00:00,13.68,13.69,13.53,13.54,0
20130430  14:00:00,13.53,13.77,13.53,13.7,0
20130430  15:00:00,13.67,13.78,13.55,13.56,0
20130430  16:00:00,13.55,13.55,13.51,13.52,0
20130501  09:30:00,13.88,14.13,13.87,14.13,0
20130501  10:00:00,14.08,14.41,13.98,14.14,0
20130501  11:00:00,14.13,14.16,14.0,14.11,0
20130501  12:00:00,14.1,14.32,14.1,14.32,0
20130501  13:00:00,14.31,14.58,14.31,14.46,0
20130501  14:00:00,14.41,14.41,13.96,14.1,0
20130501  15:00:00,14.09,14.67,14.09,14.55,0
20130501  16:00:00,14.54,14.55,14.41,14.49,0
20130502  09:30:00,14.48,14.48,14.21,14.22,0
20130502  10:00:00,14.19,14.2,13.88,13.93,0
