date,open,high,low,close,volume
20180921  09:30:00,370.0,370.0,366.2,366.48,-1
20180921  09:35:00,366.48,368.35,366.31,366.87,-1
20180921  09:40:00,366.87,367.85,366.54,366.73,-1
20180921  09:45:00,366.73,367.46,366.63,367.45,-1
20180921  09:50:00,367.45,368.88,367.41,368.43,-1
20180921  09:55:00,368.43,368.71,367.82,368.43,-1
20180921  10:00:00,368.43,368.43,367.52,367.78,-1
20180921  10:05:00,367.78,368.21,367.77,368.09,-1
20180921  10:10:00,368.09,368.5,367.99,368.25,-1
20180921  10:15:00,368.25,368.53,368.21,368.33,-1
20180921  10:20:00,368.33,368.34,367.93,368.04,-1
20180921  10:25:00,368.04,368.2,367.79,367.87,-1
20180921  10:30:00,367.87,368.18,367.56,368.13,-1
20180921  10:35:00,368.13,368.67,368.13,368.58,-1
20180921  10:40:00,368.58,368.89,368.35,368.76,-1
20180921  10:45:00,368.76,368.89,368.53,368.88,-1
20180921  10:50:00,368.88,368.99,368.51,368.51,-1
20180921  10:55:00,368.51,368.88,368.36,368.66,-1
20180921  11:00:00,368.66,368.98,368.5,368.6,-1
20180921  11:05:00,368.6,369.05,368.59,369.02,-1
20180921  11:10:00,369.02,370.39,369.02,370.39,-1
20180921  11:15:00,370.39,371.39,370.24,370.69,-1
20180921  11:20:00,370.69,370.9,370.21,370.88,-1
20180921  11:25:00,370.88,371.35,370.73,371.35,-1
20180921  11:30:00,371.35,371.5,370.87,371.07,-1
20180921  11:35:00,371.07,371.26,370.62,371.16,-1
20180921  11:40:00,371.16,371.47,370.94,371.35,-1
20180921  11:45:00,371.35,371.91,371.24,371.91,-1
20180921  11:50:00,371.91,372.43,371.85,372.12,-1
20180921  11:55:00,372.12,372.5,372.03,372.49,-1
20180921  12:00:00,372.49,372.49,371.72,371.99,-1
20180921  12:05:00,371.99,372.32,371.91,372.28,-1
20180921  12:10:00,372.28,372.34,372.06,372.24,-1
20180921  12:15:00,372.24,372.28,371.32,371.52,-1
20180921  12:20:00,371.52,371.52,371.0,371.5,-1
20180921  12:25:00,371.5,371.5,370.75,370.92,-1
20180921  12:30:00,370.92,371.16,370.47,370.77,-1
20180921  12:35:00,370.77,370.84,370.37,370.43,-1
20180921  12:40:00,370.43,370.81,370.17,370.37,-1
20180921  12:45:00,370.37,370.6,370.2,370.47,-1
20180921  12:50:00,370.47,370.69,370.3,370.69,-1
20180921  12:55:00,370.69,370.75,370.36,370.51,-1
20180921  13:00:00,370.51,370.81,370.43,370.79,-1
20180921  13:05:00,370.79,371.0,370.79,370.9,-1
20180921  13:10:00,370.9,371.36,370.79,371.3,-1
20180921  13:15:00,371.3,371.56,371.29,371.4,-1
20180921  13:20:00,371.4,371.4,371.12,371.28,-1
20180921  13:25:00,371.28,371.65,371.12,371.36,-1
20180921  13:30:00,371.36,371.6,371.24,371.46,-1
20180921  13:35:00,371.46,371.78,371.23,371.78,-1
20180921  13:40:00,371.78,372.0,371.71,371.97,-1
20180921  13:45:00,371.97,371.97,371.62,371.82,-1
20180921  13:50:00,371.82,371.87,371.48,371.57,-1
20180921  13:55:00,371.57,371.86,371.57,371.78,-1
20180921  14:00:00,371.78,372.0,371.71,371.72,-1
20180921  14:05:00,371.72,371.79,371.55,371.62,-1
20180921  14:10:00,371.62,371.62,371.14,371.15,-1
20180921  14:15:00,371.15,371.25,370.97,371.18,-1
20180921  14:20:00,371.18,371.72,371.05,371.61,-1
20180921  14:25:00,371.61,372.05,371.55,372.04,-1
20180921  14:30:00,372.04,372.1,371.8,371.9,-1
20180921  14:35:00,371.9,372.32,371.89,372.24,-1
20180921  14:40:00,372.24,372.26,372.17,372.23,-1
20180921  14:45:00,372.23,372.38,372.07,372.07,-1
20180921  14:50:00,372.07,372.15,371.43,371.58,-1
20180921  14:55:00,371.58,371.65,371.32,371.56,-1
20180921  15:00:00,371.56,371.83,371.53,371.75,-1
20180921  15:05:00,371.75,372.31,371.74,372.28,-1
20180921  15:10:00,372.28,372.49,372.21,372.44,-1
20180921  15:15:00,372.44,372.59,372.27,372.48,-1
20180921  15:20:00,372.48,372.56,372.38,372.38,-1
20180921  15:25:00,372.38,372.41,372.01,372.09,-1
20180921  15:30:00,372.09,372.43,371.98,372.27,-1
20180921  15:35:00,372.27,372.28,372.09,372.16,-1
20180921  15:40:00,372.16,372.18,371.92,371.94,-1
20180921  15:45:00,371.94,372.22,371.85,371.86,-1
20180921  15:50:00,371.86,372.1,371.84,371.88,-1
20180921  15:55:00,371.88,372.33,371.37,371.86,-1
20180924  09:30:00,371.48,371.5,368.22,370.03,-1
20180924  09:35:00,370.03,370.5,369.36,370.44,-1
20180924  09:40:00,370.44,370.95,370.21,370.7,-1
20180924  09:45:00,370.7,370.84,369.89,370.21,-1
20180924  09:50:00,370.21,370.61,369.41,369.55,-1
20180924  09:55:00,369.55,370.06,369.4,369.96,-1
20180924  10:00:00,369.96,369.96,369.28,369.46,-1
20180924  10:05:00,369.46,370.41,369.36,369.62,-1
20180924  10:10:00,369.62,370.49,369.46,370.48,-1
20180924  10:15:00,370.48,370.63,370.1,370.37,-1
20180924  10:20:00,370.37,370.98,370.24,370.4,-1
20180924  10:25:00,370.4,370.86,369.76,370.47,-1
20180924  10:30:00,370.47,371.92,370.29,371.92,-1
20180924  10:35:00,371.92,371.92,370.98,371.0,-1
20180924  10:40:00,371.0,371.79,370.8,370.87,-1
20180924  10:45:00,370.87,371.48,370.12,370.12,-1
