date,open,high,low,close,volume
20180921  09:30:00,369.0,369.91,366.03,366.08,-1
20180921  09:35:00,366.08,367.88,366.08,366.62,-1
20180921  09:40:00,366.62,367.7,366.36,366.53,-1
20180921  09:45:00,366.53,367.33,366.53,367.26,-1
20180921  09:50:00,367.26,368.73,367.26,368.24,-1
20180921  09:55:00,368.24,368.65,367.68,368.19,-1
20180921  10:00:00,368.19,368.19,367.5,367.61,-1
20180921  10:05:00,367.61,368.14,367.6,367.95,-1
20180921  10:10:00,367.95,368.39,367.86,368.12,-1
20180921  10:15:00,368.12,368.45,368.12,368.24,-1
20180921  10:20:00,368.24,368.24,367.78,367.9,-1
20180921  10:25:00,367.9,368.04,367.64,367.67,-1
20180921  10:30:00,367.67,368.1,367.5,367.97,-1
20180921  10:35:00,367.97,368.52,367.97,368.45,-1
20180921  10:40:00,368.45,368.82,368.2,368.64,-1
20180921  10:45:00,368.64,368.77,368.42,368.77,-1
20180921  10:50:00,368.77,368.93,368.45,368.45,-1
20180921  10:55:00,368.45,368.78,368.23,368.56,-1
20180921  11:00:00,368.56,368.88,368.39,368.53,-1
20180921  11:05:00,368.53,369.02,368.53,368.97,-1
20180921  11:10:00,368.97,370.32,368.97,370.25,-1
20180921  11:15:00,370.25,371.33,370.12,370.6,-1
20180921  11:20:00,370.6,370.85,370.05,370.77,-1
20180921  11:25:00,370.77,371.3,370.65,371.3,-1
20180921  11:30:00,371.3,371.46,370.79,370.92,-1
20180921  11:35:00,370.92,371.16,370.51,371.0,-1
20180921  11:40:00,371.0,371.36,370.83,371.2,-1
20180921  11:45:00,371.2,371.8,371.1,371.8,-1
20180921  11:50:00,371.8,372.35,371.73,372.01,-1
20180921  11:55:00,372.01,372.48,372.01,372.36,-1
20180921  12:00:00,372.36,372.37,371.63,371.94,-1
20180921  12:05:00,371.94,372.22,371.82,372.17,-1
20180921  12:10:00,372.17,372.31,371.92,372.19,-1
20180921  12:15:00,372.19,372.24,371.23,371.4,-1
20180921  12:20:00,371.4,371.4,370.97,371.37,-1
20180921  12:25:00,371.37,371.38,370.64,370.78,-1
20180921  12:30:00,370.78,371.01,370.45,370.71,-1
20180921  12:35:00,370.71,370.75,370.3,370.3,-1
20180921  12:40:00,370.3,370.73,370.08,370.23,-1
20180921  12:45:00,370.23,370.45,370.16,370.42,-1
20180921  12:50:00,370.42,370.67,370.24,370.61,-1
20180921  12:55:00,370.61,370.71,370.32,370.4,-1
20180921  13:00:00,370.4,370.73,370.27,370.73,-1
20180921  13:05:00,370.73,370.93,370.72,370.79,-1
20180921  13:10:00,370.79,371.24,370.66,371.24,-1
20180921  13:15:00,371.24,371.52,371.24,371.25,-1
20180921  13:20:00,371.25,371.26,371.0,371.19,-1
20180921  13:25:00,371.19,371.55,371.0,371.3,-1
20180921  13:30:00,371.3,371.56,371.12,371.33,-1
20180921  13:35:00,371.33,371.63,371.16,371.63,-1
20180921  13:40:00,371.63,371.88,371.62,371.85,-1
20180921  13:45:00,371.85,371.91,371.52,371.65,-1
20180921  13:50:00,371.65,371.72,371.32,371.41,-1
20180921  13:55:00,371.41,371.83,371.41,371.66,-1
20180921  14:00:00,371.66,371.99,371.57,371.62,-1
20180921  14:05:00,371.62,371.76,371.46,371.53,-1
20180921  14:10:00,371.53,371.59,371.04,371.08,-1
20180921  14:15:00,371.08,371.16,370.9,371.05,-1
20180921  14:20:00,371.05,371.66,370.93,371.49,-1
20180921  14:25:00,371.49,371.99,371.44,371.96,-1
20180921  14:30:00,371.96,372.03,371.69,371.81,-1
20180921  14:35:00,371.81,372.27,371.81,372.12,-1
20180921  14:40:00,372.12,372.2,372.12,372.13,-1
