date,open,high,low,close,volume
20180921  09:30:00,156.68,156.9,155.63,155.63,-1
20180921  09:35:00,155.63,155.9,155.06,155.33,-1
20180921  09:40:00,155.33,155.93,154.86,154.99,-1
20180921  09:45:00,154.99,156.31,154.87,156.24,-1
20180921  09:50:00,156.24,156.36,155.93,155.97,-1
20180921  09:55:00,155.97,156.14,155.85,156.08,-1
20180921  10:00:00,156.08,156.25,155.84,156.09,-1
20180921  10:05:00,156.09,156.23,155.92,156.03,-1
20180921  10:10:00,156.03,156.15,155.88,156.15,-1
20180921  10:15:00,156.15,156.29,156.15,156.22,-1
20180921  10:20:00,156.22,156.28,155.96,156.26,-1
20180921  10:25:00,156.26,156.26,156.04,156.14,-1
20180921  10:30:00,156.14,156.2,156.0,156.11,-1
20180921  10:35:00,156.11,156.38,156.09,156.21,-1
20180921  10:40:00,156.21,156.48,156.11,156.12,-1
20180921  10:45:00,156.12,156.21,155.99,156.2,-1
20180921  10:50:00,156.2,156.38,156.2,156.31,-1
20180921  10:55:00,156.31,156.56,156.31,156.42,-1
20180921  11:00:00,156.42,156.74,156.39,156.72,-1
20180921  11:05:00,156.72,156.72,156.31,156.36,-1
20180921  11:10:00,156.36,156.6,156.33,156.57,-1
20180921  11:15:00,156.57,156.78,156.56,156.77,-1
20180921  11:20:00,156.77,156.79,156.63,156.75,-1
20180921  11:25:00,156.75,156.85,156.7,156.8,-1
20180921  11:30:00,156.8,156.83,156.66,156.66,-1
20180921  11:35:00,156.66,156.73,156.52,156.73,-1
20180921  11:40:00,156.73,156.95,156.73,156.85,-1
20180921  11:45:00,156.85,156.97,156.81,156.9,-1
20180921  11:50:00,156.9,157.05,156.81,156.83,-1
20180921  11:55:00,156.83,156.96,156.82,156.95,-1
20180921  12:00:00,156.95,157.03,156.91,157.03,-1
20180921  12:05:00,157.03,157.05,156.99,157.01,-1
20180921  12:10:00,157.01,157.02,156.92,156.96,-1
20180921  12:15:00,156.96,156.96,156.62,156.71,-1
20180921  12:20:00,156.71,156.91,156.68,156.9,-1
20180921  12:25:00,156.9,156.99,156.73,156.77,-1
20180921  12:30:00,156.77,156.84,156.64,156.74,-1
20180921  12:35:00,156.74,156.92,156.71,156.92,-1
20180921  12:40:00,156.92,156.99,156.84,156.87,-1
20180921  12:45:00,156.87,157.0,156.82,156.99,-1
20180921  12:50:00,156.99,157.03,156.93,157.0,-1
20180921  12:55:00,157.0,157.01,156.88,156.89,-1
20180921  13:00:00,156.89,156.89,156.78,156.82,-1
20180921  13:05:00,156.82,156.88,156.72,156.73,-1
20180921  13:10:00,156.73,156.81,156.73,156.73,-1
20180921  13:15:00,156.73,156.84,156.71,156.79,-1
20180921  13:20:00,156.79,156.84,156.73,156.83,-1
20180921  13:25:00,156.83,156.94,156.82,156.91,-1
20180921  13:30:00,156.91,157.01,156.9,156.99,-1
20180921  13:35:00,156.99,157.01,156.95,157.0,-1
20180921  13:40:00,157.0,157.03,156.97,157.0,-1
20180921  13:45:00,157.0,157.0,156.84,156.94,-1
20180921  13:50:00,156.94,156.99,156.89,156.95,-1
20180921  13:55:00,156.95,157.2,156.95,157.16,-1
20180921  14:00:00,157.16,157.22,157.13,157.18,-1
20180921  14:05:00,157.18,157.3,157.12,157.21,-1
20180921  14:10:00,157.21,157.21,156.91,156.92,-1
20180921  14:15:00,156.92,157.0,156.86,156.99,-1
20180921  14:20:00,156.99,157.2,156.99,157.17,-1
20180921  14:25:00,157.17,157.18,157.08,157.12,-1
20180921  14:30:00,157.12,157.17,157.09,157.13,-1
20180921  14:35:00,157.13,157.23,157.09,157.23,-1
20180921  14:40:00,157.23,157.3,157.14,157.28,-1
20180921  14:45:00,157.28,157.29,157.18,157.19,-1
20180921  14:50:00,157.19,157.19,156.98,157.05,-1
20180921  14:55:00,157.05,157.05,156.87,156.89,-1
20180921  15:00:00,156.89,156.96,156.84,156.86,-1
20180921  15:05:00,156.86,156.86,156.66,156.75,-1
20180921  15:10:00,156.75,156.75,156.6,156.6,-1
