date,open,high,low,close,volume
20180921  09:30:00,156.5,156.68,155.5,155.51,-1
20180921  09:35:00,155.51,155.8,155.03,155.24,-1
20180921  09:40:00,155.24,155.91,154.78,154.92,-1
20180921  09:45:00,154.92,156.26,154.86,156.18,-1
20180921  09:50:00,156.18,156.31,155.83,155.87,-1
20180921  09:55:00,155.87,156.07,155.8,155.97,-1
20180921  10:00:00,155.97,156.21,155.8,156.04,-1
20180921  10:05:00,156.04,156.16,155.86,155.94,-1
20180921  10:10:00,155.94,156.11,155.81,156.1,-1
20180921  10:15:00,156.1,156.25,156.1,156.19,-1
20180921  10:20:00,156.19,156.24,155.93,156.19,-1
20180921  10:25:00,156.19,156.22,156.0,156.11,-1
20180921  10:30:00,156.11,156.18,155.96,156.09,-1
20180921  10:35:00,156.09,156.36,156.08,156.18,-1
20180921  10:40:00,156.18,156.45,156.08,156.08,-1
20180921  10:45:00,156.08,156.2,155.97,156.18,-1
20180921  10:50:00,156.18,156.34,156.18,156.27,-1
20180921  10:55:00,156.27,156.53,156.27,156.39,-1
20180921  11:00:00,156.39,156.72,156.34,156.66,-1
20180921  11:05:00,156.66,156.66,156.28,156.34,-1
20180921  11:10:00,156.34,156.56,156.31,156.55,-1
20180921  11:15:00,156.55,156.75,156.52,156.75,-1
20180921  11:20:00,156.75,156.77,156.6,156.72,-1
20180921  11:25:00,156.72,156.84,156.68,156.78,-1
20180921  11:30:00,156.78,156.81,156.62,156.62,-1
20180921  11:35:00,156.62,156.71,156.48,156.71,-1
20180921  11:40:00,156.71,156.92,156.71,156.81,-1
20180921  11:45:00,156.81,156.94,156.78,156.86,-1
20180921  11:50:00,156.86,157.03,156.78,156.8,-1
20180921  11:55:00,156.8,156.94,156.8,156.91,-1
20180921  12:00:00,156.91,157.02,156.86,156.99,-1
20180921  12:05:00,156.99,157.03,156.97,156.98,-1
20180921  12:10:00,156.98,156.99,156.9,156.92,-1
20180921  12:15:00,156.92,156.93,156.6,156.68,-1
20180921  12:20:00,156.68,156.87,156.67,156.87,-1
20180921  12:25:00,156.87,156.94,156.72,156.72,-1
20180921  12:30:00,156.72,156.81,156.62,156.69,-1
20180921  12:35:00,156.69,156.9,156.68,156.9,-1
