date,open,high,low,close,volume
20180921  09:30:00,267.59,267.63,267.02,267.02,-1
20180921  09:35:00,267.02,267.29,267.0,267.08,-1
20180921  09:40:00,267.08,267.27,266.93,266.97,-1
20180921  09:45:00,266.97,267.17,266.96,267.1,-1
20180921  09:50:00,267.1,267.15,266.99,267.11,-1
20180921  09:55:00,267.11,267.18,266.9,266.94,-1
20180921  10:00:00,266.94,266.94,266.71,266.82,-1
20180921  10:05:00,266.82,266.91,266.82,266.9,-1
20180921  10:10:00,266.9,266.94,266.81,266.88,-1
20180921  10:15:00,266.88,267.01,266.86,266.87,-1
20180921  10:20:00,266.87,266.9,266.71,266.83,-1
20180921  10:25:00,266.83,266.84,266.66,266.72,-1
20180921  10:30:00,266.72,266.76,266.59,266.68,-1
20180921  10:35:00,266.68,266.89,266.67,266.83,-1
20180921  10:40:00,266.83,266.95,266.83,266.86,-1
20180921  10:45:00,266.86,266.97,266.84,266.86,-1
20180921  10:50:00,266.86,266.94,266.8,266.81,-1
20180921  10:55:00,266.81,266.97,266.81,266.92,-1
20180921  11:00:00,266.92,266.99,266.85,266.89,-1
20180921  11:05:00,266.89,266.94,266.75,266.91,-1
20180921  11:10:00,266.91,267.06,266.9,267.01,-1
20180921  11:15:00,267.01,267.15,266.99,267.08,-1
20180921  11:20:00,267.08,267.13,266.99,267.13,-1
20180921  11:25:00,267.13,267.14,267.03,267.11,-1
20180921  11:30:00,267.11,267.15,267.08,267.11,-1
20180921  11:35:00,267.11,267.12,267.01,267.07,-1
20180921  11:40:00,267.07,267.17,267.06,267.14,-1
20180921  11:45:00,267.14,267.29,267.12,267.28,-1
20180921  11:50:00,267.28,267.36,267.21,267.36,-1
20180921  11:55:00,267.36,267.4,267.3,267.4,-1
20180921  12:00:00,267.4,267.42,267.33,267.39,-1
20180921  12:05:00,267.39,267.46,267.35,267.45,-1
20180921  12:10:00,267.45,267.5,267.43,267.44,-1
20180921  12:15:00,267.44,267.44,267.23,267.27,-1
20180921  12:20:00,267.27,267.29,267.17,267.29,-1
20180921  12:25:00,267.29,267.41,267.19,267.21,-1
20180921  12:30:00,267.21,267.26,267.09,267.12,-1
20180921  12:35:00,267.12,267.13,267.0,267.1,-1
20180921  12:40:00,267.1,267.16,267.07,267.09,-1
20180921  12:45:00,267.09,267.15,267.09,267.14,-1
20180921  12:50:00,267.14,267.26,267.12,267.24,-1
20180921  12:55:00,267.24,267.24,267.12,267.15,-1
