date,open,high,low,close,volume
20180921  09:30:00,267.54,267.58,267.0,267.0,-1
20180921  09:35:00,267.0,267.28,266.98,267.06,-1
20180921  09:40:00,267.06,267.25,266.91,266.95,-1
20180921  09:45:00,266.95,267.15,266.94,267.09,-1
20180921  09:50:00,267.09,267.14,266.98,267.09,-1
20180921  09:55:00,267.09,267.16,266.89,266.92,-1
20180921  10:00:00,266.92,266.92,266.7,266.81,-1
20180921  10:05:00,266.81,266.9,266.8,266.88,-1
20180921  10:10:00,266.88,266.92,266.8,266.87,-1
20180921  10:15:00,266.87,266.99,266.85,266.85,-1
20180921  10:20:00,266.85,266.88,266.7,266.81,-1
20180921  10:25:00,266.81,266.82,266.65,266.7,-1
20180921  10:30:00,266.7,266.74,266.58,266.67,-1
20180921  10:35:00,266.67,266.87,266.65,266.82,-1
20180921  10:40:00,266.82,266.93,266.82,266.85,-1
20180921  10:45:00,266.85,266.95,266.83,266.85,-1
20180921  10:50:00,266.85,266.93,266.79,266.8,-1
20180921  10:55:00,266.8,266.95,266.8,266.91,-1
20180921  11:00:00,266.91,266.98,266.84,266.87,-1
20180921  11:05:00,266.87,266.92,266.74,266.9,-1
20180921  11:10:00,266.9,267.05,266.88,266.99,-1
20180921  11:15:00,266.99,267.14,266.98,267.07,-1
20180921  11:20:00,267.07,267.11,266.98,267.11,-1
20180921  11:25:00,267.11,267.13,267.02,267.1,-1
20180921  11:30:00,267.1,267.14,267.07,267.1,-1
20180921  11:35:00,267.1,267.1,266.99,267.06,-1
20180921  11:40:00,267.06,267.16,267.04,267.13,-1
20180921  11:45:00,267.13,267.28,267.11,267.26,-1
20180921  11:50:00,267.26,267.35,267.2,267.35,-1
20180921  11:55:00,267.35,267.39,267.29,267.38,-1
20180921  12:00:00,267.38,267.41,267.31,267.38,-1
20180921  12:05:00,267.38,267.44,267.34,267.44,-1
20180921  12:10:00,267.44,267.49,267.42,267.43,-1
20180921  12:15:00,267.43,267.43,267.22,267.26,-1
20180921  12:20:00,267.26,267.28,267.16,267.28,-1
20180921  12:25:00,267.28,267.4,267.17,267.19,-1
20180921  12:30:00,267.19,267.25,267.08,267.1,-1
20180921  12:35:00,267.1,267.12,266.99,267.09,-1
20180921  12:40:00,267.09,267.14,267.06,267.08,-1
20180921  12:45:00,267.08,267.14,267.08,267.13,-1
20180921  12:50:00,267.13,267.25,267.11,267.23,-1
20180921  12:55:00,267.23,267.23,267.11,267.14,-1
20180921  13:00:00,267.14,267.15,267.09,267.11,-1
20180921  13:05:00,267.11,267.16,267.04,267.04,-1
20180921  13:10:00,267.04,267.13,267.04,267.06,-1
20180921  13:15:00,267.06,267.18,267.06,267.18,-1
20180921  13:20:00,267.18,267.24,267.16,267.22,-1
20180921  13:25:00,267.22,267.23,267.15,267.16,-1
20180921  13:30:00,267.16,267.18,267.1,267.12,-1
20180921  13:35:00,267.12,267.17,267.07,267.17,-1
20180921  13:40:00,267.17,267.2,267.15,267.2,-1
20180921  13:45:00,267.2,267.2,267.11,267.15,-1
20180921  13:50:00,267.15,267.19,267.03,267.11,-1
20180921  13:55:00,267.11,267.2,267.09,267.2,-1
