date,open,high,low,close,volume
20180921  09:30:00,112.07,112.07,110.91,111.14,-1
20180921  09:35:00,111.14,111.44,111.14,111.25,-1
20180921  09:40:00,111.25,111.31,111.04,111.14,-1
20180921  09:45:00,111.14,111.27,111.14,111.21,-1
20180921  09:50:00,111.21,111.22,110.99,111.07,-1
20180921  09:55:00,111.07,111.33,111.07,111.18,-1
20180921  10:00:00,111.18,111.25,110.95,110.97,-1
20180921  10:05:00,110.97,111.06,110.95,111.02,-1
20180921  10:10:00,111.02,111.19,111.01,111.14,-1
20180921  10:15:00,111.14,111.2,111.04,111.08,-1
20180921  10:20:00,111.08,111.1,110.99,111.04,-1
20180921  10:25:00,111.04,111.04,110.89,110.89,-1
20180921  10:30:00,110.89,110.95,110.87,110.91,-1
20180921  10:35:00,110.91,110.99,110.87,110.88,-1
20180921  10:40:00,110.88,111.16,110.88,111.14,-1
20180921  10:45:00,111.14,111.18,111.08,111.1,-1
20180921  10:50:00,111.1,111.1,110.93,110.97,-1
20180921  10:55:00,110.97,111.11,110.96,111.1,-1
20180921  11:00:00,111.1,111.16,111.0,111.0,-1
20180921  11:05:00,111.0,111.1,110.93,111.08,-1
20180921  11:10:00,111.08,111.09,110.99,111.0,-1
20180921  11:15:00,111.0,111.04,110.9,110.93,-1
20180921  11:20:00,110.93,110.94,110.83,110.92,-1
20180921  11:25:00,110.92,110.94,110.8,110.83,-1
20180921  11:30:00,110.83,110.89,110.82,110.87,-1
20180921  11:35:00,110.87,110.88,110.83,110.84,-1
20180921  11:40:00,110.84,110.91,110.84,110.87,-1
20180921  11:45:00,110.87,110.87,110.79,110.8,-1
20180921  11:50:00,110.8,110.85,110.73,110.84,-1
20180921  11:55:00,110.84,110.86,110.57,110.65,-1
20180921  12:00:00,110.65,110.68,110.62,110.65,-1
20180921  12:05:00,110.65,110.69,110.6,110.68,-1
20180921  12:10:00,110.68,110.71,110.66,110.67,-1
20180921  12:15:00,110.67,110.67,110.52,110.53,-1
