date,open,high,low,close,volume
20180921  09:30:00,111.95,111.95,110.85,111.07,-1
20180921  09:35:00,111.07,111.37,111.07,111.23,-1
20180921  09:40:00,111.23,111.26,111.01,111.11,-1
20180921  09:45:00,111.11,111.25,111.11,111.19,-1
20180921  09:50:00,111.19,111.21,110.97,111.04,-1
20180921  09:55:00,111.04,111.31,111.04,111.15,-1
20180921  10:00:00,111.15,111.23,110.93,110.95,-1
20180921  10:05:00,110.95,111.05,110.93,111.0,-1
20180921  10:10:00,111.0,111.17,111.0,111.13,-1
20180921  10:15:00,111.13,111.19,111.01,111.07,-1
20180921  10:20:00,111.07,111.09,110.96,111.02,-1
20180921  10:25:00,111.02,111.02,110.87,110.87,-1
20180921  10:30:00,110.87,110.94,110.86,110.9,-1
20180921  10:35:00,110.9,110.98,110.86,110.87,-1
20180921  10:40:00,110.87,111.14,110.87,111.11,-1
20180921  10:45:00,111.11,111.17,111.07,111.08,-1
20180921  10:50:00,111.08,111.1,110.92,110.96,-1
20180921  10:55:00,110.96,111.1,110.95,111.09,-1
20180921  11:00:00,111.09,111.14,110.97,110.97,-1
20180921  11:05:00,110.97,111.09,110.91,111.07,-1
20180921  11:10:00,111.07,111.08,110.98,110.98,-1
20180921  11:15:00,110.98,111.02,110.89,110.91,-1
20180921  11:20:00,110.91,110.93,110.82,110.91,-1
20180921  11:25:00,110.91,110.93,110.77,110.82,-1
20180921  11:30:00,110.82,110.88,110.8,110.85,-1
20180921  11:35:00,110.85,110.87,110.81,110.83,-1
20180921  11:40:00,110.83,110.9,110.83,110.86,-1
20180921  11:45:00,110.86,110.86,110.78,110.79,-1
20180921  11:50:00,110.79,110.84,110.72,110.83,-1
20180921  11:55:00,110.83,110.85,110.55,110.64,-1
20180921  12:00:00,110.64,110.67,110.6,110.64,-1
20180921  12:05:00,110.64,110.68,110.59,110.67,-1
20180921  12:10:00,110.67,110.7,110.65,110.65,-1
20180921  12:15:00,110.65,110.65,110.51,110.52,-1
20180921  12:20:00,110.52,110.52,110.4,110.51,-1
20180921  12:25:00,110.51,110.63,110.5,110.55,-1
20180921  12:30:00,110.55,110.6,110.46,110.47,-1
20180921  12:35:00,110.47,110.55,110.45,110.55,-1
20180921  12:40:00,110.55,110.64,110.54,110.58,-1
20180921  12:45:00,110.58,110.77,110.57,110.71,-1
20180921  12:50:00,110.71,110.76,110.71,110.74,-1
20180921  12:55:00,110.74,110.79,110.69,110.73,-1
20180921  13:00:00,110.73,110.73,110.68,110.7,-1
20180921  13:05:00,110.7,110.75,110.7,110.73,-1
20180921  13:10:00,110.73,110.74,110.7,110.72,-1
20180921  13:15:00,110.72,110.73,110.68,110.72,-1
20180921  13:20:00,110.72,110.78,110.71,110.73,-1
20180921  13:25:00,110.73,110.73,110.63,110.65,-1
20180921  13:30:00,110.65,110.68,110.62,110.62,-1
20180921  13:35:00,110.62,110.63,110.57,110.58,-1
20180921  13:40:00,110.58,110.59,110.5,110.53,-1
20180921  13:45:00,110.53,110.6,110.53,110.56,-1
20180921  13:50:00,110.56,110.58,110.51,110.54,-1
20180921  13:55:00,110.54,110.56,110.43,110.47,-1
20180921  14:00:00,110.47,110.65,110.47,110.63,-1
20180921  14:05:00,110.63,110.64,110.56,110.58,-1
20180921  14:10:00,110.58,110.62,110.48,110.48,-1
20180921  14:15:00,110.48,110.52,110.4,110.52,-1
20180921  14:20:00,110.52,110.55,110.47,110.51,-1
20180921  14:25:00,110.51,110.6,110.5,110.54,-1
20180921  14:30:00,110.54,110.59,110.47,110.56,-1
20180921  14:35:00,110.56,110.65,110.55,110.6,-1
