date,open,high,low,close,volume
20180921  09:30:00,238.92,238.92,236.58,236.72,-1
20180921  09:35:00,236.72,236.98,236.32,236.88,-1
20180921  09:40:00,236.88,236.98,236.65,236.78,-1
20180921  09:45:00,236.78,236.9,236.7,236.78,-1
20180921  09:50:00,236.78,236.84,236.51,236.79,-1
20180921  09:55:00,236.79,236.95,236.16,236.32,-1
20180921  10:00:00,236.32,236.34,236.0,236.15,-1
20180921  10:05:00,236.15,236.46,236.15,236.37,-1
20180921  10:10:00,236.37,236.37,235.79,235.8,-1
20180921  10:15:00,235.8,236.05,235.79,235.93,-1
20180921  10:20:00,235.93,235.95,235.43,235.66,-1
20180921  10:25:00,235.66,235.81,235.59,235.6,-1
20180921  10:30:00,235.6,235.6,235.09,235.16,-1
20180921  10:35:00,235.16,235.61,235.14,235.59,-1
20180921  10:40:00,235.59,235.87,235.56,235.73,-1
20180921  10:45:00,235.73,235.88,235.43,235.52,-1
20180921  10:50:00,235.52,235.97,235.49,235.65,-1
20180921  10:55:00,235.65,236.1,235.65,236.1,-1
20180921  11:00:00,236.1,236.29,236.06,236.29,-1
20180921  11:05:00,236.29,236.3,236.09,236.22,-1
20180921  11:10:00,236.22,236.3,236.1,236.2,-1
20180921  11:15:00,236.2,236.34,235.4,235.5,-1
20180921  11:20:00,235.5,235.53,234.99,235.5,-1
20180921  11:25:00,235.5,235.5,234.98,235.04,-1
20180921  11:30:00,235.04,235.17,235.01,235.07,-1
20180921  11:35:00,235.07,235.15,234.84,235.01,-1
20180921  11:40:00,235.01,235.08,234.89,235.02,-1
20180921  11:45:00,235.02,235.64,234.94,235.64,-1
20180921  11:50:00,235.64,235.91,235.4,235.91,-1
20180921  11:55:00,235.91,236.12,235.8,236.11,-1
20180921  12:00:00,236.11,236.12,235.51,235.76,-1
20180921  12:05:00,235.76,235.8,235.64,235.65,-1
20180921  12:10:00,235.65,235.75,235.61,235.65,-1
20180921  12:15:00,235.65,235.65,235.34,235.47,-1
20180921  12:20:00,235.47,235.52,235.37,235.48,-1
20180921  12:25:00,235.48,235.87,235.41,235.55,-1
20180921  12:30:00,235.55,235.59,235.19,235.21,-1
20180921  12:35:00,235.21,235.24,235.14,235.23,-1
20180921  12:40:00,235.23,235.44,235.21,235.35,-1
20180921  12:45:00,235.35,235.52,235.27,235.51,-1
20180921  12:50:00,235.51,235.61,235.45,235.57,-1
20180921  12:55:00,235.57,235.6,235.38,235.52,-1
20180921  13:00:00,235.52,235.57,235.35,235.43,-1
20180921  13:05:00,235.43,235.49,235.37,235.38,-1
20180921  13:10:00,235.38,235.49,235.32,235.38,-1
20180921  13:15:00,235.38,235.68,235.38,235.68,-1
20180921  13:20:00,235.68,235.91,235.66,235.9,-1
20180921  13:25:00,235.9,235.9,235.77,235.79,-1
20180921  13:30:00,235.79,235.79,235.53,235.6,-1
20180921  13:35:00,235.6,235.71,235.5,235.66,-1
20180921  13:40:00,235.66,235.76,235.65,235.75,-1
20180921  13:45:00,235.75,235.78,235.56,235.6,-1
20180921  13:50:00,235.6,235.65,235.48,235.63,-1
20180921  13:55:00,235.63,235.78,235.59,235.76,-1
20180921  14:00:00,235.76,235.8,235.66,235.69,-1
20180921  14:05:00,235.69,235.7,235.63,235.68,-1
20180921  14:10:00,235.68,235.69,235.52,235.52,-1
20180921  14:15:00,235.52,235.72,235.52,235.68,-1
20180921  14:20:00,235.68,235.92,235.66,235.83,-1
20180921  14:25:00,235.83,235.99,235.79,235.87,-1
20180921  14:30:00,235.87,235.87,235.69,235.69,-1
20180921  14:35:00,235.69,235.82,235.66,235.74,-1
20180921  14:40:00,235.74,235.8,235.72,235.8,-1
20180921  14:45:00,235.8,235.87,235.62,235.66,-1
20180921  14:50:00,235.66,235.75,235.54,235.54,-1
20180921  14:55:00,235.54,235.55,235.34,235.36,-1
20180921  15:00:00,235.36,235.41,235.31,235.39,-1
20180921  15:05:00,235.39,235.44,235.34,235.39,-1
20180921  15:10:00,235.39,235.63,235.35,235.61,-1
20180921  15:15:00,235.61,235.61,235.45,235.5,-1
20180921  15:20:00,235.5,235.64,235.46,235.55,-1
20180921  15:25:00,235.55,235.55,235.44,235.54,-1
20180921  15:30:00,235.54,235.63,235.51,235.56,-1
20180921  15:35:00,235.56,235.66,235.54,235.59,-1
20180921  15:40:00,235.59,235.77,235.54,235.75,-1
20180921  15:45:00,235.75,235.82,235.55,235.58,-1
20180921  15:50:00,235.58,235.83,235.56,235.81,-1
