date,open,high,low,close,volume
20180921  09:30:00,238.05,238.46,236.42,236.51,-1
20180921  09:35:00,236.51,236.92,236.15,236.69,-1
20180921  09:40:00,236.69,236.89,236.56,236.67,-1
20180921  09:45:00,236.67,236.85,236.56,236.7,-1
20180921  09:50:00,236.7,236.79,236.4,236.71,-1
20180921  09:55:00,236.71,236.91,236.04,236.22,-1
20180921  10:00:00,236.22,236.24,235.88,236.05,-1
20180921  10:05:00,236.05,236.39,236.05,236.25,-1
20180921  10:10:00,236.25,236.3,235.65,235.65,-1
20180921  10:15:00,235.65,235.95,235.65,235.8,-1
20180921  10:20:00,235.8,235.87,235.35,235.58,-1
20180921  10:25:00,235.58,235.71,235.48,235.54,-1
20180921  10:30:00,235.54,235.54,235.03,235.11,-1
20180921  10:35:00,235.11,235.55,235.07,235.53,-1
20180921  10:40:00,235.53,235.82,235.48,235.63,-1
20180921  10:45:00,235.63,235.83,235.35,235.39,-1
20180921  10:50:00,235.39,235.88,235.39,235.54,-1
20180921  10:55:00,235.54,236.04,235.54,236.04,-1
20180921  11:00:00,236.04,236.23,236.0,236.22,-1
20180921  11:05:00,236.22,236.27,236.0,236.14,-1
20180921  11:10:00,236.14,236.24,236.04,236.11,-1
20180921  11:15:00,236.11,236.24,235.35,235.45,-1
20180921  11:20:00,235.45,235.47,234.91,235.43,-1
20180921  11:25:00,235.43,235.44,234.92,234.96,-1
20180921  11:30:00,234.96,235.13,234.96,235.02,-1
20180921  11:35:00,235.02,235.08,234.82,234.95,-1
20180921  11:40:00,234.95,235.02,234.83,234.98,-1
20180921  11:45:00,234.98,235.53,234.9,235.53,-1
20180921  11:50:00,235.53,235.83,235.36,235.83,-1
20180921  11:55:00,235.83,236.05,235.72,236.05,-1
20180921  12:00:00,236.05,236.08,235.44,235.7,-1
20180921  12:05:00,235.7,235.74,235.56,235.59,-1
20180921  12:10:00,235.59,235.67,235.57,235.57,-1
20180921  12:15:00,235.57,235.6,235.28,235.39,-1
20180921  12:20:00,235.39,235.47,235.31,235.42,-1
20180921  12:25:00,235.42,235.72,235.39,235.47,-1
20180921  12:30:00,235.47,235.52,235.14,235.15,-1
20180921  12:35:00,235.15,235.21,235.07,235.16,-1
20180921  12:40:00,235.16,235.36,235.13,235.29,-1
20180921  12:45:00,235.29,235.48,235.21,235.46,-1
20180921  12:50:00,235.46,235.56,235.41,235.51,-1
20180921  12:55:00,235.51,235.53,235.35,235.46,-1
20180921  13:00:00,235.46,235.49,235.29,235.39,-1
20180921  13:05:00,235.39,235.44,235.29,235.31,-1
20180921  13:10:00,235.31,235.43,235.27,235.31,-1
20180921  13:15:00,235.31,235.62,235.31,235.62,-1
20180921  13:20:00,235.62,235.89,235.59,235.84,-1
20180921  13:25:00,235.84,235.84,235.71,235.73,-1
20180921  13:30:00,235.73,235.73,235.47,235.54,-1
20180921  13:35:00,235.54,235.69,235.46,235.57,-1
20180921  13:40:00,235.57,235.71,235.57,235.71,-1
20180921  13:45:00,235.71,235.71,235.51,235.53,-1
20180921  13:50:00,235.53,235.62,235.43,235.59,-1
20180921  13:55:00,235.59,235.74,235.52,235.71,-1
20180921  14:00:00,235.71,235.76,235.62,235.63,-1
20180921  14:05:00,235.63,235.66,235.57,235.61,-1
20180921  14:10:00,235.61,235.64,235.47,235.47,-1
20180921  14:15:00,235.47,235.64,235.47,235.61,-1
20180921  14:20:00,235.61,235.86,235.61,235.78,-1
20180921  14:25:00,235.78,235.92,235.77,235.82,-1
20180921  14:30:00,235.82,235.82,235.61,235.61,-1
20180921  14:35:00,235.61,235.76,235.61,235.67,-1
20180921  14:40:00,235.67,235.77,235.66,235.73,-1
20180921  14:45:00,235.73,235.81,235.58,235.61,-1
20180921  14:50:00,235.61,235.68,235.49,235.5,-1
20180921  14:55:00,235.5,235.52,235.28,235.32,-1
20180921  15:00:00,235.32,235.4,235.25,235.32,-1
20180921  15:05:00,235.32,235.41,235.31,235.33,-1
20180921  15:10:00,235.33,235.62,235.32,235.55,-1
20180921  15:15:00,235.55,235.55,235.42,235.46,-1
20180921  15:20:00,235.46,235.59,235.44,235.52,-1
20180921  15:25:00,235.52,235.52,235.41,235.5,-1
20180921  15:30:00,235.5,235.6,235.48,235.53,-1
20180921  15:35:00,235.53,235.64,235.49,235.56,-1
20180921  15:40:00,235.56,235.75,235.5,235.71,-1
20180921  15:45:00,235.71,235.78,235.53,235.56,-1
20180921  15:50:00,235.56,235.82,235.55,235.79,-1
20180921  15:55:00,235.79,235.81,235.14,235.4,-1
20180924  09:30:00,233.99,235.61,233.99,235.48,-1
20180924  09:35:00,235.48,235.5,234.58,235.0,-1
20180924  09:40:00,235.0,235.64,235.0,235.11,-1
20180924  09:45:00,235.11,235.19,234.64,234.86,-1
20180924  09:50:00,234.86,234.95,234.39,234.39,-1
20180924  09:55:00,234.39,234.39,234.11,234.17,-1
20180924  10:00:00,234.17,234.17,233.3,233.3,-1
20180924  10:05:00,233.3,233.7,233.0,233.51,-1
20180924  10:10:00,233.51,233.63,233.1,233.34,-1
20180924  10:15:00,233.34,233.35,233.06,233.22,-1
20180924  10:20:00,233.22,233.29,233.12,233.18,-1
20180924  10:25:00,233.18,233.31,232.85,233.12,-1
20180924  10:30:00,233.12,233.51,232.92,233.33,-1
20180924  10:35:00,233.33,233.49,233.0,233.11,-1
20180924  10:40:00,233.11,233.54,233.11,233.33,-1
20180924  10:45:00,233.33,233.58,233.22,233.27,-1
20180924  10:50:00,233.27,233.56,233.27,233.44,-1
20180924  10:55:00,233.44,233.58,233.35,233.52,-1
20180924  11:00:00,233.52,233.58,233.06,233.08,-1
20180924  11:05:00,233.08,233.27,233.0,233.01,-1
20180924  11:10:00,233.01,233.11,232.9,233.08,-1
20180924  11:15:00,233.08,233.24,233.04,233.2,-1
20180924  11:20:00,233.2,233.25,233.08,233.13,-1
20180924  11:25:00,233.13,233.56,233.13,233.29,-1
20180924  11:30:00,233.29,233.37,233.07,233.14,-1
20180924  11:35:00,233.14,233.14,232.88,232.9,-1
20180924  11:40:00,232.9,233.04,232.8,232.86,-1
20180924  11:45:00,232.86,233.3,232.68,233.25,-1
20180924  11:50:00,233.25,233.27,233.02,233.05,-1
20180924  11:55:00,233.05,233.14,232.86,232.86,-1
20180924  12:00:00,232.86,232.99,232.63,232.7,-1
20180924  12:05:00,232.7,232.7,232.3,232.33,-1
20180924  12:10:00,232.33,232.41,232.24,232.35,-1
20180924  12:15:00,232.35,232.79,232.35,232.64,-1
20180924  12:20:00,232.64,232.73,232.58,232.64,-1
20180924  12:25:00,232.64,232.79,232.57,232.64,-1
20180924  12:30:00,232.64,232.8,232.6,232.76,-1
20180924  12:35:00,232.76,232.87,232.64,232.64,-1
20180924  12:40:00,232.64,232.76,232.58,232.73,-1
20180924  12:45:00,232.73,232.79,232.58,232.79,-1
20180924  12:50:00,232.79,232.84,232.58,232.64,-1
20180924  12:55:00,232.64,232.67,232.5,232.56,-1
20180924  13:00:00,232.56,232.59,232.46,232.55,-1
20180924  13:05:00,232.55,232.91,232.55,232.89,-1
20180924  13:10:00,232.89,233.08,232.83,233.07,-1
20180924  13:15:00,233.07,233.14,232.73,232.83,-1
20180924  13:20:00,232.83,232.9,232.64,232.84,-1
20180924  13:25:00,232.84,232.98,232.77,232.77,-1
20180924  13:30:00,232.77,233.15,232.77,233.06,-1
20180924  13:35:00,233.06,233.11,232.79,232.88,-1
20180924  13:40:00,232.88,233.01,232.84,232.88,-1
20180924  13:45:00,232.88,232.95,232.84,232.86,-1
20180924  13:50:00,232.86,232.9,232.77,232.81,-1
20180924  13:55:00,232.81,232.92,232.77,232.81,-1
20180924  14:00:00,232.81,232.88,232.76,232.78,-1
20180924  14:05:00,232.78,232.84,232.7,232.79,-1
20180924  14:10:00,232.79,232.98,232.79,232.94,-1
20180924  14:15:00,232.94,233.01,232.84,232.88,-1
20180924  14:20:00,232.88,233.02,232.85,232.85,-1
20180924  14:25:00,232.85,232.94,232.71,232.81,-1
20180924  14:30:00,232.81,232.83,232.53,232.56,-1
20180924  14:35:00,232.56,232.87,232.56,232.78,-1
20180924  14:40:00,232.78,232.85,232.67,232.71,-1
20180924  14:45:00,232.71,232.81,232.62,232.78,-1
20180924  14:50:00,232.78,232.85,232.69,232.77,-1
20180924  14:55:00,232.77,232.79,232.6,232.65,-1
