date,open,high,low,close,volume
20180921  09:30:00,211.82,211.82,211.28,211.61,-1
20180921  09:35:00,211.61,212.22,211.45,211.47,-1
20180921  09:40:00,211.47,211.48,210.77,211.03,-1
20180921  09:45:00,211.03,211.1,210.81,210.85,-1
20180921  09:50:00,210.85,211.06,210.52,210.71,-1
20180921  09:55:00,210.71,210.93,210.65,210.83,-1
20180921  10:00:00,210.83,211.06,210.6,211.04,-1
20180921  10:05:00,211.04,211.14,210.96,211.06,-1
20180921  10:10:00,211.06,211.07,210.95,211.02,-1
20180921  10:15:00,211.02,211.24,210.95,211.01,-1
20180921  10:20:00,211.01,211.05,210.86,210.96,-1
20180921  10:25:00,210.96,211.02,210.62,210.96,-1
20180921  10:30:00,210.96,211.21,210.96,210.98,-1
20180921  10:35:00,210.98,211.3,210.98,211.22,-1
20180921  10:40:00,211.22,211.25,210.94,211.02,-1
20180921  10:45:00,211.02,211.48,211.01,211.19,-1
20180921  10:50:00,211.19,211.52,211.13,211.48,-1
20180921  10:55:00,211.48,211.87,211.47,211.85,-1
20180921  11:00:00,211.85,212.16,211.76,212.05,-1
20180921  11:05:00,212.05,212.1,211.93,212.08,-1
20180921  11:10:00,212.08,212.14,211.98,212.01,-1
20180921  11:15:00,212.01,212.12,211.97,212.05,-1
20180921  11:20:00,212.05,212.25,211.93,212.22,-1
20180921  11:25:00,212.22,212.27,212.17,212.21,-1
20180921  11:30:00,212.21,212.25,212.15,212.18,-1
20180921  11:35:00,212.18,212.26,212.05,212.24,-1
20180921  11:40:00,212.24,212.35,212.21,212.31,-1
20180921  11:45:00,212.31,212.46,212.22,212.45,-1
20180921  11:50:00,212.45,212.62,212.35,212.39,-1
20180921  11:55:00,212.39,212.55,212.3,212.53,-1
20180921  12:00:00,212.53,212.67,212.53,212.55,-1
20180921  12:05:00,212.55,212.63,212.53,212.56,-1
20180921  12:10:00,212.56,212.64,212.45,212.49,-1
20180921  12:15:00,212.49,212.49,212.09,212.13,-1
20180921  12:20:00,212.13,212.15,212.07,212.14,-1
20180921  12:25:00,212.14,212.31,212.13,212.19,-1
20180921  12:30:00,212.19,212.28,212.04,212.06,-1
20180921  12:35:00,212.06,212.14,211.99,212.08,-1
20180921  12:40:00,212.08,212.14,212.05,212.08,-1
20180921  12:45:00,212.08,212.13,212.04,212.1,-1
20180921  12:50:00,212.1,212.16,212.05,212.14,-1
20180921  12:55:00,212.14,212.15,211.92,211.94,-1
20180921  13:00:00,211.94,211.94,211.68,211.68,-1
20180921  13:05:00,211.68,211.76,211.47,211.47,-1
20180921  13:10:00,211.47,211.67,211.45,211.63,-1
20180921  13:15:00,211.63,211.81,211.59,211.81,-1
20180921  13:20:00,211.81,211.9,211.81,211.84,-1
20180921  13:25:00,211.84,211.93,211.83,211.9,-1
20180921  13:30:00,211.9,211.94,211.81,211.83,-1
20180921  13:35:00,211.83,212.0,211.79,211.98,-1
