date,open,high,low,close,volume
20180921  09:30:00,211.21,211.57,211.21,211.5,-1
20180921  09:35:00,211.5,212.1,211.35,211.39,-1
20180921  09:40:00,211.39,211.47,210.68,210.94,-1
20180921  09:45:00,210.94,211.07,210.75,210.81,-1
20180921  09:50:00,210.81,211.0,210.51,210.62,-1
20180921  09:55:00,210.62,210.87,210.62,210.79,-1
20180921  10:00:00,210.79,211.01,210.56,210.99,-1
20180921  10:05:00,210.99,211.06,210.93,211.01,-1
20180921  10:10:00,211.01,211.05,210.94,210.99,-1
20180921  10:15:00,210.99,211.22,210.88,210.98,-1
20180921  10:20:00,210.98,211.01,210.79,210.93,-1
20180921  10:25:00,210.93,211.0,210.61,210.92,-1
20180921  10:30:00,210.92,211.17,210.92,210.96,-1
20180921  10:35:00,210.96,211.26,210.96,211.21,-1
20180921  10:40:00,211.21,211.23,210.89,211.01,-1
20180921  10:45:00,211.01,211.43,210.99,211.16,-1
20180921  10:50:00,211.16,211.48,211.12,211.46,-1
20180921  10:55:00,211.46,211.83,211.46,211.82,-1
20180921  11:00:00,211.82,212.13,211.74,212.01,-1
20180921  11:05:00,212.01,212.08,211.92,212.05,-1
20180921  11:10:00,212.05,212.11,211.95,211.98,-1
20180921  11:15:00,211.98,212.1,211.96,212.01,-1
20180921  11:20:00,212.01,212.22,211.91,212.2,-1
20180921  11:25:00,212.2,212.24,212.16,212.17,-1
20180921  11:30:00,212.17,212.22,212.14,212.15,-1
20180921  11:35:00,212.15,212.22,212.0,212.21,-1
20180921  11:40:00,212.21,212.33,212.2,212.28,-1
20180921  11:45:00,212.28,212.44,212.21,212.42,-1
20180921  11:50:00,212.42,212.58,212.31,212.37,-1
20180921  11:55:00,212.37,212.51,212.29,212.51,-1
20180921  12:00:00,212.51,212.65,212.51,212.53,-1
20180921  12:05:00,212.53,212.6,212.52,212.54,-1
20180921  12:10:00,212.54,212.6,212.43,212.47,-1
20180921  12:15:00,212.47,212.47,212.08,212.1,-1
20180921  12:20:00,212.1,212.12,212.05,212.09,-1
20180921  12:25:00,212.09,212.27,212.09,212.15,-1
20180921  12:30:00,212.15,212.22,212.02,212.04,-1
20180921  12:35:00,212.04,212.12,211.97,212.05,-1
20180921  12:40:00,212.05,212.12,212.03,212.06,-1
20180921  12:45:00,212.06,212.1,212.03,212.08,-1
20180921  12:50:00,212.08,212.13,212.04,212.12,-1
20180921  12:55:00,212.12,212.13,211.89,211.91,-1
20180921  13:00:00,211.91,211.93,211.66,211.66,-1
20180921  13:05:00,211.66,211.73,211.44,211.44,-1
20180921  13:10:00,211.44,211.65,211.44,211.59,-1
20180921  13:15:00,211.59,211.8,211.56,211.79,-1
20180921  13:20:00,211.79,211.86,211.79,211.82,-1
20180921  13:25:00,211.82,211.91,211.81,211.88,-1
20180921  13:30:00,211.88,211.91,211.78,211.81,-1
20180921  13:35:00,211.81,211.97,211.77,211.95,-1
20180921  13:40:00,211.95,212.01,211.84,211.91,-1
20180921  13:45:00,211.91,211.92,211.79,211.86,-1
20180921  13:50:00,211.86,211.94,211.77,211.82,-1
20180921  13:55:00,211.82,212.08,211.82,212.04,-1
20180921  14:00:00,212.04,212.15,211.98,212.11,-1
20180921  14:05:00,212.11,212.13,211.98,212.06,-1
20180921  14:10:00,212.06,212.07,211.84,211.88,-1
20180921  14:15:00,211.88,211.99,211.87,211.95,-1
20180921  14:20:00,211.95,212.05,211.95,212.01,-1
20180921  14:25:00,212.01,212.18,212.01,212.11,-1
20180921  14:30:00,212.11,212.2,212.1,212.11,-1
20180921  14:35:00,212.11,212.26,212.07,212.21,-1
20180921  14:40:00,212.21,212.26,212.0,212.08,-1
20180921  14:45:00,212.08,212.13,212.02,212.07,-1
20180921  14:50:00,212.07,212.12,212.03,212.07,-1
20180921  14:55:00,212.07,212.18,212.07,212.09,-1
20180921  15:00:00,212.09,212.23,212.09,212.2,-1
20180921  15:05:00,212.2,212.4,212.19,212.4,-1
20180921  15:10:00,212.4,212.42,212.32,212.32,-1
20180921  15:15:00,212.32,212.32,212.08,212.11,-1
20180921  15:20:00,212.11,212.16,212.0,212.06,-1
20180921  15:25:00,212.06,212.23,212.06,212.17,-1
20180921  15:30:00,212.17,212.17,211.94,211.97,-1
20180921  15:35:00,211.97,211.98,211.86,211.92,-1
20180921  15:40:00,211.92,211.93,211.51,211.56,-1
20180921  15:45:00,211.56,211.73,211.54,211.54,-1
20180921  15:50:00,211.54,211.73,211.54,211.64,-1
20180921  15:55:00,211.64,211.88,211.22,211.74,-1
20180924  09:30:00,211.0,211.68,209.78,210.6,-1
20180924  09:35:00,210.6,211.27,210.38,211.17,-1
20180924  09:40:00,211.17,211.38,210.79,211.15,-1
20180924  09:45:00,211.15,211.61,211.02,211.38,-1
20180924  09:50:00,211.38,211.65,211.21,211.35,-1
20180924  09:55:00,211.35,211.48,210.98,211.23,-1
20180924  10:00:00,211.23,211.4,211.06,211.11,-1
20180924  10:05:00,211.11,211.25,210.71,210.77,-1
20180924  10:10:00,210.77,210.87,210.47,210.84,-1
20180924  10:15:00,210.84,210.91,210.66,210.74,-1
20180924  10:20:00,210.74,210.89,210.48,210.72,-1
20180924  10:25:00,210.72,210.92,210.39,210.51,-1
20180924  10:30:00,210.51,210.55,210.35,210.4,-1
20180924  10:35:00,210.4,210.44,209.81,209.85,-1
20180924  10:40:00,209.85,210.02,209.7,209.92,-1
20180924  10:45:00,209.92,210.02,209.77,209.83,-1
20180924  10:50:00,209.83,210.1,209.83,209.84,-1
20180924  10:55:00,209.84,210.03,209.78,210.03,-1
20180924  11:00:00,210.03,210.1,209.45,209.49,-1
20180924  11:05:00,209.49,209.54,209.22,209.43,-1
20180924  11:10:00,209.43,209.73,209.34,209.64,-1
20180924  11:15:00,209.64,209.86,209.64,209.84,-1
20180924  11:20:00,209.84,209.97,209.8,209.87,-1
20180924  11:25:00,209.87,209.92,209.68,209.85,-1
20180924  11:30:00,209.85,209.87,209.62,209.69,-1
20180924  11:35:00,209.69,209.73,209.64,209.73,-1
20180924  11:40:00,209.73,209.77,209.62,209.71,-1
20180924  11:45:00,209.71,209.75,209.61,209.71,-1
20180924  11:50:00,209.71,209.87,209.65,209.67,-1
20180924  11:55:00,209.67,209.83,209.56,209.59,-1
20180924  12:00:00,209.59,209.66,209.51,209.58,-1
20180924  12:05:00,209.58,209.67,209.47,209.53,-1
20180924  12:10:00,209.53,209.56,209.4,209.41,-1
20180924  12:15:00,209.41,209.48,209.33,209.36,-1
20180924  12:20:00,209.36,209.45,209.28,209.35,-1
20180924  12:25:00,209.35,209.37,209.27,209.34,-1
20180924  12:30:00,209.34,209.43,209.3,209.41,-1
20180924  12:35:00,209.41,209.46,209.3,209.31,-1
20180924  12:40:00,209.31,209.31,209.17,209.19,-1
20180924  12:45:00,209.19,209.42,209.19,209.35,-1
20180924  12:50:00,209.35,209.43,209.19,209.22,-1
20180924  12:55:00,209.22,209.27,209.07,209.14,-1
20180924  13:00:00,209.14,209.16,209.05,209.13,-1
20180924  13:05:00,209.13,209.24,209.13,209.15,-1
20180924  13:10:00,209.15,209.21,209.11,209.15,-1
20180924  13:15:00,209.15,209.15,208.85,208.88,-1
20180924  13:20:00,208.88,209.14,208.88,209.06,-1
20180924  13:25:00,209.06,209.08,208.93,208.93,-1
20180924  13:30:00,208.93,209.09,208.93,209.06,-1
20180924  13:35:00,209.06,209.24,209.03,209.18,-1
20180924  13:40:00,209.18,209.28,209.08,209.26,-1
20180924  13:45:00,209.26,209.31,209.09,209.1,-1
20180924  13:50:00,209.1,209.22,209.07,209.12,-1
20180924  13:55:00,209.12,209.33,209.11,209.18,-1
20180924  14:00:00,209.18,209.48,209.18,209.44,-1
20180924  14:05:00,209.44,209.46,209.29,209.29,-1
20180924  14:10:00,209.29,209.36,209.21,209.28,-1
20180924  14:15:00,209.28,209.29,209.08,209.11,-1
20180924  14:20:00,209.11,209.24,209.1,209.1,-1
20180924  14:25:00,209.1,209.19,209.06,209.14,-1
20180924  14:30:00,209.14,209.4,209.12,209.35,-1
20180924  14:35:00,209.35,209.49,209.24,209.37,-1
20180924  14:40:00,209.37,209.47,209.35,209.36,-1
20180924  14:45:00,209.36,209.46,209.33,209.45,-1
20180924  14:50:00,209.45,209.56,209.41,209.55,-1
20180924  14:55:00,209.55,209.56,209.23,209.26,-1
20180924  15:00:00,209.26,209.26,209.15,209.21,-1
20180924  15:05:00,209.21,209.27,209.12,209.24,-1
20180924  15:10:00,209.24,209.3,209.1,209.13,-1
20180924  15:15:00,209.13,209.21,208.94,208.99,-1
20180924  15:20:00,208.99,209.11,208.95,208.99,-1
20180924  15:25:00,208.99,209.0,208.9,208.93,-1
20180924  15:30:00,208.93,209.02,208.83,208.83,-1
20180924  15:35:00,208.83,208.89,208.62,208.67,-1
20180924  15:40:00,208.67,208.71,208.42,208.55,-1
20180924  15:45:00,208.55,208.66,208.46,208.59,-1
20180924  15:50:00,208.59,208.61,208.12,208.24,-1
20180924  15:55:00,208.24,208.29,207.96,208.0,-1
20180925  09:30:00,208.3,209.26,208.3,208.63,-1
20180925  09:35:00,208.63,208.72,208.0,208.17,-1
20180925  09:40:00,208.17,208.67,208.17,208.56,-1
20180925  09:45:00,208.56,208.66,208.24,208.45,-1
20180925  09:50:00,208.45,208.46,208.25,208.37,-1
20180925  09:55:00,208.37,208.5,208.19,208.21,-1
20180925  10:00:00,208.21,208.53,208.21,208.53,-1
20180925  10:05:00,208.53,208.64,208.22,208.36,-1
20180925  10:10:00,208.36,208.39,208.07,208.11,-1
20180925  10:15:00,208.11,208.15,207.92,208.1,-1
20180925  10:20:00,208.1,208.12,207.97,208.03,-1
20180925  10:25:00,208.03,208.07,207.86,208.04,-1
20180925  10:30:00,208.04,208.06,207.83,207.92,-1
20180925  10:35:00,207.92,207.95,207.68,207.86,-1
20180925  10:40:00,207.86,207.91,207.79,207.82,-1
20180925  10:45:00,207.82,207.93,207.71,207.93,-1
20180925  10:50:00,207.93,208.12,207.9,208.1,-1
20180925  10:55:00,208.1,208.1,207.8,207.82,-1
20180925  11:00:00,207.82,207.82,207.32,207.52,-1
20180925  11:05:00,207.52,207.87,207.51,207.81,-1
20180925  11:10:00,207.81,207.96,207.81,207.9,-1
20180925  11:15:00,207.9,208.05,207.81,208.05,-1
20180925  11:20:00,208.05,208.11,207.91,207.99,-1
20180925  11:25:00,207.99,208.16,207.96,208.13,-1
20180925  11:30:00,208.13,208.3,208.11,208.29,-1
20180925  11:35:00,208.29,208.31,208.24,208.26,-1
20180925  11:40:00,208.26,208.4,208.24,208.3,-1
20180925  11:45:00,208.3,208.39,208.23,208.31,-1
20180925  11:50:00,208.31,208.45,208.29,208.29,-1
20180925  11:55:00,208.29,208.38,208.26,208.27,-1
20180925  12:00:00,208.27,208.32,208.25,208.25,-1
20180925  12:05:00,208.25,208.44,208.24,208.4,-1
20180925  12:10:00,208.4,208.46,208.25,208.34,-1
20180925  12:15:00,208.34,208.39,208.25,208.27,-1
20180925  12:20:00,208.27,208.3,208.25,208.29,-1
20180925  12:25:00,208.29,208.31,208.23,208.27,-1
20180925  12:30:00,208.27,208.27,208.21,208.26,-1
20180925  12:35:00,208.26,208.29,208.19,208.2,-1
20180925  12:40:00,208.2,208.21,208.14,208.14,-1
20180925  12:45:00,208.14,208.16,207.85,207.95,-1
20180925  12:50:00,207.95,208.04,207.94,208.01,-1
20180925  12:55:00,208.01,208.04,207.95,208.0,-1
20180925  13:00:00,208.0,208.01,207.9,207.94,-1
