date,open,high,low,close,volume
20180921  09:30:00,151.9,152.23,151.5,152.06,-1
20180921  09:35:00,152.06,152.6,151.89,151.95,-1
20180921  09:40:00,151.95,152.5,151.88,152.43,-1
20180921  09:45:00,152.43,152.43,152.25,152.4,-1
20180921  09:50:00,152.4,152.42,152.06,152.13,-1
20180921  09:55:00,152.13,152.24,152.04,152.09,-1
20180921  10:00:00,152.09,152.09,151.91,152.02,-1
20180921  10:05:00,152.02,152.09,152.0,152.07,-1
20180921  10:10:00,152.07,152.3,152.01,152.03,-1
20180921  10:15:00,152.03,152.25,152.0,152.25,-1
20180921  10:20:00,152.25,152.25,151.78,151.85,-1
20180921  10:25:00,151.85,151.99,151.76,151.83,-1
20180921  10:30:00,151.83,151.87,151.36,151.39,-1
20180921  10:35:00,151.39,151.47,151.19,151.31,-1
20180921  10:40:00,151.31,151.43,151.22,151.36,-1
20180921  10:45:00,151.36,151.48,151.24,151.26,-1
20180921  10:50:00,151.26,151.31,151.04,151.16,-1
20180921  10:55:00,151.16,151.21,151.08,151.16,-1
20180921  11:00:00,151.16,151.22,150.89,150.89,-1
20180921  11:05:00,150.89,150.94,150.75,150.92,-1
20180921  11:10:00,150.92,151.09,150.8,150.97,-1
20180921  11:15:00,150.97,151.14,150.95,151.14,-1
20180921  11:20:00,151.14,151.18,151.05,151.11,-1
20180921  11:25:00,151.11,151.22,151.1,151.22,-1
20180921  11:30:00,151.22,151.23,151.08,151.15,-1
20180921  11:35:00,151.15,151.15,151.03,151.09,-1
20180921  11:40:00,151.09,151.17,151.09,151.12,-1
20180921  11:45:00,151.12,151.17,151.07,151.14,-1
20180921  11:50:00,151.14,151.17,151.1,151.16,-1
20180921  11:55:00,151.16,151.36,151.15,151.35,-1
20180921  12:00:00,151.35,151.38,151.24,151.27,-1
20180921  12:05:00,151.27,151.33,151.25,151.3,-1
20180921  12:10:00,151.3,151.42,151.29,151.38,-1
20180921  12:15:00,151.38,151.38,151.28,151.3,-1
20180921  12:20:00,151.3,151.3,151.2,151.25,-1
20180921  12:25:00,151.25,151.32,151.15,151.19,-1
20180921  12:30:00,151.19,151.23,151.16,151.23,-1
20180921  12:35:00,151.23,151.25,151.12,151.19,-1
20180921  12:40:00,151.19,151.21,151.18,151.2,-1
20180921  12:45:00,151.2,151.27,151.19,151.25,-1
20180921  12:50:00,151.25,151.35,151.24,151.35,-1
20180921  12:55:00,151.35,151.4,151.35,151.37,-1
20180921  13:00:00,151.37,151.39,151.23,151.29,-1
20180921  13:05:00,151.29,151.4,151.29,151.38,-1
20180921  13:10:00,151.38,151.43,151.35,151.4,-1
20180921  13:15:00,151.4,151.52,151.4,151.45,-1
20180921  13:20:00,151.45,151.62,151.45,151.62,-1
20180921  13:25:00,151.62,151.73,151.55,151.58,-1
20180921  13:30:00,151.58,151.62,151.51,151.6,-1
20180921  13:35:00,151.6,151.6,151.54,151.6,-1
20180921  13:40:00,151.6,151.64,151.57,151.63,-1
20180921  13:45:00,151.63,151.72,151.61,151.67,-1
20180921  13:50:00,151.67,151.71,151.61,151.62,-1
20180921  13:55:00,151.62,151.64,151.52,151.57,-1
20180921  14:00:00,151.57,151.57,151.51,151.51,-1
20180921  14:05:00,151.51,151.59,151.51,151.58,-1
20180921  14:10:00,151.58,151.64,151.5,151.52,-1
20180921  14:15:00,151.52,151.54,151.49,151.52,-1
20180921  14:20:00,151.52,151.55,151.48,151.5,-1
20180921  14:25:00,151.5,151.53,151.45,151.46,-1
20180921  14:30:00,151.46,151.5,151.38,151.39,-1
20180921  14:35:00,151.39,151.51,151.38,151.5,-1
20180921  14:40:00,151.5,151.53,151.46,151.46,-1
20180921  14:45:00,151.46,151.46,151.32,151.34,-1
20180921  14:50:00,151.34,151.36,151.3,151.34,-1
