date,open,high,low,close,volume
20180921  09:30:00,151.05,152.15,151.02,151.98,-1
20180921  09:35:00,151.98,152.55,151.85,151.85,-1
20180921  09:40:00,151.85,152.44,151.84,152.4,-1
20180921  09:45:00,152.4,152.41,152.15,152.38,-1
20180921  09:50:00,152.38,152.41,152.02,152.1,-1
20180921  09:55:00,152.1,152.21,152.01,152.04,-1
20180921  10:00:00,152.04,152.04,151.89,152.01,-1
20180921  10:05:00,152.01,152.06,151.98,152.04,-1
20180921  10:10:00,152.04,152.29,151.98,152.01,-1
20180921  10:15:00,152.01,152.23,151.97,152.23,-1
20180921  10:20:00,152.23,152.23,151.74,151.82,-1
20180921  10:25:00,151.82,151.97,151.75,151.8,-1
20180921  10:30:00,151.8,151.82,151.34,151.36,-1
20180921  10:35:00,151.36,151.44,151.18,151.26,-1
20180921  10:40:00,151.26,151.41,151.19,151.33,-1
20180921  10:45:00,151.33,151.46,151.21,151.24,-1
20180921  10:50:00,151.24,151.29,151.01,151.14,-1
20180921  10:55:00,151.14,151.17,151.06,151.14,-1
20180921  11:00:00,151.14,151.2,150.85,150.86,-1
20180921  11:05:00,150.86,150.92,150.73,150.9,-1
20180921  11:10:00,150.9,151.08,150.78,150.96,-1
20180921  11:15:00,150.96,151.13,150.92,151.13,-1
20180921  11:20:00,151.13,151.17,151.03,151.09,-1
20180921  11:25:00,151.09,151.19,151.06,151.19,-1
20180921  11:30:00,151.19,151.2,151.06,151.12,-1
20180921  11:35:00,151.12,151.13,151.02,151.07,-1
20180921  11:40:00,151.07,151.15,151.07,151.11,-1
20180921  11:45:00,151.11,151.16,151.06,151.13,-1
20180921  11:50:00,151.13,151.15,151.08,151.15,-1
20180921  11:55:00,151.15,151.34,151.13,151.34,-1
20180921  12:00:00,151.34,151.36,151.22,151.26,-1
20180921  12:05:00,151.26,151.32,151.24,151.28,-1
20180921  12:10:00,151.28,151.41,151.28,151.36,-1
20180921  12:15:00,151.36,151.37,151.27,151.29,-1
20180921  12:20:00,151.29,151.29,151.19,151.24,-1
20180921  12:25:00,151.24,151.28,151.15,151.16,-1
20180921  12:30:00,151.16,151.22,151.15,151.22,-1
20180921  12:35:00,151.22,151.23,151.1,151.18,-1
20180921  12:40:00,151.18,151.2,151.17,151.19,-1
20180921  12:45:00,151.19,151.26,151.18,151.24,-1
20180921  12:50:00,151.24,151.34,151.23,151.34,-1
20180921  12:55:00,151.34,151.39,151.34,151.36,-1
