date,open,high,low,close,volume
20180921  09:30:00,142.48,142.48,142.1,142.18,-1
20180921  09:35:00,142.18,142.27,141.86,141.87,-1
20180921  09:40:00,141.87,142.02,141.81,141.94,-1
20180921  09:45:00,141.94,142.0,141.88,141.92,-1
20180921  09:50:00,141.92,141.95,141.78,141.94,-1
20180921  09:55:00,141.94,142.03,141.77,141.79,-1
20180921  10:00:00,141.79,141.87,141.7,141.79,-1
20180921  10:05:00,141.79,141.93,141.78,141.88,-1
20180921  10:10:00,141.88,141.97,141.87,141.88,-1
20180921  10:15:00,141.88,141.96,141.77,141.81,-1
20180921  10:20:00,141.81,141.96,141.76,141.93,-1
20180921  10:25:00,141.93,142.0,141.9,141.97,-1
20180921  10:30:00,141.97,142.09,141.97,142.04,-1
20180921  10:35:00,142.04,142.11,142.0,142.08,-1
20180921  10:40:00,142.08,142.14,142.05,142.1,-1
20180921  10:45:00,142.1,142.25,142.1,142.16,-1
20180921  10:50:00,142.16,142.19,141.98,141.99,-1
20180921  10:55:00,141.99,142.04,141.87,141.88,-1
20180921  11:00:00,141.88,141.95,141.77,141.89,-1
20180921  11:05:00,141.89,141.94,141.84,141.87,-1
20180921  11:10:00,141.87,141.9,141.84,141.87,-1
20180921  11:15:00,141.87,142.0,141.87,141.98,-1
20180921  11:20:00,141.98,141.99,141.87,141.91,-1
20180921  11:25:00,141.91,141.97,141.83,141.9,-1
20180921  11:30:00,141.9,141.96,141.88,141.95,-1
20180921  11:35:00,141.95,141.98,141.87,141.91,-1
20180921  11:40:00,141.91,141.97,141.89,141.96,-1
20180921  11:45:00,141.96,142.0,141.93,141.99,-1
20180921  11:50:00,141.99,142.0,141.92,142.0,-1
20180921  11:55:00,142.0,142.0,141.91,142.0,-1
20180921  12:00:00,142.0,142.18,141.94,142.18,-1
20180921  12:05:00,142.18,142.21,142.11,142.14,-1
20180921  12:10:00,142.14,142.23,142.14,142.21,-1
20180921  12:15:00,142.21,142.23,142.16,142.22,-1
20180921  12:20:00,142.22,142.41,142.19,142.41,-1
20180921  12:25:00,142.41,142.65,142.41,142.5,-1
20180921  12:30:00,142.5,142.63,142.5,142.6,-1
20180921  12:35:00,142.6,142.62,142.52,142.62,-1
20180921  12:40:00,142.62,142.65,142.61,142.65,-1
20180921  12:45:00,142.65,142.75,142.61,142.74,-1
20180921  12:50:00,142.74,142.85,142.71,142.84,-1
20180921  12:55:00,142.84,142.88,142.82,142.83,-1
20180921  13:00:00,142.83,142.87,142.79,142.79,-1
20180921  13:05:00,142.79,142.83,142.68,142.69,-1
20180921  13:10:00,142.69,142.76,142.68,142.75,-1
20180921  13:15:00,142.75,142.9,142.74,142.89,-1
20180921  13:20:00,142.89,142.95,142.87,142.92,-1
20180921  13:25:00,142.92,142.94,142.87,142.9,-1
20180921  13:30:00,142.9,142.9,142.73,142.75,-1
20180921  13:35:00,142.75,142.87,142.71,142.76,-1
20180921  13:40:00,142.76,142.84,142.7,142.73,-1
20180921  13:45:00,142.73,142.76,142.67,142.7,-1
20180921  13:50:00,142.7,142.72,142.61,142.67,-1
20180921  13:55:00,142.67,142.72,142.61,142.72,-1
20180921  14:00:00,142.72,142.74,142.67,142.73,-1
20180921  14:05:00,142.73,142.73,142.64,142.67,-1
20180921  14:10:00,142.67,142.67,142.49,142.53,-1
20180921  14:15:00,142.53,142.64,142.53,142.63,-1
20180921  14:20:00,142.63,142.7,142.61,142.69,-1
20180921  14:25:00,142.69,142.73,142.67,142.73,-1
20180921  14:30:00,142.73,142.75,142.7,142.71,-1
20180921  14:35:00,142.71,142.87,142.68,142.87,-1
20180921  14:40:00,142.87,142.89,142.81,142.85,-1
20180921  14:45:00,142.85,142.88,142.82,142.86,-1
20180921  14:50:00,142.86,142.9,142.8,142.88,-1
20180921  14:55:00,142.88,142.92,142.83,142.85,-1
20180921  15:00:00,142.85,142.92,142.82,142.91,-1
20180921  15:05:00,142.91,142.91,142.75,142.81,-1
20180921  15:10:00,142.81,142.81,142.72,142.76,-1
20180921  15:15:00,142.76,142.76,142.69,142.69,-1
20180921  15:20:00,142.69,142.86,142.69,142.85,-1
20180921  15:25:00,142.85,142.87,142.82,142.83,-1
20180921  15:30:00,142.83,142.85,142.8,142.84,-1
20180921  15:35:00,142.84,142.85,142.83,142.85,-1
20180921  15:40:00,142.85,143.1,142.85,143.08,-1
20180921  15:45:00,143.08,143.09,142.78,142.88,-1
20180921  15:50:00,142.88,143.13,142.86,143.06,-1
20180921  15:55:00,143.06,143.08,142.83,142.86,-1
20180924  09:30:00,142.75,142.75,141.95,142.11,-1
20180924  09:35:00,142.11,142.36,142.03,142.06,-1
20180924  09:40:00,142.06,142.38,142.0,142.34,-1
20180924  09:45:00,142.34,142.41,141.85,141.95,-1
20180924  09:50:00,141.95,142.01,141.86,141.89,-1
20180924  09:55:00,141.89,141.97,141.82,141.88,-1
20180924  10:00:00,141.88,141.89,141.73,141.8,-1
20180924  10:05:00,141.8,141.86,141.74,141.79,-1
20180924  10:10:00,141.79,141.79,141.56,141.6,-1
20180924  10:15:00,141.6,141.61,141.52,141.54,-1
20180924  10:20:00,141.54,141.58,141.43,141.51,-1
20180924  10:25:00,141.51,141.53,141.12,141.17,-1
20180924  10:30:00,141.17,141.18,140.87,140.89,-1
20180924  10:35:00,140.89,140.97,140.52,140.67,-1
20180924  10:40:00,140.67,140.75,140.3,140.4,-1
20180924  10:45:00,140.4,140.57,140.24,140.56,-1
20180924  10:50:00,140.56,140.87,140.51,140.79,-1
20180924  10:55:00,140.79,141.03,140.77,140.87,-1
20180924  11:00:00,140.87,140.87,140.66,140.69,-1
20180924  11:05:00,140.69,140.85,140.64,140.76,-1
20180924  11:10:00,140.76,140.87,140.7,140.72,-1
20180924  11:15:00,140.72,140.76,140.57,140.6,-1
20180924  11:20:00,140.6,140.6,140.5,140.6,-1
20180924  11:25:00,140.6,140.61,140.46,140.47,-1
20180924  11:30:00,140.47,140.53,140.37,140.39,-1
20180924  11:35:00,140.39,140.55,140.37,140.43,-1
20180924  11:40:00,140.43,140.48,140.32,140.35,-1
20180924  11:45:00,140.35,140.45,140.28,140.38,-1
20180924  11:50:00,140.38,140.43,140.34,140.38,-1
20180924  11:55:00,140.38,140.44,140.3,140.31,-1
20180924  12:00:00,140.31,140.43,140.31,140.4,-1
20180924  12:05:00,140.4,140.59,140.39,140.51,-1
20180924  12:10:00,140.51,140.55,140.43,140.44,-1
20180924  12:15:00,140.44,140.58,140.44,140.55,-1
20180924  12:20:00,140.55,140.55,140.39,140.45,-1
20180924  12:25:00,140.45,140.47,140.38,140.39,-1
20180924  12:30:00,140.39,140.5,140.39,140.49,-1
20180924  12:35:00,140.49,140.49,140.4,140.47,-1
20180924  12:40:00,140.47,140.5,140.4,140.5,-1
20180924  12:45:00,140.5,140.52,140.47,140.49,-1
20180924  12:50:00,140.49,140.53,140.45,140.52,-1
20180924  12:55:00,140.52,140.68,140.5,140.68,-1
20180924  13:00:00,140.68,140.72,140.66,140.7,-1
20180924  13:05:00,140.7,140.72,140.59,140.62,-1
20180924  13:10:00,140.62,140.7,140.6,140.61,-1
20180924  13:15:00,140.61,140.66,140.59,140.63,-1
20180924  13:20:00,140.63,140.68,140.59,140.68,-1
20180924  13:25:00,140.68,140.73,140.58,140.6,-1
20180924  13:30:00,140.6,140.71,140.59,140.68,-1
20180924  13:35:00,140.68,140.69,140.63,140.65,-1
20180924  13:40:00,140.65,140.84,140.65,140.77,-1
20180924  13:45:00,140.77,140.78,140.68,140.7,-1
20180924  13:50:00,140.7,140.71,140.62,140.67,-1
20180924  13:55:00,140.67,140.74,140.64,140.69,-1
20180924  14:00:00,140.69,141.0,140.67,140.73,-1
20180924  14:05:00,140.73,140.81,140.69,140.76,-1
20180924  14:10:00,140.76,140.83,140.74,140.78,-1
20180924  14:15:00,140.78,140.83,140.76,140.79,-1
20180924  14:20:00,140.79,140.79,140.64,140.66,-1
20180924  14:25:00,140.66,140.71,140.64,140.68,-1
20180924  14:30:00,140.68,140.72,140.66,140.68,-1
20180924  14:35:00,140.68,140.78,140.68,140.73,-1
20180924  14:40:00,140.73,140.81,140.73,140.76,-1
20180924  14:45:00,140.76,140.79,140.73,140.79,-1
20180924  14:50:00,140.79,140.85,140.79,140.82,-1
20180924  14:55:00,140.82,140.82,140.81,140.81,-1
20180924  15:00:00,140.81,140.83,140.8,140.82,-1
20180924  15:05:00,140.82,140.9,140.8,140.83,-1
20180924  15:10:00,140.83,140.84,140.78,140.8,-1
20180924  15:15:00,140.8,140.83,140.79,140.83,-1
20180924  15:20:00,140.83,140.83,140.78,140.81,-1
20180924  15:25:00,140.81,140.81,140.75,140.78,-1
20180924  15:30:00,140.78,140.82,140.78,140.8,-1
20180924  15:35:00,140.8,140.82,140.75,140.8,-1
20180924  15:40:00,140.8,140.84,140.78,140.84,-1
20180924  15:45:00,140.84,140.93,140.79,140.91,-1
20180924  15:50:00,140.91,140.92,140.63,140.64,-1
20180924  15:55:00,140.64,140.65,140.43,140.48,-1
20180925  09:30:00,140.9,140.97,140.58,140.75,-1
20180925  09:35:00,140.75,140.92,140.57,140.66,-1
20180925  09:40:00,140.66,140.74,140.43,140.52,-1
20180925  09:45:00,140.52,140.63,140.41,140.47,-1
20180925  09:50:00,140.47,140.48,140.1,140.18,-1
20180925  09:55:00,140.18,140.3,140.12,140.29,-1
20180925  10:00:00,140.29,140.41,140.14,140.27,-1
20180925  10:05:00,140.27,140.35,140.23,140.28,-1
20180925  10:10:00,140.28,140.31,140.17,140.19,-1
20180925  10:15:00,140.19,140.27,140.14,140.24,-1
20180925  10:20:00,140.24,140.24,139.99,140.17,-1
20180925  10:25:00,140.17,140.19,140.03,140.04,-1
20180925  10:30:00,140.04,140.04,139.9,139.93,-1
20180925  10:35:00,139.93,140.04,139.91,139.96,-1
20180925  10:40:00,139.96,140.04,139.9,140.04,-1
20180925  10:45:00,140.04,140.12,139.95,140.07,-1
20180925  10:50:00,140.07,140.12,139.97,139.98,-1
20180925  10:55:00,139.98,140.01,139.9,139.95,-1
20180925  11:00:00,139.95,139.96,139.87,139.9,-1
20180925  11:05:00,139.9,140.07,139.85,140.05,-1
20180925  11:10:00,140.05,140.05,139.9,139.97,-1
20180925  11:15:00,139.97,140.09,139.95,140.03,-1
20180925  11:20:00,140.03,140.06,139.89,139.97,-1
