date,open,high,low,close,volume
20180921  09:30:00,142.01,142.29,142.0,142.13,-1
20180921  09:35:00,142.13,142.25,141.84,141.85,-1
20180921  09:40:00,141.85,142.0,141.8,141.91,-1
20180921  09:45:00,141.91,141.97,141.86,141.91,-1
20180921  09:50:00,141.91,141.94,141.77,141.92,-1
20180921  09:55:00,141.92,142.0,141.76,141.78,-1
20180921  10:00:00,141.78,141.85,141.69,141.77,-1
20180921  10:05:00,141.77,141.92,141.77,141.87,-1
20180921  10:10:00,141.87,141.95,141.85,141.87,-1
20180921  10:15:00,141.87,141.95,141.76,141.8,-1
20180921  10:20:00,141.8,141.95,141.75,141.91,-1
20180921  10:25:00,141.91,141.99,141.89,141.96,-1
20180921  10:30:00,141.96,142.08,141.96,142.03,-1
20180921  10:35:00,142.03,142.09,141.99,142.06,-1
20180921  10:40:00,142.06,142.13,142.02,142.08,-1
20180921  10:45:00,142.08,142.23,142.08,142.14,-1
20180921  10:50:00,142.14,142.18,141.97,141.98,-1
20180921  10:55:00,141.98,142.03,141.86,141.86,-1
20180921  11:00:00,141.86,141.94,141.76,141.87,-1
20180921  11:05:00,141.87,141.93,141.83,141.86,-1
20180921  11:10:00,141.86,141.89,141.83,141.85,-1
20180921  11:15:00,141.85,142.0,141.85,141.96,-1
20180921  11:20:00,141.96,141.98,141.86,141.89,-1
20180921  11:25:00,141.89,141.95,141.82,141.88,-1
20180921  11:30:00,141.88,141.94,141.87,141.94,-1
20180921  11:35:00,141.94,141.98,141.86,141.9,-1
20180921  11:40:00,141.9,141.96,141.88,141.95,-1
20180921  11:45:00,141.95,142.0,141.92,141.98,-1
20180921  11:50:00,141.98,142.0,141.91,142.0,-1
20180921  11:55:00,142.0,142.0,141.9,141.99,-1
20180921  12:00:00,141.99,142.16,141.93,142.16,-1
20180921  12:05:00,142.16,142.2,142.1,142.13,-1
20180921  12:10:00,142.13,142.22,142.13,142.19,-1
20180921  12:15:00,142.19,142.22,142.15,142.21,-1
20180921  12:20:00,142.21,142.4,142.18,142.4,-1
20180921  12:25:00,142.4,142.64,142.4,142.49,-1
20180921  12:30:00,142.49,142.62,142.49,142.58,-1
20180921  12:35:00,142.58,142.61,142.51,142.61,-1
20180921  12:40:00,142.61,142.64,142.6,142.64,-1
20180921  12:45:00,142.64,142.74,142.6,142.73,-1
20180921  12:50:00,142.73,142.84,142.7,142.82,-1
