date,open,high,low,close,volume
20180921  09:30:00,163.88,164.0,162.7,163.44,-1
20180921  09:35:00,163.44,164.37,163.38,164.15,-1
20180921  09:40:00,164.15,164.4,163.69,163.74,-1
20180921  09:45:00,163.74,164.1,163.69,163.95,-1
20180921  09:50:00,163.95,164.07,163.65,164.0,-1
20180921  09:55:00,164.0,164.29,163.91,164.24,-1
20180921  10:00:00,164.24,164.61,164.01,164.51,-1
20180921  10:05:00,164.51,164.55,164.1,164.23,-1
20180921  10:10:00,164.23,164.4,163.98,164.12,-1
20180921  10:15:00,164.12,164.23,163.87,163.87,-1
20180921  10:20:00,163.87,164.25,163.87,164.23,-1
20180921  10:25:00,164.23,164.45,164.2,164.45,-1
20180921  10:30:00,164.45,164.46,164.33,164.39,-1
20180921  10:35:00,164.39,164.59,164.36,164.47,-1
20180921  10:40:00,164.47,164.49,164.35,164.38,-1
20180921  10:45:00,164.38,164.39,164.06,164.12,-1
20180921  10:50:00,164.12,164.24,164.03,164.2,-1
20180921  10:55:00,164.2,164.23,164.02,164.08,-1
20180921  11:00:00,164.08,164.14,163.97,163.97,-1
20180921  11:05:00,163.97,163.97,163.57,163.66,-1
20180921  11:10:00,163.66,163.81,163.65,163.71,-1
20180921  11:15:00,163.71,163.82,163.7,163.71,-1
20180921  11:20:00,163.71,164.0,163.71,163.97,-1
20180921  11:25:00,163.97,164.0,163.88,163.95,-1
20180921  11:30:00,163.95,164.03,163.92,164.01,-1
20180921  11:35:00,164.01,164.15,163.88,164.14,-1
20180921  11:40:00,164.14,164.3,164.14,164.25,-1
20180921  11:45:00,164.25,164.38,164.25,164.31,-1
20180921  11:50:00,164.31,164.36,164.2,164.34,-1
20180921  11:55:00,164.34,164.44,164.3,164.38,-1
20180921  12:00:00,164.38,164.4,164.3,164.38,-1
20180921  12:05:00,164.38,164.52,164.35,164.5,-1
20180921  12:10:00,164.5,164.54,164.43,164.43,-1
20180921  12:15:00,164.43,164.44,164.21,164.21,-1
20180921  12:20:00,164.21,164.29,164.13,164.27,-1
20180921  12:25:00,164.27,164.27,164.07,164.19,-1
20180921  12:30:00,164.19,164.27,164.1,164.15,-1
20180921  12:35:00,164.15,164.18,164.07,164.08,-1
20180921  12:40:00,164.08,164.22,164.08,164.11,-1
20180921  12:45:00,164.11,164.14,164.07,164.07,-1
20180921  12:50:00,164.07,164.14,164.06,164.1,-1
20180921  12:55:00,164.1,164.1,163.92,163.93,-1
20180921  13:00:00,163.93,164.0,163.74,163.96,-1
20180921  13:05:00,163.96,164.01,163.92,163.92,-1
20180921  13:10:00,163.92,164.02,163.91,164.02,-1
20180921  13:15:00,164.02,164.12,164.01,164.01,-1
20180921  13:20:00,164.01,164.12,164.0,164.07,-1
20180921  13:25:00,164.07,164.08,164.01,164.03,-1
20180921  13:30:00,164.03,164.07,163.98,163.98,-1
20180921  13:35:00,163.98,164.11,163.98,164.11,-1
20180921  13:40:00,164.11,164.15,164.03,164.15,-1
20180921  13:45:00,164.15,164.2,164.12,164.15,-1
20180921  13:50:00,164.15,164.19,164.12,164.14,-1
20180921  13:55:00,164.14,164.18,164.1,164.13,-1
20180921  14:00:00,164.13,164.13,163.97,164.03,-1
20180921  14:05:00,164.03,164.03,163.93,163.97,-1
20180921  14:10:00,163.97,164.04,163.94,164.03,-1
20180921  14:15:00,164.03,164.1,164.02,164.1,-1
20180921  14:20:00,164.1,164.11,163.98,164.01,-1
20180921  14:25:00,164.01,164.08,163.94,163.99,-1
20180921  14:30:00,163.99,164.0,163.97,163.97,-1
20180921  14:35:00,163.97,164.06,163.96,164.05,-1
20180921  14:40:00,164.05,164.05,163.96,163.98,-1
20180921  14:45:00,163.98,164.01,163.89,163.9,-1
20180921  14:50:00,163.9,163.92,163.78,163.84,-1
20180921  14:55:00,163.84,163.9,163.83,163.86,-1
20180921  15:00:00,163.86,163.91,163.85,163.87,-1
20180921  15:05:00,163.87,164.03,163.85,164.0,-1
20180921  15:10:00,164.0,164.04,163.93,163.93,-1
20180921  15:15:00,163.93,163.96,163.89,163.95,-1
20180921  15:20:00,163.95,164.0,163.94,163.98,-1
20180921  15:25:00,163.98,164.02,163.93,163.97,-1
20180921  15:30:00,163.97,164.04,163.92,164.01,-1
20180921  15:35:00,164.01,164.14,164.0,164.11,-1
20180921  15:40:00,164.11,164.11,163.91,163.93,-1
20180921  15:45:00,163.93,164.04,163.91,163.99,-1
20180921  15:50:00,163.99,164.28,163.99,164.25,-1
20180921  15:55:00,164.25,164.39,164.05,164.17,-1
20180924  09:30:00,164.48,164.52,161.29,163.35,-1
20180924  09:35:00,163.35,164.1,163.16,163.52,-1
20180924  09:40:00,163.52,163.52,162.95,163.14,-1
20180924  09:45:00,163.14,163.25,162.73,163.14,-1
20180924  09:50:00,163.14,163.33,162.96,163.04,-1
20180924  09:55:00,163.04,163.13,162.79,162.96,-1
20180924  10:00:00,162.96,163.27,162.86,163.26,-1
20180924  10:05:00,163.26,163.5,163.23,163.43,-1
20180924  10:10:00,163.43,163.44,163.25,163.39,-1
20180924  10:15:00,163.39,163.72,163.38,163.71,-1
20180924  10:20:00,163.71,163.98,163.7,163.86,-1
20180924  10:25:00,163.86,163.98,163.7,163.82,-1
20180924  10:30:00,163.82,163.87,163.7,163.7,-1
20180924  10:35:00,163.7,163.78,163.58,163.65,-1
20180924  10:40:00,163.65,164.04,163.59,163.96,-1
20180924  10:45:00,163.96,164.01,163.88,163.9,-1
20180924  10:50:00,163.9,163.96,163.59,163.59,-1
20180924  10:55:00,163.59,163.7,163.48,163.6,-1
20180924  11:00:00,163.6,163.7,163.43,163.65,-1
20180924  11:05:00,163.65,163.72,163.6,163.66,-1
20180924  11:10:00,163.66,163.71,163.62,163.67,-1
20180924  11:15:00,163.67,163.72,163.6,163.63,-1
20180924  11:20:00,163.63,163.65,163.54,163.64,-1
20180924  11:25:00,163.64,163.66,163.5,163.51,-1
20180924  11:30:00,163.51,163.51,163.28,163.3,-1
