date,open,high,low,close,volume
20180921  09:30:00,162.38,163.66,162.38,163.28,-1
20180921  09:35:00,163.28,164.28,163.27,164.03,-1
20180921  09:40:00,164.03,164.27,163.6,163.66,-1
20180921  09:45:00,163.66,164.07,163.6,163.89,-1
20180921  09:50:00,163.89,164.02,163.6,163.93,-1
20180921  09:55:00,163.93,164.26,163.87,164.19,-1
20180921  10:00:00,164.19,164.57,163.97,164.46,-1
20180921  10:05:00,164.46,164.48,164.08,164.19,-1
20180921  10:10:00,164.19,164.36,163.92,164.07,-1
20180921  10:15:00,164.07,164.19,163.81,163.83,-1
20180921  10:20:00,163.83,164.23,163.83,164.19,-1
20180921  10:25:00,164.19,164.42,164.16,164.41,-1
20180921  10:30:00,164.41,164.44,164.28,164.37,-1
20180921  10:35:00,164.37,164.57,164.34,164.42,-1
20180921  10:40:00,164.42,164.45,164.34,164.35,-1
20180921  10:45:00,164.35,164.36,164.03,164.1,-1
20180921  10:50:00,164.1,164.21,164.01,164.17,-1
20180921  10:55:00,164.17,164.2,164.0,164.05,-1
20180921  11:00:00,164.05,164.13,163.93,163.93,-1
20180921  11:05:00,163.93,163.93,163.53,163.63,-1
20180921  11:10:00,163.63,163.8,163.63,163.69,-1
20180921  11:15:00,163.69,163.8,163.65,163.67,-1
20180921  11:20:00,163.67,163.98,163.67,163.94,-1
20180921  11:25:00,163.94,163.97,163.85,163.91,-1
20180921  11:30:00,163.91,164.01,163.91,163.96,-1
20180921  11:35:00,163.96,164.11,163.84,164.11,-1
20180921  11:40:00,164.11,164.28,164.11,164.23,-1
20180921  11:45:00,164.23,164.33,164.23,164.28,-1
20180921  11:50:00,164.28,164.34,164.15,164.32,-1
20180921  11:55:00,164.32,164.41,164.29,164.36,-1
20180921  12:00:00,164.36,164.38,164.28,164.35,-1
20180921  12:05:00,164.35,164.5,164.33,164.48,-1
20180921  12:10:00,164.48,164.53,164.4,164.4,-1
20180921  12:15:00,164.4,164.41,164.2,164.2,-1
20180921  12:20:00,164.2,164.27,164.09,164.25,-1
20180921  12:25:00,164.25,164.25,164.04,164.17,-1
20180921  12:30:00,164.17,164.25,164.08,164.13,-1
20180921  12:35:00,164.13,164.15,164.02,164.04,-1
20180921  12:40:00,164.04,164.19,164.04,164.09,-1
20180921  12:45:00,164.09,164.13,164.04,164.04,-1
20180921  12:50:00,164.04,164.13,164.03,164.07,-1
20180921  12:55:00,164.07,164.07,163.9,163.9,-1
20180921  13:00:00,163.9,163.97,163.72,163.93,-1
20180921  13:05:00,163.93,163.99,163.88,163.9,-1
20180921  13:10:00,163.9,164.0,163.88,164.0,-1
20180921  13:15:00,164.0,164.11,163.99,163.99,-1
20180921  13:20:00,163.99,164.11,163.99,164.05,-1
20180921  13:25:00,164.05,164.06,163.98,164.01,-1
20180921  13:30:00,164.01,164.05,163.96,163.96,-1
20180921  13:35:00,163.96,164.09,163.96,164.09,-1
20180921  13:40:00,164.09,164.12,164.02,164.12,-1
20180921  13:45:00,164.12,164.19,164.11,164.13,-1
20180921  13:50:00,164.13,164.16,164.1,164.12,-1
20180921  13:55:00,164.12,164.17,164.08,164.11,-1
20180921  14:00:00,164.11,164.11,163.95,163.99,-1
20180921  14:05:00,163.99,164.0,163.91,163.95,-1
20180921  14:10:00,163.95,164.03,163.92,164.01,-1
