date,open,high,low,close,volume
20180921  09:30:00,217.44,217.89,216.7,217.32,-1
20180921  09:35:00,217.32,217.48,216.92,217.24,-1
20180921  09:40:00,217.24,217.74,216.48,216.62,-1
20180921  09:45:00,216.62,217.11,216.58,216.7,-1
20180921  09:50:00,216.7,217.04,216.33,216.8,-1
20180921  09:55:00,216.8,217.14,216.26,217.05,-1
20180921  10:00:00,217.05,217.05,215.94,216.34,-1
20180921  10:05:00,216.34,216.66,216.34,216.57,-1
20180921  10:10:00,216.57,216.73,216.31,216.7,-1
20180921  10:15:00,216.7,217.12,216.7,216.8,-1
20180921  10:20:00,216.8,217.79,216.52,217.79,-1
20180921  10:25:00,217.79,217.85,217.14,217.14,-1
20180921  10:30:00,217.14,217.49,217.07,217.07,-1
20180921  10:35:00,217.07,217.16,216.65,216.7,-1
20180921  10:40:00,216.7,216.83,216.46,216.54,-1
20180921  10:45:00,216.54,216.78,216.46,216.66,-1
20180921  10:50:00,216.66,216.72,216.56,216.56,-1
20180921  10:55:00,216.56,217.05,216.55,216.86,-1
20180921  11:00:00,216.86,216.91,216.64,216.72,-1
20180921  11:05:00,216.72,216.74,216.61,216.64,-1
20180921  11:10:00,216.64,216.65,216.46,216.59,-1
20180921  11:15:00,216.59,216.73,216.47,216.73,-1
20180921  11:20:00,216.73,216.95,216.62,216.95,-1
20180921  11:25:00,216.95,216.99,216.82,216.96,-1
20180921  11:30:00,216.96,216.96,216.9,216.96,-1
20180921  11:35:00,216.96,217.0,216.87,216.99,-1
20180921  11:40:00,216.99,217.19,216.98,217.1,-1
20180921  11:45:00,217.1,217.14,216.94,217.1,-1
20180921  11:50:00,217.1,217.11,216.91,216.98,-1
20180921  11:55:00,216.98,217.12,216.95,217.06,-1
20180921  12:00:00,217.06,217.1,217.01,217.03,-1
20180921  12:05:00,217.03,217.03,216.94,217.01,-1
20180921  12:10:00,217.01,217.05,216.98,217.03,-1
20180921  12:15:00,217.03,217.03,216.92,217.0,-1
20180921  12:20:00,217.0,217.02,216.93,216.97,-1
20180921  12:25:00,216.97,217.04,216.88,216.92,-1
20180921  12:30:00,216.92,216.93,216.55,216.76,-1
20180921  12:35:00,216.76,216.88,216.71,216.71,-1
20180921  12:40:00,216.71,216.82,216.64,216.67,-1
20180921  12:45:00,216.67,216.77,216.56,216.58,-1
20180921  12:50:00,216.58,216.75,216.5,216.74,-1
20180921  12:55:00,216.74,216.81,216.7,216.77,-1
20180921  13:00:00,216.77,216.79,216.66,216.79,-1
20180921  13:05:00,216.79,216.79,216.63,216.63,-1
20180921  13:10:00,216.63,216.67,216.55,216.55,-1
20180921  13:15:00,216.55,216.59,216.55,216.57,-1
20180921  13:20:00,216.57,216.75,216.56,216.7,-1
20180921  13:25:00,216.7,216.76,216.62,216.64,-1
20180921  13:30:00,216.64,216.67,216.54,216.66,-1
20180921  13:35:00,216.66,216.68,216.61,216.66,-1
20180921  13:40:00,216.66,216.68,216.6,216.61,-1
20180921  13:45:00,216.61,216.71,216.54,216.7,-1
20180921  13:50:00,216.7,216.73,216.53,216.66,-1
20180921  13:55:00,216.66,216.68,216.48,216.54,-1
20180921  14:00:00,216.54,216.57,216.48,216.49,-1
20180921  14:05:00,216.49,216.6,216.47,216.54,-1
20180921  14:10:00,216.54,216.55,216.35,216.4,-1
20180921  14:15:00,216.4,216.52,216.37,216.43,-1
20180921  14:20:00,216.43,216.5,216.43,216.47,-1
20180921  14:25:00,216.47,216.5,216.4,216.42,-1
20180921  14:30:00,216.42,216.46,216.35,216.46,-1
20180921  14:35:00,216.46,216.48,216.38,216.41,-1
20180921  14:40:00,216.41,216.46,216.32,216.35,-1
20180921  14:45:00,216.35,216.35,216.24,216.28,-1
20180921  14:50:00,216.28,216.29,215.97,216.1,-1
20180921  14:55:00,216.1,216.23,216.03,216.15,-1
20180921  15:00:00,216.15,216.28,216.14,216.28,-1
20180921  15:05:00,216.28,216.39,216.21,216.38,-1
20180921  15:10:00,216.38,216.46,216.32,216.39,-1
20180921  15:15:00,216.39,216.44,216.25,216.28,-1
20180921  15:20:00,216.28,216.44,216.28,216.35,-1
20180921  15:25:00,216.35,216.4,216.31,216.33,-1
20180921  15:30:00,216.33,216.39,216.23,216.35,-1
20180921  15:35:00,216.35,216.43,216.35,216.43,-1
20180921  15:40:00,216.43,216.64,216.43,216.62,-1
20180921  15:45:00,216.62,216.74,216.48,216.54,-1
20180921  15:50:00,216.54,216.6,216.44,216.47,-1
20180921  15:55:00,216.47,216.53,216.15,216.34,-1
20180924  09:30:00,216.2,216.2,215.42,215.89,-1
20180924  09:35:00,215.89,215.89,215.27,215.27,-1
20180924  09:40:00,215.27,215.49,214.39,214.53,-1
20180924  09:45:00,214.53,214.53,213.8,213.86,-1
20180924  09:50:00,213.86,213.87,213.23,213.33,-1
20180924  09:55:00,213.33,213.71,213.27,213.61,-1
20180924  10:00:00,213.61,213.87,213.51,213.6,-1
20180924  10:05:00,213.6,213.6,213.05,213.15,-1
20180924  10:10:00,213.15,213.43,212.7,213.42,-1
20180924  10:15:00,213.42,213.59,213.17,213.59,-1
20180924  10:20:00,213.59,214.79,213.58,214.47,-1
20180924  10:25:00,214.47,214.5,213.58,213.7,-1
20180924  10:30:00,213.7,213.81,213.44,213.53,-1
20180924  10:35:00,213.53,213.86,213.5,213.56,-1
20180924  10:40:00,213.56,213.78,213.37,213.53,-1
20180924  10:45:00,213.53,213.83,213.53,213.68,-1
20180924  10:50:00,213.68,213.85,213.61,213.63,-1
20180924  10:55:00,213.63,213.98,213.63,213.96,-1
20180924  11:00:00,213.96,214.08,213.54,213.77,-1
20180924  11:05:00,213.77,213.91,213.64,213.85,-1
20180924  11:10:00,213.85,213.88,213.55,213.58,-1
20180924  11:15:00,213.58,213.71,213.51,213.55,-1
20180924  11:20:00,213.55,213.7,213.42,213.66,-1
20180924  11:25:00,213.66,214.0,213.66,213.98,-1
20180924  11:30:00,213.98,214.12,213.88,214.01,-1
20180924  11:35:00,214.01,214.17,213.92,213.94,-1
20180924  11:40:00,213.94,213.95,213.65,213.65,-1
20180924  11:45:00,213.65,213.93,213.55,213.9,-1
20180924  11:50:00,213.9,214.05,213.84,213.84,-1
20180924  11:55:00,213.84,213.9,213.73,213.81,-1
20180924  12:00:00,213.81,213.89,213.77,213.84,-1
20180924  12:05:00,213.84,213.87,213.72,213.74,-1
20180924  12:10:00,213.74,213.87,213.67,213.81,-1
20180924  12:15:00,213.81,214.0,213.8,213.92,-1
20180924  12:20:00,213.92,214.0,213.89,213.99,-1
20180924  12:25:00,213.99,214.15,213.97,214.03,-1
20180924  12:30:00,214.03,214.06,213.92,214.04,-1
20180924  12:35:00,214.04,214.04,213.86,213.95,-1
20180924  12:40:00,213.95,213.95,213.83,213.94,-1
20180924  12:45:00,213.94,214.06,213.84,213.93,-1
20180924  12:50:00,213.93,214.14,213.93,214.13,-1
20180924  12:55:00,214.13,214.2,214.05,214.17,-1
20180924  13:00:00,214.17,214.18,214.04,214.16,-1
20180924  13:05:00,214.16,214.21,214.1,214.11,-1
20180924  13:10:00,214.11,214.19,214.06,214.06,-1
20180924  13:15:00,214.06,214.07,213.97,214.0,-1
20180924  13:20:00,214.0,214.12,213.94,213.96,-1
20180924  13:25:00,213.96,213.97,213.83,213.93,-1
20180924  13:30:00,213.93,214.0,213.92,213.93,-1
20180924  13:35:00,213.93,213.93,213.79,213.85,-1
20180924  13:40:00,213.85,213.91,213.79,213.85,-1
20180924  13:45:00,213.85,213.86,213.8,213.84,-1
20180924  13:50:00,213.84,213.87,213.75,213.75,-1
20180924  13:55:00,213.75,213.75,213.64,213.66,-1
20180924  14:00:00,213.66,213.74,213.64,213.74,-1
20180924  14:05:00,213.74,213.92,213.7,213.92,-1
20180924  14:10:00,213.92,214.05,213.92,214.03,-1
20180924  14:15:00,214.03,214.11,213.95,213.99,-1
20180924  14:20:00,213.99,213.99,213.83,213.84,-1
20180924  14:25:00,213.84,213.9,213.74,213.79,-1
20180924  14:30:00,213.79,213.83,213.66,213.72,-1
20180924  14:35:00,213.72,214.13,213.69,214.01,-1
20180924  14:40:00,214.01,214.08,213.98,214.03,-1
20180924  14:45:00,214.03,214.03,213.92,213.92,-1
20180924  14:50:00,213.92,214.09,213.91,214.08,-1
20180924  14:55:00,214.08,214.1,213.92,213.93,-1
20180924  15:00:00,213.93,214.11,213.88,214.0,-1
20180924  15:05:00,214.0,214.2,213.99,214.18,-1
20180924  15:10:00,214.18,214.23,214.04,214.04,-1
20180924  15:15:00,214.04,214.1,213.99,214.06,-1
20180924  15:20:00,214.06,214.06,213.92,213.93,-1
20180924  15:25:00,213.93,213.96,213.89,213.91,-1
20180924  15:30:00,213.91,213.93,213.8,213.85,-1
20180924  15:35:00,213.85,213.92,213.81,213.82,-1
20180924  15:40:00,213.82,213.82,213.71,213.77,-1
20180924  15:45:00,213.77,213.79,213.64,213.67,-1
20180924  15:50:00,213.67,213.75,213.63,213.67,-1
20180924  15:55:00,213.67,213.71,213.46,213.52,-1
20180925  09:30:00,214.78,214.78,213.21,213.34,-1
20180925  09:35:00,213.34,213.9,213.16,213.21,-1
20180925  09:40:00,213.21,213.51,213.03,213.35,-1
20180925  09:45:00,213.35,213.36,212.73,212.78,-1
20180925  09:50:00,212.78,213.0,212.6,212.96,-1
20180925  09:55:00,212.96,212.97,212.51,212.65,-1
20180925  10:00:00,212.65,213.0,212.65,212.8,-1
20180925  10:05:00,212.8,212.8,212.42,212.45,-1
20180925  10:10:00,212.45,212.65,212.43,212.65,-1
20180925  10:15:00,212.65,212.76,212.47,212.48,-1
20180925  10:20:00,212.48,212.55,212.33,212.47,-1
20180925  10:25:00,212.47,212.61,212.45,212.56,-1
20180925  10:30:00,212.56,212.62,212.38,212.39,-1
20180925  10:35:00,212.39,212.41,211.95,212.01,-1
20180925  10:40:00,212.01,212.28,211.89,212.25,-1
20180925  10:45:00,212.25,212.42,212.13,212.34,-1
20180925  10:50:00,212.34,212.45,212.31,212.35,-1
20180925  10:55:00,212.35,212.39,211.98,212.04,-1
20180925  11:00:00,212.04,212.1,211.76,211.89,-1
20180925  11:05:00,211.89,212.13,211.82,212.1,-1
20180925  11:10:00,212.1,212.17,212.06,212.06,-1
20180925  11:15:00,212.06,212.12,212.0,212.04,-1
20180925  11:20:00,212.04,212.08,211.97,212.05,-1
20180925  11:25:00,212.05,212.16,211.96,212.07,-1
20180925  11:30:00,212.07,212.3,212.05,212.28,-1
20180925  11:35:00,212.28,212.39,212.23,212.38,-1
20180925  11:40:00,212.38,212.38,212.2,212.2,-1
20180925  11:45:00,212.2,212.29,212.15,212.2,-1
20180925  11:50:00,212.2,212.27,212.17,212.27,-1
20180925  11:55:00,212.27,212.28,212.15,212.28,-1
20180925  12:00:00,212.28,212.59,212.28,212.55,-1
20180925  12:05:00,212.55,212.7,212.5,212.67,-1
20180925  12:10:00,212.67,212.67,212.49,212.53,-1
20180925  12:15:00,212.53,212.53,212.42,212.47,-1
20180925  12:20:00,212.47,212.65,212.47,212.61,-1
20180925  12:25:00,212.61,212.65,212.5,212.65,-1
20180925  12:30:00,212.65,212.68,212.6,212.67,-1
20180925  12:35:00,212.67,212.7,212.62,212.66,-1
20180925  12:40:00,212.66,212.66,212.56,212.57,-1
20180925  12:45:00,212.57,212.57,212.2,212.3,-1
20180925  12:50:00,212.3,212.41,212.3,212.41,-1
20180925  12:55:00,212.41,212.41,212.28,212.35,-1
20180925  13:00:00,212.35,212.35,212.17,212.21,-1
20180925  13:05:00,212.21,212.27,212.16,212.19,-1
20180925  13:10:00,212.19,212.26,212.02,212.04,-1
20180925  13:15:00,212.04,212.05,211.93,212.02,-1
20180925  13:20:00,212.02,212.03,211.84,211.88,-1
20180925  13:25:00,211.88,211.89,211.82,211.83,-1
20180925  13:30:00,211.83,211.86,211.75,211.77,-1
20180925  13:35:00,211.77,211.79,211.66,211.72,-1
20180925  13:40:00,211.72,211.72,211.27,211.44,-1
20180925  13:45:00,211.44,211.44,211.21,211.21,-1
20180925  13:50:00,211.21,211.22,211.11,211.19,-1
20180925  13:55:00,211.19,211.21,210.99,211.07,-1
20180925  14:00:00,211.07,211.07,210.96,210.97,-1
20180925  14:05:00,210.97,211.02,210.9,210.93,-1
20180925  14:10:00,210.93,211.02,210.92,210.93,-1
20180925  14:15:00,210.93,211.01,210.88,211.01,-1
20180925  14:20:00,211.01,211.07,210.92,210.93,-1
20180925  14:25:00,210.93,211.1,210.93,211.0,-1
20180925  14:30:00,211.0,211.0,210.74,210.83,-1
20180925  14:35:00,210.83,210.84,210.75,210.83,-1
20180925  14:40:00,210.83,210.83,210.55,210.59,-1
20180925  14:45:00,210.59,210.72,210.48,210.54,-1
20180925  14:50:00,210.54,210.56,210.42,210.56,-1
20180925  14:55:00,210.56,210.62,210.54,210.61,-1
20180925  15:00:00,210.61,210.73,210.61,210.65,-1
20180925  15:05:00,210.65,210.79,210.62,210.76,-1
20180925  15:10:00,210.76,210.79,210.47,210.47,-1
20180925  15:15:00,210.47,210.49,210.3,210.42,-1
20180925  15:20:00,210.42,210.53,210.41,210.46,-1
20180925  15:25:00,210.46,210.56,210.35,210.41,-1
20180925  15:30:00,210.41,210.51,210.34,210.38,-1
20180925  15:35:00,210.38,210.71,210.33,210.62,-1
20180925  15:40:00,210.62,210.69,210.42,210.45,-1
20180925  15:45:00,210.45,210.72,210.4,210.72,-1
20180925  15:50:00,210.72,210.72,210.52,210.55,-1
20180925  15:55:00,210.55,210.71,210.5,210.63,-1
20180926  09:30:00,211.7,212.45,211.12,211.37,-1
20180926  09:35:00,211.37,211.94,210.96,211.87,-1
20180926  09:40:00,211.87,212.07,211.57,212.06,-1
20180926  09:45:00,212.06,212.22,212.03,212.1,-1
20180926  09:50:00,212.1,212.15,211.97,212.05,-1
20180926  09:55:00,212.05,212.08,211.79,211.9,-1
20180926  10:00:00,211.9,211.99,211.69,211.71,-1
20180926  10:05:00,211.71,211.76,211.56,211.58,-1
20180926  10:10:00,211.58,211.65,211.49,211.61,-1
20180926  10:15:00,211.61,211.77,211.61,211.77,-1
20180926  10:20:00,211.77,211.94,211.76,211.84,-1
20180926  10:25:00,211.84,211.88,211.7,211.72,-1
20180926  10:30:00,211.72,211.77,211.58,211.63,-1
20180926  10:35:00,211.63,211.78,211.49,211.7,-1
20180926  10:40:00,211.7,211.7,211.0,211.54,-1
20180926  10:45:00,211.54,211.67,211.4,211.63,-1
20180926  10:50:00,211.63,211.76,211.56,211.62,-1
20180926  10:55:00,211.62,211.92,211.61,211.72,-1
20180926  11:00:00,211.72,211.85,211.67,211.69,-1
20180926  11:05:00,211.69,211.8,211.67,211.78,-1
20180926  11:10:00,211.78,211.83,211.59,211.59,-1
20180926  11:15:00,211.59,211.7,211.52,211.68,-1
20180926  11:20:00,211.68,211.68,211.59,211.59,-1
20180926  11:25:00,211.59,211.83,211.58,211.79,-1
20180926  11:30:00,211.79,211.82,211.59,211.63,-1
20180926  11:35:00,211.63,211.63,211.47,211.48,-1
20180926  11:40:00,211.48,211.54,211.24,211.27,-1
20180926  11:45:00,211.27,211.29,211.13,211.17,-1
20180926  11:50:00,211.17,211.19,211.06,211.16,-1
20180926  11:55:00,211.16,211.3,211.13,211.22,-1
20180926  12:00:00,211.22,211.32,211.14,211.27,-1
20180926  12:05:00,211.27,211.43,211.2,211.37,-1
20180926  12:10:00,211.37,211.4,211.21,211.35,-1
20180926  12:15:00,211.35,211.42,211.29,211.39,-1
20180926  12:20:00,211.39,211.42,211.3,211.33,-1
20180926  12:25:00,211.33,211.45,211.14,211.45,-1
20180926  12:30:00,211.45,211.7,211.4,211.7,-1
20180926  12:35:00,211.7,211.77,211.64,211.69,-1
20180926  12:40:00,211.69,211.75,211.65,211.68,-1
20180926  12:45:00,211.68,211.81,211.67,211.75,-1
20180926  12:50:00,211.75,211.81,211.72,211.76,-1
20180926  12:55:00,211.76,211.84,211.73,211.76,-1
20180926  13:00:00,211.76,211.82,211.73,211.75,-1
20180926  13:05:00,211.75,211.84,211.71,211.75,-1
20180926  13:10:00,211.75,211.8,211.71,211.79,-1
20180926  13:15:00,211.79,211.84,211.75,211.81,-1
20180926  13:20:00,211.81,211.84,211.72,211.8,-1
20180926  13:25:00,211.8,211.86,211.73,211.75,-1
20180926  13:30:00,211.75,211.84,211.72,211.83,-1
20180926  13:35:00,211.83,211.83,211.74,211.74,-1
20180926  13:40:00,211.74,211.76,211.62,211.62,-1
20180926  13:45:00,211.62,211.84,211.52,211.81,-1
20180926  13:50:00,211.81,211.82,211.74,211.75,-1
20180926  13:55:00,211.75,211.82,211.68,211.71,-1
20180926  14:00:00,211.71,212.21,211.71,212.08,-1
20180926  14:05:00,212.08,212.16,211.88,211.96,-1
20180926  14:10:00,211.96,212.32,211.96,212.22,-1
20180926  14:15:00,212.22,212.65,212.22,212.41,-1
20180926  14:20:00,212.41,212.51,212.37,212.38,-1
20180926  14:25:00,212.38,212.38,212.05,212.21,-1
20180926  14:30:00,212.21,212.29,212.1,212.24,-1
20180926  14:35:00,212.24,212.28,212.0,212.16,-1
20180926  14:40:00,212.16,212.16,211.86,211.94,-1
20180926  14:45:00,211.94,211.95,211.66,211.77,-1
20180926  14:50:00,211.77,211.8,211.6,211.63,-1
20180926  14:55:00,211.63,211.89,211.61,211.87,-1
20180926  15:00:00,211.87,211.93,211.66,211.88,-1
20180926  15:05:00,211.88,212.07,211.74,212.05,-1
20180926  15:10:00,212.05,212.07,211.87,212.06,-1
20180926  15:15:00,212.06,212.24,212.05,212.17,-1
20180926  15:20:00,212.17,212.32,212.12,212.24,-1
20180926  15:25:00,212.24,212.24,212.15,212.18,-1
20180926  15:30:00,212.18,212.19,211.92,211.95,-1
20180926  15:35:00,211.95,212.09,211.69,211.94,-1
20180926  15:40:00,211.94,212.03,211.65,211.69,-1
20180926  15:45:00,211.69,211.69,210.65,210.79,-1
20180926  15:50:00,210.79,211.03,210.74,210.93,-1
20180926  15:55:00,210.93,211.13,210.79,211.08,-1
20180927  09:30:00,212.77,212.88,211.09,211.55,-1
20180927  09:35:00,211.55,211.55,210.98,211.55,-1
20180927  09:40:00,211.55,211.89,211.18,211.32,-1
20180927  09:45:00,211.32,211.32,210.88,210.9,-1
20180927  09:50:00,210.9,210.95,210.33,210.74,-1
20180927  09:55:00,210.74,210.9,210.62,210.89,-1
20180927  10:00:00,210.89,211.3,210.66,211.09,-1
20180927  10:05:00,211.09,211.25,210.91,211.24,-1
20180927  10:10:00,211.24,211.24,211.07,211.11,-1
20180927  10:15:00,211.11,211.43,211.08,211.41,-1
20180927  10:20:00,211.41,211.49,211.21,211.36,-1
20180927  10:25:00,211.36,211.68,211.36,211.68,-1
20180927  10:30:00,211.68,211.72,211.47,211.54,-1
20180927  10:35:00,211.54,211.89,211.53,211.83,-1
20180927  10:40:00,211.83,211.98,211.75,211.75,-1
20180927  10:45:00,211.75,211.75,211.55,211.55,-1
20180927  10:50:00,211.55,211.62,211.08,211.24,-1
20180927  10:55:00,211.24,211.3,211.08,211.22,-1
20180927  11:00:00,211.22,211.54,211.22,211.51,-1
20180927  11:05:00,211.51,211.59,211.25,211.28,-1
20180927  11:10:00,211.28,211.41,211.1,211.2,-1
20180927  11:15:00,211.2,211.28,211.19,211.21,-1
20180927  11:20:00,211.21,211.33,211.16,211.3,-1
20180927  11:25:00,211.3,211.42,211.17,211.39,-1
20180927  11:30:00,211.39,211.44,211.23,211.28,-1
20180927  11:35:00,211.28,211.36,211.15,211.24,-1
20180927  11:40:00,211.24,211.27,211.18,211.23,-1
20180927  11:45:00,211.23,211.24,211.04,211.17,-1
20180927  11:50:00,211.17,211.23,211.08,211.2,-1
20180927  11:55:00,211.2,211.2,211.14,211.18,-1
20180927  12:00:00,211.18,211.25,211.13,211.25,-1
20180927  12:05:00,211.25,211.32,211.19,211.19,-1
20180927  12:10:00,211.19,211.33,211.17,211.32,-1
20180927  12:15:00,211.32,211.48,211.27,211.47,-1
20180927  12:20:00,211.47,211.48,211.32,211.35,-1
20180927  12:25:00,211.35,211.38,211.28,211.35,-1
20180927  12:30:00,211.35,211.35,211.23,211.34,-1
20180927  12:35:00,211.34,211.4,211.24,211.24,-1
20180927  12:40:00,211.24,211.3,211.21,211.24,-1
20180927  12:45:00,211.24,211.35,211.24,211.34,-1
20180927  12:50:00,211.34,211.5,211.32,211.47,-1
20180927  12:55:00,211.47,211.65,211.46,211.58,-1
20180927  13:00:00,211.58,211.59,211.42,211.46,-1
20180927  13:05:00,211.46,211.51,211.35,211.39,-1
20180927  13:10:00,211.39,211.41,211.25,211.28,-1
20180927  13:15:00,211.28,211.28,211.15,211.21,-1
20180927  13:20:00,211.21,211.21,211.0,211.07,-1
20180927  13:25:00,211.07,211.17,211.03,211.17,-1
20180927  13:30:00,211.17,211.22,211.09,211.13,-1
20180927  13:35:00,211.13,211.17,211.09,211.09,-1
20180927  13:40:00,211.09,211.12,210.97,211.1,-1
20180927  13:45:00,211.1,211.19,211.06,211.16,-1
20180927  13:50:00,211.16,211.19,211.03,211.06,-1
20180927  13:55:00,211.06,211.07,210.94,210.97,-1
20180927  14:00:00,210.97,211.07,210.82,210.84,-1
20180927  14:05:00,210.84,210.84,210.57,210.75,-1
20180927  14:10:00,210.75,210.8,210.73,210.76,-1
20180927  14:15:00,210.76,210.95,210.73,210.95,-1
20180927  14:20:00,210.95,211.05,210.83,210.86,-1
20180927  14:25:00,210.86,210.9,210.72,210.86,-1
20180927  14:30:00,210.86,210.91,210.77,210.77,-1
20180927  14:35:00,210.77,210.77,210.69,210.71,-1
20180927  14:40:00,210.71,210.75,210.66,210.69,-1
20180927  14:45:00,210.69,210.73,210.58,210.58,-1
20180927  14:50:00,210.58,210.67,210.53,210.61,-1
20180927  14:55:00,210.61,210.65,210.48,210.55,-1
20180927  15:00:00,210.55,210.66,210.49,210.52,-1
20180927  15:05:00,210.52,210.52,210.38,210.42,-1
20180927  15:10:00,210.42,210.52,210.32,210.47,-1
20180927  15:15:00,210.47,210.66,210.46,210.58,-1
20180927  15:20:00,210.58,210.64,210.39,210.48,-1
20180927  15:25:00,210.48,210.49,210.29,210.34,-1
20180927  15:30:00,210.34,210.36,210.12,210.31,-1
20180927  15:35:00,210.31,210.32,210.1,210.19,-1
20180927  15:40:00,210.19,210.2,210.06,210.12,-1
20180927  15:45:00,210.12,210.25,210.08,210.1,-1
20180927  15:50:00,210.1,210.23,210.05,210.15,-1
20180927  15:55:00,210.15,210.32,210.01,210.12,-1
20180928  09:30:00,210.0,210.0,208.98,209.61,-1
20180928  09:35:00,209.61,209.75,209.0,209.35,-1
20180928  09:40:00,209.35,209.93,209.34,209.62,-1
20180928  09:45:00,209.62,210.36,209.57,210.32,-1
20180928  09:50:00,210.32,210.57,210.17,210.45,-1
20180928  09:55:00,210.45,211.28,210.41,211.28,-1
20180928  10:00:00,211.28,211.35,210.84,210.84,-1
20180928  10:05:00,210.84,210.84,210.37,210.49,-1
20180928  10:10:00,210.49,210.49,210.23,210.23,-1
20180928  10:15:00,210.23,210.38,210.22,210.31,-1
20180928  10:20:00,210.31,210.59,210.3,210.56,-1
20180928  10:25:00,210.56,210.8,210.56,210.61,-1
20180928  10:30:00,210.61,210.79,210.59,210.65,-1
20180928  10:35:00,210.65,211.04,210.65,211.04,-1
20180928  10:40:00,211.04,211.06,210.86,210.9,-1
20180928  10:45:00,210.9,211.09,210.88,211.05,-1
20180928  10:50:00,211.05,211.13,210.83,210.84,-1
20180928  10:55:00,210.84,210.84,210.58,210.6,-1
20180928  11:00:00,210.6,210.74,210.51,210.63,-1
20180928  11:05:00,210.63,210.74,210.42,210.54,-1
20180928  11:10:00,210.54,210.75,210.54,210.71,-1
20180928  11:15:00,210.71,210.72,210.6,210.7,-1
20180928  11:20:00,210.7,210.91,210.7,210.82,-1
20180928  11:25:00,210.82,210.86,210.55,210.55,-1
20180928  11:30:00,210.55,210.69,210.5,210.62,-1
20180928  11:35:00,210.62,210.7,210.55,210.55,-1
20180928  11:40:00,210.55,210.65,210.46,210.49,-1
20180928  11:45:00,210.49,210.58,210.37,210.47,-1
20180928  11:50:00,210.47,210.65,210.41,210.44,-1
20180928  11:55:00,210.44,210.58,210.39,210.46,-1
20180928  12:00:00,210.46,210.53,210.38,210.39,-1
