date,open,high,low,close,volume
20180921  09:30:00,215.9,217.75,215.57,217.17,-1
20180921  09:35:00,217.17,217.32,216.75,217.13,-1
20180921  09:40:00,217.13,217.66,216.33,216.52,-1
20180921  09:45:00,216.52,217.05,216.51,216.57,-1
20180921  09:50:00,216.57,216.96,216.25,216.69,-1
20180921  09:55:00,216.69,216.99,216.22,216.91,-1
20180921  10:00:00,216.91,216.92,215.85,216.23,-1
20180921  10:05:00,216.23,216.6,216.23,216.51,-1
20180921  10:10:00,216.51,216.67,216.26,216.64,-1
20180921  10:15:00,216.64,217.01,216.64,216.68,-1
20180921  10:20:00,216.68,217.78,216.45,217.59,-1
20180921  10:25:00,217.59,217.67,217.02,217.03,-1
20180921  10:30:00,217.03,217.4,217.01,217.01,-1
20180921  10:35:00,217.01,217.12,216.57,216.63,-1
20180921  10:40:00,216.63,216.77,216.39,216.49,-1
20180921  10:45:00,216.49,216.75,216.41,216.6,-1
20180921  10:50:00,216.6,216.7,216.5,216.52,-1
20180921  10:55:00,216.52,217.0,216.47,216.81,-1
20180921  11:00:00,216.81,216.87,216.6,216.68,-1
20180921  11:05:00,216.68,216.7,216.57,216.59,-1
20180921  11:10:00,216.59,216.62,216.41,216.55,-1
20180921  11:15:00,216.55,216.68,216.44,216.68,-1
20180921  11:20:00,216.68,216.89,216.57,216.89,-1
20180921  11:25:00,216.89,216.95,216.79,216.91,-1
20180921  11:30:00,216.91,216.95,216.87,216.92,-1
20180921  11:35:00,216.92,216.97,216.8,216.95,-1
20180921  11:40:00,216.95,217.14,216.95,217.07,-1
20180921  11:45:00,217.07,217.09,216.89,217.03,-1
20180921  11:50:00,217.03,217.06,216.88,216.95,-1
20180921  11:55:00,216.95,217.1,216.91,217.04,-1
20180921  12:00:00,217.04,217.07,216.99,217.0,-1
20180921  12:05:00,217.0,217.01,216.91,216.99,-1
20180921  12:10:00,216.99,217.04,216.96,217.0,-1
20180921  12:15:00,217.0,217.01,216.88,216.97,-1
20180921  12:20:00,216.97,217.0,216.89,216.94,-1
20180921  12:25:00,216.94,217.01,216.85,216.87,-1
20180921  12:30:00,216.87,216.9,216.51,216.73,-1
20180921  12:35:00,216.73,216.85,216.68,216.69,-1
20180921  12:40:00,216.69,216.79,216.59,216.64,-1
20180921  12:45:00,216.64,216.73,216.53,216.54,-1
20180921  12:50:00,216.54,216.72,216.46,216.7,-1
20180921  12:55:00,216.7,216.76,216.68,216.74,-1
20180921  13:00:00,216.74,216.77,216.62,216.77,-1
20180921  13:05:00,216.77,216.77,216.59,216.61,-1
20180921  13:10:00,216.61,216.65,216.52,216.52,-1
20180921  13:15:00,216.52,216.58,216.52,216.56,-1
20180921  13:20:00,216.56,216.71,216.55,216.68,-1
20180921  13:25:00,216.68,216.73,216.61,216.61,-1
20180921  13:30:00,216.61,216.64,216.51,216.62,-1
20180921  13:35:00,216.62,216.65,216.54,216.64,-1
20180921  13:40:00,216.64,216.66,216.57,216.6,-1
20180921  13:45:00,216.6,216.69,216.51,216.68,-1
20180921  13:50:00,216.68,216.71,216.5,216.63,-1
20180921  13:55:00,216.63,216.65,216.45,216.51,-1
20180921  14:00:00,216.51,216.55,216.46,216.47,-1
20180921  14:05:00,216.47,216.57,216.46,216.51,-1
20180921  14:10:00,216.51,216.51,216.31,216.39,-1
20180921  14:15:00,216.39,216.5,216.35,216.39,-1
20180921  14:20:00,216.39,216.48,216.39,216.45,-1
20180921  14:25:00,216.45,216.48,216.38,216.4,-1
20180921  14:30:00,216.4,216.44,216.33,216.44,-1
20180921  14:35:00,216.44,216.46,216.37,216.4,-1
20180921  14:40:00,216.4,216.44,216.3,216.33,-1
20180921  14:45:00,216.33,216.33,216.21,216.26,-1
20180921  14:50:00,216.26,216.27,215.94,216.07,-1
20180921  14:55:00,216.07,216.19,216.0,216.13,-1
20180921  15:00:00,216.13,216.26,216.13,216.26,-1
20180921  15:05:00,216.26,216.35,216.19,216.35,-1
20180921  15:10:00,216.35,216.41,216.31,216.38,-1
20180921  15:15:00,216.38,216.41,216.21,216.26,-1
20180921  15:20:00,216.26,216.43,216.26,216.33,-1
20180921  15:25:00,216.33,216.38,216.3,216.32,-1
20180921  15:30:00,216.32,216.38,216.2,216.33,-1
20180921  15:35:00,216.33,216.42,216.33,216.42,-1
20180921  15:40:00,216.42,216.61,216.42,216.6,-1
20180921  15:45:00,216.6,216.72,216.46,216.53,-1
20180921  15:50:00,216.53,216.56,216.42,216.44,-1
20180921  15:55:00,216.44,216.5,216.11,216.32,-1
20180924  09:30:00,214.12,215.73,214.08,215.71,-1
20180924  09:35:00,215.71,215.79,215.15,215.17,-1
20180924  09:40:00,215.17,215.32,214.23,214.4,-1
20180924  09:45:00,214.4,214.44,213.65,213.74,-1
20180924  09:50:00,213.74,213.76,213.18,213.24,-1
20180924  09:55:00,213.24,213.62,213.19,213.55,-1
20180924  10:00:00,213.55,213.7,213.46,213.47,-1
20180924  10:05:00,213.47,213.47,213.02,213.07,-1
20180924  10:10:00,213.07,213.29,212.67,213.28,-1
20180924  10:15:00,213.28,213.53,213.15,213.49,-1
20180924  10:20:00,213.49,214.72,213.49,214.36,-1
20180924  10:25:00,214.36,214.37,213.52,213.62,-1
20180924  10:30:00,213.62,213.78,213.38,213.46,-1
20180924  10:35:00,213.46,213.78,213.42,213.45,-1
20180924  10:40:00,213.45,213.7,213.33,213.45,-1
20180924  10:45:00,213.45,213.71,213.45,213.59,-1
20180924  10:50:00,213.59,213.81,213.52,213.52,-1
20180924  10:55:00,213.52,213.94,213.52,213.94,-1
20180924  11:00:00,213.94,214.01,213.48,213.72,-1
20180924  11:05:00,213.72,213.84,213.59,213.78,-1
20180924  11:10:00,213.78,213.82,213.5,213.51,-1
20180924  11:15:00,213.51,213.63,213.47,213.49,-1
20180924  11:20:00,213.49,213.66,213.39,213.61,-1
20180924  11:25:00,213.61,213.89,213.61,213.89,-1
20180924  11:30:00,213.89,214.03,213.85,213.97,-1
20180924  11:35:00,213.97,214.12,213.84,213.88,-1
20180924  11:40:00,213.88,213.91,213.6,213.6,-1
20180924  11:45:00,213.6,213.86,213.51,213.83,-1
20180924  11:50:00,213.83,213.97,213.77,213.77,-1
20180924  11:55:00,213.77,213.83,213.7,213.77,-1
20180924  12:00:00,213.77,213.82,213.71,213.76,-1
20180924  12:05:00,213.76,213.78,213.66,213.66,-1
20180924  12:10:00,213.66,213.8,213.61,213.73,-1
20180924  12:15:00,213.73,213.95,213.73,213.85,-1
20180924  12:20:00,213.85,213.93,213.84,213.92,-1
20180924  12:25:00,213.92,214.04,213.92,213.96,-1
20180924  12:30:00,213.96,214.0,213.85,213.98,-1
20180924  12:35:00,213.98,213.98,213.8,213.88,-1
20180924  12:40:00,213.88,213.88,213.78,213.86,-1
20180924  12:45:00,213.86,213.98,213.8,213.85,-1
20180924  12:50:00,213.85,214.09,213.85,214.05,-1
20180924  12:55:00,214.05,214.15,214.02,214.12,-1
20180924  13:00:00,214.12,214.15,214.02,214.1,-1
20180924  13:05:00,214.1,214.16,214.03,214.06,-1
20180924  13:10:00,214.06,214.14,214.02,214.02,-1
20180924  13:15:00,214.02,214.04,213.93,213.96,-1
20180924  13:20:00,213.96,214.09,213.9,213.92,-1
20180924  13:25:00,213.92,213.92,213.8,213.88,-1
20180924  13:30:00,213.88,213.96,213.88,213.88,-1
20180924  13:35:00,213.88,213.88,213.76,213.81,-1
20180924  13:40:00,213.81,213.86,213.76,213.79,-1
