date,open,high,low,close,volume
20180921  09:30:00,86.25,86.25,85.58,85.59,-1
20180921  09:35:00,85.59,86.04,85.53,85.91,-1
20180921  09:40:00,85.91,85.96,85.59,85.71,-1
20180921  09:45:00,85.71,85.82,85.67,85.68,-1
20180921  09:50:00,85.68,85.8,85.64,85.8,-1
20180921  09:55:00,85.8,85.82,85.73,85.78,-1
20180921  10:00:00,85.78,85.81,85.72,85.77,-1
20180921  10:05:00,85.77,85.81,85.71,85.71,-1
20180921  10:10:00,85.71,85.75,85.62,85.64,-1
20180921  10:15:00,85.64,85.68,85.59,85.62,-1
20180921  10:20:00,85.62,85.67,85.44,85.47,-1
20180921  10:25:00,85.47,85.49,85.42,85.46,-1
20180921  10:30:00,85.46,85.48,85.36,85.4,-1
20180921  10:35:00,85.4,85.67,85.4,85.6,-1
20180921  10:40:00,85.6,85.64,85.45,85.46,-1
20180921  10:45:00,85.46,85.47,85.41,85.42,-1
20180921  10:50:00,85.42,85.48,85.41,85.43,-1
20180921  10:55:00,85.43,85.56,85.41,85.54,-1
20180921  11:00:00,85.54,85.55,85.45,85.47,-1
20180921  11:05:00,85.47,85.55,85.43,85.48,-1
20180921  11:10:00,85.48,85.54,85.46,85.51,-1
20180921  11:15:00,85.51,85.6,85.51,85.6,-1
20180921  11:20:00,85.6,85.64,85.54,85.55,-1
20180921  11:25:00,85.55,85.56,85.5,85.52,-1
20180921  11:30:00,85.52,85.58,85.51,85.58,-1
20180921  11:35:00,85.58,85.64,85.53,85.59,-1
20180921  11:40:00,85.59,85.63,85.59,85.61,-1
20180921  11:45:00,85.61,85.64,85.6,85.63,-1
20180921  11:50:00,85.63,85.7,85.63,85.68,-1
20180921  11:55:00,85.68,85.73,85.67,85.72,-1
20180921  12:00:00,85.72,85.73,85.71,85.73,-1
20180921  12:05:00,85.73,85.82,85.7,85.81,-1
20180921  12:10:00,85.81,85.83,85.75,85.82,-1
20180921  12:15:00,85.82,85.83,85.77,85.8,-1
20180921  12:20:00,85.8,85.83,85.77,85.8,-1
20180921  12:25:00,85.8,85.89,85.8,85.84,-1
20180921  12:30:00,85.84,85.87,85.8,85.86,-1
20180921  12:35:00,85.86,85.89,85.84,85.89,-1
20180921  12:40:00,85.89,85.9,85.81,85.82,-1
20180921  12:45:00,85.82,85.82,85.75,85.76,-1
20180921  12:50:00,85.76,85.8,85.75,85.79,-1
20180921  12:55:00,85.79,85.79,85.73,85.75,-1
20180921  13:00:00,85.75,85.79,85.72,85.75,-1
20180921  13:05:00,85.75,85.75,85.66,85.67,-1
20180921  13:10:00,85.67,85.67,85.56,85.56,-1
20180921  13:15:00,85.56,85.62,85.55,85.61,-1
20180921  13:20:00,85.61,85.7,85.61,85.67,-1
20180921  13:25:00,85.67,85.7,85.65,85.68,-1
20180921  13:30:00,85.68,85.7,85.62,85.64,-1
20180921  13:35:00,85.64,85.7,85.64,85.69,-1
20180921  13:40:00,85.69,85.69,85.63,85.66,-1
20180921  13:45:00,85.66,85.74,85.66,85.74,-1
20180921  13:50:00,85.74,85.76,85.67,85.72,-1
20180921  13:55:00,85.72,85.75,85.67,85.72,-1
20180921  14:00:00,85.72,85.74,85.67,85.73,-1
20180921  14:05:00,85.73,85.75,85.66,85.68,-1
20180921  14:10:00,85.68,85.72,85.63,85.64,-1
20180921  14:15:00,85.64,85.65,85.54,85.55,-1
20180921  14:20:00,85.55,85.6,85.55,85.58,-1
20180921  14:25:00,85.58,85.6,85.51,85.51,-1
20180921  14:30:00,85.51,85.53,85.37,85.38,-1
20180921  14:35:00,85.38,85.46,85.33,85.35,-1
20180921  14:40:00,85.35,85.35,85.26,85.28,-1
20180921  14:45:00,85.28,85.44,85.28,85.36,-1
20180921  14:50:00,85.36,85.4,85.34,85.38,-1
20180921  14:55:00,85.38,85.44,85.35,85.35,-1
20180921  15:00:00,85.35,85.4,85.35,85.38,-1
20180921  15:05:00,85.38,85.42,85.38,85.42,-1
20180921  15:10:00,85.42,85.45,85.38,85.45,-1
20180921  15:15:00,85.45,85.45,85.29,85.29,-1
20180921  15:20:00,85.29,85.3,85.24,85.28,-1
20180921  15:25:00,85.28,85.3,85.26,85.27,-1
20180921  15:30:00,85.27,85.28,85.23,85.26,-1
20180921  15:35:00,85.26,85.26,85.17,85.2,-1
20180921  15:40:00,85.2,85.2,85.11,85.12,-1
20180921  15:45:00,85.12,85.18,85.11,85.16,-1
20180921  15:50:00,85.16,85.18,85.11,85.13,-1
20180921  15:55:00,85.13,85.21,85.03,85.15,-1
20180924  09:30:00,85.49,85.49,84.98,85.27,-1
20180924  09:35:00,85.27,85.27,85.1,85.14,-1
20180924  09:40:00,85.14,85.18,84.97,85.17,-1
20180924  09:45:00,85.17,85.2,84.92,84.94,-1
20180924  09:50:00,84.94,84.94,84.74,84.8,-1
20180924  09:55:00,84.8,85.0,84.8,84.86,-1
20180924  10:00:00,84.86,84.86,84.6,84.76,-1
20180924  10:05:00,84.76,84.93,84.74,84.78,-1
20180924  10:10:00,84.78,84.86,84.71,84.78,-1
20180924  10:15:00,84.78,84.81,84.56,84.58,-1
20180924  10:20:00,84.58,84.61,84.52,84.54,-1
20180924  10:25:00,84.54,84.57,84.3,84.38,-1
20180924  10:30:00,84.38,84.58,84.38,84.49,-1
20180924  10:35:00,84.49,84.65,84.44,84.59,-1
20180924  10:40:00,84.59,84.78,84.52,84.6,-1
20180924  10:45:00,84.6,84.61,84.51,84.52,-1
20180924  10:50:00,84.52,84.62,84.51,84.51,-1
20180924  10:55:00,84.51,84.76,84.5,84.75,-1
20180924  11:00:00,84.75,84.81,84.72,84.79,-1
20180924  11:05:00,84.79,84.79,84.73,84.73,-1
20180924  11:10:00,84.73,84.74,84.65,84.71,-1
20180924  11:15:00,84.71,84.84,84.68,84.84,-1
20180924  11:20:00,84.84,84.94,84.81,84.9,-1
20180924  11:25:00,84.9,84.94,84.83,84.88,-1
20180924  11:30:00,84.88,84.93,84.82,84.82,-1
20180924  11:35:00,84.82,84.86,84.77,84.78,-1
20180924  11:40:00,84.78,84.78,84.54,84.63,-1
20180924  11:45:00,84.63,84.65,84.55,84.58,-1
20180924  11:50:00,84.58,84.64,84.57,84.57,-1
20180924  11:55:00,84.57,84.6,84.5,84.57,-1
20180924  12:00:00,84.57,84.66,84.57,84.61,-1
20180924  12:05:00,84.61,84.66,84.53,84.56,-1
20180924  12:10:00,84.56,84.59,84.45,84.49,-1
20180924  12:15:00,84.49,84.49,84.38,84.4,-1
20180924  12:20:00,84.4,84.4,84.29,84.39,-1
20180924  12:25:00,84.39,84.45,84.34,84.41,-1
20180924  12:30:00,84.41,84.41,84.28,84.32,-1
20180924  12:35:00,84.32,84.44,84.31,84.42,-1
