date,open,high,low,close,volume
20180921  09:30:00,85.73,85.96,85.55,85.57,-1
20180921  09:35:00,85.57,86.0,85.5,85.89,-1
20180921  09:40:00,85.89,85.94,85.58,85.7,-1
20180921  09:45:00,85.7,85.81,85.66,85.67,-1
20180921  09:50:00,85.67,85.8,85.63,85.78,-1
20180921  09:55:00,85.78,85.81,85.72,85.76,-1
20180921  10:00:00,85.76,85.8,85.7,85.75,-1
20180921  10:05:00,85.75,85.8,85.7,85.7,-1
20180921  10:10:00,85.7,85.74,85.61,85.63,-1
20180921  10:15:00,85.63,85.67,85.58,85.61,-1
20180921  10:20:00,85.61,85.66,85.43,85.46,-1
20180921  10:25:00,85.46,85.48,85.41,85.45,-1
20180921  10:30:00,85.45,85.47,85.35,85.39,-1
20180921  10:35:00,85.39,85.66,85.39,85.59,-1
20180921  10:40:00,85.59,85.63,85.44,85.45,-1
20180921  10:45:00,85.45,85.46,85.4,85.41,-1
20180921  10:50:00,85.41,85.47,85.4,85.42,-1
20180921  10:55:00,85.42,85.55,85.4,85.53,-1
20180921  11:00:00,85.53,85.54,85.44,85.46,-1
20180921  11:05:00,85.46,85.54,85.42,85.47,-1
20180921  11:10:00,85.47,85.53,85.45,85.49,-1
20180921  11:15:00,85.49,85.59,85.49,85.59,-1
20180921  11:20:00,85.59,85.63,85.53,85.54,-1
20180921  11:25:00,85.54,85.55,85.49,85.51,-1
20180921  11:30:00,85.51,85.58,85.5,85.57,-1
20180921  11:35:00,85.57,85.62,85.52,85.58,-1
20180921  11:40:00,85.58,85.62,85.58,85.59,-1
20180921  11:45:00,85.59,85.63,85.59,85.62,-1
20180921  11:50:00,85.62,85.69,85.62,85.67,-1
20180921  11:55:00,85.67,85.72,85.66,85.71,-1
20180921  12:00:00,85.71,85.73,85.7,85.72,-1
20180921  12:05:00,85.72,85.81,85.69,85.8,-1
20180921  12:10:00,85.8,85.82,85.74,85.81,-1
20180921  12:15:00,85.81,85.82,85.76,85.79,-1
20180921  12:20:00,85.79,85.82,85.76,85.79,-1
20180921  12:25:00,85.79,85.87,85.79,85.83,-1
20180921  12:30:00,85.83,85.86,85.79,85.85,-1
20180921  12:35:00,85.85,85.88,85.83,85.88,-1
20180921  12:40:00,85.88,85.89,85.8,85.81,-1
20180921  12:45:00,85.81,85.81,85.74,85.75,-1
20180921  12:50:00,85.75,85.79,85.74,85.78,-1
20180921  12:55:00,85.78,85.78,85.72,85.74,-1
20180921  13:00:00,85.74,85.78,85.71,85.74,-1
20180921  13:05:00,85.74,85.74,85.65,85.66,-1
20180921  13:10:00,85.66,85.66,85.55,85.55,-1
20180921  13:15:00,85.55,85.61,85.54,85.6,-1
20180921  13:20:00,85.6,85.69,85.6,85.66,-1
20180921  13:25:00,85.66,85.69,85.64,85.67,-1
20180921  13:30:00,85.67,85.69,85.61,85.63,-1
20180921  13:35:00,85.63,85.69,85.63,85.68,-1
20180921  13:40:00,85.68,85.68,85.62,85.65,-1
20180921  13:45:00,85.65,85.73,85.65,85.73,-1
20180921  13:50:00,85.73,85.75,85.66,85.71,-1
20180921  13:55:00,85.71,85.74,85.66,85.71,-1
20180921  14:00:00,85.71,85.73,85.66,85.72,-1
20180921  14:05:00,85.72,85.73,85.65,85.67,-1
20180921  14:10:00,85.67,85.71,85.62,85.63,-1
20180921  14:15:00,85.63,85.64,85.53,85.54,-1
20180921  14:20:00,85.54,85.59,85.54,85.57,-1
20180921  14:25:00,85.57,85.59,85.5,85.5,-1
20180921  14:30:00,85.5,85.52,85.36,85.36,-1
20180921  14:35:00,85.36,85.45,85.32,85.34,-1
20180921  14:40:00,85.34,85.34,85.25,85.27,-1
20180921  14:45:00,85.27,85.43,85.27,85.35,-1
20180921  14:50:00,85.35,85.39,85.33,85.37,-1
20180921  14:55:00,85.37,85.43,85.34,85.34,-1
20180921  15:00:00,85.34,85.39,85.34,85.37,-1
20180921  15:05:00,85.37,85.41,85.37,85.41,-1
20180921  15:10:00,85.41,85.44,85.37,85.44,-1
20180921  15:15:00,85.44,85.44,85.28,85.28,-1
20180921  15:20:00,85.28,85.29,85.23,85.27,-1
20180921  15:25:00,85.27,85.29,85.25,85.26,-1
20180921  15:30:00,85.26,85.27,85.22,85.25,-1
20180921  15:35:00,85.25,85.25,85.16,85.19,-1
20180921  15:40:00,85.19,85.19,85.1,85.1,-1
20180921  15:45:00,85.1,85.17,85.1,85.15,-1
20180921  15:50:00,85.15,85.17,85.1,85.12,-1
20180921  15:55:00,85.12,85.2,85.02,85.14,-1
20180924  09:30:00,85.01,85.25,84.95,85.24,-1
20180924  09:35:00,85.24,85.24,85.1,85.13,-1
20180924  09:40:00,85.13,85.17,84.96,85.16,-1
20180924  09:45:00,85.16,85.19,84.91,84.93,-1
20180924  09:50:00,84.93,84.93,84.73,84.78,-1
20180924  09:55:00,84.78,84.99,84.78,84.85,-1
20180924  10:00:00,84.85,84.86,84.58,84.74,-1
20180924  10:05:00,84.74,84.92,84.73,84.77,-1
20180924  10:10:00,84.77,84.84,84.7,84.77,-1
20180924  10:15:00,84.77,84.79,84.55,84.57,-1
20180924  10:20:00,84.57,84.61,84.51,84.53,-1
20180924  10:25:00,84.53,84.56,84.29,84.37,-1
20180924  10:30:00,84.37,84.56,84.37,84.48,-1
20180924  10:35:00,84.48,84.64,84.43,84.58,-1
20180924  10:40:00,84.58,84.77,84.51,84.59,-1
20180924  10:45:00,84.59,84.6,84.5,84.51,-1
20180924  10:50:00,84.51,84.61,84.5,84.5,-1
20180924  10:55:00,84.5,84.74,84.49,84.74,-1
20180924  11:00:00,84.74,84.8,84.71,84.78,-1
20180924  11:05:00,84.78,84.78,84.72,84.72,-1
20180924  11:10:00,84.72,84.73,84.64,84.7,-1
20180924  11:15:00,84.7,84.83,84.67,84.83,-1
20180924  11:20:00,84.83,84.93,84.8,84.89,-1
20180924  11:25:00,84.89,84.93,84.82,84.87,-1
20180924  11:30:00,84.87,84.91,84.81,84.81,-1
20180924  11:35:00,84.81,84.85,84.76,84.77,-1
20180924  11:40:00,84.77,84.77,84.53,84.62,-1
20180924  11:45:00,84.62,84.64,84.54,84.57,-1
20180924  11:50:00,84.57,84.63,84.56,84.56,-1
20180924  11:55:00,84.56,84.59,84.49,84.56,-1
20180924  12:00:00,84.56,84.65,84.56,84.6,-1
20180924  12:05:00,84.6,84.65,84.51,84.55,-1
20180924  12:10:00,84.55,84.58,84.44,84.48,-1
20180924  12:15:00,84.48,84.48,84.37,84.39,-1
20180924  12:20:00,84.39,84.39,84.28,84.38,-1
20180924  12:25:00,84.38,84.44,84.33,84.4,-1
20180924  12:30:00,84.4,84.4,84.27,84.31,-1
20180924  12:35:00,84.31,84.43,84.3,84.41,-1
20180924  12:40:00,84.41,84.54,84.35,84.54,-1
20180924  12:45:00,84.54,84.58,84.51,84.54,-1
20180924  12:50:00,84.54,84.55,84.39,84.4,-1
20180924  12:55:00,84.4,84.48,84.39,84.47,-1
20180924  13:00:00,84.47,84.5,84.45,84.5,-1
20180924  13:05:00,84.5,84.51,84.47,84.49,-1
20180924  13:10:00,84.49,84.54,84.47,84.47,-1
20180924  13:15:00,84.47,84.55,84.43,84.51,-1
20180924  13:20:00,84.51,84.55,84.5,84.54,-1
20180924  13:25:00,84.54,84.55,84.51,84.54,-1
20180924  13:30:00,84.54,84.55,84.52,84.53,-1
20180924  13:35:00,84.53,84.6,84.5,84.6,-1
20180924  13:40:00,84.6,84.6,84.54,84.57,-1
20180924  13:45:00,84.57,84.6,84.55,84.59,-1
20180924  13:50:00,84.59,84.6,84.58,84.58,-1
20180924  13:55:00,84.58,84.59,84.49,84.5,-1
20180924  14:00:00,84.5,84.55,84.49,84.52,-1
20180924  14:05:00,84.52,84.55,84.49,84.53,-1
20180924  14:10:00,84.53,84.6,84.53,84.58,-1
20180924  14:15:00,84.58,84.6,84.58,84.59,-1
20180924  14:20:00,84.59,84.62,84.59,84.61,-1
20180924  14:25:00,84.61,84.66,84.61,84.62,-1
20180924  14:30:00,84.62,84.63,84.57,84.59,-1
20180924  14:35:00,84.59,84.6,84.53,84.59,-1
20180924  14:40:00,84.59,84.6,84.56,84.59,-1
20180924  14:45:00,84.59,84.59,84.57,84.58,-1
20180924  14:50:00,84.58,84.6,84.56,84.6,-1
20180924  14:55:00,84.6,84.6,84.57,84.58,-1
20180924  15:00:00,84.58,84.59,84.56,84.57,-1
20180924  15:05:00,84.57,84.6,84.55,84.6,-1
20180924  15:10:00,84.6,84.6,84.56,84.56,-1
20180924  15:15:00,84.56,84.59,84.52,84.58,-1
20180924  15:20:00,84.58,84.6,84.55,84.58,-1
20180924  15:25:00,84.58,84.59,84.54,84.54,-1
20180924  15:30:00,84.54,84.54,84.46,84.48,-1
20180924  15:35:00,84.48,84.48,84.35,84.37,-1
20180924  15:40:00,84.37,84.38,84.3,84.33,-1
20180924  15:45:00,84.33,84.33,84.28,84.3,-1
20180924  15:50:00,84.3,84.36,84.3,84.34,-1
20180924  15:55:00,84.34,84.35,84.25,84.27,-1
20180925  09:30:00,84.8,84.99,84.52,84.8,-1
20180925  09:35:00,84.8,84.8,84.2,84.22,-1
20180925  09:40:00,84.22,84.41,84.12,84.41,-1
20180925  09:45:00,84.41,84.42,84.29,84.35,-1
20180925  09:50:00,84.35,84.35,84.26,84.34,-1
20180925  09:55:00,84.34,84.41,84.32,84.34,-1
20180925  10:00:00,84.34,84.42,84.34,84.38,-1
20180925  10:05:00,84.38,84.51,84.37,84.48,-1
20180925  10:10:00,84.48,84.5,84.33,84.36,-1
20180925  10:15:00,84.36,84.36,84.2,84.22,-1
20180925  10:20:00,84.22,84.25,84.06,84.2,-1
20180925  10:25:00,84.2,84.43,84.16,84.41,-1
20180925  10:30:00,84.41,84.42,84.36,84.37,-1
20180925  10:35:00,84.37,84.39,84.29,84.35,-1
20180925  10:40:00,84.35,84.49,84.28,84.49,-1
20180925  10:45:00,84.49,84.52,84.42,84.5,-1
20180925  10:50:00,84.5,84.6,84.47,84.55,-1
20180925  10:55:00,84.55,84.59,84.49,84.56,-1
20180925  11:00:00,84.56,84.56,84.48,84.54,-1
20180925  11:05:00,84.54,84.75,84.53,84.64,-1
20180925  11:10:00,84.64,84.66,84.55,84.59,-1
20180925  11:15:00,84.59,84.59,84.5,84.53,-1
20180925  11:20:00,84.53,84.6,84.51,84.58,-1
20180925  11:25:00,84.58,84.7,84.58,84.66,-1
20180925  11:30:00,84.66,84.69,84.64,84.65,-1
20180925  11:35:00,84.65,84.8,84.65,84.78,-1
20180925  11:40:00,84.78,84.88,84.76,84.87,-1
20180925  11:45:00,84.87,84.9,84.81,84.86,-1
20180925  11:50:00,84.86,84.91,84.85,84.89,-1
20180925  11:55:00,84.89,84.96,84.88,84.94,-1
20180925  12:00:00,84.94,84.95,84.91,84.94,-1
20180925  12:05:00,84.94,84.98,84.92,84.98,-1
20180925  12:10:00,84.98,84.99,84.95,84.95,-1
20180925  12:15:00,84.95,84.98,84.9,84.96,-1
20180925  12:20:00,84.96,85.09,84.95,85.04,-1
20180925  12:25:00,85.04,85.06,85.01,85.04,-1
20180925  12:30:00,85.04,85.05,84.97,85.02,-1
20180925  12:35:00,85.02,85.04,84.93,84.93,-1
20180925  12:40:00,84.93,84.93,84.91,84.92,-1
20180925  12:45:00,84.92,84.95,84.89,84.94,-1
20180925  12:50:00,84.94,84.97,84.91,84.91,-1
20180925  12:55:00,84.91,84.92,84.84,84.85,-1
20180925  13:00:00,84.85,84.92,84.84,84.9,-1
20180925  13:05:00,84.9,85.01,84.9,84.95,-1
20180925  13:10:00,84.95,85.0,84.92,84.97,-1
20180925  13:15:00,84.97,85.01,84.94,84.97,-1
20180925  13:20:00,84.97,84.98,84.9,84.93,-1
20180925  13:25:00,84.93,84.93,84.86,84.86,-1
20180925  13:30:00,84.86,84.87,84.76,84.76,-1
20180925  13:35:00,84.76,84.81,84.75,84.76,-1
20180925  13:40:00,84.76,84.79,84.68,84.75,-1
20180925  13:45:00,84.75,84.8,84.7,84.79,-1
20180925  13:50:00,84.79,84.82,84.78,84.8,-1
20180925  13:55:00,84.8,84.92,84.79,84.91,-1
20180925  14:00:00,84.91,84.91,84.84,84.89,-1
20180925  14:05:00,84.89,84.94,84.88,84.9,-1
20180925  14:10:00,84.9,84.97,84.9,84.92,-1
20180925  14:15:00,84.92,84.96,84.91,84.95,-1
20180925  14:20:00,84.95,85.06,84.95,85.05,-1
20180925  14:25:00,85.05,85.06,85.01,85.01,-1
20180925  14:30:00,85.01,85.05,84.95,84.95,-1
20180925  14:35:00,84.95,84.95,84.9,84.91,-1
20180925  14:40:00,84.91,84.98,84.91,84.92,-1
20180925  14:45:00,84.92,84.98,84.91,84.93,-1
20180925  14:50:00,84.93,84.94,84.9,84.92,-1
20180925  14:55:00,84.92,84.96,84.92,84.95,-1
20180925  15:00:00,84.95,84.98,84.89,84.89,-1
20180925  15:05:00,84.89,84.96,84.88,84.96,-1
20180925  15:10:00,84.96,85.04,84.96,84.99,-1
20180925  15:15:00,84.99,85.0,84.93,84.94,-1
20180925  15:20:00,84.94,84.98,84.9,84.95,-1
20180925  15:25:00,84.95,84.98,84.92,84.93,-1
20180925  15:30:00,84.93,84.95,84.87,84.9,-1
20180925  15:35:00,84.9,84.94,84.9,84.9,-1
20180925  15:40:00,84.9,84.92,84.86,84.87,-1
20180925  15:45:00,84.87,84.96,84.86,84.88,-1
20180925  15:50:00,84.88,84.91,84.79,84.79,-1
20180925  15:55:00,84.79,84.91,84.71,84.8,-1
20180926  09:30:00,82.58,82.98,82.16,82.21,-1
20180926  09:35:00,82.21,83.23,82.2,82.82,-1
20180926  09:40:00,82.82,82.83,82.25,82.58,-1
20180926  09:45:00,82.58,82.84,82.45,82.74,-1
20180926  09:50:00,82.74,82.78,82.07,82.1,-1
20180926  09:55:00,82.1,82.48,81.95,82.34,-1
20180926  10:00:00,82.34,82.43,82.27,82.33,-1
20180926  10:05:00,82.33,82.6,82.31,82.58,-1
20180926  10:10:00,82.58,82.71,82.4,82.53,-1
20180926  10:15:00,82.53,83.11,82.52,83.06,-1
20180926  10:20:00,83.06,83.62,83.04,83.52,-1
20180926  10:25:00,83.52,83.72,83.35,83.43,-1
20180926  10:30:00,83.43,83.45,83.18,83.42,-1
20180926  10:35:00,83.42,83.83,83.31,83.76,-1
20180926  10:40:00,83.76,83.87,83.39,83.46,-1
20180926  10:45:00,83.46,83.71,83.28,83.41,-1
20180926  10:50:00,83.41,83.47,83.25,83.32,-1
20180926  10:55:00,83.32,83.57,83.23,83.56,-1
20180926  11:00:00,83.56,83.65,83.32,83.36,-1
20180926  11:05:00,83.36,83.38,83.14,83.2,-1
20180926  11:10:00,83.2,83.23,83.01,83.06,-1
20180926  11:15:00,83.06,83.09,82.97,83.08,-1
20180926  11:20:00,83.08,83.09,82.85,82.93,-1
20180926  11:25:00,82.93,83.07,82.93,83.0,-1
20180926  11:30:00,83.0,83.07,82.92,83.01,-1
20180926  11:35:00,83.01,83.38,83.01,83.38,-1
20180926  11:40:00,83.38,83.47,83.33,83.39,-1
20180926  11:45:00,83.39,83.57,83.39,83.51,-1
20180926  11:50:00,83.51,83.62,83.43,83.54,-1
20180926  11:55:00,83.54,83.6,83.41,83.43,-1
20180926  12:00:00,83.43,83.46,83.25,83.25,-1
20180926  12:05:00,83.25,83.41,83.25,83.32,-1
