date,open,high,low,close,volume
20180921  09:30:00,84.25,84.47,84.11,84.36,-1
20180921  09:35:00,84.36,84.45,84.26,84.28,-1
20180921  09:40:00,84.28,84.72,84.27,84.72,-1
20180921  09:45:00,84.72,84.77,84.57,84.64,-1
20180921  09:50:00,84.64,84.76,84.61,84.74,-1
20180921  09:55:00,84.74,84.75,84.6,84.61,-1
20180921  10:00:00,84.61,84.69,84.6,84.61,-1
20180921  10:05:00,84.61,84.7,84.55,84.55,-1
20180921  10:10:00,84.55,84.62,84.52,84.57,-1
20180921  10:15:00,84.57,84.62,84.45,84.52,-1
20180921  10:20:00,84.52,84.6,84.49,84.56,-1
20180921  10:25:00,84.56,84.61,84.51,84.54,-1
20180921  10:30:00,84.54,84.63,84.54,84.61,-1
20180921  10:35:00,84.61,84.63,84.52,84.53,-1
20180921  10:40:00,84.53,84.58,84.48,84.5,-1
20180921  10:45:00,84.5,84.59,84.44,84.5,-1
20180921  10:50:00,84.5,84.56,84.47,84.54,-1
20180921  10:55:00,84.54,84.58,84.51,84.56,-1
20180921  11:00:00,84.56,84.58,84.43,84.45,-1
20180921  11:05:00,84.45,84.53,84.43,84.5,-1
20180921  11:10:00,84.5,84.51,84.44,84.46,-1
20180921  11:15:00,84.46,84.47,84.4,84.46,-1
20180921  11:20:00,84.46,84.47,84.38,84.39,-1
20180921  11:25:00,84.39,84.42,84.32,84.32,-1
20180921  11:30:00,84.32,84.36,84.31,84.34,-1
20180921  11:35:00,84.34,84.34,84.21,84.23,-1
20180921  11:40:00,84.23,84.31,84.23,84.31,-1
20180921  11:45:00,84.31,84.32,84.26,84.26,-1
20180921  11:50:00,84.26,84.29,84.21,84.29,-1
20180921  11:55:00,84.29,84.29,84.21,84.23,-1
20180921  12:00:00,84.23,84.28,84.19,84.25,-1
20180921  12:05:00,84.25,84.25,84.14,84.17,-1
20180921  12:10:00,84.17,84.19,84.13,84.18,-1
20180921  12:15:00,84.18,84.19,84.15,84.18,-1
20180921  12:20:00,84.18,84.18,84.13,84.16,-1
