date,open,high,low,close,volume
20180921  09:30:00,134.87,134.99,133.89,134.26,-1
20180921  09:35:00,134.26,134.4,133.75,133.84,-1
20180921  09:40:00,133.84,133.93,133.22,133.36,-1
20180921  09:45:00,133.36,133.62,133.31,133.38,-1
20180921  09:50:00,133.38,133.83,133.37,133.75,-1
20180921  09:55:00,133.75,133.78,133.31,133.32,-1
20180921  10:00:00,133.32,133.46,133.25,133.46,-1
20180921  10:05:00,133.46,133.69,133.45,133.5,-1
20180921  10:10:00,133.5,133.64,133.47,133.58,-1
20180921  10:15:00,133.58,133.74,133.4,133.45,-1
20180921  10:20:00,133.45,133.69,133.35,133.66,-1
20180921  10:25:00,133.66,133.78,133.61,133.74,-1
20180921  10:30:00,133.74,133.74,133.62,133.74,-1
20180921  10:35:00,133.74,134.04,133.74,133.96,-1
20180921  10:40:00,133.96,134.13,133.95,134.06,-1
20180921  10:45:00,134.06,134.17,134.05,134.13,-1
20180921  10:50:00,134.13,134.15,133.83,133.83,-1
20180921  10:55:00,133.83,134.12,133.82,134.1,-1
20180921  11:00:00,134.1,134.34,134.1,134.24,-1
20180921  11:05:00,134.24,134.24,134.15,134.17,-1
20180921  11:10:00,134.17,134.18,134.01,134.05,-1
20180921  11:15:00,134.05,134.07,134.01,134.07,-1
20180921  11:20:00,134.07,134.15,134.04,134.13,-1
20180921  11:25:00,134.13,134.13,133.87,134.0,-1
20180921  11:30:00,134.0,134.14,133.96,134.14,-1
20180921  11:35:00,134.14,134.14,134.0,134.01,-1
20180921  11:40:00,134.01,134.14,134.01,134.09,-1
20180921  11:45:00,134.09,134.18,134.05,134.1,-1
20180921  11:50:00,134.1,134.11,134.01,134.09,-1
20180921  11:55:00,134.09,134.12,134.03,134.09,-1
20180921  12:00:00,134.09,134.09,134.05,134.08,-1
20180921  12:05:00,134.08,134.1,134.03,134.09,-1
20180921  12:10:00,134.09,134.09,133.99,134.01,-1
20180921  12:15:00,134.01,134.07,133.96,134.05,-1
20180921  12:20:00,134.05,134.11,134.04,134.09,-1
20180921  12:25:00,134.09,134.2,134.08,134.19,-1
20180921  12:30:00,134.19,134.21,134.13,134.14,-1
20180921  12:35:00,134.14,134.15,134.07,134.11,-1
20180921  12:40:00,134.11,134.11,134.04,134.1,-1
20180921  12:45:00,134.1,134.11,134.07,134.09,-1
20180921  12:50:00,134.09,134.19,134.09,134.19,-1
20180921  12:55:00,134.19,134.2,134.1,134.13,-1
20180921  13:00:00,134.13,134.13,134.07,134.11,-1
20180921  13:05:00,134.11,134.11,134.03,134.03,-1
