date,open,high,low,close,volume
20180921  09:30:00,134.15,134.42,133.59,134.01,-1
20180921  09:35:00,134.01,134.27,133.64,133.69,-1
20180921  09:40:00,133.69,133.8,133.12,133.15,-1
20180921  09:45:00,133.15,133.5,133.15,133.22,-1
20180921  09:50:00,133.22,133.76,133.22,133.59,-1
20180921  09:55:00,133.59,133.77,133.17,133.2,-1
20180921  10:00:00,133.2,133.4,133.14,133.36,-1
20180921  10:05:00,133.36,133.54,133.32,133.38,-1
20180921  10:10:00,133.38,133.55,133.38,133.49,-1
20180921  10:15:00,133.49,133.62,133.29,133.38,-1
20180921  10:20:00,133.38,133.66,133.24,133.6,-1
20180921  10:25:00,133.6,133.71,133.54,133.67,-1
20180921  10:30:00,133.67,133.71,133.56,133.68,-1
20180921  10:35:00,133.68,133.96,133.68,133.9,-1
20180921  10:40:00,133.9,134.09,133.87,134.02,-1
20180921  10:45:00,134.02,134.15,134.02,134.07,-1
20180921  10:50:00,134.07,134.13,133.79,133.79,-1
20180921  10:55:00,133.79,134.09,133.76,134.01,-1
20180921  11:00:00,134.01,134.27,134.01,134.16,-1
20180921  11:05:00,134.16,134.19,134.08,134.11,-1
20180921  11:10:00,134.11,134.16,133.96,133.98,-1
20180921  11:15:00,133.98,134.03,133.94,133.99,-1
20180921  11:20:00,133.99,134.12,133.98,134.07,-1
20180921  11:25:00,134.07,134.07,133.81,133.95,-1
20180921  11:30:00,133.95,134.11,133.94,134.08,-1
20180921  11:35:00,134.08,134.13,133.96,133.97,-1
20180921  11:40:00,133.97,134.09,133.97,134.03,-1
20180921  11:45:00,134.03,134.13,134.0,134.05,-1
20180921  11:50:00,134.05,134.05,133.96,134.05,-1
20180921  11:55:00,134.05,134.08,134.0,134.07,-1
20180921  12:00:00,134.07,134.07,134.0,134.05,-1
20180921  12:05:00,134.05,134.05,134.0,134.04,-1
20180921  12:10:00,134.04,134.08,133.95,133.96,-1
20180921  12:15:00,133.96,134.05,133.93,134.02,-1
20180921  12:20:00,134.02,134.09,134.0,134.06,-1
20180921  12:25:00,134.06,134.16,134.03,134.13,-1
20180921  12:30:00,134.13,134.17,134.09,134.09,-1
20180921  12:35:00,134.09,134.12,134.03,134.08,-1
20180921  12:40:00,134.08,134.09,134.0,134.05,-1
20180921  12:45:00,134.05,134.09,134.05,134.07,-1
20180921  12:50:00,134.07,134.16,134.06,134.15,-1
20180921  12:55:00,134.15,134.18,134.08,134.1,-1
20180921  13:00:00,134.1,134.1,134.03,134.07,-1
20180921  13:05:00,134.07,134.07,134.0,134.01,-1
20180921  13:10:00,134.01,134.09,134.0,134.05,-1
20180921  13:15:00,134.05,134.06,134.0,134.02,-1
20180921  13:20:00,134.02,134.08,134.02,134.06,-1
20180921  13:25:00,134.06,134.08,134.01,134.03,-1
20180921  13:30:00,134.03,134.04,133.91,133.96,-1
20180921  13:35:00,133.96,134.07,133.96,134.06,-1
20180921  13:40:00,134.06,134.11,134.06,134.09,-1
20180921  13:45:00,134.09,134.1,134.0,134.05,-1
20180921  13:50:00,134.05,134.08,134.0,134.05,-1
20180921  13:55:00,134.05,134.12,134.01,134.1,-1
20180921  14:00:00,134.1,134.1,134.08,134.08,-1
20180921  14:05:00,134.08,134.1,134.04,134.06,-1
20180921  14:10:00,134.06,134.09,133.98,134.01,-1
20180921  14:15:00,134.01,134.14,134.01,134.12,-1
20180921  14:20:00,134.12,134.21,134.11,134.17,-1
20180921  14:25:00,134.17,134.2,134.1,134.11,-1
20180921  14:30:00,134.11,134.2,134.08,134.16,-1
20180921  14:35:00,134.16,134.19,134.15,134.16,-1
20180921  14:40:00,134.16,134.19,134.09,134.17,-1
20180921  14:45:00,134.17,134.21,134.15,134.2,-1
20180921  14:50:00,134.2,134.21,134.14,134.19,-1
20180921  14:55:00,134.19,134.19,134.11,134.15,-1
20180921  15:00:00,134.15,134.21,134.14,134.17,-1
20180921  15:05:00,134.17,134.22,134.17,134.18,-1
20180921  15:10:00,134.18,134.21,134.16,134.18,-1
20180921  15:15:00,134.18,134.2,134.14,134.19,-1
20180921  15:20:00,134.19,134.29,134.17,134.24,-1
20180921  15:25:00,134.24,134.28,134.15,134.18,-1
20180921  15:30:00,134.18,134.35,134.18,134.33,-1
20180921  15:35:00,134.33,134.42,134.33,134.39,-1
20180921  15:40:00,134.39,134.49,134.39,134.48,-1
20180921  15:45:00,134.48,134.5,134.39,134.46,-1
20180921  15:50:00,134.46,134.49,134.42,134.44,-1
20180921  15:55:00,134.44,134.49,134.39,134.4,-1
20180924  09:30:00,134.02,134.4,133.81,134.18,-1
20180924  09:35:00,134.18,134.21,133.85,133.95,-1
20180924  09:40:00,133.95,133.99,133.6,133.6,-1
20180924  09:45:00,133.6,133.82,133.48,133.59,-1
20180924  09:50:00,133.59,133.7,133.51,133.63,-1
20180924  09:55:00,133.63,133.67,133.49,133.53,-1
20180924  10:00:00,133.53,133.53,133.23,133.33,-1
20180924  10:05:00,133.33,133.51,133.31,133.42,-1
20180924  10:10:00,133.42,133.52,133.32,133.46,-1
20180924  10:15:00,133.46,133.55,133.37,133.5,-1
20180924  10:20:00,133.5,133.53,133.42,133.47,-1
20180924  10:25:00,133.47,133.55,133.27,133.38,-1
20180924  10:30:00,133.38,133.51,133.34,133.35,-1
20180924  10:35:00,133.35,133.36,132.73,132.77,-1
20180924  10:40:00,132.77,133.17,132.77,133.07,-1
20180924  10:45:00,133.07,133.24,133.06,133.08,-1
20180924  10:50:00,133.08,133.32,133.07,133.24,-1
20180924  10:55:00,133.24,133.56,133.23,133.56,-1
20180924  11:00:00,133.56,133.56,133.36,133.49,-1
20180924  11:05:00,133.49,133.5,133.38,133.38,-1
20180924  11:10:00,133.38,133.44,133.34,133.36,-1
20180924  11:15:00,133.36,133.4,133.22,133.23,-1
20180924  11:20:00,133.23,133.26,133.08,133.13,-1
20180924  11:25:00,133.13,133.2,133.08,133.13,-1
20180924  11:30:00,133.13,133.16,133.09,133.13,-1
20180924  11:35:00,133.13,133.33,133.1,133.2,-1
20180924  11:40:00,133.2,133.38,133.16,133.37,-1
20180924  11:45:00,133.37,133.43,133.29,133.36,-1
20180924  11:50:00,133.36,133.47,133.36,133.4,-1
20180924  11:55:00,133.4,133.45,133.33,133.33,-1
20180924  12:00:00,133.33,133.44,133.33,133.38,-1
20180924  12:05:00,133.38,133.39,133.31,133.35,-1
20180924  12:10:00,133.35,133.37,133.29,133.3,-1
20180924  12:15:00,133.3,133.43,133.3,133.35,-1
20180924  12:20:00,133.35,133.35,133.29,133.31,-1
20180924  12:25:00,133.31,133.41,133.29,133.35,-1
20180924  12:30:00,133.35,133.35,133.29,133.3,-1
20180924  12:35:00,133.3,133.33,133.16,133.16,-1
20180924  12:40:00,133.16,133.33,133.14,133.29,-1
20180924  12:45:00,133.29,133.34,133.2,133.32,-1
20180924  12:50:00,133.32,133.37,133.28,133.3,-1
20180924  12:55:00,133.3,133.31,133.18,133.2,-1
20180924  13:00:00,133.2,133.2,133.06,133.14,-1
20180924  13:05:00,133.14,133.15,133.06,133.1,-1
20180924  13:10:00,133.1,133.13,133.06,133.06,-1
20180924  13:15:00,133.06,133.09,132.88,132.88,-1
20180924  13:20:00,132.88,132.98,132.88,132.92,-1
20180924  13:25:00,132.92,133.0,132.9,132.97,-1
20180924  13:30:00,132.97,133.13,132.97,133.1,-1
20180924  13:35:00,133.1,133.14,133.06,133.11,-1
