date,open,high,low,close,volume
20180921  09:30:00,266.73,267.77,266.31,267.3,-1
20180921  09:35:00,267.3,268.0,267.17,267.21,-1
20180921  09:40:00,267.21,267.49,266.81,266.87,-1
20180921  09:45:00,266.87,267.25,266.79,267.11,-1
20180921  09:50:00,267.11,267.27,267.09,267.22,-1
20180921  09:55:00,267.22,267.25,266.8,266.8,-1
20180921  10:00:00,266.8,266.8,266.15,266.23,-1
20180921  10:05:00,266.23,266.23,265.94,266.12,-1
20180921  10:10:00,266.12,266.91,266.11,266.82,-1
20180921  10:15:00,266.82,266.83,266.49,266.74,-1
20180921  10:20:00,266.74,266.91,266.69,266.8,-1
20180921  10:25:00,266.8,266.94,266.64,266.82,-1
20180921  10:30:00,266.82,266.82,266.54,266.58,-1
20180921  10:35:00,266.58,266.78,266.58,266.78,-1
20180921  10:40:00,266.78,266.99,266.76,266.84,-1
20180921  10:45:00,266.84,267.23,266.84,267.08,-1
20180921  10:50:00,267.08,267.2,266.96,267.11,-1
20180921  10:55:00,267.11,267.21,267.08,267.14,-1
20180921  11:00:00,267.14,267.19,267.02,267.09,-1
20180921  11:05:00,267.09,267.1,266.87,267.05,-1
20180921  11:10:00,267.05,267.15,267.05,267.09,-1
20180921  11:15:00,267.09,267.21,267.07,267.2,-1
20180921  11:20:00,267.2,267.24,267.08,267.1,-1
20180921  11:25:00,267.1,267.14,266.89,267.09,-1
20180921  11:30:00,267.09,267.19,267.06,267.12,-1
20180921  11:35:00,267.12,267.2,267.05,267.06,-1
20180921  11:40:00,267.06,267.09,266.93,266.93,-1
20180921  11:45:00,266.93,267.03,266.9,266.98,-1
20180921  11:50:00,266.98,266.98,266.79,266.85,-1
20180921  11:55:00,266.85,266.87,266.73,266.82,-1
20180921  12:00:00,266.82,266.91,266.8,266.82,-1
20180921  12:05:00,266.82,266.9,266.77,266.84,-1
20180921  12:10:00,266.84,266.9,266.76,266.79,-1
20180921  12:15:00,266.79,266.91,266.72,266.73,-1
20180921  12:20:00,266.73,266.91,266.71,266.89,-1
20180921  12:25:00,266.89,267.08,266.76,266.91,-1
20180921  12:30:00,266.91,266.91,266.73,266.86,-1
20180921  12:35:00,266.86,266.9,266.7,266.76,-1
20180921  12:40:00,266.76,266.78,266.55,266.6,-1
20180921  12:45:00,266.6,266.67,266.51,266.54,-1
20180921  12:50:00,266.54,266.6,266.46,266.59,-1
20180921  12:55:00,266.59,266.64,266.51,266.56,-1
20180921  13:00:00,266.56,266.67,266.55,266.59,-1
20180921  13:05:00,266.59,266.66,266.33,266.4,-1
20180921  13:10:00,266.4,266.58,266.4,266.48,-1
20180921  13:15:00,266.48,266.62,266.45,266.62,-1
20180921  13:20:00,266.62,266.73,266.56,266.69,-1
20180921  13:25:00,266.69,266.77,266.58,266.64,-1
20180921  13:30:00,266.64,266.72,266.64,266.67,-1
20180921  13:35:00,266.67,266.7,266.58,266.61,-1
