date,open,high,low,close,volume
20180921  09:30:00,265.27,267.43,265.23,267.13,-1
20180921  09:35:00,267.13,267.7,267.01,267.01,-1
20180921  09:40:00,267.01,267.37,266.59,266.68,-1
20180921  09:45:00,266.68,267.12,266.68,266.96,-1
20180921  09:50:00,266.96,267.19,266.96,267.09,-1
20180921  09:55:00,267.09,267.22,266.7,266.74,-1
20180921  10:00:00,266.74,266.74,266.1,266.15,-1
20180921  10:05:00,266.15,266.15,265.85,266.0,-1
20180921  10:10:00,266.0,266.86,266.0,266.76,-1
20180921  10:15:00,266.76,266.79,266.44,266.66,-1
20180921  10:20:00,266.66,266.84,266.6,266.75,-1
20180921  10:25:00,266.75,266.91,266.58,266.74,-1
20180921  10:30:00,266.74,266.74,266.48,266.51,-1
20180921  10:35:00,266.51,266.74,266.51,266.72,-1
20180921  10:40:00,266.72,266.96,266.72,266.77,-1
20180921  10:45:00,266.77,267.16,266.77,267.02,-1
20180921  10:50:00,267.02,267.15,266.94,267.05,-1
20180921  10:55:00,267.05,267.15,267.04,267.1,-1
20180921  11:00:00,267.1,267.18,266.97,267.07,-1
20180921  11:05:00,267.07,267.07,266.84,267.0,-1
20180921  11:10:00,267.0,267.11,266.99,267.06,-1
20180921  11:15:00,267.06,267.17,267.05,267.16,-1
20180921  11:20:00,267.16,267.21,267.04,267.07,-1
20180921  11:25:00,267.07,267.13,266.85,267.05,-1
20180921  11:30:00,267.05,267.16,267.03,267.06,-1
20180921  11:35:00,267.06,267.17,266.99,267.02,-1
20180921  11:40:00,267.02,267.04,266.89,266.89,-1
20180921  11:45:00,266.89,266.98,266.85,266.93,-1
20180921  11:50:00,266.93,266.93,266.75,266.8,-1
20180921  11:55:00,266.8,266.86,266.68,266.77,-1
20180921  12:00:00,266.77,266.9,266.75,266.78,-1
20180921  12:05:00,266.78,266.86,266.75,266.82,-1
20180921  12:10:00,266.82,266.86,266.73,266.77,-1
20180921  12:15:00,266.77,266.85,266.69,266.72,-1
20180921  12:20:00,266.72,266.87,266.7,266.86,-1
20180921  12:25:00,266.86,266.97,266.73,266.84,-1
20180921  12:30:00,266.84,266.86,266.72,266.82,-1
20180921  12:35:00,266.82,266.83,266.65,266.7,-1
20180921  12:40:00,266.7,266.75,266.53,266.56,-1
20180921  12:45:00,266.56,266.65,266.5,266.51,-1
20180921  12:50:00,266.51,266.56,266.41,266.55,-1
20180921  12:55:00,266.55,266.59,266.47,266.53,-1
20180921  13:00:00,266.53,266.65,266.52,266.55,-1
20180921  13:05:00,266.55,266.61,266.31,266.37,-1
20180921  13:10:00,266.37,266.57,266.37,266.45,-1
20180921  13:15:00,266.45,266.59,266.42,266.58,-1
20180921  13:20:00,266.58,266.69,266.54,266.65,-1
20180921  13:25:00,266.65,266.76,266.54,266.59,-1
20180921  13:30:00,266.59,266.7,266.59,266.64,-1
20180921  13:35:00,266.64,266.67,266.57,266.58,-1
20180921  13:40:00,266.58,266.68,266.54,266.63,-1
20180921  13:45:00,266.63,266.63,266.46,266.57,-1
20180921  13:50:00,266.57,266.59,266.43,266.48,-1
20180921  13:55:00,266.48,266.49,266.35,266.47,-1
20180921  14:00:00,266.47,266.54,266.39,266.42,-1
20180921  14:05:00,266.42,266.5,266.37,266.44,-1
20180921  14:10:00,266.44,266.47,266.3,266.3,-1
20180921  14:15:00,266.3,266.39,266.28,266.36,-1
20180921  14:20:00,266.36,266.48,266.36,266.44,-1
20180921  14:25:00,266.44,266.49,266.36,266.43,-1
20180921  14:30:00,266.43,266.49,266.38,266.42,-1
20180921  14:35:00,266.42,266.49,266.39,266.39,-1
20180921  14:40:00,266.39,266.49,266.3,266.47,-1
20180921  14:45:00,266.47,266.49,266.37,266.4,-1
20180921  14:50:00,266.4,266.51,266.34,266.37,-1
20180921  14:55:00,266.37,266.49,266.29,266.29,-1
20180921  15:00:00,266.29,266.57,266.28,266.56,-1
