date,open,high,low,close,volume
20180921  09:30:00,150.22,150.3,149.57,149.89,-1
20180921  09:35:00,149.89,149.92,149.39,149.64,-1
20180921  09:40:00,149.64,149.67,149.37,149.49,-1
20180921  09:45:00,149.49,149.82,149.47,149.75,-1
20180921  09:50:00,149.75,149.82,149.56,149.69,-1
20180921  09:55:00,149.69,149.78,149.66,149.73,-1
20180921  10:00:00,149.73,149.77,149.56,149.68,-1
20180921  10:05:00,149.68,149.9,149.66,149.88,-1
20180921  10:10:00,149.88,150.0,149.83,149.94,-1
20180921  10:15:00,149.94,150.0,149.93,149.99,-1
20180921  10:20:00,149.99,150.0,149.76,149.88,-1
20180921  10:25:00,149.88,149.9,149.64,149.65,-1
20180921  10:30:00,149.65,149.67,149.48,149.5,-1
20180921  10:35:00,149.5,149.64,149.5,149.56,-1
20180921  10:40:00,149.56,149.84,149.53,149.77,-1
20180921  10:45:00,149.77,149.99,149.75,149.92,-1
20180921  10:50:00,149.92,149.96,149.85,149.91,-1
20180921  10:55:00,149.91,150.07,149.87,150.0,-1
20180921  11:00:00,150.0,150.02,149.86,149.93,-1
20180921  11:05:00,149.93,150.03,149.82,150.02,-1
20180921  11:10:00,150.02,150.15,149.99,150.04,-1
20180921  11:15:00,150.04,150.11,150.04,150.1,-1
20180921  11:20:00,150.1,150.12,150.06,150.12,-1
20180921  11:25:00,150.12,150.18,150.09,150.17,-1
20180921  11:30:00,150.17,150.19,150.14,150.16,-1
20180921  11:35:00,150.16,150.16,149.98,150.01,-1
20180921  11:40:00,150.01,150.01,149.85,149.85,-1
20180921  11:45:00,149.85,149.99,149.85,149.95,-1
20180921  11:50:00,149.95,150.05,149.9,150.05,-1
20180921  11:55:00,150.05,150.09,149.98,150.07,-1
20180921  12:00:00,150.07,150.13,150.06,150.11,-1
20180921  12:05:00,150.11,150.18,150.06,150.17,-1
20180921  12:10:00,150.17,150.18,150.12,150.14,-1
20180921  12:15:00,150.14,150.15,150.1,150.14,-1
20180921  12:20:00,150.14,150.14,150.06,150.11,-1
20180921  12:25:00,150.11,150.17,150.01,150.05,-1
20180921  12:30:00,150.05,150.09,149.93,149.96,-1
20180921  12:35:00,149.96,150.04,149.93,150.04,-1
20180921  12:40:00,150.04,150.1,150.0,150.01,-1
20180921  12:45:00,150.01,150.1,150.0,150.04,-1
20180921  12:50:00,150.04,150.07,150.0,150.04,-1
20180921  12:55:00,150.04,150.05,149.98,150.05,-1
20180921  13:00:00,150.05,150.08,149.99,150.01,-1
