date,open,high,low,close,volume
20180921  09:30:00,149.9,149.98,149.56,149.81,-1
20180921  09:35:00,149.81,149.88,149.38,149.61,-1
20180921  09:40:00,149.61,149.65,149.35,149.43,-1
20180921  09:45:00,149.43,149.8,149.43,149.74,-1
20180921  09:50:00,149.74,149.81,149.53,149.66,-1
20180921  09:55:00,149.66,149.77,149.65,149.68,-1
20180921  10:00:00,149.68,149.74,149.54,149.66,-1
20180921  10:05:00,149.66,149.89,149.65,149.87,-1
20180921  10:10:00,149.87,149.99,149.82,149.92,-1
20180921  10:15:00,149.92,149.99,149.92,149.97,-1
20180921  10:20:00,149.97,149.99,149.74,149.87,-1
20180921  10:25:00,149.87,149.89,149.63,149.64,-1
20180921  10:30:00,149.64,149.65,149.47,149.48,-1
20180921  10:35:00,149.48,149.62,149.48,149.52,-1
20180921  10:40:00,149.52,149.82,149.52,149.75,-1
20180921  10:45:00,149.75,149.98,149.74,149.91,-1
20180921  10:50:00,149.91,149.95,149.84,149.9,-1
20180921  10:55:00,149.9,150.06,149.84,149.98,-1
20180921  11:00:00,149.98,150.0,149.84,149.92,-1
20180921  11:05:00,149.92,150.02,149.81,150.0,-1
20180921  11:10:00,150.0,150.13,149.98,150.03,-1
20180921  11:15:00,150.03,150.1,150.03,150.08,-1
20180921  11:20:00,150.08,150.11,150.04,150.1,-1
20180921  11:25:00,150.1,150.17,150.08,150.15,-1
20180921  11:30:00,150.15,150.18,150.12,150.15,-1
20180921  11:35:00,150.15,150.15,149.96,149.99,-1
20180921  11:40:00,149.99,150.0,149.82,149.83,-1
20180921  11:45:00,149.83,149.97,149.83,149.94,-1
20180921  11:50:00,149.94,150.04,149.89,150.04,-1
20180921  11:55:00,150.04,150.08,149.97,150.05,-1
20180921  12:00:00,150.05,150.12,150.05,150.1,-1
20180921  12:05:00,150.1,150.17,150.04,150.15,-1
20180921  12:10:00,150.15,150.17,150.11,150.13,-1
20180921  12:15:00,150.13,150.14,150.09,150.13,-1
20180921  12:20:00,150.13,150.13,150.05,150.1,-1
20180921  12:25:00,150.1,150.15,150.0,150.03,-1
20180921  12:30:00,150.03,150.07,149.91,149.94,-1
20180921  12:35:00,149.94,150.03,149.91,150.03,-1
20180921  12:40:00,150.03,150.09,149.98,149.99,-1
20180921  12:45:00,149.99,150.08,149.98,150.03,-1
20180921  12:50:00,150.03,150.06,149.98,150.02,-1
20180921  12:55:00,150.02,150.04,149.97,150.04,-1
20180921  13:00:00,150.04,150.07,149.98,150.0,-1
20180921  13:05:00,150.0,150.02,149.96,150.01,-1
20180921  13:10:00,150.01,150.08,150.01,150.04,-1
20180921  13:15:00,150.04,150.13,150.04,150.1,-1
20180921  13:20:00,150.1,150.13,150.09,150.11,-1
20180921  13:25:00,150.11,150.13,150.04,150.11,-1
20180921  13:30:00,150.11,150.22,150.1,150.19,-1
20180921  13:35:00,150.19,150.2,150.14,150.14,-1
20180921  13:40:00,150.14,150.19,150.13,150.19,-1
20180921  13:45:00,150.19,150.23,150.18,150.19,-1
20180921  13:50:00,150.19,150.23,150.19,150.21,-1
20180921  13:55:00,150.21,150.25,150.13,150.17,-1
20180921  14:00:00,150.17,150.17,150.08,150.08,-1
20180921  14:05:00,150.08,150.1,150.01,150.04,-1
20180921  14:10:00,150.04,150.08,149.87,149.87,-1
20180921  14:15:00,149.87,149.95,149.87,149.89,-1
20180921  14:20:00,149.89,149.96,149.82,149.91,-1
20180921  14:25:00,149.91,150.0,149.91,149.97,-1
20180921  14:30:00,149.97,150.0,149.93,149.93,-1
20180921  14:35:00,149.93,149.98,149.91,149.93,-1
20180921  14:40:00,149.93,149.94,149.87,149.88,-1
