date,open,high,low,close,volume
20180921  09:30:00,85.25,85.25,84.55,84.91,-1
20180921  09:35:00,84.91,85.01,84.9,84.97,-1
20180921  09:40:00,84.97,85.14,84.94,85.12,-1
20180921  09:45:00,85.12,85.24,85.11,85.23,-1
20180921  09:50:00,85.23,85.24,85.1,85.18,-1
20180921  09:55:00,85.18,85.2,85.01,85.08,-1
20180921  10:00:00,85.08,85.22,85.06,85.2,-1
20180921  10:05:00,85.2,85.22,85.08,85.17,-1
20180921  10:10:00,85.17,85.22,85.12,85.21,-1
20180921  10:15:00,85.21,85.24,85.16,85.19,-1
20180921  10:20:00,85.19,85.24,85.16,85.19,-1
20180921  10:25:00,85.19,85.27,85.17,85.24,-1
20180921  10:30:00,85.24,85.29,85.19,85.27,-1
20180921  10:35:00,85.27,85.37,85.23,85.36,-1
20180921  10:40:00,85.36,85.43,85.33,85.4,-1
20180921  10:45:00,85.4,85.43,85.3,85.35,-1
20180921  10:50:00,85.35,85.38,85.08,85.19,-1
20180921  10:55:00,85.19,85.22,85.02,85.08,-1
20180921  11:00:00,85.08,85.11,84.96,84.96,-1
20180921  11:05:00,84.96,85.08,84.94,85.07,-1
20180921  11:10:00,85.07,85.08,84.98,85.05,-1
20180921  11:15:00,85.05,85.05,84.95,84.97,-1
20180921  11:20:00,84.97,85.03,84.88,85.02,-1
20180921  11:25:00,85.02,85.07,84.96,85.04,-1
20180921  11:30:00,85.04,85.06,85.0,85.02,-1
20180921  11:35:00,85.02,85.02,84.92,84.95,-1
20180921  11:40:00,84.95,85.04,84.95,85.0,-1
20180921  11:45:00,85.0,85.01,84.95,84.98,-1
20180921  11:50:00,84.98,85.09,84.93,85.08,-1
20180921  11:55:00,85.08,85.09,85.02,85.04,-1
20180921  12:00:00,85.04,85.05,84.98,85.0,-1
20180921  12:05:00,85.0,85.05,84.96,85.04,-1
20180921  12:10:00,85.04,85.1,85.03,85.1,-1
20180921  12:15:00,85.1,85.13,85.06,85.06,-1
20180921  12:20:00,85.06,85.11,85.04,85.1,-1
20180921  12:25:00,85.1,85.13,85.03,85.09,-1
20180921  12:30:00,85.09,85.14,85.07,85.09,-1
20180921  12:35:00,85.09,85.1,85.04,85.05,-1
20180921  12:40:00,85.05,85.06,85.02,85.04,-1
20180921  12:45:00,85.04,85.06,85.01,85.04,-1
20180921  12:50:00,85.04,85.14,85.03,85.12,-1
20180921  12:55:00,85.12,85.13,85.08,85.11,-1
20180921  13:00:00,85.11,85.14,85.1,85.1,-1
20180921  13:05:00,85.1,85.13,85.07,85.1,-1
20180921  13:10:00,85.1,85.15,85.1,85.14,-1
20180921  13:15:00,85.14,85.17,85.13,85.14,-1
20180921  13:20:00,85.14,85.14,85.07,85.09,-1
20180921  13:25:00,85.09,85.15,85.08,85.09,-1
20180921  13:30:00,85.09,85.1,85.05,85.07,-1
20180921  13:35:00,85.07,85.13,85.07,85.12,-1
20180921  13:40:00,85.12,85.14,85.1,85.14,-1
20180921  13:45:00,85.14,85.15,85.09,85.11,-1
20180921  13:50:00,85.11,85.12,85.04,85.05,-1
20180921  13:55:00,85.05,85.08,85.03,85.07,-1
20180921  14:00:00,85.07,85.09,85.03,85.07,-1
20180921  14:05:00,85.07,85.14,85.07,85.14,-1
20180921  14:10:00,85.14,85.16,85.09,85.11,-1
20180921  14:15:00,85.11,85.14,85.06,85.09,-1
20180921  14:20:00,85.09,85.14,85.08,85.08,-1
20180921  14:25:00,85.08,85.14,85.07,85.13,-1
20180921  14:30:00,85.13,85.15,85.1,85.13,-1
20180921  14:35:00,85.13,85.15,85.12,85.13,-1
20180921  14:40:00,85.13,85.15,85.09,85.15,-1
20180921  14:45:00,85.15,85.16,85.07,85.08,-1
20180921  14:50:00,85.08,85.11,85.05,85.07,-1
20180921  14:55:00,85.07,85.1,85.05,85.08,-1
20180921  15:00:00,85.08,85.1,85.04,85.07,-1
20180921  15:05:00,85.07,85.11,85.05,85.08,-1
20180921  15:10:00,85.08,85.14,85.06,85.12,-1
20180921  15:15:00,85.12,85.13,85.08,85.11,-1
20180921  15:20:00,85.11,85.15,85.11,85.12,-1
20180921  15:25:00,85.12,85.12,85.1,85.12,-1
20180921  15:30:00,85.12,85.19,85.1,85.18,-1
20180921  15:35:00,85.18,85.2,85.15,85.18,-1
20180921  15:40:00,85.18,85.25,85.17,85.24,-1
