date,open,high,low,close,volume
20180921  09:30:00,85.0,85.07,84.51,84.88,-1
20180921  09:35:00,84.88,85.0,84.87,84.96,-1
20180921  09:40:00,84.96,85.13,84.93,85.11,-1
20180921  09:45:00,85.11,85.23,85.1,85.22,-1
20180921  09:50:00,85.22,85.23,85.09,85.17,-1
20180921  09:55:00,85.17,85.19,85.0,85.07,-1
20180921  10:00:00,85.07,85.21,85.05,85.19,-1
20180921  10:05:00,85.19,85.21,85.07,85.16,-1
20180921  10:10:00,85.16,85.21,85.11,85.2,-1
20180921  10:15:00,85.2,85.23,85.15,85.18,-1
20180921  10:20:00,85.18,85.23,85.15,85.18,-1
20180921  10:25:00,85.18,85.26,85.16,85.23,-1
20180921  10:30:00,85.23,85.28,85.18,85.26,-1
20180921  10:35:00,85.26,85.36,85.22,85.35,-1
20180921  10:40:00,85.35,85.42,85.32,85.39,-1
20180921  10:45:00,85.39,85.42,85.29,85.34,-1
20180921  10:50:00,85.34,85.37,85.07,85.18,-1
20180921  10:55:00,85.18,85.21,85.01,85.07,-1
20180921  11:00:00,85.07,85.1,84.95,84.95,-1
20180921  11:05:00,84.95,85.07,84.93,85.06,-1
20180921  11:10:00,85.06,85.07,84.97,85.04,-1
20180921  11:15:00,85.04,85.04,84.94,84.96,-1
20180921  11:20:00,84.96,85.02,84.87,85.01,-1
20180921  11:25:00,85.01,85.06,84.95,85.03,-1
20180921  11:30:00,85.03,85.05,84.99,85.01,-1
20180921  11:35:00,85.01,85.01,84.91,84.94,-1
20180921  11:40:00,84.94,85.03,84.94,84.99,-1
20180921  11:45:00,84.99,85.0,84.94,84.97,-1
20180921  11:50:00,84.97,85.08,84.92,85.07,-1
20180921  11:55:00,85.07,85.08,85.01,85.03,-1
20180921  12:00:00,85.03,85.04,84.96,84.99,-1
20180921  12:05:00,84.99,85.04,84.95,85.03,-1
20180921  12:10:00,85.03,85.09,85.02,85.09,-1
20180921  12:15:00,85.09,85.12,85.05,85.05,-1
20180921  12:20:00,85.05,85.1,85.03,85.09,-1
20180921  12:25:00,85.09,85.12,85.02,85.08,-1
20180921  12:30:00,85.08,85.14,85.06,85.08,-1
20180921  12:35:00,85.08,85.09,85.03,85.04,-1
