date,open,high,low,close,volume
20171207  09:30:00,107.48,107.84,106.0,106.04,-1
20171207  10:00:00,106.04,106.44,104.4,104.8,-1
20171207  11:00:00,104.8,105.08,103.8,104.04,-1
20171207  12:00:00,104.04,104.6,103.92,104.12,-1
20171207  13:00:00,104.12,104.56,103.96,104.32,-1
20171207  14:00:00,104.32,105.08,104.12,104.44,-1
20171207  15:00:00,104.44,104.6,103.92,104.04,-1
20171208  09:30:00,102.32,102.56,101.84,102.08,-1
20171208  10:00:00,102.08,102.68,101.48,101.48,-1
20171208  11:00:00,101.48,102.2,101.36,101.6,-1
20171208  12:00:00,101.6,101.6,100.88,101.12,-1
20171208  13:00:00,101.12,101.2,100.68,100.72,-1
20171208  14:00:00,100.72,101.24,100.52,100.88,-1
20171208  15:00:00,100.88,101.36,100.56,100.68,-1
20171211  09:30:00,100.32,100.4,99.32,99.36,-1
20171211  10:00:00,99.36,99.96,99.32,99.84,-1
20171211  11:00:00,99.84,99.92,99.32,99.44,-1
20171211  12:00:00,99.44,99.44,98.48,98.56,-1
20171211  13:00:00,98.56,98.64,98.0,98.04,-1
20171211  14:00:00,98.04,98.2,97.6,97.72,-1
20171211  15:00:00,97.72,97.96,97.2,97.24,-1
20171212  09:30:00,96.76,97.08,96.44,96.64,-1
20171212  10:00:00,96.64,97.4,96.52,96.76,-1
20171212  11:00:00,96.76,97.12,96.6,96.84,-1
20171212  12:00:00,96.84,97.2,96.56,96.84,-1
20171212  13:00:00,96.84,97.36,96.68,97.24,-1
20171212  14:00:00,97.24,97.32,96.72,96.88,-1
20171212  15:00:00,96.88,97.72,96.76,97.48,-1
20171213  09:30:00,96.68,96.84,96.4,96.64,-1
20171213  10:00:00,96.64,97.16,96.52,96.92,-1
20171213  11:00:00,96.92,97.2,96.64,96.72,-1
20171213  12:00:00,96.72,97.12,96.64,97.0,-1
20171213  13:00:00,97.0,97.36,96.72,96.72,-1
20171213  14:00:00,96.72,96.96,96.36,96.68,-1
20171213  15:00:00,96.68,97.6,96.64,97.16,-1
20171214  09:30:00,96.68,96.92,96.4,96.4,-1
20171214  10:00:00,96.4,96.64,96.2,96.4,-1
20171214  11:00:00,96.4,96.76,96.28,96.48,-1
20171214  12:00:00,96.48,96.8,96.2,96.68,-1
20171214  13:00:00,96.68,97.2,96.44,96.92,-1
20171214  14:00:00,96.92,98.4,96.48,97.08,-1
20171214  15:00:00,97.08,97.36,96.28,96.68,-1
20171215  09:30:00,95.88,95.96,95.32,95.48,-1
20171215  10:00:00,95.48,95.52,94.24,94.48,-1
20171215  11:00:00,94.48,94.48,93.48,93.68,-1
20171215  12:00:00,93.68,93.96,93.08,93.28,-1
20171215  13:00:00,93.28,93.32,92.92,93.0,-1
20171215  14:00:00,93.0,93.12,92.68,92.88,-1
20171215  15:00:00,92.88,93.56,92.8,93.48,-1
20171218  09:30:00,92.2,92.44,91.28,91.92,-1
20171218  10:00:00,91.92,92.84,91.76,91.96,-1
20171218  11:00:00,91.96,92.04,91.52,91.52,-1
20171218  12:00:00,91.52,91.8,91.36,91.44,-1
20171218  13:00:00,91.44,91.72,91.28,91.32,-1
20171218  14:00:00,91.32,91.84,91.28,91.8,-1
20171218  15:00:00,91.8,92.48,91.36,92.12,-1
20171219  09:30:00,91.96,92.6,91.88,92.4,-1
20171219  10:00:00,92.4,93.32,92.2,92.6,-1
20171219  11:00:00,92.6,93.56,92.6,93.44,-1
20171219  12:00:00,93.44,93.64,92.68,92.68,-1
20171219  13:00:00,92.68,92.72,92.24,92.44,-1
20171219  14:00:00,92.44,93.2,92.32,93.16,-1
20171219  15:00:00,93.16,93.48,92.24,92.52,-1
20171220  09:30:00,90.92,92.48,90.92,91.6,-1
20171220  10:00:00,91.6,92.68,91.28,91.92,-1
20171220  11:00:00,91.92,92.08,91.32,91.56,-1
20171220  12:00:00,91.56,91.68,91.12,91.36,-1
20171220  13:00:00,91.36,91.56,91.16,91.32,-1
20171220  14:00:00,91.32,92.4,91.28,92.08,-1
20171220  15:00:00,92.08,92.44,91.72,92.24,-1
20171221  09:30:00,91.84,92.6,91.8,92.36,-1
20171221  10:00:00,92.36,92.44,91.84,92.4,-1
20171221  11:00:00,92.4,92.68,92.12,92.64,-1
20171221  12:00:00,92.64,92.84,92.4,92.4,-1
20171221  13:00:00,92.4,92.44,91.96,92.0,-1
20171221  14:00:00,92.0,92.36,92.0,92.12,-1
20171221  15:00:00,92.12,92.32,91.36,91.56,-1
20171222  09:30:00,91.48,91.8,91.0,91.08,-1
20171222  10:00:00,91.08,91.6,90.96,91.12,-1
20171222  11:00:00,91.12,92.32,91.08,92.0,-1
20171222  12:00:00,92.0,92.04,91.56,91.84,-1
20171222  13:00:00,91.84,92.24,91.76,92.16,-1
20171222  14:00:00,92.16,92.4,91.96,91.96,-1
20171222  15:00:00,91.96,92.84,91.88,92.04,-1
20171226  09:30:00,92.92,93.0,92.36,92.4,-1
20171226  10:00:00,92.4,92.56,91.56,92.08,-1
20171226  11:00:00,92.08,92.08,91.76,91.76,-1
20171226  12:00:00,91.76,91.8,91.4,91.52,-1
20171226  13:00:00,91.52,91.6,91.32,91.52,-1
20171226  14:00:00,91.52,91.6,91.36,91.48,-1
20171226  15:00:00,91.48,92.24,91.12,92.08,-1
20171227  09:30:00,91.8,91.96,91.32,91.48,-1
20171227  10:00:00,91.48,91.48,90.76,90.92,-1
20171227  11:00:00,90.92,91.28,90.8,91.24,-1
20171227  12:00:00,91.24,92.0,91.2,91.72,-1
20171227  13:00:00,91.72,92.04,91.6,91.84,-1
20171227  14:00:00,91.84,92.4,91.84,92.16,-1
20171227  15:00:00,92.16,93.0,92.08,92.6,-1
20171228  09:30:00,92.16,92.24,91.56,91.72,-1
20171228  10:00:00,91.72,92.04,91.6,91.72,-1
20171228  11:00:00,91.72,92.08,91.64,92.08,-1
20171228  12:00:00,92.08,92.24,91.8,91.8,-1
20171228  13:00:00,91.8,92.28,91.76,92.04,-1
20171228  14:00:00,92.04,92.2,91.84,91.88,-1
20171228  15:00:00,91.88,92.0,91.12,91.12,-1
20171229  09:30:00,90.72,91.56,90.68,91.44,-1
20171229  10:00:00,91.44,91.96,91.36,91.76,-1
20171229  11:00:00,91.76,92.2,91.4,91.4,-1
20171229  12:00:00,91.4,91.52,91.04,91.48,-1
