date,open,high,low,close,volume
20180921  09:30:00,293.11,293.12,292.83,292.94,-1
20180921  09:35:00,292.94,293.17,292.94,293.12,-1
20180921  09:40:00,293.12,293.22,293.01,293.08,-1
20180921  09:45:00,293.08,293.22,293.06,293.13,-1
20180921  09:50:00,293.13,293.17,292.92,293.0,-1
20180921  09:55:00,293.0,293.09,292.89,292.9,-1
20180921  10:00:00,292.9,292.97,292.81,292.9,-1
20180921  10:05:00,292.9,293.05,292.88,293.05,-1
20180921  10:10:00,293.05,293.06,292.88,292.96,-1
20180921  10:15:00,292.96,293.05,292.88,292.94,-1
20180921  10:20:00,292.94,292.96,292.59,292.71,-1
20180921  10:25:00,292.71,292.72,292.54,292.59,-1
20180921  10:30:00,292.59,292.6,292.46,292.49,-1
20180921  10:35:00,292.49,292.73,292.48,292.64,-1
20180921  10:40:00,292.64,292.75,292.61,292.61,-1
20180921  10:45:00,292.61,292.72,292.57,292.6,-1
20180921  10:50:00,292.6,292.67,292.51,292.51,-1
20180921  10:55:00,292.51,292.63,292.51,292.56,-1
20180921  11:00:00,292.56,292.6,292.46,292.53,-1
20180921  11:05:00,292.53,292.62,292.41,292.58,-1
20180921  11:10:00,292.58,292.69,292.58,292.58,-1
20180921  11:15:00,292.58,292.69,292.56,292.66,-1
20180921  11:20:00,292.66,292.71,292.59,292.7,-1
20180921  11:25:00,292.7,292.74,292.64,292.73,-1
20180921  11:30:00,292.73,292.77,292.66,292.74,-1
20180921  11:35:00,292.74,292.74,292.64,292.68,-1
20180921  11:40:00,292.68,292.72,292.62,292.7,-1
20180921  11:45:00,292.7,292.9,292.68,292.83,-1
20180921  11:50:00,292.83,292.85,292.72,292.85,-1
20180921  11:55:00,292.85,292.86,292.77,292.84,-1
20180921  12:00:00,292.84,292.89,292.82,292.85,-1
20180921  12:05:00,292.85,292.94,292.8,292.93,-1
20180921  12:10:00,292.93,292.98,292.89,292.9,-1
20180921  12:15:00,292.9,292.91,292.77,292.8,-1
20180921  12:20:00,292.8,292.81,292.69,292.76,-1
20180921  12:25:00,292.76,292.94,292.68,292.7,-1
20180921  12:30:00,292.7,292.74,292.58,292.59,-1
20180921  12:35:00,292.59,292.63,292.47,292.62,-1
20180921  12:40:00,292.62,292.62,292.53,292.55,-1
20180921  12:45:00,292.55,292.66,292.55,292.64,-1
20180921  12:50:00,292.64,292.7,292.6,292.67,-1
20180921  12:55:00,292.67,292.67,292.58,292.62,-1
20180921  13:00:00,292.62,292.63,292.57,292.58,-1
20180921  13:05:00,292.58,292.64,292.51,292.52,-1
20180921  13:10:00,292.52,292.59,292.49,292.49,-1
20180921  13:15:00,292.49,292.62,292.49,292.61,-1
20180921  13:20:00,292.61,292.67,292.58,292.63,-1
20180921  13:25:00,292.63,292.63,292.52,292.54,-1
20180921  13:30:00,292.54,292.57,292.5,292.5,-1
20180921  13:35:00,292.5,292.52,292.44,292.51,-1
20180921  13:40:00,292.51,292.55,292.5,292.55,-1
20180921  13:45:00,292.55,292.56,292.45,292.46,-1
20180921  13:50:00,292.46,292.49,292.33,292.44,-1
20180921  13:55:00,292.44,292.59,292.43,292.58,-1
20180921  14:00:00,292.58,292.58,292.53,292.53,-1
20180921  14:05:00,292.53,292.53,292.48,292.5,-1
20180921  14:10:00,292.5,292.53,292.24,292.25,-1
20180921  14:15:00,292.25,292.34,292.24,292.3,-1
20180921  14:20:00,292.3,292.44,292.3,292.39,-1
20180921  14:25:00,292.39,292.46,292.39,292.46,-1
20180921  14:30:00,292.46,292.49,292.43,292.44,-1
20180921  14:35:00,292.44,292.52,292.43,292.49,-1
20180921  14:40:00,292.49,292.49,292.36,292.39,-1
20180921  14:45:00,292.39,292.43,292.33,292.33,-1
20180921  14:50:00,292.33,292.34,292.18,292.21,-1
20180921  14:55:00,292.21,292.26,292.15,292.2,-1
20180921  15:00:00,292.2,292.25,292.18,292.23,-1
20180921  15:05:00,292.23,292.29,292.19,292.27,-1
20180921  15:10:00,292.27,292.38,292.24,292.34,-1
20180921  15:15:00,292.34,292.34,292.17,292.19,-1
20180921  15:20:00,292.19,292.27,292.18,292.25,-1
20180921  15:25:00,292.25,292.28,292.17,292.2,-1
20180921  15:30:00,292.2,292.24,292.16,292.2,-1
20180921  15:35:00,292.2,292.21,292.12,292.17,-1
20180921  15:40:00,292.17,292.19,292.08,292.14,-1
20180921  15:45:00,292.14,292.25,292.05,292.06,-1
20180921  15:50:00,292.06,292.27,292.03,292.22,-1
20180921  15:55:00,292.22,292.22,291.82,292.02,-1
20180924  09:30:00,291.35,291.4,290.92,291.05,-1
20180924  09:35:00,291.05,291.34,290.98,291.29,-1
20180924  09:40:00,291.29,291.43,291.27,291.42,-1
20180924  09:45:00,291.42,291.5,291.21,291.22,-1
20180924  09:50:00,291.22,291.34,291.16,291.2,-1
20180924  09:55:00,291.2,291.49,291.2,291.32,-1
20180924  10:00:00,291.32,291.35,291.2,291.27,-1
20180924  10:05:00,291.27,291.33,291.17,291.23,-1
20180924  10:10:00,291.23,291.31,291.1,291.27,-1
20180924  10:15:00,291.27,291.3,291.03,291.05,-1
20180924  10:20:00,291.05,291.09,290.97,290.98,-1
20180924  10:25:00,290.98,291.07,290.7,290.84,-1
20180924  10:30:00,290.84,290.97,290.7,290.87,-1
20180924  10:35:00,290.87,291.02,290.52,290.52,-1
20180924  10:40:00,290.52,290.77,290.37,290.6,-1
20180924  10:45:00,290.6,290.72,290.44,290.44,-1
20180924  10:50:00,290.44,290.65,290.43,290.45,-1
20180924  10:55:00,290.45,290.84,290.4,290.84,-1
20180924  11:00:00,290.84,290.9,290.7,290.75,-1
20180924  11:05:00,290.75,290.83,290.64,290.64,-1
20180924  11:10:00,290.64,290.71,290.51,290.67,-1
20180924  11:15:00,290.67,290.9,290.65,290.9,-1
20180924  11:20:00,290.9,291.02,290.85,291.01,-1
20180924  11:25:00,291.01,291.19,291.01,291.03,-1
20180924  11:30:00,291.03,291.12,290.94,291.0,-1
20180924  11:35:00,291.0,291.03,290.86,290.95,-1
20180924  11:40:00,290.95,290.99,290.85,290.88,-1
20180924  11:45:00,290.88,290.92,290.81,290.86,-1
20180924  11:50:00,290.86,290.95,290.85,290.9,-1
20180924  11:55:00,290.9,290.92,290.79,290.82,-1
