#{"t_start": 1624594547.974161, "env_id": null}
r,l,t
235.97934,201,13.62874
-1.4143907,201,13.628837
-43.376465,201,13.628862
120.01405,201,13.628883
-49.558918,201,13.628904
7.213322,201,13.628924
2.8417363,201,13.628944
5.3420386,201,13.628963
35.225697,201,13.628983
22.75377,201,13.629005
-0.15741768,201,13.629025
39.433933,201,13.629046
-21.404285,201,13.629067
-99.24617,201,13.629087
-33.020424,201,13.629107
87.99072,201,13.629127
41.99525,201,13.629147
146.29352,201,13.629166
10.714381,201,13.629186
150.7596,201,13.629205
95.828636,201,25.543051
54.54883,201,25.543137
13.937013,201,25.543162
14.855452,201,25.543183
57.793247,201,25.543202
-129.98766,201,25.543221
25.079494,201,25.543241
71.858315,201,25.54326
-109.6746,201,25.543279
33.84185,201,25.543298
-46.46548,201,25.543317
44.078056,201,25.543337
-0.5128002,201,25.543357
24.032919,201,25.543377
49.930748,201,25.543396
12.230715,201,25.543416
30.9482,201,25.543434
-51.59119,201,25.543454
38.946705,201,25.543473
27.89008,201,25.543492
85.15544,201,37.982597
24.759777,201,37.982671
-7.5920043,201,37.982687
59.780064,201,37.982702
8.082306,201,37.982716
15.692403,201,37.982728
-31.167286,201,37.982741
-26.7061,201,37.982754
-68.80067,201,37.982766
78.85169,201,37.982778
-3.388776,201,37.982791
-77.859665,201,37.982803
159.70583,201,37.982815
-26.368402,201,37.982827
-37.156334,201,37.98284
1.7345607,201,37.982852
-37.057457,201,37.982865
-10.664508,201,37.982877
-1.3678073,201,37.982889
-42.48695,201,37.982902
-10.787605,201,49.688782
53.09628,201,49.688874
-16.71623,201,49.688904
61.92483,201,49.688926
47.111546,201,49.688947
8.810003,201,49.688968
4.4142623,201,49.688992
114.81517,201,49.689014
25.490309,201,49.689035
-52.727608,201,49.689056
22.426786,201,49.689076
-31.697176,201,49.689097
-32.56767,201,49.689118
14.884728,201,49.689138
-14.239053,201,49.689159
79.174095,201,49.689183
-44.644657,201,49.689204
1.6331553,201,49.689224
24.496307,201,49.689245
8.164181,201,49.689265
-26.57468,201,61.86338
-10.520626,201,61.863467
11.904805,201,61.863493
-45.07104,201,61.863516
154.4971,201,61.86354
-87.747475,201,61.863563
12.98831,201,61.863584
119.616905,201,61.863605
-9.686588,201,61.863625
12.946758,201,61.863645
95.20744,201,61.863667
94.81576,201,61.863687
41.147793,201,61.863707
42.09414,201,61.863727
170.92053,201,61.863748
36.519455,201,61.863768
-63.01463,201,61.863789
-15.497506,201,61.863808
-16.581009,201,61.863828
82.23284,201,61.863848
-4.071902,201,74.036056
-44.342705,201,74.036128
33.11019,201,74.036144
110.816734,201,74.036158
-3.64771,201,74.036171
-105.92292,201,74.036183
-51.969803,201,74.036196
-18.381613,201,74.036208
15.050318,201,74.036221
107.04761,201,74.036233
-9.964613,201,74.036245
92.14072,201,74.036258
12.57623,201,74.03627
6.8277464,201,74.036283
-15.337689,201,74.036295
-25.282986,201,74.036307
-0.9042669,201,74.03632
21.695047,201,74.036332
-35.036163,201,74.036345
5.5713696,201,74.036358
7.776137,201,85.501171
39.191868,201,85.501255
6.723968,201,85.501272
54.69964,201,85.501286
97.02685,201,85.501299
62.492985,201,85.501312
