#{"t_start": 1624598718.1383188, "env_id": null}
r,l,t
-91.472374,201,19.663043
49.21625,201,19.663097
-59.560837,201,19.663114
11.049862,201,19.663131
-2.0291588,201,19.663144
48.64756,201,19.663157
24.858557,201,19.66317
-42.116707,201,19.663183
12.009535,201,19.663197
-34.250767,201,19.663209
-58.717854,201,19.663222
200.62405,201,19.663234
20.140656,201,19.663247
-7.719287,201,19.663259
18.689753,201,19.663274
287.653,201,19.663287
53.9656,201,19.663299
9.767595,201,19.663311
38.20489,201,19.663324
72.42732,201,19.663337
24.998497,201,37.06441
139.41289,201,37.064514
19.657532,201,37.064539
1.9888514,201,37.06456
-1.2003055,201,37.064579
22.808088,201,37.064599
30.711138,201,37.064619
17.514334,201,37.06464
16.495308,201,37.064661
0.8586208,201,37.064682
6.546787,201,37.064705
-117.47052,201,37.064733
23.768806,201,37.064754
40.90008,201,37.064773
-12.43387,201,37.064793
33.87801,201,37.064811
38.865585,201,37.06483
41.84054,201,37.064849
57.37947,201,37.064867
-28.309727,201,37.064886
218.9707,201,54.858779
-12.389724,201,54.858883
99.09128,201,54.858911
44.637634,201,54.858931
51.254745,201,54.858952
74.71497,201,54.858972
32.15887,201,54.858992
172.09004,201,54.859011
42.63024,201,54.85903
22.141886,201,54.85905
41.508057,201,54.85907
96.34683,201,54.85909
67.615364,201,54.859108
25.91661,201,54.859132
100.104744,201,54.859154
28.600307,201,54.859176
-18.54468,201,54.859197
-4.1609426,201,54.859215
11.288307,201,54.859234
130.7504,201,54.859253
3.0438874,201,71.55397
184.90208,201,71.554061
-97.61655,201,71.554089
15.656667,201,71.554112
52.15999,201,71.554135
24.15774,201,71.554156
134.16876,201,71.554177
63.214718,201,71.554198
22.932928,201,71.554224
-30.859034,201,71.554245
20.773046,201,71.554266
16.009783,201,71.554287
52.50243,201,71.554319
17.22934,201,71.554342
-16.883556,201,71.554363
52.369335,201,71.554383
70.971146,201,71.554403
-38.516434,201,71.554424
111.91996,201,71.554444
73.82507,201,71.554464
-15.691724,201,88.796884
4.9259815,201,88.796957
-5.73749,201,88.796973
9.768916,201,88.796987
-5.9832735,201,88.796999
26.517458,201,88.797012
-35.59048,201,88.797024
38.350964,201,88.797037
-29.19587,201,88.797049
4.7844133,201,88.797061
38.20061,201,88.797073
30.319643,201,88.797086
-11.051973,201,88.797097
-14.66491,201,88.79711
28.494976,201,88.797122
7.4688272,201,88.797134
26.944134,201,88.797146
-9.872544,201,88.797159
76.68477,201,88.797173
79.64356,201,88.797189
-69.7165,201,106.810725
-6.573014,201,106.810807
10.243923,201,106.810825
-29.892458,201,106.810839
16.591217,201,106.810853
-52.095913,201,106.810867
22.923544,201,106.81088
28.39716,201,106.810894
-5.4683867,201,106.810906
87.94461,201,106.81092
13.10631,201,106.810933
1.3987877,201,106.810946
