date,open,high,low,close,volume
20171207  09:30:00,107.6,107.92,106.0,106.08,-1
20171207  10:00:00,106.08,106.48,104.4,104.84,-1
20171207  11:00:00,104.84,105.12,103.84,104.08,-1
20171207  12:00:00,104.08,104.64,103.96,104.16,-1
20171207  13:00:00,104.16,104.6,104.0,104.36,-1
20171207  14:00:00,104.36,105.12,104.16,104.52,-1
20171207  15:00:00,104.52,104.64,103.96,104.08,-1
20171208  09:30:00,102.4,102.68,101.88,102.12,-1
20171208  10:00:00,102.12,102.72,101.52,101.52,-1
20171208  11:00:00,101.52,102.24,101.4,101.64,-1
20171208  12:00:00,101.64,101.64,100.92,101.16,-1
20171208  13:00:00,101.16,101.24,100.72,100.76,-1
20171208  14:00:00,100.76,101.28,100.56,100.92,-1
20171208  15:00:00,100.92,101.4,100.64,100.72,-1
20171211  09:30:00,100.36,100.48,99.36,99.4,-1
20171211  10:00:00,99.4,100.0,99.36,99.88,-1
20171211  11:00:00,99.88,99.96,99.36,99.48,-1
20171211  12:00:00,99.48,99.48,98.52,98.6,-1
20171211  13:00:00,98.6,98.68,98.04,98.08,-1
20171211  14:00:00,98.08,98.24,97.64,97.76,-1
20171211  15:00:00,97.76,98.0,97.24,97.28,-1
20171212  09:30:00,96.84,97.12,96.48,96.68,-1
20171212  10:00:00,96.68,97.44,96.56,96.8,-1
20171212  11:00:00,96.8,97.16,96.64,96.88,-1
20171212  12:00:00,96.88,97.24,96.6,96.88,-1
20171212  13:00:00,96.88,97.4,96.72,97.32,-1
20171212  14:00:00,97.32,97.36,96.76,96.92,-1
20171212  15:00:00,96.92,97.76,96.8,97.52,-1
20171213  09:30:00,96.72,96.96,96.44,96.68,-1
20171213  10:00:00,96.68,97.2,96.56,96.96,-1
20171213  11:00:00,96.96,97.24,96.68,96.76,-1
20171213  12:00:00,96.76,97.16,96.68,97.04,-1
20171213  13:00:00,97.04,97.4,96.88,97.28,-1
20171213  14:00:00,97.28,97.28,96.36,96.72,-1
20171213  15:00:00,96.72,97.64,96.68,97.2,-1
20171214  09:30:00,96.72,96.96,96.44,96.44,-1
20171214  10:00:00,96.44,96.68,96.24,96.44,-1
20171214  11:00:00,96.44,96.8,96.32,96.52,-1
20171214  12:00:00,96.52,96.84,96.24,96.72,-1
20171214  13:00:00,96.72,97.24,96.48,96.96,-1
20171214  14:00:00,96.96,98.44,96.52,97.12,-1
20171214  15:00:00,97.12,97.4,96.32,96.72,-1
20171215  09:30:00,95.96,96.04,95.4,95.52,-1
20171215  10:00:00,95.52,95.56,94.28,94.52,-1
20171215  11:00:00,94.52,94.52,93.52,93.72,-1
20171215  12:00:00,93.72,94.0,93.12,93.32,-1
20171215  13:00:00,93.32,93.36,92.96,93.04,-1
20171215  14:00:00,93.04,93.16,92.72,92.92,-1
20171215  15:00:00,92.92,93.6,92.84,93.52,-1
20171218  09:30:00,92.28,92.48,91.32,91.96,-1
20171218  10:00:00,91.96,92.88,91.8,92.0,-1
20171218  11:00:00,92.0,92.08,91.56,91.56,-1
20171218  12:00:00,91.56,91.84,91.4,91.48,-1
20171218  13:00:00,91.48,91.76,91.32,91.36,-1
20171218  14:00:00,91.36,91.88,91.32,91.84,-1
20171218  15:00:00,91.84,92.52,91.4,92.16,-1
20171219  09:30:00,92.0,92.64,91.92,92.44,-1
20171219  10:00:00,92.44,93.36,92.24,92.64,-1
20171219  11:00:00,92.64,93.6,92.64,93.48,-1
20171219  12:00:00,93.48,93.68,92.72,92.72,-1
20171219  13:00:00,92.72,92.76,92.28,92.48,-1
20171219  14:00:00,92.48,93.24,92.36,93.2,-1
20171219  15:00:00,93.2,93.52,92.28,92.56,-1
20171220  09:30:00,90.96,92.56,90.96,91.64,-1
20171220  10:00:00,91.64,92.72,91.32,91.96,-1
20171220  11:00:00,91.96,92.12,91.36,91.6,-1
20171220  12:00:00,91.6,91.72,91.16,91.4,-1
20171220  13:00:00,91.4,91.6,91.2,91.36,-1
20171220  14:00:00,91.36,92.44,91.32,92.12,-1
20171220  15:00:00,92.12,92.48,91.76,92.28,-1
20171221  09:30:00,91.88,92.64,91.84,92.4,-1
20171221  10:00:00,92.4,92.48,91.88,92.44,-1
20171221  11:00:00,92.44,92.72,92.16,92.68,-1
20171221  12:00:00,92.68,92.88,92.44,92.44,-1
20171221  13:00:00,92.44,92.48,92.0,92.04,-1
20171221  14:00:00,92.04,92.4,92.04,92.16,-1
20171221  15:00:00,92.16,92.36,91.4,91.6,-1
20171222  09:30:00,91.6,91.88,91.04,91.12,-1
20171222  10:00:00,91.12,91.64,91.0,91.16,-1
20171222  11:00:00,91.16,92.36,91.12,92.04,-1
20171222  12:00:00,92.04,92.08,91.6,91.88,-1
20171222  13:00:00,91.88,92.28,91.8,92.2,-1
20171222  14:00:00,92.2,92.44,92.0,92.0,-1
20171222  15:00:00,92.0,92.88,91.92,92.12,-1
20171226  09:30:00,93.0,93.08,92.4,92.44,-1
20171226  10:00:00,92.44,92.6,91.6,92.12,-1
20171226  11:00:00,92.12,92.12,91.76,91.8,-1
20171226  12:00:00,91.8,91.84,91.44,91.56,-1
20171226  13:00:00,91.56,91.64,91.36,91.56,-1
20171226  14:00:00,91.56,91.64,91.4,91.52,-1
20171226  15:00:00,91.52,92.28,91.16,92.16,-1
20171227  09:30:00,91.84,92.0,91.36,91.52,-1
20171227  10:00:00,91.52,91.52,90.8,90.96,-1
20171227  11:00:00,90.96,91.32,90.84,91.28,-1
20171227  12:00:00,91.28,92.04,91.24,91.76,-1
20171227  13:00:00,91.76,92.08,91.64,91.88,-1
20171227  14:00:00,91.88,92.44,91.88,92.2,-1
20171227  15:00:00,92.2,93.04,92.12,92.64,-1
20171228  09:30:00,92.24,92.32,91.6,91.76,-1
20171228  10:00:00,91.76,92.08,91.64,91.76,-1
20171228  11:00:00,91.76,92.12,91.68,92.12,-1
20171228  12:00:00,92.12,92.28,91.84,91.84,-1
20171228  13:00:00,91.84,92.32,91.8,92.08,-1
20171228  14:00:00,92.08,92.24,91.88,91.92,-1
20171228  15:00:00,91.92,92.04,91.16,91.16,-1
20171229  09:30:00,90.76,91.6,90.76,91.48,-1
20171229  10:00:00,91.48,92.0,91.4,91.8,-1
20171229  11:00:00,91.8,92.24,91.44,91.44,-1
