date,open,high,low,close,volume
20171205  03:00:00,11.38,11.46,11.33,11.45,0
20171205  04:00:00,11.46,11.53,11.38,11.46,0
20171205  05:00:00,11.47,11.67,11.31,11.65,0
20171205  06:00:00,11.64,11.65,11.48,11.53,0
20171205  07:00:00,11.52,11.54,11.33,11.36,0
20171205  08:00:00,11.35,11.44,11.12,11.44,0
20171205  09:00:00,11.43,11.43,11.31,11.33,0
20171205  09:30:00,11.56,11.56,11.18,11.24,0
20171205  10:00:00,11.23,11.23,10.87,10.9,0
20171205  11:00:00,10.86,10.86,10.65,10.85,0
20171205  12:00:00,10.84,11.07,10.84,11.05,0
20171205  13:00:00,11.01,11.1,10.85,10.86,0
20171205  14:00:00,10.85,11.48,10.75,11.43,0
20171205  15:00:00,11.44,11.61,11.19,11.27,0
20171205  16:00:00,11.3,11.33,11.26,11.33,0
20171206  03:00:00,11.63,11.68,11.55,11.55,0
20171206  04:00:00,11.56,11.63,11.51,11.63,0
20171206  05:00:00,11.62,11.66,11.56,11.59,0
20171206  06:00:00,11.6,11.63,11.52,11.55,0
20171206  07:00:00,11.54,11.63,11.48,11.51,0
20171206  08:00:00,11.5,11.6,11.38,11.42,0
20171206  09:00:00,11.43,11.46,11.36,11.43,0
20171206  09:30:00,11.48,11.48,11.1,11.22,0
20171206  10:00:00,11.24,11.34,10.86,10.87,0
20171206  11:00:00,10.88,11.23,10.88,11.18,0
20171206  12:00:00,11.2,11.52,11.19,11.26,0
20171206  13:00:00,11.25,11.29,11.0,11.01,0
20171206  14:00:00,11.02,11.1,10.96,11.1,0
20171206  15:00:00,11.09,11.1,10.94,11.0,0
20171206  16:00:00,11.03,11.04,10.98,11.02,0
20171207  03:00:00,10.9,10.9,10.83,10.84,0
20171207  04:00:00,10.85,10.9,10.77,10.8,0
20171207  05:00:00,10.79,10.85,10.77,10.84,0
20171207  06:00:00,10.85,10.92,10.83,10.87,0
20171207  07:00:00,10.88,11.12,10.87,10.97,0
20171207  08:00:00,11.15,11.22,10.91,11.22,0
20171207  09:00:00,11.23,11.26,11.05,11.22,0
20171207  09:30:00,11.29,11.32,10.75,10.78,0
20171207  10:00:00,10.75,10.81,10.26,10.26,0
20171207  11:00:00,10.25,10.36,10.12,10.17,0
20171207  12:00:00,10.19,10.32,10.19,10.28,0
20171207  13:00:00,10.29,10.39,10.22,10.33,0
20171207  14:00:00,10.32,10.5,10.29,10.29,0
20171207  15:00:00,10.27,10.34,10.14,10.29,0
20171207  16:00:00,10.21,10.24,10.16,10.16,0
20171208  03:00:00,10.0,10.04,9.96,9.98,0
20171208  04:00:00,9.99,10.01,9.93,9.93,0
20171208  05:00:00,9.94,9.96,9.89,9.95,0
20171208  06:00:00,9.96,10.0,9.92,9.98,0
20171208  07:00:00,9.99,10.06,9.94,10.03,0
