date,open,high,low,close,volume
20171205  09:30:00,261.74,261.76,261.4,261.48,-1
20171205  10:00:00,261.48,262.2,261.44,262.11,-1
20171205  11:00:00,262.11,262.44,261.88,261.94,-1
20171205  12:00:00,261.94,261.96,261.46,261.54,-1
20171205  13:00:00,261.54,261.82,261.42,261.66,-1
20171205  14:00:00,261.66,261.73,260.67,260.81,-1
20171205  15:00:00,260.81,260.97,260.36,260.52,-1
20171206  09:30:00,260.18,260.72,260.16,260.55,-1
20171206  10:00:00,260.55,260.89,260.05,260.88,-1
20171206  11:00:00,260.88,260.97,260.44,260.56,-1
20171206  12:00:00,260.56,260.59,260.2,260.52,-1
20171206  13:00:00,260.52,260.83,260.37,260.79,-1
20171206  14:00:00,260.79,261.04,260.69,260.83,-1
20171206  15:00:00,260.83,260.94,260.38,260.53,-1
20171207  09:30:00,260.4,260.87,260.27,260.87,-1
20171207  10:00:00,260.87,261.25,260.59,261.24,-1
20171207  11:00:00,261.24,261.61,260.91,261.57,-1
20171207  12:00:00,261.57,261.61,261.39,261.61,-1
20171207  13:00:00,261.61,261.73,261.31,261.47,-1
20171207  14:00:00,261.47,261.54,260.88,261.22,-1
20171207  15:00:00,261.22,261.41,261.06,261.35,-1
20171208  09:30:00,262.29,262.48,262.13,262.35,-1
20171208  10:00:00,262.35,262.44,262.03,262.44,-1
20171208  11:00:00,262.44,262.53,262.1,262.38,-1
20171208  12:00:00,262.38,262.8,262.37,262.6,-1
20171208  13:00:00,262.6,262.82,262.55,262.64,-1
20171208  14:00:00,262.64,262.65,262.26,262.42,-1
20171208  15:00:00,262.42,262.79,262.32,262.79,-1
20171211  09:30:00,262.87,263.25,262.78,263.25,-1
20171211  10:00:00,263.25,263.37,262.96,263.0,-1
20171211  11:00:00,263.0,263.27,262.9,263.17,-1
20171211  12:00:00,263.17,263.46,263.16,263.44,-1
20171211  13:00:00,263.44,263.57,263.31,263.44,-1
20171211  14:00:00,263.44,263.49,263.33,263.41,-1
20171211  15:00:00,263.41,263.66,263.19,263.62,-1
20171212  09:30:00,263.87,263.91,263.63,263.9,-1
20171212  10:00:00,263.9,264.17,263.82,264.08,-1
