#{"t_start": 1625370268.7300088, "env_id": null}
r,l,t
4.310279,700,22.191351
-1.479669,700,55.724066
1.118244,700,90.618833
-0.917793,700,124.283986
1.659739,700,156.967735
2.917908,700,190.906172
-1.167791,700,221.675548
0.211586,700,253.273634
1.555653,700,286.023972
2.583207,700,320.056438
-0.62136,700,351.05781
-1.366762,700,382.369015
2.138488,700,412.801528
0.955106,700,444.668962
-0.186161,700,473.817971
0.01056,700,505.030352
-4.191453,700,535.242584
-0.274907,700,566.016769
-0.777863,700,596.037091
-103.565904,700,626.053286
164.760508,700,656.721267
26.594034,700,687.951306
87.929516,700,718.55848
-122.180459,700,752.521076
-116.888479,700,783.801131
-76.853955,700,816.868187
19.064416,700,848.478015
-12.727368,700,881.322221
-8.464185,700,912.954845
119.96768,700,943.773729
54.867183,700,975.65882
61.852,700,1007.56693
40.124948,700,1039.76743
85.376348,700,1072.876598
25.084395,700,1104.573042
90.82153,700,1136.354909
26.37388,700,1168.90957
71.38366,700,1201.580754
91.661834,700,1232.992502
34.924371,700,1263.178064
53.448303,700,1292.994193
-39.742394,700,1324.721732
68.232462,700,1357.077161
-20.18554,700,1389.742839
130.036378,700,1425.124165
38.076749,700,1458.96613
42.569959,700,1489.15243
48.602719,700,1518.035115
87.640508,700,1545.963947
152.647771,700,1574.374914
-92.094865,700,1603.672979
59.561745,700,1630.714501
-29.993607,700,1657.90102
-21.680643,700,1685.409786
44.157632,700,1714.37938
-144.516233,700,1743.105742
91.388517,700,1771.476135
22.371652,700,1800.954197
41.3625,700,1829.259546
6.732365,700,1858.916898
40.45368,700,1889.297136
34.484965,700,1920.762338
-39.334307,700,1952.692102
-17.482266,700,1984.740038
40.892343,700,2017.172433
-14.730949,700,2050.180708
79.761208,700,2080.919559
186.957026,700,2111.694895
145.439577,700,2143.247713
111.646127,700,2174.849789
40.121526,700,2206.316999
17.616278,700,2239.347942
17.451658,700,2271.835481
100.426527,700,2305.161099
72.591631,700,2336.894697
31.256333,700,2369.338085
146.615154,700,2404.199173
-13.292122,700,2437.897937
22.386196,700,2470.844828
26.221452,700,2504.420986
-92.584492,700,2537.061129
7.889504,700,2568.174896
58.869091,700,2599.822433
62.662638,700,2627.617161
133.421392,700,2654.145941
71.558709,700,2682.291795
-98.823602,700,2710.795587
42.778299,700,2740.889719
66.387785,700,2770.29234
9.73125,700,2801.291844
-14.364554,700,2833.678563
63.389807,700,2865.79934
1.637753,700,2898.031813
-10.979123,700,2930.403465
-101.484025,700,2964.746741
75.754467,700,2997.96546
-86.643387,700,3030.978968
11.334494,700,3064.116794
29.943743,700,3098.016869
41.234956,700,3130.48017
-92.701948,700,3164.221431
24.12876,700,3196.374932
50.010907,700,3229.590244
27.533837,700,3263.065502
5.946125,700,3294.808289
-23.484748,700,3325.642442
16.707348,700,3354.272867
30.729188,700,3383.668372
30.660226,700,3412.413781
-13.633439,700,3442.390809
22.546791,700,3470.500229
5.864156,700,3499.177389
58.426831,700,3526.386906
1.323149,700,3554.467899
-104.944649,700,3582.91107
39.724052,700,3613.630814
17.940534,700,3642.574428
21.116299,700,3672.979722
14.677247,700,3701.137537
45.29637,700,3729.013046
83.337181,700,3757.242013
-4.074415,700,3786.524185
79.761572,700,3815.650478
-43.475015,700,3845.067516
21.937989,700,3876.055097
32.822934,700,3908.090773
39.881647,700,3941.20493
-96.984221,700,3975.056751
42.229313,700,4008.395758
-8.296805,700,4041.095045
23.540474,700,4072.126036
-112.125369,700,4101.560188
41.162276,700,4129.89972
23.142852,700,4160.869681
68.43967,700,4188.130506
-147.401459,700,4215.450631
52.094823,700,4242.827054
3.263806,700,4270.95983
63.578763,700,4301.056507
-101.492996,700,4328.753619
-2.387145,700,4356.012752
22.664612,700,4385.015985
-112.95308,700,4414.098377
39.317637,700,4441.026786
2.618745,700,4467.8269
36.353746,700,4494.438518
34.653223,700,4521.898201
-12.024097,700,4549.01521
-125.817764,700,4575.000181
196.710411,700,4601.56623
138.252154,700,4628.270056
1.761845,700,4654.61767
40.777029,700,4681.300785
43.715972,700,4707.522581
85.472879,700,4733.89196
44.074551,700,4760.735548
39.201279,700,4787.380898
-56.456403,700,4813.50566
40.626947,700,4839.747484
-24.397189,700,4865.938946
37.843295,700,4892.297128
-121.597407,700,4919.267352
56.349442,700,4944.758997
77.875242,700,4971.185812
-84.832182,700,4997.567225
-123.110282,700,5023.454057
32.742549,700,5049.456442
17.549448,700,5075.725373
-116.138861,700,5102.358479
4.108856,700,5127.666285
73.062069,700,5153.100732
20.676567,700,5178.359277
86.365865,700,5204.312601
212.016985,700,5230.731825
43.22989,700,5256.85478
29.903671,700,5282.531095
-115.551736,700,5308.802253
75.123106,700,5335.257651
43.344799,700,5361.052547
44.53452,700,5387.752898
60.653395,700,5414.471782
28.542427,700,5440.718483
48.207905,700,5468.000343
114.13712,700,5495.994909
-15.126553,700,5522.561726
121.045346,700,5549.963511
45.219996,700,5577.420203
37.251566,700,5605.126655
-8.742481,700,5632.206204
80.920391,700,5658.540052
14.839072,700,5685.527412
36.044518,700,5711.976574
62.057826,700,5738.825185
11.739411,700,5765.593065
27.423834,700,5792.01622
45.223737,700,5819.161585
64.886121,700,5845.631536
29.355202,700,5872.283675
44.302494,700,5898.871684
5.868862,700,5926.424027
8.954673,700,5953.254976
19.265453,700,5979.635181
-126.524631,700,6005.893489
-23.869895,700,6032.069806
36.770569,700,6059.524457
61.548927,700,6085.483732
69.402991,700,6111.573757
104.10694,700,6138.322784
141.885024,700,6164.641568
6.704962,700,6191.340055
36.964922,700,6217.700783
31.057429,700,6244.801225
81.60992,700,6272.044396
200.309047,700,6299.199212
-111.656946,700,6325.095792
45.696795,700,6351.244694
3.579204,700,6378.168853
27.216777,700,6405.264795
-104.936225,700,6431.644238
-122.347842,700,6458.135651
71.592335,700,6484.400751
-23.533202,700,6510.924912
78.58222,700,6538.173328
-143.975995,700,6565.076563
43.261542,700,6591.880155
44.724586,700,6618.76368
81.140072,700,6644.15827
-123.366241,700,6670.126899
-34.19979,700,6696.7662
134.003526,700,6722.53637
39.203534,700,6749.8626
-18.614051,700,6776.0157
-0.936187,700,6802.670424
10.957229,700,6828.994644
-12.622404,700,6855.0488
97.558748,700,6881.68346
72.648456,700,6908.063098
83.774064,700,6935.303171
-54.341846,700,6961.562233
62.147554,700,6988.324674
-18.532445,700,7015.478013
-140.332655,700,7042.090017
237.775878,700,7067.815696
120.142532,700,7094.258245
183.827005,700,7120.300355
87.189638,700,7145.828498
140.113255,700,7172.893388
17.086052,700,7199.667954
107.25798,700,7226.227879
37.694629,700,7252.298225
48.62001,700,7278.670895
50.071721,700,7306.212442
-14.018667,700,7332.481049
-9.174149,700,7359.446829
-37.751666,700,7386.193058
-5.960722,700,7412.99074
7.43915,700,7439.459827
2.661458,700,7466.622465
51.508338,700,7492.902979
38.086523,700,7519.34623
63.818012,700,7546.636355
-19.423259,700,7573.960883
21.53993,700,7601.618117
-104.230298,700,7628.690913
-4.0971,700,7655.990619
0.244987,700,7683.530967
37.898438,700,7711.127401
133.7157,700,7738.529947
132.010707,700,7765.517229
0.290223,700,7792.395737
186.926523,700,7819.989718
37.198019,700,7847.708518
46.872467,700,7875.648959
-6.300475,700,7903.168701
-94.836776,700,7930.081811
17.737685,700,7957.250107
69.703063,700,7985.419316
73.063448,700,8013.968168
28.171218,700,8041.791919
-14.903371,700,8069.286085
21.139881,700,8097.614694
11.127905,700,8124.892146
-92.64835,700,8152.425664
-83.162755,700,8179.664312
40.311975,700,8207.501423
38.51341,700,8235.1355
-16.685255,700,8262.904839
39.833686,700,8290.679684
74.91597,700,8318.774132
37.801721,700,8346.018201
27.946444,700,8372.497267
28.833042,700,8399.726125
-90.359856,700,8426.425263
61.841519,700,8453.858991
44.130598,700,8481.062601
37.725485,700,8508.394075
177.627344,700,8535.370379
78.007483,700,8562.104568
38.535805,700,8588.210581
43.098146,700,8615.353553
138.2015,700,8641.606522
-6.79249,700,8668.166272
97.919064,700,8694.612265
-108.369977,700,8721.870177
-18.785072,700,8748.486844
33.990777,700,8775.037024
122.254893,700,8801.215125
-13.850377,700,8827.862114
40.62806,700,8854.500614
186.370319,700,8880.374609
60.500789,700,8907.768975
23.258578,700,8934.312919
131.590124,700,8961.287926
6.783616,700,8988.280194
28.017189,700,9015.390499
63.218782,700,9042.834045
31.499485,700,9069.172061
12.514315,700,9095.38635
41.73684,700,9121.641748
12.024085,700,9148.367292
-17.666013,700,9174.752848
113.652361,700,9201.231241
87.311954,700,9227.389951
-89.578124,700,9253.32324
37.270983,700,9280.559401
30.026356,700,9308.458139
40.792786,700,9335.747584
-112.344486,700,9363.224399
21.036863,700,9390.926903
26.311974,700,9419.669029
-15.146019,700,9447.199614
40.313043,700,9473.8633
42.288063,700,9500.445631
-19.701973,700,9526.968153
19.436624,700,9553.268022
29.064521,700,9580.843798
-21.159377,700,9607.929169
65.800959,700,9635.308198
41.06842,700,9661.597286
-125.202172,700,9689.758541
67.867026,700,9716.5066
23.225229,700,9743.53009
48.015588,700,9770.920419
71.068543,700,9797.53675
-129.136685,700,9824.485548
75.225993,700,9851.578394
38.800112,700,9878.989815
39.219063,700,9906.837676
-106.899915,700,9934.558534
-26.882278,700,9962.081026
19.863302,700,9989.405424
23.090492,700,10015.959854
94.080406,700,10042.500494
74.987927,700,10069.383564
76.023645,700,10096.55193
-98.356459,700,10123.201292
59.2985,700,10150.266901
22.784473,700,10176.562078
7.523002,700,10203.37571
31.429602,700,10229.837319
-18.05219,700,10256.008948
69.853956,700,10282.782889
77.002892,700,10308.981128
76.66499,700,10335.151202
-26.791137,700,10362.027322
-108.564358,700,10387.881588
-28.968306,700,10415.120376
135.204312,700,10442.967204
3.239499,700,10471.273154
55.084555,700,10498.797755
66.827293,700,10525.610575
0.519167,700,10553.207851
14.9992,700,10580.90408
163.812855,700,10607.828514
35.844136,700,10634.705825
100.343385,700,10662.915843
172.164087,700,10690.431324
18.138454,700,10718.122359
57.235277,700,10745.006074
78.517381,700,10773.001156
-121.216868,700,10800.747207
35.512472,700,10828.311187
36.455968,700,10856.197979
177.507824,700,10884.085166
43.525436,700,10911.69881
20.241995,700,10938.680434
-110.504954,700,10965.742224
101.579554,700,10993.54313
80.103522,700,11021.340446
36.694207,700,11047.993474
15.525194,700,11076.220748
17.553761,700,11104.382029
139.866529,700,11132.11912
6.592653,700,11160.408312
28.237818,700,11188.707341
31.382535,700,11216.561746
25.237804,700,11244.550321
64.950525,700,11271.869935
10.17939,700,11298.633915
-34.983671,700,11325.883475
19.795395,700,11353.787551
111.467249,700,11381.394788
112.561471,700,11407.800255
57.714182,700,11434.812071
38.747259,700,11462.06568
-28.163198,700,11489.543345
40.84814,700,11516.557085
26.244955,700,11543.39215
122.792823,700,11570.585724
40.118891,700,11597.837416
-94.188698,700,11624.790767
24.357095,700,11651.593206
37.237559,700,11677.742846
-21.050655,700,11703.943034
-23.028675,700,11730.52198
-9.803269,700,11757.516766
25.195569,700,11784.490202
21.425921,700,11811.364358
6.467209,700,11837.906517
30.385167,700,11864.054708
150.882707,700,11890.746716
102.447223,700,11917.901148
40.54866,700,11944.918825
-104.501362,700,11971.895353
