date,open,high,low,close,volume
20171205  09:30:00,261.76,261.77,261.41,261.49,-1
20171205  10:00:00,261.49,262.21,261.46,262.12,-1
20171205  11:00:00,262.12,262.45,261.89,261.95,-1
20171205  12:00:00,261.95,261.97,261.47,261.55,-1
20171205  13:00:00,261.55,261.83,261.43,261.67,-1
20171205  14:00:00,261.67,261.74,260.68,260.82,-1
20171205  15:00:00,260.82,260.98,260.37,260.52,-1
20171206  09:30:00,260.2,260.73,260.17,260.56,-1
20171206  10:00:00,260.56,260.9,260.06,260.89,-1
20171206  11:00:00,260.89,260.98,260.45,260.57,-1
20171206  12:00:00,260.57,260.6,260.21,260.53,-1
20171206  13:00:00,260.53,260.84,260.38,260.8,-1
20171206  14:00:00,260.8,261.05,260.7,260.84,-1
20171206  15:00:00,260.84,260.95,260.39,260.54,-1
20171207  09:30:00,260.43,260.88,260.28,260.88,-1
20171207  10:00:00,260.88,261.26,260.6,261.25,-1
20171207  11:00:00,261.25,261.62,260.92,261.58,-1
20171207  12:00:00,261.58,261.62,261.4,261.62,-1
20171207  13:00:00,261.62,261.74,261.32,261.48,-1
20171207  14:00:00,261.48,261.55,260.89,261.23,-1
20171207  15:00:00,261.23,261.42,261.07,261.36,-1
20171208  09:30:00,262.32,262.49,262.14,262.36,-1
20171208  10:00:00,262.36,262.45,262.04,262.45,-1
20171208  11:00:00,262.45,262.54,262.11,262.39,-1
20171208  12:00:00,262.39,262.81,262.38,262.61,-1
20171208  13:00:00,262.61,262.83,262.56,262.65,-1
20171208  14:00:00,262.65,262.66,262.27,262.43,-1
20171208  15:00:00,262.43,262.8,262.33,262.79,-1
20171211  09:30:00,262.88,263.26,262.79,263.26,-1
20171211  10:00:00,263.26,263.38,262.97,263.01,-1
20171211  11:00:00,263.01,263.28,262.91,263.18,-1
20171211  12:00:00,263.18,263.47,263.17,263.45,-1
20171211  13:00:00,263.45,263.58,263.32,263.45,-1
20171211  14:00:00,263.45,263.5,263.34,263.42,-1
20171211  15:00:00,263.42,263.67,263.2,263.63,-1
20171212  09:30:00,263.88,263.92,263.64,263.91,-1
20171212  10:00:00,263.91,264.18,263.83,264.09,-1
20171212  11:00:00,264.09,264.52,264.0,264.43,-1
20171212  12:00:00,264.43,264.6,264.18,264.44,-1
20171212  13:00:00,264.44,264.56,264.22,264.25,-1
20171212  14:00:00,264.25,264.57,264.16,264.5,-1
20171212  15:00:00,264.5,264.5,263.99,264.08,-1
20171213  09:30:00,264.35,264.75,264.34,264.68,-1
20171213  10:00:00,264.68,264.79,264.49,264.72,-1
