date,open,high,low,close,volume
20171207  09:30:00,0.64136187,0.67333313,0.64136187,0.65822059,0
20171207  10:00:00,0.65822059,0.66596735,0.64704494,0.65402972,0
20171207  11:00:00,0.65402972,0.65474408,0.61674051,0.61843908,0
20171207  12:00:00,0.61843908,0.62455076,0.61177178,0.62418565,0
20171207  13:00:00,0.62418565,0.632996,0.62418565,0.62569373,0
20171207  14:00:00,0.62569373,0.63155142,0.62289981,0.62580485,0
20171207  15:00:00,0.62580485,0.62580485,0.60461238,0.60461238,0
20171208  09:30:00,0.61083519,0.87441552,0.61083519,0.81139372,0
20171208  10:00:00,0.81139372,0.81139372,0.72951301,0.74453029,0
20171208  11:00:00,0.74453029,0.74453029,0.71748013,0.71817861,0
20171208  12:00:00,0.71817861,0.72165513,0.69447797,0.69447797,0
20171208  13:00:00,0.69447797,0.69554156,0.6597128,0.65991917,0
20171208  14:00:00,0.65991917,0.66330044,0.64310806,0.64648933,0
20171208  15:00:00,0.64648933,0.65020397,0.62921787,0.63147205,0
20171211  09:30:00,0.60856513,0.6385997,0.60856513,0.62531274,0
20171211  10:00:00,0.62531274,0.63491682,0.61477207,0.61585153,0
20171211  11:00:00,0.61585153,0.61585153,0.59138892,0.59469081,0
20171211  12:00:00,0.59469081,0.59469081,0.5694186,0.5702917,0
20171211  13:00:00,0.5702917,0.57995927,0.56154484,0.57995927,0
20171211  14:00:00,0.57995927,0.5902142,0.57668912,0.57749872,0
20171211  15:00:00,0.57749872,0.57749872,0.56003676,0.56003676,0
20171212  09:30:00,0.55854456,0.7589126,0.55854456,0.75461061,0
20171212  10:00:00,0.75461061,0.76175413,0.70932063,0.71494021,0
20171212  11:00:00,0.71494021,0.71722614,0.52079498,0.53124041,0
20171212  12:00:00,0.53124041,0.53954277,0.51708034,0.52914497,0
20171212  13:00:00,0.52914497,0.55667137,0.52827187,0.55667137,0
20171212  14:00:00,0.55667137,0.56367203,0.55117879,0.56367203,0
20171212  15:00:00,0.56367203,0.56956147,0.55838581,0.56927573,0
20171213  09:30:00,0.5619417,0.79024888,0.5619417,0.77553321,0
20171213  10:00:00,0.77553321,0.78832806,0.75367401,0.75367401,0
20171213  11:00:00,0.75367401,0.75557895,0.69814498,0.69814498,0
20171213  12:00:00,0.69814498,0.70378043,0.66733256,0.67644453,0
20171213  13:00:00,0.67644453,0.67939719,0.63736149,0.63736149,0
20171213  14:00:00,0.63736149,0.97232948,0.63736149,0.6869852,0
20171213  15:00:00,0.6869852,0.68715982,0.6620781,0.66390367,0
20171214  09:30:00,0.63605978,0.64817203,0.6298211,0.64198097,0
20171214  10:00:00,0.64198097,0.64198097,0.52490648,0.52754165,0
20171214  11:00:00,0.52754165,0.55036919,0.52754165,0.54649581,0
20171214  12:00:00,0.54649581,0.55387745,0.53216113,0.55387745,0
20171214  13:00:00,0.55387745,0.56240206,0.54516235,0.55689361,0
20171214  14:00:00,0.55689361,0.58488037,0.54441625,0.57219664,0
20171214  15:00:00,0.57219664,0.57961003,0.55508392,0.56421176,0
20171215  09:30:00,0.56308467,0.87519337,0.56308467,0.86830383,0
20171215  10:00:00,0.86830383,0.8684467,0.82172803,0.82172803,0
20171215  11:00:00,0.82172803,0.82350597,0.78823281,0.78823281,0
20171215  12:00:00,0.78823281,0.78843918,0.72689372,0.72689372,0
20171215  13:00:00,0.72689372,0.72689372,0.69281115,0.69281115,0
20171215  14:00:00,0.69281115,0.69282702,0.58570584,0.58870612,0
20171215  15:00:00,0.58870612,0.58870612,0.57262525,0.58426126,0
20171218  09:30:00,0.5878489,0.5878489,0.51889004,0.54873411,0
20171218  10:00:00,0.54873411,0.55992564,0.53860618,0.53860618,0
20171218  11:00:00,0.53860618,0.53860618,0.51739783,0.52289041,0
20171218  12:00:00,0.52289041,0.52289041,0.51506428,0.51512778,0
20171218  13:00:00,0.51512778,0.51960439,0.51103216,0.51225449,0
20171218  14:00:00,0.51225449,0.52250943,0.51220687,0.51995363,0
20171218  15:00:00,0.51995363,0.53012919,0.5143658,0.52370001,0
20171219  09:30:00,0.51798519,0.6030408,0.51798519,0.58761078,0
20171219  10:00:00,0.58761078,0.60053263,0.58761078,0.59616714,0
20171219  11:00:00,0.59616714,0.60142161,0.58432476,0.59359547,0
20171219  12:00:00,0.59359547,0.59359547,0.5483055,0.5483055,0
20171219  13:00:00,0.5483055,0.5483055,0.53943165,0.5428288,0
20171219  14:00:00,0.5428288,0.55333772,0.53835219,0.55333772,0
20171219  15:00:00,0.55333772,0.55941766,0.54154296,0.54614657,0
20171220  09:30:00,0.54265418,0.57772096,0.5024123,0.5500517,0
20171220  10:00:00,0.5500517,0.55219476,0.50907959,0.52539859,0
20171220  11:00:00,0.52539859,0.52539859,0.49660223,0.50922246,0
20171220  12:00:00,0.50922246,0.51234974,0.49214149,0.50800013,0
20171220  13:00:00,0.50800013,0.5185408,0.50065023,0.5112544,0
20171220  14:00:00,0.5112544,0.53679648,0.50923834,0.52050924,0
20171220  15:00:00,0.52050924,0.5329866,0.51179413,0.5329866,0
20171221  09:30:00,0.6006755,0.6006755,0.52995457,0.54047937,0
20171221  10:00:00,0.54047937,0.54736891,0.53578051,0.54290817,0
20171221  11:00:00,0.54290817,0.54916273,0.53732034,0.54916273,0
20171221  12:00:00,0.54916273,0.55117879,0.54384476,0.54384476,0
20171221  13:00:00,0.54384476,0.54547984,0.53478042,0.53617738,0
20171221  14:00:00,0.53617738,0.54609895,0.53530428,0.54514647,0
20171221  15:00:00,0.54514647,0.54563858,0.52946246,0.53103404,0
20171222  09:30:00,0.53027206,0.54190808,0.52958946,0.52958946,0
20171222  10:00:00,0.52958946,0.54022538,0.52174745,0.53446293,0
20171222  11:00:00,0.53446293,0.55746509,0.53446293,0.55108354,0
20171222  12:00:00,0.55108354,0.56214807,0.54725778,0.56144959,0
20171222  13:00:00,0.56144959,0.57132354,0.56144959,0.57132354,0
20171222  14:00:00,0.57132354,0.57578427,0.56979959,0.57087905,0
20171222  15:00:00,0.57087905,0.58241982,0.55865568,0.57337135,0
20171226  09:30:00,0.58008627,0.62643983,0.58008627,0.61910581,0
20171226  10:00:00,0.61910581,0.6315673,0.6079619,0.61769298,0
20171226  11:00:00,0.61769298,0.62274107,0.60258044,0.61261313,0
20171226  12:00:00,0.61261313,0.62413803,0.60897787,0.62275694,0
20171226  13:00:00,0.62275694,0.6272653,0.61474032,0.62518574,0
20171226  14:00:00,0.62518574,0.65166442,0.62380466,0.64798154,0
