date,open,high,low,close,volume
20171212  03:00:00,0.84627001,0.84888931,0.81510836,0.81517185,1
20171212  04:00:00,0.81517185,0.8170133,0.71281303,0.8170133,1
20171212  05:00:00,0.8170133,0.82253763,0.81598145,0.82042632,1
20171212  06:00:00,0.82042632,0.90367223,0.81387014,0.81704505,1
20171212  07:00:00,0.81704505,0.81744191,0.75967457,0.75967457,1
20171212  08:00:00,0.75967457,0.81261606,0.75967457,0.8110921,1
20171212  09:00:00,0.8110921,0.8110921,0.80645675,0.81080636,1
20171212  09:30:00,0.81080636,0.82228363,0.81080636,0.81113973,1
20171212  10:00:00,0.81113973,0.82402983,0.80909192,0.81633069,1
20171212  11:00:00,0.81633069,0.83765016,0.81223507,0.83572934,1
20171212  12:00:00,0.83572934,0.8369358,0.83153847,0.83628495,1
20171212  13:00:00,0.83628495,0.84090443,0.83474512,0.84045994,1
20171212  14:00:00,0.84045994,0.84114255,0.83488799,0.83506261,1
20171212  15:00:00,0.83506261,0.83545947,0.82155341,0.83155435,1
20171212  16:00:00,0.83155435,0.83155435,0.83155435,0.83155435,1
20171213  04:00:00,0.83904711,0.89259183,0.83904711,0.88514668,1
20171213  05:00:00,0.88514668,2.09264112,0.88344811,0.88355923,1
20171213  06:00:00,0.88355923,2.1199929,0.84868294,0.88173366,1
20171213  07:00:00,0.88173366,0.8820829,0.87703481,0.88084469,1
20171213  08:00:00,0.88084469,0.88241627,0.87687607,0.87906675,1
20171213  09:00:00,0.87906675,0.87940011,0.8788445,0.87940011,1
20171213  09:30:00,0.87940011,0.87940011,0.82706186,0.82998277,1
20171213  10:00:00,0.82998277,0.84223789,0.82893505,0.83212583,1
20171213  11:00:00,0.83212583,0.83615795,0.83104636,0.83112573,1
20171213  12:00:00,0.83112573,0.85304843,0.83112573,0.83569759,1
20171213  13:00:00,0.83569759,0.8482067,0.83545947,0.84325386,1
20171213  14:00:00,0.84325386,0.86343036,0.83825339,0.84244426,1
20171213  15:00:00,0.84244426,0.85906487,0.84041232,0.85415964,1
20171213  16:00:00,0.85415964,0.85415964,0.85415964,0.85415964,1
20171214  03:00:00,0.85327067,0.85590584,0.85230233,0.85531848,1
20171214  04:00:00,0.85531848,1.90886195,0.84992115,0.85146098,1
20171214  05:00:00,0.85146098,0.85354054,0.85054026,0.8523182,1
20171214  06:00:00,0.8523182,0.86419233,0.84655576,0.85303255,1
20171214  07:00:00,0.85303255,0.85447713,0.8473971,0.85106412,1
20171214  08:00:00,0.85106412,0.85814415,0.84803208,0.85098474,1
20171214  09:00:00,0.85098474,0.85103237,0.84879406,0.85103237,1
20171214  09:30:00,0.85103237,0.86522418,0.82204552,0.84763522,1
20171214  10:00:00,0.84763522,0.84763522,0.83312592,0.83815814,1
