#{"t_start": 1625370265.07341, "env_id": null}
r,l,t
3.856245,700,37.848822
7.61009,700,79.099564
-69.994219,700,118.187043
-9.186405,700,155.353683
12.228047,700,195.949513
17.74985,700,240.341699
56.989456,700,279.409644
5.522932,700,319.004135
15.388775,700,363.619744
-1.965105,700,402.510068
33.304482,700,440.349177
19.050508,700,483.117156
-19.890789,700,524.892512
-22.478586,700,563.127638
25.266619,700,609.347349
12.377029,700,648.016797
37.116852,700,686.457336
5.926349,700,728.802826
-101.375578,700,773.396576
6.64932,700,812.139251
59.712032,700,850.186445
21.216823,700,892.968307
22.643973,700,935.992443
36.522185,700,974.371812
15.21198,700,1013.244344
18.415885,700,1058.698337
19.261128,700,1098.139099
-6.571972,700,1136.010531
-5.431015,700,1174.097929
36.788453,700,1220.906389
-87.171122,700,1257.99734
15.000325,700,1295.35818
-79.868034,700,1333.868438
30.776836,700,1377.708623
5.908171,700,1418.495671
-89.29035,700,1459.001532
35.225055,700,1501.501285
14.411498,700,1539.925044
-13.028709,700,1577.464359
-37.756949,700,1614.167228
35.651213,700,1651.047813
-85.829308,700,1689.585611
9.1752,700,1729.915895
42.274468,700,1768.950126
52.483903,700,1811.939456
22.830111,700,1850.644524
14.881013,700,1889.050039
11.290741,700,1936.263752
-22.823256,700,1977.475921
26.346581,700,2016.303877
17.006557,700,2054.964134
41.603245,700,2099.807554
-10.497882,700,2138.572956
-5.75048,700,2177.108454
16.734861,700,2217.724295
-62.178541,700,2260.775203
57.891195,700,2299.44647
-65.2711,700,2338.181044
5.382966,700,2379.834903
0.968715,700,2424.148
17.41905,700,2462.802381
49.156526,700,2501.485375
3.102219,700,2542.669375
60.195837,700,2584.248439
-10.130292,700,2620.810467
-33.634387,700,2663.662963
42.762159,700,2702.125616
26.050502,700,2741.365192
0.915865,700,2787.184376
-5.91839,700,2826.148868
34.560432,700,2864.594893
15.178082,700,2905.872936
-5.183509,700,2951.857426
9.193005,700,2991.298737
-3.679914,700,3031.38794
12.312951,700,3069.107685
43.419713,700,3111.989829
-7.67872,700,3154.26845
14.596272,700,3193.349951
51.272276,700,3232.698936
-12.924058,700,3274.611769
-53.156433,700,3316.754567
-92.48976,700,3353.908683
74.02278,700,3392.262398
25.845896,700,3430.972025
-2.720305,700,3468.115646
-50.506383,700,3507.142192
17.629138,700,3547.141174
60.130866,700,3584.31785
12.683487,700,3626.126084
-70.500021,700,3668.676674
-68.575853,700,3706.668526
8.294375,700,3747.037123
23.110632,700,3785.512157
33.25284,700,3824.690262
34.843978,700,3867.369395
43.73344,700,3905.586312
42.170046,700,3944.131733
19.188948,700,3990.123449
-9.527148,700,4033.034168
61.268729,700,4071.925933
-52.250553,700,4112.27998
27.878543,700,4151.205003
52.019543,700,4188.604544
37.832908,700,4227.169013
22.131037,700,4264.655714
40.071597,700,4304.65835
34.843515,700,4344.827111
65.209578,700,4383.553805
19.726956,700,4423.422386
35.354425,700,4457.952314
28.83304,700,4491.428981
12.380602,700,4524.776223
47.656317,700,4560.61959
13.842115,700,4593.763555
19.267927,700,4626.718725
30.576756,700,4660.262499
67.037306,700,4696.842607
-15.872399,700,4729.901859
0.769539,700,4763.008089
-13.437755,700,4798.528155
26.045263,700,4832.030996
20.258452,700,4864.925056
102.036301,700,4898.947075
14.318142,700,4934.007131
-67.590162,700,4967.1611
67.732186,700,5000.209799
2.455384,700,5035.965233
26.174592,700,5069.073185
-22.410757,700,5102.216735
-87.332032,700,5136.931593
15.056199,700,5171.207862
