#{"t_start": 1625408205.6144183, "env_id": null}
r,l,t
0.58751,700,20.102635
1.257584,700,44.277442
0.25388,700,67.169958
2.498761,700,90.197797
0.033468,700,113.775259
-1.37536,700,136.827873
2.0298,700,161.124088
0.559599,700,185.186471
1.762799,700,208.890977
1.612439,700,233.323952
0.155981,700,257.896093
2.824893,700,282.731174
0.197343,700,306.967805
0.672578,700,332.802072
32.523162,700,358.42416
127.409192,700,383.751237
100.500727,700,408.262784
25.024094,700,433.260009
30.819736,700,458.652483
-20.366542,700,484.500154
48.815259,700,509.810069
-18.493868,700,535.103702
6.052606,700,560.58089
48.504871,700,586.224328
142.219895,700,610.346618
36.982727,700,635.519552
40.711466,700,660.915661
102.123415,700,686.413354
30.820353,700,712.593476
-94.916849,700,737.809033
40.284054,700,762.958045
178.535095,700,786.768628
-18.077611,700,811.473104
-82.386064,700,835.371195
39.225244,700,859.75058
36.689113,700,883.422529
69.918222,700,906.570546
31.933671,700,930.030691
41.86483,700,952.8445
59.110204,700,975.167559
33.309414,700,998.603184
64.207939,700,1022.238324
158.014949,700,1046.398955
-0.840595,700,1070.175833
-19.439016,700,1093.677268
149.229537,700,1116.341111
-17.698767,700,1139.401147
39.480281,700,1164.334301
-96.195207,700,1188.486109
201.920778,700,1213.448752
-127.126604,700,1238.667355
47.723495,700,1264.336138
44.54335,700,1289.6974
60.198547,700,1313.812975
26.796856,700,1336.436066
-12.913243,700,1361.774463
17.710592,700,1386.505047
-109.046716,700,1411.540365
-29.383936,700,1436.173749
-21.758304,700,1459.356916
40.563874,700,1483.353607
30.994139,700,1506.828998
19.503054,700,1530.212471
127.938333,700,1554.110884
-21.842427,700,1577.420878
21.145408,700,1600.861567
83.494522,700,1624.759135
61.6539,700,1648.629202
31.917744,700,1673.26025
57.505946,700,1699.320983
44.458755,700,1723.925228
134.767364,700,1749.0019
-15.54869,700,1773.187846
47.165499,700,1797.049811
-112.323291,700,1820.776808
34.416841,700,1845.485739
27.694491,700,1870.19915
8.272198,700,1894.68503
130.543256,700,1918.719713
43.847966,700,1942.615641
66.691332,700,1967.551821
-20.307682,700,1991.116237
159.353947,700,2015.79442
60.485081,700,2040.511748
-92.954629,700,2063.59953
-74.338061,700,2087.339555
37.699719,700,2111.143275
37.519497,700,2134.920424
13.836727,700,2159.477845
-22.658644,700,2183.647347
-15.517764,700,2208.301421
17.223688,700,2232.673025
37.43223,700,2255.038125
75.860381,700,2277.503964
61.298074,700,2300.747649
32.38793,700,2323.845037
31.183791,700,2347.377835
189.348231,700,2370.264745
71.006839,700,2393.863556
-108.148164,700,2417.235104
-8.411625,700,2441.927143
44.021825,700,2466.205348
-34.520593,700,2491.027112
43.377806,700,2514.556592
22.290462,700,2538.630814
-22.934392,700,2562.86557
44.850943,700,2586.951346
-133.095738,700,2611.293578
26.844461,700,2634.606387
-37.34806,700,2657.020031
71.792448,700,2679.677625
43.470735,700,2702.3856
-115.241783,700,2725.749008
73.100858,700,2748.909614
4.412571,700,2772.150079
80.575753,700,2796.813421
68.824613,700,2820.82446
33.68936,700,2845.353455
138.627952,700,2868.782047
42.176398,700,2893.63962
49.013774,700,2917.80829
21.761382,700,2941.501469
2.386556,700,2965.499661
27.564438,700,2989.639635
-17.998559,700,3013.330242
-112.941602,700,3036.682882
217.378896,700,3060.277731
25.453758,700,3084.546387
22.120713,700,3109.006007
66.742052,700,3132.884419
3.375423,700,3156.287555
106.262114,700,3179.651399
11.580572,700,3202.718075
19.327608,700,3226.558867
109.384371,700,3250.431137
43.87916,700,3274.319119
95.511049,700,3298.04699
45.794423,700,3321.885728
33.334315,700,3346.084413
83.345693,700,3370.171855
51.351884,700,3393.390416
-115.236442,700,3416.993198
39.487137,700,3440.171651
-4.270405,700,3463.597229
13.257314,700,3487.952874
39.821165,700,3511.98936
-99.378976,700,3536.035942
182.479002,700,3559.275692
-112.948241,700,3582.759234
92.583081,700,3605.603846
145.133779,700,3629.280201
48.842255,700,3651.967166
58.402819,700,3675.688445
37.736628,700,3698.377039
-92.081904,700,3721.744149
38.990052,700,3745.52112
39.822379,700,3769.571526
54.752982,700,3794.122281
22.670632,700,3818.395855
208.851768,700,3841.94784
43.949264,700,3865.547809
-25.317785,700,3889.31784
-97.809482,700,3912.410717
54.745965,700,3935.667872
-25.190717,700,3959.681568
18.372099,700,3983.423531
47.163627,700,4007.055959
-6.553546,700,4030.460123
-3.231692,700,4053.577429
32.226403,700,4077.644725
-22.063199,700,4101.856312
132.641973,700,4125.525174
30.133591,700,4149.368775
40.59495,700,4173.768025
81.016125,700,4197.159488
-19.771456,700,4220.832915
28.931032,700,4244.737608
30.594998,700,4268.916377
41.555736,700,4292.587988
-0.527169,700,4317.074382
-8.520533,700,4341.464684
-14.145288,700,4365.243443
59.149183,700,4388.608823
116.16173,700,4411.556336
200.110486,700,4434.923599
1.23686,700,4459.17338
50.519566,700,4483.926593
2.99229,700,4507.991476
87.717126,700,4531.20294
66.546202,700,4554.438351
82.205387,700,4577.295001
119.95085,700,4600.755322
62.82223,700,4625.022026
25.652481,700,4648.776196
43.630967,700,4671.394145
-10.850583,700,4693.831286
37.32956,700,4716.263045
56.877039,700,4739.545589
156.146855,700,4762.6792
193.063291,700,4787.029662
22.640742,700,4811.425064
-15.238438,700,4835.703842
-18.237029,700,4860.607323
63.999491,700,4885.487904
35.287967,700,4910.290432
8.344858,700,4935.944975
4.662452,700,4959.146736
13.48392,700,4983.527866
-29.843317,700,5006.444045
34.818885,700,5029.590859
34.716623,700,5052.377818
-21.532169,700,5075.051255
61.444135,700,5097.85226
43.397998,700,5120.322896
37.268834,700,5143.336829
20.438148,700,5166.109376
11.883806,700,5189.358861
46.394244,700,5211.666136
21.90364,700,5235.044822
-102.634537,700,5259.639159
196.229997,700,5282.850013
-114.090968,700,5306.009873
45.51505,700,5329.302309
54.836278,700,5352.39851
-114.757361,700,5376.6533
71.957293,700,5400.121642
1.332785,700,5422.727822
53.192145,700,5445.960236
38.629235,700,5469.112773
-135.848897,700,5492.401647
71.408055,700,5515.479267
42.407494,700,5538.345333
27.159249,700,5562.411131
119.415414,700,5584.910661
74.822715,700,5608.183323
134.322308,700,5631.226654
92.213369,700,5654.106758
27.605228,700,5677.533839
35.491121,700,5700.248641
-125.961552,700,5723.99839
78.346247,700,5746.674263
179.854698,700,5770.452304
36.155644,700,5793.404835
30.597389,700,5816.173502
37.354219,700,5839.215002
42.414309,700,5861.955349
15.155392,700,5885.44056
9.874393,700,5909.668303
105.712421,700,5932.792971
70.801104,700,5956.450112
146.003313,700,5980.391669
40.881877,700,6003.642466
56.97423,700,6027.005224
41.777117,700,6050.049167
41.129931,700,6072.317394
61.786722,700,6095.532391
123.235923,700,6118.15798
109.922438,700,6140.802817
25.545062,700,6164.334721
4.538214,700,6187.451092
12.714978,700,6209.894875
-108.723152,700,6233.373628
7.256225,700,6257.387136
-3.121039,700,6281.743408
-31.924424,700,6304.866629
-23.995811,700,6329.035139
12.613755,700,6352.454852
18.428617,700,6375.721655
185.047433,700,6399.505962
-110.436517,700,6422.614159
60.780079,700,6446.382873
-109.399788,700,6469.549232
193.700078,700,6491.997643
21.926716,700,6515.792325
8.650388,700,6540.543192
40.230563,700,6564.111121
10.30377,700,6587.928326
54.101602,700,6610.898707
-94.175562,700,6634.136478
-123.069676,700,6658.121386
-20.63355,700,6681.961075
-130.713247,700,6706.03522
10.869817,700,6729.869799
38.420124,700,6753.901537
25.656163,700,6777.498336
15.445536,700,6801.00996
22.476019,700,6824.941249
63.925252,700,6848.355052
-102.596975,700,6871.792592
-108.959501,700,6895.991489
-2.016504,700,6919.870542
41.590164,700,6942.901464
74.14825,700,6965.846301
15.28695,700,6988.999537
16.333944,700,7011.878863
40.701222,700,7035.628279
-8.036445,700,7060.258955
-129.472341,700,7084.410263
-9.954499,700,7108.645879
40.483563,700,7132.432116
-83.492863,700,7155.974826
128.498444,700,7180.281224
-0.090428,700,7204.534514
135.28437,700,7229.106607
65.79773,700,7252.956106
129.986002,700,7276.676449
10.329397,700,7300.434023
35.031646,700,7323.879695
-92.72026,700,7348.253726
20.318974,700,7372.300097
25.52317,700,7396.030469
11.614701,700,7418.57779
17.35847,700,7442.760472
13.415114,700,7465.933997
30.913137,700,7490.154297
9.28016,700,7514.233751
99.90481,700,7538.654555
29.079338,700,7562.074442
62.40517,700,7585.133672
-95.816969,700,7608.997261
29.751633,700,7632.745241
2.000577,700,7657.092336
32.065939,700,7681.822176
-129.334996,700,7705.444208
-123.385895,700,7728.977478
141.692332,700,7752.718752
38.458224,700,7777.032152
46.854031,700,7800.595066
54.045801,700,7824.381107
65.42605,700,7848.5531
50.830618,700,7871.918363
-23.801851,700,7895.940729
8.025105,700,7919.746636
-108.309171,700,7943.596836
104.378485,700,7967.937809
7.811429,700,7992.111827
83.896613,700,8016.606016
69.485059,700,8040.728134
65.793122,700,8065.472924
90.074538,700,8089.90991
134.966835,700,8113.371615
29.537313,700,8137.121847
0.655933,700,8160.927424
195.111257,700,8183.983753
-2.845202,700,8208.041369
47.52461,700,8231.808873
-17.431506,700,8255.943149
59.777256,700,8279.330687
16.980776,700,8303.67954
39.596203,700,8327.292129
-26.874515,700,8351.14258
103.299763,700,8375.253017
47.575661,700,8399.40111
31.583306,700,8423.500534
88.583982,700,8447.600995
14.786834,700,8471.723704
38.77682,700,8495.385627
-9.108247,700,8519.716421
42.280456,700,8543.900997
9.463868,700,8568.695443
-81.64573,700,8592.494534
48.992442,700,8616.969782
45.543783,700,8640.38998
-92.201439,700,8664.12845
-21.796426,700,8687.777735
26.215656,700,8710.845177
59.209516,700,8734.75969
46.943401,700,8758.168088
103.442124,700,8781.64543
160.31083,700,8805.743033
116.952445,700,8829.506398
24.19668,700,8852.958384
102.795762,700,8876.963775
95.429201,700,8900.223071
-13.409879,700,8924.162938
28.369182,700,8948.583444
-3.390686,700,8971.659034
-81.835896,700,8995.375489
13.585745,700,9019.814476
-14.526834,700,9044.247775
11.716907,700,9068.003754
-64.524062,700,9091.737053
71.629027,700,9115.684113
-20.872961,700,9140.437356
37.722145,700,9165.067695
38.901279,700,9189.611263
101.214511,700,9213.831157
63.292523,700,9237.899598
17.401815,700,9261.165619
71.150936,700,9285.843702
-124.176461,700,9309.339382
-21.953735,700,9333.314637
8.049851,700,9356.250857
82.932606,700,9379.69112
58.627658,700,9402.357603
189.294641,700,9426.54115
